        tauB               sizeBin             clust_size      press_align
        0.00               5.016308              43096             11874.552485    
        0.10               5.016308              43275             10615.458415    
        0.20               5.016308              43712             8362.570610     
        0.30               5.016308              44134             6563.776578     
        0.40               5.016308              44354             5238.825890     
        0.50               5.016308              44451             4327.937066     
        0.60               5.016308              44525             3565.184959     
        0.70               5.016308              44488             3073.197781     
        0.80               5.016308              44418             2357.054157     
        0.90               5.016308              44262             1926.477992     
        1.00               5.016308              44027             1960.813326     
        1.10               5.016308              43744             1930.871336     
        1.20               5.016308              43521             2008.770669     
        1.30               5.016308              43221             1944.175392     
        1.40               5.016308              43096             1707.747772     
        1.50               5.016308              42833             1726.239265     
        1.60               5.016308              42661             1484.685098     
        1.70               5.016308              42424             1616.040161     
        1.80               5.016308              42303             1801.779484     
        1.90               5.016308              41997             1865.273325     
        2.00               5.016308              41917             1851.604281     
        2.10               5.016308              41802             1707.872997     
        2.20               5.016308              41882             1716.083491     
        2.30               5.016308              41700             1799.053399     
        2.40               5.016308              41658             1936.959560     
        2.50               5.016308              41556             2146.681570     
        2.60               5.016308              41552             2050.408923     
        2.70               5.016308              41723             2207.756098     
        2.80               5.016308              41918             2456.978424     
        2.90               5.016308              42147             2233.067288     
        3.00               5.016308              42190             1821.892658     
        3.10               5.016308              42269             1836.428502     
        3.20               5.016308              42191             1986.605550     
        3.30               5.016308              41886             2142.908409     
        3.40               5.016308              41748             1961.790952     
        3.50               5.016308              41543             1955.977726     
        3.60               5.016308              41467             2079.962761     
        3.70               5.016308              41422             1892.693221     
        3.80               5.016308              41459             2057.680619     
        3.90               5.016308              41286             1860.958815     
        4.00               5.016308              41240             1750.341817     
        4.10               5.016308              41292             1671.844452     
        4.20               5.016308              41317             1754.046528     
        4.30               5.016308              41455             1802.737541     
        4.40               5.016308              41546             1882.166762     
        4.50               5.016308              41546             1987.770349     
        4.60               5.016308              41640             1928.027471     
        4.70               5.016308              41783             2123.666752     
        4.80               5.016308              41822             2188.800336     
        4.90               5.016308              41729             2154.024115     
        5.00               5.016308              41901             2311.722495     
        5.10               5.016308              41766             2366.477386     
        5.20               5.016308              41805             1978.629129     
        5.30               5.016308              41779             2170.314004     
        5.40               5.016308              41675             1975.387826     
        5.50               5.016308              41509             1911.240533     
        5.60               5.016308              41498             2122.849952     
        5.70               5.016308              41647             1950.756329     
        5.80               5.016308              41719             1993.347281     
        5.90               5.016308              41728             2182.093647     
        6.00               5.016308              41739             2307.843999     
        6.10               5.016308              41705             2301.491198     
        6.20               5.016308              41689             2424.678769     
        6.30               5.016308              41587             2314.346395     
        6.40               5.016308              41548             2179.541472     
        6.50               5.016308              41492             2277.906960     
        6.60               5.016308              41484             2199.269386     
        6.70               5.016308              41406             2127.380231     
        6.80               5.016308              41393             2008.761852     
        6.90               5.016308              41543             1975.199147     
        7.00               5.016308              41476             1751.393688     
        7.10               5.016308              41497             1747.673893     
        7.20               5.016308              41515             1691.880387     
        7.30               5.016308              41568             1905.399579     
        7.40               5.016308              41680             1979.682615     
        7.50               5.016308              41768             2012.857654     
        7.60               5.016308              41808             1891.562976     
        7.70               5.016308              41656             2079.800553     
        7.80               5.016308              41660             1868.771452     
        7.90               5.016308              41628             2114.185904     
        8.00               5.016308              41358             1864.767508     
        8.10               5.016308              41098             2034.972953     
        8.20               5.016308              40956             1914.558033     
        8.30               5.016308              40928             2132.242030     
        8.40               5.016308              40810             2148.450963     
        8.50               5.016308              40775             2294.718334     
        8.60               5.016308              40757             2134.022936     
        8.70               5.016308              40733             2202.569337     
        8.80               5.016308              40808             1966.534979     
        8.90               5.016308              40936             1685.704018     
        9.00               5.016308              41042             1757.980562     
        9.10               5.016308              41155             1636.991341     
        9.20               5.016308              41315             1555.224258     
        9.30               5.016308              41388             1572.726162     
        9.40               5.016308              41611             1676.705673     
        9.50               5.016308              41683             1526.799902     
        9.60               5.016308              41687             1891.581270     
        9.70               5.016308              41639             2002.245718     
        9.80               5.016308              41715             2027.638537     
        9.90               5.016308              41762             1993.201711     
       10.00               5.016308              41761             1606.450413     
       10.10               5.016308              41644             1660.871461     
       10.20               5.016308              41580             1794.336318     
       10.30               5.016308              41472             1901.664018     
       10.40               5.016308              41500             1932.551342     
       10.50               5.016308              41474             2065.430839     
       10.60               5.016308              41164             2004.349508     
       10.70               5.016308              41060             2115.933646     
       10.80               5.016308              41049             2316.726217     
       10.90               5.016308              41213             2420.031715     
       11.00               5.016308              41383             2452.026753     
       11.10               5.016308              41556             2212.756277     
       11.20               5.016308              41741             2156.962159     
       11.30               5.016308              41757             2155.198425     
       11.40               5.016308              41700             1986.598533     
       11.50               5.016308              41736             1864.985847     
       11.60               5.016308              41814             1871.224418     
       11.70               5.016308              41817             1623.370114     
       11.80               5.016308              41854             1778.640204     
       11.90               5.016308              42021             1659.655887     
       12.00               5.016308              41917             1572.672654     
       12.10               5.016308              41811             1811.866637     
       12.20               5.016308              41890             1646.221276     
       12.30               5.016308              41781             1837.972746     
       12.40               5.016308              41820             1865.741469     
       12.50               5.016308              41841             1790.428338     
       12.60               5.016308              41989             1798.556325     
       12.70               5.016308              42031             1591.075760     
       12.80               5.016308              41890             1743.350324     
       12.90               5.016308              41773             1796.002614     
       13.00               5.016308              41702             1769.045923     
       13.10               5.016308              41560             1579.047596     
       13.20               5.016308              41549             1663.672477     
       13.30               5.016308              41454             1728.242984     
       13.40               5.016308              41340             1889.355578     
       13.50               5.016308              41361             1715.383433     
       13.60               5.016308              41275             1656.078258     
       13.70               5.016308              41439             1745.843496     
       13.80               5.016308              41425             1907.581490     
