        tauB               sizeBin             clust_size      press_align
       15.90               5.016308              42368             2155.070735     
       16.00               5.016308              42187             2211.653034     
       16.10               5.016308              42081             2288.488901     
       16.20               5.016308              41929             2319.496499     
       16.30               5.016308              41906             2177.535474     
       16.40               5.016308              41612             2149.231508     
       16.50               5.016308              41619             2422.743841     
       16.60               5.016308              41689             2488.878924     
       16.70               5.016308              41560             2432.777768     
       16.80               5.016308              41602             2392.593631     
       16.90               5.016308              41685             2364.557955     
       17.00               5.016308              41789             2525.501285     
       17.10               5.016308              41830             2530.339711     
       17.20               5.016308              41901             2116.311419     
       17.30               5.016308              42098             1895.326794     
       17.40               5.016308              42362             2259.673124     
       17.50               5.016308              42538             2392.732762     
       17.60               5.016308              42459             2551.285654     
       17.70               5.016308              42340             2261.338828     
       17.80               5.016308              42472             2250.034158     
       17.90               5.016308              42473             2255.349922     
       18.00               5.016308              42594             2265.227984     
       18.10               5.016308              42678             2200.573559     
       18.20               5.016308              42453             2142.101018     
       18.30               5.016308              42366             1958.315821     
       18.40               5.016308              42319             2078.404443     
       18.50               5.016308              42295             1988.400834     
       18.60               5.016308              42281             1990.614196     
       18.70               5.016308              41997             2310.240968     
       18.80               5.016308              41938             2172.409766     
       18.90               5.016308              41922             2106.385162     
       19.00               5.016308              41984             2123.826603     
       19.10               5.016308              42035             2026.063444     
       19.20               5.016308              42202             2095.690067     
       19.30               5.016308              42186             1877.600242     
       19.40               5.016308              42277             1905.021130     
       19.50               5.016308              42312             1829.545602     
       19.60               5.016308              42219             1779.893046     
       19.70               5.016308              42082             1669.921897     
       19.80               5.016308              42241             1828.194151     
       19.90               5.016308              42332             1886.134619     
       20.00               5.016308              42419             2166.958422     
       20.10               5.016308              42466             2284.183251     
       20.20               5.016308              42543             2152.164678     
       20.30               5.016308              42588             2242.167810     
       20.40               5.016308              42442             2112.398764     
       20.50               5.016308              42441             1892.124339     
       20.60               5.016308              42461             2008.909354     
       20.70               5.016308              42604             2031.481732     
       20.80               5.016308              42562             1592.425080     
       20.90               5.016308              42388             1662.446777     
       21.00               5.016308              42178             1695.741853     
       21.10               5.016308              42065             1744.894079     
       21.20               5.016308              41810             1989.285546     
       21.30               5.016308              41764             2180.849443     
       21.40               5.016308              41866             2165.841148     
       21.50               5.016308              41763             1866.541606     
       21.60               5.016308              41951             2007.408496     
       21.70               5.016308              42053             1990.464259     
       21.80               5.016308              42233             2003.946304     
       21.90               5.016308              42340             2025.403991     
       22.00               5.016308              42528             2166.807099     
       22.10               5.016308              42545             1983.774923     
