        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
        0.00               5.016308              43096             11727.569048         4419.169257          7308.399790     
        0.10               5.016308              43275             10495.576226         3758.799218          6736.777008     
        0.20               5.016308              43712             8149.431645          2898.238911          5251.192734     
        0.30               5.016308              44134             6406.253196          2221.679708          4184.573488     
        0.40               5.016308              44354             5151.582421          1582.408840          3569.173581     
        0.50               5.016308              44451             4307.497494          1305.071810          3002.425684     
        0.60               5.016308              44525             3571.887069          1084.383231          2487.503837     
        0.70               5.016308              44488             2969.314169           921.748477          2047.565692     
        0.80               5.016308              44418             2251.604754           671.984110          1579.620643     
        0.90               5.016308              44262             1984.792910           610.017068          1374.775842     
        1.00               5.016308              44027             2026.179437           616.380789          1409.798648     
        1.10               5.016308              43744             2027.048630           610.898094          1416.150535     
        1.20               5.016308              43521             1928.454432           576.038605          1352.415827     
        1.30               5.016308              43221             1774.145183           454.426168          1319.719015     
        1.40               5.016308              43096             1523.571465           428.964769          1094.606696     
        1.50               5.016308              42833             1601.643656           385.446538          1216.197118     
        1.60               5.016308              42661             1541.453396           202.336928          1339.116467     
        1.70               5.016308              42424             1743.330153           322.190296          1421.139858     
        1.80               5.016308              42303             1832.653372           537.864045          1294.789327     
        1.90               5.016308              41997             1842.071189           474.733949          1367.337240     
        2.00               5.016308              41917             1616.399496           445.945833          1170.453663     
        2.10               5.016308              41802             1719.440504           606.849905          1112.590599     
        2.20               5.016308              41882             1724.175988           538.971907          1185.204082     
        2.30               5.016308              41700             1856.230600           600.868729          1255.361870     
        2.40               5.016308              41658             1925.989372           557.717419          1368.271954     
        2.50               5.016308              41556             2086.838843           667.590115          1419.248728     
        2.60               5.016308              41552             1924.693285           660.977519          1263.715765     
        2.70               5.016308              41723             2059.139185           785.481157          1273.658028     
        2.80               5.016308              41918             2407.099505           774.495612          1632.603892     
        2.90               5.016308              42147             2195.623703           673.998976          1521.624727     
        3.00               5.016308              42190             1876.344921           661.745062          1214.599859     
        3.10               5.016308              42269             1968.984249           650.877578          1318.106671     
        3.20               5.016308              42191             2067.166918           615.676460          1451.490458     
        3.30               5.016308              41886             2160.981034           702.441293          1458.539741     
        3.40               5.016308              41748             2013.492879           592.580899          1420.911981     
        3.50               5.016308              41543             2031.949127           589.818112          1442.131015     
        3.60               5.016308              41467             2102.995875           540.118685          1562.877191     
        3.70               5.016308              41422             1876.832685           520.082476          1356.750209     
        3.80               5.016308              41459             1948.607209           614.336833          1334.270376     
        3.90               5.016308              41286             1954.207177           645.318407          1308.888770     
        4.00               5.016308              41240             1910.912979           717.085637          1193.827342     
        4.10               5.016308              41292             1911.448120           679.151049          1232.297071     
        4.20               5.016308              41317             1911.548469           522.201943          1389.346526     
        4.30               5.016308              41455             1892.721015           538.352215          1354.368799     
        4.40               5.016308              41546             1888.992724           506.153955          1382.838769     
        4.50               5.016308              41546             1981.179803           474.557925          1506.621878     
        4.60               5.016308              41640             1944.044738           509.401440          1434.643298     
        4.70               5.016308              41783             2070.272065           598.522372          1471.749693     
        4.80               5.016308              41822             2017.924975           723.632931          1294.292043     
        4.90               5.016308              41729             2095.323348           741.380190          1353.943157     
        5.00               5.016308              41901             2286.496025           785.390214          1501.105811     
        5.10               5.016308              41766             2387.430273           862.437415          1524.992858     
        5.20               5.016308              41805             2067.780242           786.484503          1281.295739     
        5.30               5.016308              41779             2226.216093           712.250804          1513.965288     
        5.40               5.016308              41675             2066.796316           718.873882          1347.922434     
        5.50               5.016308              41509             1993.469274           784.518072          1208.951202     
        5.60               5.016308              41498             2163.221845           759.251519          1403.970326     
        5.70               5.016308              41647             2052.175154           628.202805          1423.972348     
        5.80               5.016308              41719             2121.020512           762.857427          1358.163085     
        5.90               5.016308              41728             2231.727158           789.581026          1442.146132     
        6.00               5.016308              41739             2348.478494           952.982195          1395.496298     
        6.10               5.016308              41705             2322.786600           792.875828          1529.910773     
