        tauB               sizeBin             clust_size          interface_id       press_align_bub1     press_align_bub2     press_align_bub3     press_align_bub4     press_align_bub5  
        0.00               5.016308              40320                  1               9054.720045            0.000000             0.000000             0.000000             0.000000      
        0.10               5.016308              40461                  1               7552.847345            0.000000             0.000000             0.000000             0.000000      
        0.20               5.016308              40898                  1               5626.847844            0.000000             0.000000             0.000000             0.000000      
        0.30               5.016308              41375                  1               4371.939326            0.000000             0.000000             0.000000             0.000000      
        0.40               5.016308              41745                  1               3435.956197            0.000000             0.000000             0.000000             0.000000      
        0.50               5.016308              42139                  1               2817.306237            0.000000             0.000000             0.000000             0.000000      
        0.60               5.016308              42394                  1               2052.210684            0.000000             0.000000             0.000000             0.000000      
        0.70               5.016308              42554                  1               1559.385963            0.000000             0.000000             0.000000             0.000000      
        0.80               5.016308              42653                  1               1436.495498            0.000000             0.000000             0.000000             0.000000      
        0.90               5.016308              42656                  1               1324.987243            0.000000             0.000000             0.000000             0.000000      
        1.00               5.016308              42615                  2               1162.889590            0.000000             0.000000             0.000000             0.000000      
        1.10               5.016308              42630                  2               1097.502199           50.542840             0.000000             0.000000             0.000000      
        1.20               5.016308              42580                  2                341.617750            0.000000             0.000000             0.000000             0.000000      
        1.30               5.016308              42463                  2                983.334461            0.000000             0.000000             0.000000             0.000000      
        1.40               5.016308              42276                  3                950.910944           -27.056391            0.000000             0.000000             0.000000      
        1.50               5.016308              41974                  1                955.973770            0.000000             0.000000             0.000000             0.000000      
        1.60               5.016308              41800                  2                989.890495            0.000000             0.000000             0.000000             0.000000      
        1.70               5.016308              41444                  3                496.805123            0.000000             0.000000             0.000000             0.000000      
        1.80               5.016308              41389                  1               -158.256331            0.000000             0.000000             0.000000             0.000000      
        1.90               5.016308              41270                  1               1014.380698            0.000000             0.000000             0.000000             0.000000      
        2.00               5.016308              41144                  2               1019.143652           -58.235273           18.242327           -131.955813            0.000000      
        2.10               5.016308              41032                  2               1116.365894          -131.306767            0.000000             0.000000             0.000000      
        2.20               5.016308              40849                  4               1152.995094           68.804625             0.000000             0.000000             0.000000      
        2.30               5.016308              40912                  1               1160.660919            0.000000             0.000000             0.000000             0.000000      
        2.40               5.016308              40873                  1               1195.427014            0.000000             0.000000             0.000000             0.000000      
        2.50               5.016308              40961                  1               1189.860891            0.000000             0.000000             0.000000             0.000000      
        2.60               5.016308              40836                  2               1129.270676            0.000000             0.000000             0.000000             0.000000      
        2.70               5.016308              40736                  2               1142.936930          -273.397090           -19.972833            0.000000             0.000000      
        2.80               5.016308              40694                  2               1194.759332            0.000000             0.000000             0.000000             0.000000      
        2.90               5.016308              40595                  1               1201.165992           174.814573            0.000000             0.000000             0.000000      
        3.00               5.016308              40608                  1               1185.182855            0.000000             0.000000             0.000000             0.000000      
        3.10               5.016308              40591                  1                698.470289           403.134635            0.000000             0.000000             0.000000      
        3.20               5.016308              40554                  1               1005.090392            0.000000             0.000000             0.000000             0.000000      
        3.30               5.016308              40672                  1               1047.533775            0.000000             0.000000             0.000000             0.000000      
        3.40               5.016308              40707                  2               1096.683860            0.000000             0.000000             0.000000             0.000000      
        3.50               5.016308              40703                  1               1272.523183          -498.699782            0.000000             0.000000             0.000000      
        3.60               5.016308              40813                  1               1250.391426           557.952220            0.000000             0.000000             0.000000      
        3.70               5.016308              40911                  1               1210.327161          -222.339563            0.000000             0.000000             0.000000      
        3.80               5.016308              40986                  2               1244.031868          -500.033188            0.000000             0.000000             0.000000      
        3.90               5.016308              41218                  1                770.953387            0.000000             0.000000             0.000000             0.000000      
        4.00               5.016308              41417                  1               1034.210744            0.000000             0.000000             0.000000             0.000000      
