        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
       10.20               5.016308              34164             1305.523784          1242.113754           63.410029      
       10.30               5.016308              33860             1189.651795          1139.615595           50.036200      
       10.40               5.016308              33912             1096.503964          1022.936648           73.567316      
       10.50               5.016308              33605             1024.756402           981.132518           43.623884      
       10.60               5.016308              33707              923.553271           885.669053           37.884218      
       10.70               5.016308              33640              980.746925           940.939911           39.807014      
       10.80               5.016308              33663             1117.396355          1088.782219           28.614136      
       10.90               5.016308              33284             1297.426836          1257.203766           40.223070      
       11.00               5.016308              33310             1298.615627          1224.954117           73.661510      
       11.10               5.016308              33199             1301.321115          1230.956327           70.364788      
       11.20               5.016308              33248             1366.386127          1302.143475           64.242652      
       11.30               5.016308              32853             1420.956679          1338.838778           82.117901      
       11.40               5.016308              32529             1326.642994          1250.117459           76.525535      
       11.50               5.016308              32520             1284.904884          1206.279890           78.624994      
       11.60               5.016308              32332             1313.202512          1236.661154           76.541358      
       11.70               5.016308              32291             1337.115259          1247.931468           89.183791      
       11.80               5.016308              32247             1408.203365          1339.384772           68.818592      
       11.90               5.016308              32045             1321.174510          1282.795340           38.379170      
       12.00               5.016308              32172             1289.250285          1256.233142           33.017142      
       12.10               5.016308              32068             1296.838380          1219.124771           77.713609      
       12.20               5.016308              32113             1286.094792          1216.576083           69.518709      
       12.30               5.016308              32274             1175.874303          1130.860748           45.013555      
       12.40               5.016308              32383             1225.944293          1164.361727           61.582566      
       12.50               5.016308              32499             1176.497522          1108.696446           67.801077      
       12.60               5.016308              32330             1269.044348          1204.108127           64.936222      
       12.70               5.016308              31765             1165.234769          1097.768268           67.466501      
       12.80               5.016308              31687             1092.639164          1022.029881           70.609283      
       12.90               5.016308              31761             1039.618892           993.211450           46.407442      
       13.00               5.016308              31550             1000.987878           977.509970           23.477908      
       13.10               5.016308              31375              972.698245           948.123922           24.574323      
       13.20               5.016308              31664             1052.058724          1032.895341           19.163383      
       13.30               5.016308              31350             1193.583546          1171.731624           21.851921      
       13.40               5.016308              31101             1224.622376          1176.000860           48.621516      
       13.50               5.016308              31288             1249.603645          1168.185647           81.417997      
       13.60               5.016308              31005             1284.476380          1209.265515           75.210865      
       13.70               5.016308              30709             1160.670213          1098.647216           62.022997      
       13.80               5.016308              30226             1211.353448          1149.692922           61.660526      
       13.90               5.016308              30308             1207.905681          1153.875439           54.030242      
       14.00               5.016308              30520             1133.816501          1082.165658           51.650843      
       14.10               5.016308              30528             1190.817583          1129.793390           61.024193      
       14.20               5.016308              30440             1070.934968          1078.508663           -7.573696      
       14.30               5.016308              30448             1002.524511          1007.467865           -4.943354      
       14.40               5.016308              30285             1188.466900          1143.097729           45.369172      
       14.50               5.016308              30059             1349.676773          1284.261693           65.415080      
       14.60               5.016308              30181             1186.600919          1132.934599           53.666320      
       14.70               5.016308              30186             1307.290859          1238.839958           68.450901      
       14.80               5.016308              30358             1326.770192          1281.033019           45.737173      
       14.90               5.016308              30543             1104.983597          1040.162016           64.821580      
       15.00               5.016308              30368             1187.530280          1126.528869           61.001410      
       15.10               5.016308              30186             1111.068181          1005.706094           105.362086     
       15.20               5.016308              30125             1147.654192          1064.648266           83.005926      
       15.30               5.016308              29944             1182.168244          1075.811157           106.357086     
       15.40               5.016308              29982             1172.886649          1091.655948           81.230702      
       15.50               5.016308              30219             1246.508509          1174.019031           72.489478      
       15.60               5.016308              30190             1272.574380          1182.396697           90.177683      
       15.70               5.016308              29988             1310.252328          1224.099287           86.153042      
       15.80               5.016308              29993             1270.959775          1177.496268           93.463508      
       15.90               5.016308              30102             1283.212878          1163.744027           119.468851     
       16.00               5.016308              29756             1281.038642          1152.885316           128.153326     
       16.10               5.016308              29989             1281.382335          1129.621800           151.760534     
       16.20               5.016308              29639             1264.902629          1130.674778           134.227850     
       16.30               5.016308              29758             1113.690911           988.731258           124.959653     
       16.40               5.016308              29589             1203.466244          1090.765510           112.700734     
       16.50               5.016308              29666             1168.383338          1067.544671           100.838667     
       16.60               5.016308              29880             1114.899307          1037.721081           77.178226      
       16.70               5.016308              29799             1216.404695          1130.403010           86.001686      
       16.80               5.016308              29463             1150.268994          1097.164180           53.104813      
       16.90               5.016308              29412             1105.657412          1018.278593           87.378818      
       17.00               5.016308              29588             1105.422495           982.155852           123.266643     
       17.10               5.016308              29145             1107.404958           995.191024           112.213934     
       17.20               5.016308              28977             1110.284425          1006.986316           103.298109     
       17.30               5.016308              28872             1091.650084           981.058495           110.591588     
       17.40               5.016308              28822             1022.184127           928.877232           93.306895      
       17.50               5.016308              29072             1115.026292          1022.187325           92.838968      
       17.60               5.016308              29092             1223.671622          1122.423171           101.248451     
       17.70               5.016308              28878             1331.348849          1246.651718           84.697131      
       17.80               5.016308              28895             1308.372694          1242.750069           65.622625      
       17.90               5.016308              29098             1343.762585          1310.411958           33.350628      
       18.00               5.016308              28903             1334.737998          1289.749206           44.988792      
       18.10               5.016308              29077             1252.561181          1191.452991           61.108190      
       18.20               5.016308              29089             1208.832049          1139.191327           69.640722      
       18.30               5.016308              29031             1168.066955          1095.039852           73.027103      
       18.40               5.016308              29081             1246.310041          1156.604193           89.705848      
       18.50               5.016308              29073             1301.173723          1246.022152           55.151571      
       18.60               5.016308              29101             1218.317451          1194.052435           24.265017      
       18.70               5.016308              28781             1258.215988          1226.230203           31.985785      
       18.80               5.016308              29144             1227.166125          1195.449502           31.716623      
       18.90               5.016308              29028             1333.585576          1304.510093           29.075483      
       19.00               5.016308              28726             1338.393802          1268.933069           69.460734      
       19.10               5.016308              28657             1221.314336          1114.651814           106.662522     
       19.20               5.016308              28349             1171.410112          1063.785390           107.624722     
       19.30               5.016308              28074             1161.796638          1031.786874           130.009764     
       19.40               5.016308              28089             1195.182839          1098.835391           96.347448      
       19.50               5.016308              27624             1232.364125          1146.593170           85.770955      
       19.60               5.016308              27450             1390.153095          1307.068354           83.084741      
       19.70               5.016308              27668             1223.862672          1135.276990           88.585682      
       19.80               5.016308              27790             1246.997914          1147.922840           99.075073      
       19.90               5.016308              27849             1309.669938          1220.412274           89.257664      
       20.00               5.016308              27851             1286.752361          1186.556324           100.196037     
       20.10               5.016308              27549             1200.749848          1100.893266           99.856582      
       20.20               5.016308              27736             1168.147410          1065.163403           102.984007     
       20.30               5.016308              27813             1243.694891          1134.658575           109.036315     
       20.40               5.016308              27561             1426.462147          1304.994098           121.468049     
       20.50               5.016308              27531             1286.919256          1164.089965           122.829291     
       20.60               5.016308              27430             1376.684048          1235.219124           141.464924     
       20.70               5.016308              27590             1504.029354          1367.523937           136.505417     
       20.80               5.016308              27909             1481.589973          1344.076126           137.513847     
       20.90               5.016308              27510             1372.738743          1254.655029           118.083714     
       21.00               5.016308              27617             1260.196418          1157.504933           102.691485     
       21.10               5.016308              27479             1166.656894          1090.757374           75.899520      
       21.20               5.016308              27648             1071.311877          1033.387015           37.924861      
       21.30               5.016308              27748             1076.304437          1057.406311           18.898126      
       21.40               5.016308              27337             1065.695313          1060.123751            5.571562      
       21.50               5.016308              27218             1186.908471          1190.479625           -3.571154      
       21.60               5.016308              27252             1181.670754          1173.254111            8.416642      
       21.70               5.016308              27433             1024.067496           989.028965           35.038531      
       21.80               5.016308              27557             1073.578571          1021.563575           52.014996      
       21.90               5.016308              27554             1077.039424          1014.576923           62.462501      
       22.00               5.016308              27299             1162.616915          1083.412020           79.204895      
       22.10               5.016308              27523             1224.342364          1088.035213           136.307151     
       22.20               5.016308              27063             1146.536717          1020.461094           126.075623     
       22.30               5.016308              26717             1125.479974          1036.941484           88.538489      
       22.40               5.016308              26907             1176.754307          1086.202204           90.552103      
       22.50               5.016308              26717             1097.801302          1031.162710           66.638592      
       22.60               5.016308              26621             1236.864995          1150.875248           85.989747      
       22.70               5.016308              26412             1210.142845          1145.713979           64.428866      
       22.80               5.016308              26199             1150.453097          1078.677794           71.775303      
       22.90               5.016308              26001             1227.513758          1124.270560           103.243199     
       23.00               5.016308              26256             1376.123265          1293.975047           82.148218      
       23.10               5.016308              26142             1453.002208          1361.544224           91.457984      
       23.20               5.016308              26327             1336.420106          1221.445975           114.974131     
       23.30               5.016308              26419             1435.730334          1345.107351           90.622983      
       23.40               5.016308              26483             1281.790024          1196.593271           85.196753      
       23.50               5.016308              26345             1307.963662          1168.268634           139.695028     
       23.60               5.016308              26744             1367.082098          1242.628078           124.454020     
       23.70               5.016308              26772             1397.900979          1293.981374           103.919605     
       23.80               5.016308              27047             1390.019242          1276.312176           113.707066     
       23.90               5.016308              26880             1408.998060          1323.425214           85.572845      
       24.00               5.016308              26901             1535.146222          1448.322334           86.823887      
       24.10               5.016308              27038             1525.540255          1413.211648           112.328607     
       24.20               5.016308              27106             1388.220273          1266.968594           121.251679     
       24.30               5.016308              27053             1222.893034          1095.515544           127.377490     
       24.40               5.016308              27189             1126.988845          1031.448707           95.540138      
       24.50               5.016308              27411             1146.780195          1060.003595           86.776600      
       24.60               5.016308              27206             1314.386377          1236.930540           77.455837      
       24.70               5.016308              26558             1353.826522          1298.769367           55.057155      
       24.80               5.016308              26171             1230.491583          1212.021053           18.470530      
       24.90               5.016308              26242             1398.938091          1349.120143           49.817948      
       25.00               5.016308              26125             1423.014081          1352.470494           70.543587      
       25.10               5.016308              26326             1353.826767          1279.146608           74.680159      
       25.20               5.016308              26594             1302.551965          1231.221812           71.330152      
       25.30               5.016308              26361             1294.391324          1228.106100           66.285224      
       25.40               5.016308              26355             1374.522227          1295.136122           79.386105      
       25.50               5.016308              25750             1345.831138          1276.102976           69.728162      
       25.60               5.016308              25559             1384.403461          1323.783253           60.620208      
       25.70               5.016308              25622             1403.202326          1324.234963           78.967363      
       25.80               5.016308              25396             1391.078482          1301.529940           89.548543      
       25.90               5.016308              25381             1483.673116          1433.189061           50.484055      
       26.00               5.016308              24999             1476.612812          1429.256719           47.356093      
       26.10               5.016308              25319             1444.973215          1373.279245           71.693970      
       26.20               5.016308              25692             1367.585743          1295.681820           71.903923      
       26.30               5.016308              25683             1372.635335          1284.714495           87.920840      
       26.40               5.016308              25790             1209.304903          1108.657029           100.647874     
       26.50               5.016308              25831             1327.661677          1284.836804           42.824872      
       26.60               5.016308              25759             1415.791951          1315.328945           100.463006     
       26.70               5.016308              26088             1402.437048          1311.313936           91.123112      
       26.80               5.016308              26644             1365.584343          1277.133676           88.450667      
