      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      5.30          5.016308         42020             1               1              1627           15903         91.687197        5.419253       617.048203      484.391176      20.634595       10.972593          560      
      5.40          5.016308         42048             1               1              1401           15634         91.650192        5.185082       625.091792      483.256725      19.938345       10.526255          549      
      5.50          5.016308         42045             1               1              1621           16133         93.676941        5.694294       658.824534      477.348568      22.700499       11.323728          617      
      5.60          5.016308         42007             1               1              1855           15790         92.324143        6.282747       632.644619      486.139958      21.264446       12.363000          576      
      5.70          5.016308         42061             1               1              1391           15471         92.011245        5.433897       626.662838      486.330725      19.933824       11.166233          549      
      5.80          5.016308         42117             2               2              1589           15485         91.955868        5.409069       626.929807      491.894304      19.960356       11.202618          560      
      5.90          5.016308         42174             1               1              1660           15530         92.214004        5.876213       638.088646      486.079961      20.445226       12.059951          564      
      6.00          5.016308         42091             2               2              1554           15458         92.114403        5.593769       625.679580      490.312355      20.068982       11.867915          551      
      6.10          5.016308         42235             1               1              1508           15357         91.860895        6.239254       611.621750      490.811298      19.545984       12.764248          544      
      6.20          5.016308         42375             2               2              1638           15557         93.269804        5.854766       641.782224      496.842099      20.971581       12.339464          579      
      6.30          5.016308         42473             3               3              1420           15054         92.415676        5.989803       624.540898      502.166409      19.290467       12.504296          542      
      6.40          5.016308         42591             1               1              1315           15081         92.997376        5.652574       621.215530      493.138109      19.455048       11.758422          550      
      6.50          5.016308         42706             2               2              1250           14603         92.322524        6.596333       627.300281      497.082429      18.253154       12.613772          518      
      6.60          5.016308         42647             1               1              1273           14704         92.474140        6.020024       632.303811      498.337920      18.582341       12.311388          522      
      6.70          5.016308         42555             1               1              2040           15746         85.239443       19.847162       620.924576      494.840727      13.259024       25.734354          607      
      6.70          5.016308         42555             1               3               9              141          57.176297       28.792494       443.958234       0.000000       57.176297       28.792494           32      
      6.80          5.016308         42433             2               2              1955           15144         92.993929        5.737837       642.589864      500.462865      20.397405       11.215668          568      
      6.80          5.016308         42433             2               1               4              141          10.216396        4.468589       89.492394        0.000000       10.216396        4.468589           31      
      6.90          5.016308         42291             2               2              2197           15712         96.853210       13.445467       716.744027      492.832168      24.956746       18.844245          640      
      7.00          5.016308         42214             3               3              2100           15296         93.069631        7.157325       640.779347      484.460425      21.290373       12.698551          568      
      7.00          5.016308         42214             3               2               4               99           9.447574        1.750499       64.876281        0.000000        9.447574        1.750499           22      
      7.10          5.016308         42126             1               1              1901           14914         91.960508        5.447182       630.786259      489.838358      19.707093       10.798462          546      
      7.20          5.016308         42129             1               1              1669           14850         92.949543        7.036789       641.917240      491.821525      19.966018       12.770001          557      
      7.30          5.016308         42140             2               2              1954           15215         92.596239        7.600593       639.517282      490.859125      20.661083       14.154013          568      
      7.40          5.016308         42158             1               1              2364           15933         84.972689       29.349609       645.594715      493.585715      14.260987       37.110310          616      
      7.50          5.016308         42224             4               4              2306           15521         93.071303        6.893621       647.460524      511.434853      21.733656       14.994239          600      
      7.60          5.016308         42336             2               2              2728           15933         92.704919        7.327301       645.872817      498.955944      22.452877       14.988836          601      
      7.70          5.016308         42206             1               1              2074           15263         92.376129        7.242532       654.772549      513.875522      20.388931       15.266730          562      
