      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      0.00          5.016308         44193             1               1              6389           19723         94.291023        1.176911       609.725391      394.252593      32.851511        2.064825          763      
      0.10          5.016308         44458             1               1              7486           19754         84.103867        1.316428       543.119644      339.454615      31.738182        2.722658          650      
      0.20          5.016308         44895             1               1              7108           20377         85.180087        1.665064       556.699975      344.537545      32.195380        3.304464          666      
      0.30          5.016308         45316             1               1              6019           20814         86.184621        1.712881       567.467691      356.969462      30.935909        2.720399          661      
      0.40          5.016308         45489             1               1              4511           20934         86.833143        1.598914       568.654080      380.694074      28.608526        3.280786          638      
      0.50          5.016308         45494             1               1              3532           20962         88.135402        1.555423       583.077892      396.929497      27.786501        3.810157          639      
      0.60          5.016308         45469             1               1              2421           20809         89.272368        2.261674       581.208051      418.811526      26.514259        5.087421          631      
      0.70          5.016308         45247             3               3              766            19709         90.149284        3.049647       601.783731      447.624553      23.331281        5.704463          588      
      0.80          5.016308         45026             3               3              442            19111         90.419406        3.265781       619.902013      446.000067      22.324603        5.950328          576      
      0.90          5.016308         44721             1               1               51            17557         89.679407        2.314436       597.600201      466.047271      19.002650        4.413685          533      
      1.00          5.016308         44386             1               1              278            18155         90.090418        2.257176       592.803831      455.937487      20.535021        4.663743          549      
      1.10          5.016308         44202             3               3              176            17761         90.216698        2.246371       610.276710      464.175974      20.019323        4.524160          534      
      1.20          5.016308         44025             2               2              260            17942         93.196823        6.475241       650.189489      464.983435      23.191063        8.510647          570      
      1.30          5.016308         43764             1               1              234            17616         95.194849       11.373823       706.740171      470.039540      24.717577       13.532025          586      
      1.40          5.016308         43491             2               2              541            17779         92.024537        4.405159       643.317475      469.410878      22.398708        7.220376          588      
      1.50          5.016308         43341             1               1              484            17332         90.549322        2.422108       601.984526      463.526185      20.720018        4.978177          550      
      1.60          5.016308         43208             5               5              548            17239         91.021235        3.992824       637.583842      461.396397      21.281438        6.402626          555      
      1.60          5.016308         43208             5               6               0              151          13.833671        1.337749       92.634505        0.000000       13.833671        1.337749           39      
      1.60          5.016308         43208             5               2               0              118           1.743880        0.185324       11.058410        0.000000        1.743880        0.185324           26      
      1.70          5.016308         43209             2               2              116            15741         89.240698        2.687235       603.161281      469.800578      17.392027        4.984419          483      
      1.80          5.016308         43277             1               1              286            16818         91.027203        2.956290       618.170535      465.843985      20.167918        5.790150          546      
      1.90          5.016308         43436             1               1              258            16365         90.536142        3.576733       612.598241      479.880457      18.734685        6.881337          517      
      2.00          5.016308         43578             1               1              359            16569         90.751616        3.160803       612.420221      474.759757      19.232202        6.085771          526      
      2.10          5.016308         43635             1               1              354            15788         90.000438        2.721075       594.574174      493.809811      17.397496        6.225930          491      
      2.20          5.016308         43561             1               1              506            16858         91.941769        3.488371       619.325583      489.792216      20.583412        7.318839          561      
      2.30          5.016308         43392             1               1              801            16861         90.768849        3.406336       606.307903      477.836771      20.319348        7.244056          543      
      2.40          5.016308         42869             3               3              1176           17164         89.770466        4.188932       605.252501      473.494974      20.428360        8.663664          549      
      2.50          5.016308         42731             2               2              1217           17395         90.524616        3.943654       615.926683      467.023410      21.770874        8.200869          587      
      2.50          5.016308         42731             2               4               0              136          11.772142        3.481965       87.885883        0.000000       11.772142        3.481965           30      
      2.60          5.016308         42601             1               1              1191           16939         89.198370        4.284688       595.535923      480.787911      20.284352        9.202762          536      
      2.70          5.016308         42471             1               1              1645           16567         88.972309        4.313971       605.184721      477.545074      20.569870        9.381825          540      
      2.80          5.016308         42276             1               1              1560           16627         90.486599        5.302654       643.286026      488.605637      21.737717       11.200745          569      
      2.90          5.016308         42401             3               3              1801           16402         89.956393        5.594933       622.269997      494.963042      20.995595       11.629463          559      
      3.00          5.016308         42456             1               1              2389           16299         89.337541        5.502007       627.967026      504.398324      20.955899       12.202232          561      
      3.10          5.016308         42524             1               1              2278           16665         89.643297        6.108634       617.147071      512.395455      21.506954       12.621903          568      
      3.20          5.016308         42514             1               1              2148           16199         89.223700        5.673976       617.006146      498.112883      20.624947       12.450055          547      
      3.30          5.016308         42488             2               2              1910           16195         88.514817        6.191576       604.915732      497.922572      19.845897       12.248143          529      
      3.40          5.016308         42521             1               1              1816           16479         89.550372        5.485603       618.671778      486.358428      21.278861       11.440533          564      
      3.50          5.016308         42701             1               1              1705           16289         89.458733        5.572023       611.453749      486.577467      20.676770       11.491661          546      
      3.60          5.016308         42872             1               1              1421           16014         90.006401        5.310153       634.253351      489.370048      20.216365       10.953619          538      
      3.70          5.016308         43094             1               1              1540           16147         89.987776        5.332517       613.399977      488.899676      20.253160       11.084352          541      
      3.80          5.016308         43270             1               1              1279           15671         89.703120        5.004835       604.244330      488.999402      18.871519       10.187978          518      
      3.90          5.016308         43468             2               2              1339           15966         90.299131        5.181460       609.001793      487.406485      19.531606       10.756472          531      
      4.00          5.016308         43503             1               1              1309           15726         90.569614        4.293143       605.013968      493.570968      19.131092       10.070938          528      
      4.10          5.016308         43428             1               1              1608           16175         90.740459        4.572474       611.359764      492.936222      20.088656       10.451769          549      
      4.20          5.016308         43510             1               1              1454           15961         91.038075        4.742019       623.840081      490.134820      19.982305       10.119094          545      
      4.30          5.016308         43615             1               1              1210           15332         90.024607        4.525215       608.670068      494.974261      18.073702        9.633031          504      
      4.40          5.016308         43624             1               1              1472           15436         90.273783        4.905439       608.918410      490.731103      18.746971       10.141200          520      
      4.50          5.016308         43538             1               1              1350           15508         90.475828        5.361547       638.101177      486.184638      18.759459       10.068380          517      
      4.60          5.016308         43431             2               2              1373           15549         90.096122        5.037763       610.758704      482.052201      18.753279        9.837681          516      
      4.70          5.016308         43207             1               1              1549           15541         89.795851        4.494390       608.922003      492.303653      19.058910        9.806644          521      
