    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     3.800         48385.324      1455010.539      -4455.992       -4455.992      1439392.563     1442745.559      13511.920      7259245.722      23035.213       23035.213      7064646.773     7184981.460        926.4           20844     
     3.900         47896.314      1418351.488        93.786          93.786       1412978.276     1415758.668      13342.989      7262545.092      25305.355       25305.355      7165869.936     7239512.869        1080.8          21053     
     4.000         47463.191      1390189.126      -3433.680       -3433.680      1387452.543     1385387.154      13392.525      7324469.102      -5155.385       -5155.385      7255845.289     7285001.810        1175.5          21333     
     4.100         47733.734      1422219.148      -11589.555      -11589.555     1382894.231     1390967.134      13504.299      7430651.150      -78008.349      -78008.349     7275907.443     7275270.947        1067.3          21186     
     4.200         47705.791      1400468.452       5311.075        5311.075      1399665.995     1405378.299      13424.279      7406361.768      -46707.774      -46707.774     7268741.770     7290843.995        1107.9          21239     
     4.300         47614.340      1416272.988       3865.178        3865.178      1395033.166     1409518.255      13426.820      7486377.655      -50280.721      -50280.721     7251198.227     7318507.220        1111.2          21264     
     4.400         47656.255      1405977.055      -6199.393       -6199.393      1387905.144     1390741.707      13240.107      7556065.486      -79329.072      -79329.072     7288703.821     7343055.581        1208.2          21211     
     4.500         47507.647      1425423.867      11043.818       11043.818      1435145.911     1441328.707      13307.425      7541403.022      -12114.099      -12114.099     7192851.149     7355012.986        1233.0          21264     
     4.600         47691.819      1423857.795      -2970.912       -2970.912      1421153.079     1419534.525      13222.324      7511366.258       2894.730        2894.730      7221931.226     7369543.472        1192.4          21107     
     4.700         48114.781      1453387.711      11200.445       11200.445      1440002.726     1457895.664      13139.764      7583287.452      -57975.493      -57975.493     7263058.262     7365197.364        1049.2          20880     
     4.800         47238.374      1407594.294      -4071.191       -4071.191      1408932.523     1404192.217      13124.522      7570892.563      -17925.276      -17925.276     7266948.267     7400995.139        1334.4          21398     
     4.900         48080.487      1423615.256       5530.376        5530.376      1418648.765     1426662.386      13170.248      7536376.691      28872.327       28872.327      7326632.016     7460376.681        1057.1          20913     
     5.000         47837.887      1414918.444       -813.945        -813.945      1432251.125     1422770.839      13091.498      7473337.209      36565.038       36565.038      7255592.008     7401029.647        1147.3          21002     
     5.100         47342.526      1429440.664       4060.229        4060.229      1414535.833     1426048.477      13179.139      7404936.707      18210.451       18210.451      7304598.128     7372977.868        1270.1          21285     
     5.200         47555.913      1411824.921       2933.392        2933.392      1411658.010     1414674.858      13091.498      7336535.093      26723.734       26723.734      7213252.302     7301617.431        1221.7          21164     
     5.300         47298.071      1397414.443      -3883.080       -3883.080      1388613.517     1389130.899      13176.599      7388648.403      46145.790       46145.790      7183929.845     7332434.913        1287.0          21320     
     5.400         47334.905      1404386.640      -6004.853       -6004.853      1403371.293     1397874.114      13109.281      7421172.301      33575.145       33575.145      7317523.071     7402922.831        1290.4          21372     
     5.500         47154.543      1424359.044       -804.770        -804.770      1408364.039     1415556.771      13270.590      7468506.541      12232.162       12232.162      7279755.184     7386363.025        1296.1          21468     
     5.600         47229.482      1421130.436       1390.598        1390.598      1416762.730     1420337.181      13064.825      7455005.315      -5216.970       -5216.970      7273396.514     7358983.945        1353.5          21400     
     5.700         46739.202      1354449.739      -8194.640       -8194.640      1362134.130     1350097.295      13022.910      7584933.108      -24938.039      -24938.039     7249752.135     7392404.583        1501.2          21642     
     5.800         48051.273      1475118.767      -6126.663       -6126.663      1473299.224     1468082.333      12806.983      7453119.589      -62716.195      -62716.195     7188395.957     7258041.578        1168.7          20670     
     5.900         48333.248      1475686.772       5794.582        5794.582      1502055.697     1494665.816      12715.532      7410763.488      -78904.673      -78904.673     7160426.026     7206690.084        1172.1          20479     
     6.000         47999.197      1463376.627       3341.217        3341.217      1460201.006     1465130.034      12552.952      7360349.475      -16594.580      -16594.580     7129480.455     7228320.385        1276.9          20600     
     6.100         48116.051      1510141.676       -447.979        -447.979      1522886.411     1516066.064      12425.937      7395215.435      -47117.236      -47117.236     7228551.888     7264766.425        1296.1          20468     
     6.200         47924.258      1465042.452      -3080.336       -3080.336      1478237.410     1468559.595      12664.726      7423671.446      -4682.073       -4682.073      7253273.761     7333790.531        1225.1          20656     
     6.300         47435.248      1433941.934      -10510.684      -10510.684     1424201.120     1418560.842      12681.238      7297058.302      -17477.426      -17477.426     7232143.128     7247123.289        1378.3          20944     
     6.400         48070.326      1456306.929       -599.800        -599.800      1455066.625     1455086.976      12489.444      7314640.760      -37047.644      -37047.644     7143760.597     7192153.034        1281.4          20510     
     6.500         49570.380      1639650.476       5966.933        5966.933      1638088.051     1644836.197      12133.801      7226308.854       2846.575        2846.575      7076675.429     7154338.716        964.7           19300     
     6.600         49712.638      1621548.325       3922.583        3922.583      1624810.375     1627101.933      12316.703      7240284.554      -2279.010       -2279.010      7132608.032     7184167.283        857.7           19328     
     6.700         49318.889      1626233.329       5775.411        5775.411      1612040.915     1624912.534      12245.574      7250877.355       7057.712        7057.712      7189347.479     7227170.128        999.7           19524     
     6.800         49356.994      1652658.583       903.675         903.675       1652459.880     1653462.906      12278.599      7264181.473      -34574.866      -34574.866     7147955.074     7171493.408        980.5           19481     
     6.900         49570.380      1669209.713      -13037.813      -13037.813     1668504.456     1655819.272      12273.518      7224932.301       -860.149        -860.149      7105199.766     7164205.884        894.8           19413     
     7.000         49943.806      1663865.550       1986.470        1986.470      1679796.352     1673817.421      12243.034      7246532.751       9968.813        9968.813      7069914.588     7168192.482        831.7           19191     
     7.100         48112.241      1497342.616       5457.525        5457.525      1498604.630     1503431.148      12723.153      7404225.555      38136.529       38136.529      7110144.860     7295321.737        1174.3          20521     
     7.200         49293.486      1623319.127       -297.904        -297.904      1639847.830     1631285.574      12466.582      7243827.236      32594.166       32594.166      7093330.977     7201173.272        953.5           19699     
     7.300         49351.913      1655224.355       839.314         839.314       1642500.610     1649701.797      12709.181      7269261.050      41443.469       41443.469      7058001.775     7205074.881        866.7           19779     
     7.400         48061.435      1503905.737        37.653          37.653       1524995.102     1514488.072      13059.744      7303222.485      -24084.014      -24084.014     7119793.245     7187423.851        1083.1          20754     
     7.500         48998.810      1599949.846       6059.912        6059.912      1607491.602     1609780.636      12842.548      7226963.297      72137.927       72137.927      7016527.630     7193883.391        910.6           20025     
     7.600         49334.131      1606811.256       6943.696        6943.696      1615722.699     1618210.673      12870.491      7197037.436      50677.818       50677.818      7108722.131     7203557.602        826.1           19906     
     7.700         48037.302      1497289.664      -3235.348       -3235.348      1479859.350     1485339.159      13180.409      7181113.453      78068.509       78068.509      7141752.229     7239501.350        1057.1          20880     
     7.800         48828.609      1588834.244      -3992.466       -3992.466      1572202.521     1576525.917      13007.668      7058914.302      72770.233       72770.233      7013217.078     7108835.923        892.6           20200     
     7.900         48837.500      1572912.331       -758.466        -758.466      1569367.031     1570381.215      13027.991      7035598.122      47239.260       47239.260      7046476.128     7088276.385        900.5           20173     
     8.000         48423.429      1563869.780       734.683         734.683       1572608.027     1568973.587      13127.063      6929629.353      62903.234       62903.234      6927188.484     6991312.153        1014.3          20381     
     8.100         48564.417      1591135.047      -1835.554       -1835.554      1568577.170     1578020.554      12942.890      6934969.362      15399.765       15399.765      6874161.489     6919965.191        999.7           20212     
     8.200         48403.107      1571634.370      -3688.731       -3688.731      1560238.852     1562247.880      12926.378      6868854.255      -15510.496      -15510.496     6841619.439     6839726.351        1054.9          20383     
     8.300         48279.902      1547032.302       4145.647        4145.647      1553688.339     1554505.967      12980.995      6986615.357     -129382.366     -129382.366     6914400.386     6821125.506        1062.8          20541     
     8.400         48202.422      1546256.234       1382.093        1382.093      1554451.059     1551735.739      13053.394      7012020.256     -135720.876     -135720.876     6879681.831     6810130.167        1062.8          20547     
     8.500         48095.729      1533407.493       797.460         797.460       1536230.332     1535616.373      12974.644      6923629.623      -99713.131      -99713.131     6844367.965     6784285.663        1119.1          20602     
     8.600         48198.612      1542990.056       2758.671        2758.671      1527733.048     1538120.223      12781.580      6831772.378      -66194.957      -66194.957     6755853.049     6727617.756        1140.5          20453     
     8.700         48513.610      1572927.071       3758.086        3758.086      1549942.348     1565192.795      12726.964      6878429.493      -54848.639      -54848.639     6859142.732     6813937.473        1106.7          20190     
     8.800         48546.634      1540309.404       2961.373        2961.373      1537242.779     1541737.464      12795.552      6983750.777       -450.823        -450.823      6922824.537     6952836.834        1022.2          20188     
     8.900         48577.118      1541261.949      -4692.587       -4692.587      1533041.857     1532459.316      12749.826      7161520.705      -6009.503       -6009.503      7031434.529     7090468.115        1039.1          20192     
     9.000         48344.680      1529221.203       -614.641        -614.641      1529655.078     1528823.499      12733.314      7235788.455      -4761.770       -4761.770      7087989.031     7157126.973        1125.9          20318     
     9.100         48253.228      1555002.784      -11427.135      -11427.135     1549589.411     1540868.963      12643.133      7330002.501      -13984.151      -13984.151     7103505.461     7202769.830        1168.7          20419     
     9.200         48395.486      1545643.997       5513.119        5513.119      1541093.696     1548881.966      12754.907      7303258.889      -44095.175      -44095.175     7141788.990     7178428.765        1097.7          20336     
     9.300         48634.275      1510232.300       6421.674        6421.674      1510535.369     1516805.508      12820.955      7323184.399      -1287.466       -1287.466      7207190.573     7263900.020        1009.8          20304     
     9.400         48738.428      1516991.158       1025.395        1025.395      1526984.798     1523013.373      12813.334      7293839.805      -24432.888      -24432.888     7240229.341     7242601.685        979.4           20243     
     9.500         48438.671      1536834.955       868.086         868.086       1541497.995     1540034.561      12889.544      7269188.358      47435.103       47435.103      7227699.813     7295879.188        1040.2          20432     
     9.600         50046.689      1761369.857       2891.164        2891.164      1766549.663     1766850.924      12531.360      7156241.386      18121.598       18121.598      7129947.025     7161215.803        699.9           19203     
     9.700         49973.020      1759441.038      -1491.353       -1491.353      1747214.004     1751836.168      12433.558      7094134.642      29793.446       29793.446      7098025.654     7125873.594        748.3           19201     
     9.800         49635.158      1741591.825       7642.699        7642.699      1738961.202     1747919.213      12340.836      7054929.769      -17521.951      -17521.951     6969929.342     6994907.605        881.3           19327     
     9.900         49579.271      1720618.233      12802.705       12802.705      1722772.881     1734498.262      12243.034      6966499.528      -61078.140      -61078.140     6921892.033     6883117.640        954.6           19326     
     10.000        48875.605      1581094.447      -4380.748       -4380.748      1568753.662     1570543.307      12673.617      7067112.914      -53940.963      -53940.963     7003240.059     6981235.523        955.7           19944     
     10.100        49718.988      1665724.148      -2574.593       -2574.593      1657260.180     1658917.570      12372.590      6994399.923      -20050.790      -20050.790     6875006.079     6914652.211        852.0           19293     
     10.200        48678.731      1551535.702       9856.711        9856.711      1552461.437     1561855.281      12632.972      7021967.159      -5556.312       -5556.312      6969998.374     6990426.454        1071.8          20048     
     10.300        49330.321      1661603.426      -9027.704       -9027.704      1669135.545     1656341.782      12441.178      7022687.575      -20301.578      -20301.578     6921980.345     6952032.382        921.9           19564     
     10.400        49344.292      1649248.896       1959.726        1959.726      1644080.370     1648624.359      12410.695      6969757.336       3841.332        3841.332      6962590.859     6970015.430        955.7           19542     
     10.500        49252.841      1644488.356      -7669.724       -7669.724      1655599.294     1642374.100      12644.403      7019954.602      -20652.846      -20652.846     7019138.711     6998893.811        915.1           19775     
     10.600        49439.554      1681906.919       -555.710        -555.710      1656058.142     1668426.820      12588.517      7081000.624      -40844.892      -40844.892     7053778.716     7026544.778        896.0           19594     
     10.700        49534.816      1642385.539      10818.068       10818.068      1631307.672     1647664.674      12634.242      7098758.516       5967.466        5967.466      7137538.859     7124116.154        823.8           19581     
     10.800        49346.833      1625585.540      -3498.211       -3498.211      1643036.763     1630812.940      12696.480      7176993.768      -2214.525       -2214.525      7169842.172     7171203.446        846.4           19790     
     10.900        49503.062      1608368.600      -11969.327      -11969.327     1606855.860     1595642.903      12630.432      7151489.561      -20669.756      -20669.756     7235845.456     7172997.753        859.9           19639     
