        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align               num_dens              press        
        0.30               5.016308              33990                  1                    1                48.711111            51.755556            -0.015233             0.038681            -0.178842      
        0.30               5.016308              33990                  1                    1                51.755556            54.800000             0.054396             0.032525            -0.254845      
        0.30               5.016308              33990                  1                    1                54.800000            57.844444             0.202049             0.021055             0.212705      
        0.30               5.016308              33990                  1                    1                57.844444            60.888889             0.291158             0.025128             0.365815      
        0.30               5.016308              33990                  1                    1                60.888889            63.933333             0.210459             0.020162             0.212164      
        0.30               5.016308              33990                  1                    1                63.933333            66.977778             0.063876             0.015552             0.049669      
        0.30               5.016308              33990                  1                    1                66.977778            70.022222             0.049654             0.010635             0.026403      
        0.30               5.016308              33990                  1                    1                70.022222            73.066667             0.096749             0.024187             0.117001      
        0.30               5.016308              33990                  1                    1                73.066667            76.111111             0.272102             0.025159             0.342295      
        0.30               5.016308              33990                  1                    1                76.111111            79.155556             0.397369             0.007368             0.146390      
        0.30               5.016308              33990                  1                    1                79.155556            82.200000             0.095320             0.010991             0.052383      
        0.30               5.016308              33990                  1                    1                82.200000            85.244444             0.390870             0.013334             0.260583      
        0.30               5.016308              33990                  1                    1                85.244444            88.288889             0.068853             0.019168             0.065990      
        0.30               5.016308              33990                  1                    1                88.288889            91.333333            -0.011823             0.014102            -0.008336      
        0.30               5.016308              33990                  1                    1                91.333333            94.377778             0.050463             0.015680             0.039563      
        0.30               5.016308              33990                  1                    1                94.377778            97.422222             0.240934             0.022899             0.275861      
        0.30               5.016308              33990                  1                    1                97.422222            100.466667            0.110342             0.010691             0.058981      
        0.30               5.016308              33990                  1                    1                100.466667           103.511111            0.167331             0.013142             0.483792      
        0.30               5.016308              33990                  1                    1                103.511111           106.555556            0.122067             0.037577             0.505636      
        0.30               5.016308              33990                  1                    1                106.555556           109.600000           -0.018075             0.066888            -1.559668      
        0.30               5.016308              33990                  1                    1                109.600000           112.644444           -0.098217             0.107477            -3.500228      
        0.30               5.016308              33990                  1                    1                112.644444           115.688889           -0.104625             0.148277            -3.907449      
        0.30               5.016308              33990                  1                    1                115.688889           118.733333            0.011008             0.124840            -2.070421      
        0.30               5.016308              33990                  1                    1                118.733333           121.777778            0.218945             0.051212             0.560630      
        0.30               5.016308              33990                  1                    1                121.777778           124.822222            0.131932             0.011181             0.073754      
        0.30               5.016308              33990                  1                    1                124.822222           127.866667            0.082041             0.017365             0.071231      
        0.30               5.016308              33990                  1                    1                127.866667           130.911111            0.238490             0.019228             0.229288      
        0.30               5.016308              33990                  1                    1                130.911111           133.955556            0.123153             0.010146             0.062477      
        0.30               5.016308              33990                  1                    1                133.955556           137.000000           -0.145145             0.003908            -0.028360      
        0.30               5.016308              33990                  1                    2                 0.000000             3.750000             0.045225             2.728247            24.677233      
        0.30               5.016308              33990                  1                    2                 3.750000             7.500000             0.044789             0.858488             7.690192      
        0.30               5.016308              33990                  1                    2                 7.500000            11.250000             0.102986             0.676605            13.936188      
        0.30               5.016308              33990                  1                    2                11.250000            15.000000            -0.144350             0.246322            -7.111324      
        0.40               5.016308              34153                  1                    1                 0.000000             3.048780             0.177081             4.187691            31.704601      
        0.40               5.016308              34153                  1                    1                 3.048780             6.097561             0.290196             7.288953            104.444746     
        0.40               5.016308              34153                  1                    1                 6.097561             9.146341             0.244698             7.641628            85.314201      
        0.40               5.016308              34153                  1                    1                 9.146341            12.195122             0.237517             4.012434            41.774584      
        0.40               5.016308              34153                  1                    1                12.195122            15.243902             0.163932             7.934020            14.089114      
        0.40               5.016308              34153                  1                    1                15.243902            18.292683             0.052111             5.565032            -61.606387     
        0.40               5.016308              34153                  1                    1                18.292683            21.341463            -0.127764             4.582794           -166.554641     
        0.40               5.016308              34153                  1                    1                21.341463            24.390244            -0.121697             4.042724           -110.192870     
        0.40               5.016308              34153                  1                    1                24.390244            27.439024            -0.109229             2.160273            -50.154938     
        0.40               5.016308              34153                  1                    1                27.439024            30.487805            -0.042188             3.246352            -28.299900     
        0.40               5.016308              34153                  1                    1                30.487805            33.536585            -0.045293             1.820995            -16.495499     
        0.40               5.016308              34153                  1                    1                33.536585            36.585366             0.006132             0.810763             0.994321      
        0.40               5.016308              34153                  1                    1                36.585366            39.634146             0.014137             1.042785             2.948456      
        0.40               5.016308              34153                  1                    1                39.634146            42.682927             0.032387             0.385504             2.497059      
        0.40               5.016308              34153                  1                    1                42.682927            45.731707             0.053105             0.373193             3.963715      
        0.40               5.016308              34153                  1                    1                45.731707            48.780488            -0.063371             0.281591            -3.568917      
        0.40               5.016308              34153                  1                    1                48.780488            51.829268             0.002423             0.131907            -0.041893      
        0.40               5.016308              34153                  1                    1                51.829268            54.878049             0.023155             0.140852            -0.109985      
        0.40               5.016308              34153                  1                    1                54.878049            57.926829            -0.152588             0.111504            -4.327705      
        0.40               5.016308              34153                  1                    1                57.926829            60.975610            -0.203635             0.104158            -3.776151      
        0.40               5.016308              34153                  1                    1                60.975610            64.024390             0.033261             0.064069             0.039502      
        0.40               5.016308              34153                  1                    1                64.024390            67.073171             0.193386             0.109617             1.851322      
        0.40               5.016308              34153                  1                    1                67.073171            70.121951             0.095955             0.135791            -0.133694      
        0.40               5.016308              34153                  1                    1                70.121951            73.170732            -0.044464             0.138865            -2.235989      
        0.40               5.016308              34153                  1                    1                73.170732            76.219512            -0.009029             0.115100            -0.857834      
        0.40               5.016308              34153                  1                    1                76.219512            79.268293             0.005824             0.060745            -0.610734      
        0.40               5.016308              34153                  1                    1                79.268293            82.317073             0.238957             0.036025             0.430421      
        0.40               5.016308              34153                  1                    1                82.317073            85.365854             0.045601             0.030126             0.068689      
        0.40               5.016308              34153                  1                    1                85.365854            88.414634             0.014926             0.014065             0.010497      
        0.40               5.016308              34153                  1                    1                88.414634            91.463415            -0.015669             0.027235            -0.021338      
        0.40               5.016308              34153                  1                    1                91.463415            94.512195             0.260667             0.022625             0.294875      
        0.40               5.016308              34153                  1                    1                94.512195            97.560976             0.214563             0.026977             0.289417      
        0.40               5.016308              34153                  1                    1                97.560976            100.609756            0.027529             0.031521             0.043386      
        0.40               5.016308              34153                  1                    1                100.609756           103.658537            0.223955             0.045299             0.507251      
        0.40               5.016308              34153                  1                    1                103.658537           106.707317            0.078913             0.051608             0.203626      
        0.40               5.016308              34153                  1                    1                106.707317           109.756098            0.042112             0.050229             0.105763      
        0.40               5.016308              34153                  1                    1                109.756098           112.804878            0.059736             0.049717             0.148495      
        0.40               5.016308              34153                  1                    1                112.804878           115.853659           -0.004872             0.062023            -0.015109      
        0.40               5.016308              34153                  1                    1                115.853659           118.902439           -0.070118             0.031379            -0.110010      
        0.40               5.016308              34153                  1                    1                118.902439           121.951220            0.003475             0.009961             0.001731      
        0.40               5.016308              34153                  1                    1                121.951220           125.000000            0.122262             0.002882             0.017617      
        0.40               5.016308              34153                  1                    3                 0.000000             3.400000            -0.031029             1.027453            -1.594034      
        0.40               5.016308              34153                  1                    3                 3.400000             6.800000             0.227862             0.192125             2.188901      
        0.40               5.016308              34153                  1                    3                 6.800000            10.200000            -0.179009             0.180431            -1.614938      
        0.40               5.016308              34153                  1                    3                10.200000            13.600000            -0.231948             0.136039            -1.577699      
        0.40               5.016308              34153                  1                    3                13.600000            17.000000            -0.238214             0.047335            -0.563796      
        0.50               5.016308              34462                  2                    2                 0.000000             3.103448             0.052263             2.281412            -1.100519      
        0.50               5.016308              34462                  2                    2                 3.103448             6.206897             0.118353             2.964449            12.052218      
        0.50               5.016308              34462                  2                    2                 6.206897             9.310345             0.158585             3.583001            31.951581      
        0.50               5.016308              34462                  2                    2                 9.310345            12.413793             0.152161             3.794401            32.942930      
        0.50               5.016308              34462                  2                    2                12.413793            15.517241             0.105642             3.655967            17.656090      
        0.50               5.016308              34462                  2                    2                15.517241            18.620690            -0.025554             3.108721            -44.802291     
