        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align               num_dens              press        
        0.00               5.016308              28090                  1                    1                 0.000000             3.181818             0.047392             2.593031            12.289020      
        0.00               5.016308              28090                  1                    1                 3.181818             6.363636             0.143736             2.475590            35.583248      
        0.00               5.016308              28090                  1                    1                 6.363636             9.545455             0.349494             2.341247            81.825211      
        0.00               5.016308              28090                  1                    1                 9.545455            12.727273             0.428219             1.127649            48.288017      
        0.00               5.016308              28090                  1                    1                12.727273            15.909091             0.312583             0.129712             4.054580      
        0.00               5.016308              28090                  1                    1                15.909091            19.090909            -0.015060             0.199892            -0.301035      
        0.00               5.016308              28090                  1                    1                19.090909            22.272727            -0.012662             0.244421            -0.309495      
        0.00               5.016308              28090                  1                    1                22.272727            25.454545             0.067011             0.231192             1.549231      
        0.00               5.016308              28090                  1                    1                25.454545            28.636364             0.017797             0.132071             0.235050      
        0.00               5.016308              28090                  1                    1                28.636364            31.818182             0.029549             0.053380             0.157732      
        0.00               5.016308              28090                  1                    1                31.818182            35.000000             0.429881             0.009835             0.422788      
        0.10               5.016308              28567                  1                    1                 0.000000             3.181818             0.066065             2.611711            17.254281      
        0.10               5.016308              28567                  1                    1                 3.181818             6.363636             0.144521             2.704218            39.081675      
        0.10               5.016308              28567                  1                    1                 6.363636             9.545455             0.370560             2.153915            79.815525      
        0.10               5.016308              28567                  1                    1                 9.545455            12.727273             0.444628             0.647061            28.770124      
        0.10               5.016308              28567                  1                    1                12.727273            15.909091             0.527697             0.121640             6.418908      
        0.10               5.016308              28567                  1                    1                15.909091            19.090909             0.220529             0.177300             3.909979      
        0.10               5.016308              28567                  1                    1                19.090909            22.272727             0.141612             0.225126             3.188058      
        0.10               5.016308              28567                  1                    1                22.272727            25.454545             0.001229             0.206271             0.025345      
        0.10               5.016308              28567                  1                    1                25.454545            28.636364            -0.026502             0.086529            -0.229318      
        0.10               5.016308              28567                  1                    1                28.636364            31.818182             0.101130             0.033846             0.342289      
        0.10               5.016308              28567                  1                    1                31.818182            35.000000            -0.035804             0.010887            -0.038981      
        0.20               5.016308              29079                  1                    1                 0.000000             3.181818             0.033163             2.541324             8.427785      
        0.20               5.016308              29079                  1                    1                 3.181818             6.363636             0.156473             2.632480            41.191136      
        0.20               5.016308              29079                  1                    1                 6.363636             9.545455             0.315094             2.175128            68.537075      
        0.20               5.016308              29079                  1                    1                 9.545455            12.727273             0.388735             0.660895            25.691308      
        0.20               5.016308              29079                  1                    1                12.727273            15.909091             0.372627             0.111064             4.138554      
        0.20               5.016308              29079                  1                    1                15.909091            19.090909             0.213457             0.145659             3.109190      
        0.20               5.016308              29079                  1                    1                19.090909            22.272727             0.154847             0.194815             3.016649      
        0.20               5.016308              29079                  1                    1                22.272727            25.454545             0.169854             0.184715             3.137450      
        0.20               5.016308              29079                  1                    1                25.454545            28.636364             0.050855             0.112836             0.573825      
        0.20               5.016308              29079                  1                    1                28.636364            31.818182             0.021540             0.050918             0.109679      
        0.20               5.016308              29079                  1                    1                31.818182            35.000000            -0.125939             0.006172            -0.077725      
        0.20               5.016308              29079                  1                    2                 0.000000             3.600000             0.022560             0.470552             1.061580      
        0.20               5.016308              29079                  1                    2                 3.600000             7.200000             0.141180             0.256665             3.623591      
        0.20               5.016308              29079                  1                    2                 7.200000            10.800000            -0.066788             0.201054            -1.342791      
        0.20               5.016308              29079                  1                    2                10.800000            14.400000            -0.066172             0.119166            -0.788542      
        0.20               5.016308              29079                  1                    2                14.400000            18.000000             0.123064             0.045154             0.555684      
        0.30               5.016308              29520                  1                    1                 0.000000             3.272727             0.072812             2.912190            21.204338      
        0.30               5.016308              29520                  1                    1                 3.272727             6.545455             0.156635             1.943984            30.449560      
        0.30               5.016308              29520                  1                    1                 6.545455             9.818182             0.285453             2.022888            57.743966      
        0.30               5.016308              29520                  1                    1                 9.818182            13.090909             0.341125             0.726877            24.795618      
        0.30               5.016308              29520                  1                    1                13.090909            16.363636             0.251731             0.093786             2.360884      
        0.30               5.016308              29520                  1                    1                16.363636            19.636364             0.209522             0.137054             2.871576      
        0.30               5.016308              29520                  1                    1                19.636364            22.909091             0.174265             0.162321             2.828676      
        0.30               5.016308              29520                  1                    1                22.909091            26.181818             0.239357             0.147674             3.534676      
        0.30               5.016308              29520                  1                    1                26.181818            29.454545             0.118657             0.083134             0.986443      
        0.30               5.016308              29520                  1                    1                29.454545            32.727273             0.163552             0.035253             0.576569      
        0.30               5.016308              29520                  1                    1                32.727273            36.000000            -0.076388             0.006871            -0.052484      
        0.40               5.016308              30023                  1                    1                 0.000000             3.166667             0.036347             2.519304             9.156897      
        0.40               5.016308              30023                  1                    1                 3.166667             6.333333             0.161211             2.398606            38.668278      
        0.40               5.016308              30023                  1                    1                 6.333333             9.500000             0.273350             1.830941            50.048840      
        0.40               5.016308              30023                  1                    1                 9.500000            12.666667             0.365609             0.652964            23.872907      
        0.40               5.016308              30023                  1                    1                12.666667            15.833333             0.270395             0.166003             4.488627      
        0.40               5.016308              30023                  1                    1                15.833333            19.000000             0.035067             0.136496             0.478654      
        0.40               5.016308              30023                  1                    1                19.000000            22.166667             0.169686             0.136422             2.314903      
        0.40               5.016308              30023                  1                    1                22.166667            25.333333             0.167412             0.094288             1.578497      
        0.40               5.016308              30023                  1                    1                25.333333            28.500000             0.177130             0.105233             1.864000      
        0.40               5.016308              30023                  1                    1                28.500000            31.666667             0.128968             0.080584             1.039276      
        0.40               5.016308              30023                  1                    1                31.666667            34.833333             0.107843             0.029978             0.323287      
        0.40               5.016308              30023                  1                    1                34.833333            38.000000             0.015751             0.010313             0.016244      
        0.50               5.016308              30337                  1                    1                 0.000000             3.153846             0.032981             2.508818             8.274438      
        0.50               5.016308              30337                  1                    1                 3.153846             6.307692             0.126723             2.458874            31.159506      
        0.50               5.016308              30337                  1                    1                 6.307692             9.461538             0.233214             1.918649            44.745529      
        0.50               5.016308              30337                  1                    1                 9.461538            12.615385             0.305370             1.298240            39.644383      
        0.50               5.016308              30337                  1                    1                12.615385            15.769231             0.336391             0.154142             5.185192      
        0.50               5.016308              30337                  1                    1                15.769231            18.923077             0.146587             0.088806             1.301782      
        0.50               5.016308              30337                  1                    1                18.923077            22.076923             0.140393             0.107711             1.512189      
        0.50               5.016308              30337                  1                    1                22.076923            25.230769             0.152124             0.139737             2.125743      
        0.50               5.016308              30337                  1                    1                25.230769            28.384615             0.072100             0.117885             0.849948      
        0.50               5.016308              30337                  1                    1                28.384615            31.538462             0.177190             0.081294             1.440444      
        0.50               5.016308              30337                  1                    1                31.538462            34.692308             0.195109             0.042804             0.835141      
        0.50               5.016308              30337                  1                    1                34.692308            37.846154             0.048218             0.016533             0.079717      
        0.50               5.016308              30337                  1                    1                37.846154            41.000000            -0.270145             0.002524            -0.068175      
        0.60               5.016308              30530                  2                    2                 0.000000             3.307692             0.036436             2.781976            10.136430      
        0.60               5.016308              30530                  2                    2                 3.307692             6.615385             0.089522             1.825869            16.345487      
        0.60               5.016308              30530                  2                    2                 6.615385             9.923077             0.241938             2.037696            49.299651      
        0.60               5.016308              30530                  2                    2                 9.923077            13.230769             0.274431             1.361783            37.371569      
        0.60               5.016308              30530                  2                    2                13.230769            16.538462             0.273735             0.175555             4.805543      
