      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      7.20          5.016308         43482           24231            2866            570              28             5795            1504            714            16366            527              0               0               0       
      7.30          5.016308         43649           24084            2481            559              28             5590            1481            861            16956            561              0               0               0       
      7.40          5.016308         43644           23880            2253            551              33             5542            1481            1060           17232            569              0               0               0       
      7.50          5.016308         43472           24038            2563            562              34             5703            1485            901            16761            554              0               0               0       
      7.60          5.016308         43419           24242            2632            568              32             5897            1508            699            16498            525              0               0               0       
      7.70          5.016308         43349           24183            2506            565              28             5738            1472            762            16783            564              0               0               0       
      7.80          5.016308         43387           23925            2230            553              26             5731            1478            1022           17066            570              0               0               0       
      7.90          5.016308         43382           24185            2424            562              25             5874            1507            763            16729            532              0               0               0       
      8.00          5.016308         43445           24390            2985            578              26             5927            1513            557            16115            510              0               0               0       
      8.10          5.016308         43243           23974            2517            560              28             5929            1494            971            16581            547              0               0               0       
      8.20          5.016308         43170           24040            2508            561              29             6099            1507            904            16420            533              0               0               0       
      8.30          5.016308         43202           24337            3335            587              32             6152            1516            604            15540            498              0               0               0       
      8.40          5.016308         43301           24302            2868            577              31             5990            1498            640            16169            526              0               0               0       
      8.50          5.016308         43158           24214            2641            570              30             6016            1489            729            16370            542              0               0               0       
      8.60          5.016308         43185           24352            2969            579              33             6144            1513            588            15914            509              0               0               0       
      8.70          5.016308         43224           24013            2582            563              38             6026            1500            922            16419            538              0               0               0       
      8.80          5.016308         43190           23881            2418            554              42             6017            1507            1050           16592            540              0               0               0       
      8.90          5.016308         43412           23974            2597            558              40             5867            1510            959            16563            533              0               0               0       
      9.00          5.016308         43436           24066            2937            567              42             5870            1514            865            16220            520              0               0               0       
      9.10          5.016308         43528           24033            2920            565              42             5730            1495            898            16377            541              0               0               0       
      9.20          5.016308         43496           23853            2825            560              43             5725            1496            1077           16477            545              0               0               0       
      9.30          5.016308         43544           23730            2808            558              46             5719            1503            1197           16500            540              0               0               0       
      9.40          5.016308         43631           23978            3120            570              48             5773            1517            947            16134            514              0               0               0       
      9.50          5.016308         43476           23919            3378            575              56             5796            1503            998            15853            523              0               0               0       
      9.60          5.016308         43362           23833            3055            567              72             5841            1503            1068           16131            531              0               0               0       
      9.70          5.016308         43374           23807            2846            562              82             5807            1496            1084           16374            543              0               0               0       
      9.80          5.016308         43385           23845            2664            558              80             5828            1504            1048           16535            539              0               0               0       
      9.90          5.016308         43359           23731            2821            558              78             5857            1511            1164           16349            532              0               0               0       
     10.00          5.016308         43406           23750            3017            563              84             5677            1482            1139           16333            556              0               0               0       
     10.10          5.016308         43512           23985            3356            576              84             5709            1500            904            15962            525              0               0               0       
     10.20          5.016308         43707           23762            3008            563              77             5574            1502            1134           16445            536              0               0               0       
     10.30          5.016308         43659           23791            3058            563              84             5543            1488            1098           16426            550              0               0               0       
     10.40          5.016308         43681           23603            2992            558              84             5494            1493            1286           16541            550              0               0               0       
     10.50          5.016308         43790           23899            3645            580              91             5481            1495            983            15901            526              0               0               0       
     10.60          5.016308         43838           24112            3390            581              90             5438            1500            771            16199            520              0               0               0       
     10.70          5.016308         43714           23963            3286            577             101             5401            1476            909            16340            548              0               0               0       
     10.80          5.016308         43484           23872            2985            569             104             5727            1511            997            16315            521              0               0               0       
     10.90          5.016308         43446           23947            3271            576             107             5783            1509            919            15973            516              0               0               0       
     11.00          5.016308         43555           23921            3362            579             115             5544            1475            937            16121            547              0               0               0       
     11.10          5.016308         43501           23689            3160            570             118             5667            1487            1166           16200            544              0               0               0       
     11.20          5.016308         43375           23699            3284            573             124             5760            1486            1150           15983            542              0               0               0       
     11.30          5.016308         43345           23882            3558            583             123             5924            1515            968            15545            503              0               0               0       
     11.40          5.016308         43243           23870            3223            576             134             5777            1475            969            16027            550              0               0               0       
     11.50          5.016308         43286           23843            3018            571             140             5713            1483            990            16296            547              0               0               0       
     11.60          5.016308         43422           23984            3283            578             152             5625            1471            837            16119            552              0               0               0       
     11.70          5.016308         43510           23901            3248            575             151             5523            1478            921            16256            548              0               0               0       
     11.80          5.016308         43635           23864            3383            576             154             5565            1503            955            16079            522              0               0               0       
     11.90          5.016308         43579           23885            3229            574             155             5602            1507            933            16196            520              0               0               0       
     12.00          5.016308         43408           23775            3380            576             153             5644            1497            1045           16003            528              0               0               0       
     12.10          5.016308         43511           23849            3454            581             142             5562            1481            982            16011            539              0               0               0       
     12.20          5.016308         43507           23860            3574            586             137             5653            1490            976            15800            525              0               0               0       
     12.30          5.016308         43462           23601            3322            575             145             5643            1484            1227           16062            542              0               0               0       
     12.40          5.016308         43393           23523            3616            578             149             5818            1511            1301           15593            512              0               0               0       
     12.50          5.016308         43382           23572            3693            579             152             5832            1505            1249           15502            517              0               0               0       
     12.60          5.016308         43341           23720            3824            585             154             5831            1503            1099           15372            513              0               0               0       
     12.70          5.016308         43241           23431            3329            568             163             5845            1507            1379           15853            526              0               0               0       
     12.80          5.016308         43321           23730            3644            582             172             5821            1504            1071           15562            515              0               0               0       
     12.90          5.016308         43344           23786            3362            578             167             5755            1494            1020           15910            529              0               0               0       
     13.00          5.016308         43426           23633            3131            569             175             5584            1469            1165           16312            563              0               0               0       
     13.10          5.016308         43559           23545            3301            570             182             5574            1492            1246           16152            539              0               0               0       
     13.20          5.016308         43552           23493            3056            562             178             5431            1472            1302           16540            567              0               0               0       
     13.30          5.016308         43538           23432            3137            561             186             5561            1494            1355           16329            546              0               0               0       
     13.40          5.016308         43551           23611            2996            561             192             5529            1493            1170           16502            547              0               0               0       
     13.50          5.016308         43588           23613            2981            561             191             5599            1502            1169           16447            538              0               0               0       
     13.60          5.016308         43405           23266            2502            542             192             5641            1500            1515           16884            559              0               0               0       
     13.70          5.016308         43419           23693            3074            563             190             5577            1475            1090           16376            563              0               0               0       
     13.80          5.016308         43430           23357            2809            551             189             5575            1483            1427           16643            567              0               0               0       
     13.90          5.016308         43282           23526            3053            559             189             5887            1514            1258           16087            528              0               0               0       
     14.00          5.016308         43337           23771            3688            579             178             5759            1497            1024           15580            525              0               0               0       
     14.10          5.016308         43300           23812            3415            575             179             5824            1507            982            15788            519              0               0               0       
     14.20          5.016308         43441           23741            3213            571             170             5602            1472            1062           16212            558              0               0               0       
     14.30          5.016308         43491           23791            2830            564             168             5518            1473            1014           16679            564              0               0               0       
     14.40          5.016308         43455           23787            3036            569             181             5689            1506            1005           16302            526              0               0               0       
     14.50          5.016308         43387           23689            2753            560             189             5745            1501            1095           16529            540              0               0               0       
     14.60          5.016308         43305           23713            2595            556             205             5769            1498            1055           16663            547              0               0               0       
     14.70          5.016308         43273           23687            2921            562             223             5795            1498            1063           16311            541              0               0               0       
     14.80          5.016308         43315           23638            2911            561             220             5662            1484            1115           16454            556              0               0               0       
     14.90          5.016308         43273           23680            3367            572             221             5781            1506            1072           15879            523              0               0               0       
     15.00          5.016308         43314           23676            3154            567             222             5848            1510            1075           16025            524              0               0               0       
     15.10          5.016308         43391           23668            3345            572             223             5645            1497            1082           16037            532              0               0               0       
     15.20          5.016308         43258           23583            2838            559             222             5816            1507            1168           16373            535              0               0               0       
     15.30          5.016308         43144           23346            2805            551             231             5926            1508            1396           16296            542              0               0               0       
     15.40          5.016308         43093           23457            3361            566             236             5989            1509            1280           15677            526              0               0               0       
     15.50          5.016308         43180           23411            2917            558             222             5851            1490            1340           16259            553              0               0               0       
     15.60          5.016308         43267           23576            3260            569             246             5828            1507            1151           15939            525              0               0               0       
     15.70          5.016308         43176           23549            3100            565             251             5946            1516            1173           15981            520              0               0               0       
     15.80          5.016308         43037           23171            2319            538             251             5924            1490            1551           16784            573              0               0               0       
     15.90          5.016308         42973           23380            3303            563             260             5916            1498            1333           15808            540              0               0               0       
     16.00          5.016308         43116           23233            2935            552             253             5864            1490            1487           16228            559              0               0               0       
     16.10          5.016308         43279           23519            3481            569             257             5765            1505            1197           15781            527              0               0               0       
     16.20          5.016308         43422           23414            3153            561             249             5532            1477            1310           16342            563              0               0               0       
     16.30          5.016308         43516           23432            3025            560             257             5463            1485            1284           16539            556              0               0               0       
     16.40          5.016308         43592           23573            3170            566             250             5514            1504            1150           16343            531              0               0               0       
     16.50          5.016308         43555           23360            3014            557             261             5507            1495            1352           16506            549              0               0               0       
     16.60          5.016308         43465           23323            3093            557             263             5609            1500            1387           16325            544              0               0               0       
     16.70          5.016308         43209           22990            2720            539             262             5851            1512            1721           16456            550              0               0               0       
     16.80          5.016308         43079           23100            2666            538             285             5942            1527            1588           16419            536              0               0               0       
     16.90          5.016308         43211           23203            3031            548             294             5753            1496            1476           16243            557              0               0               0       
     17.00          5.016308         43491           23316            3116            553             300             5545            1498            1357           16366            550              0               0               0       
     17.10          5.016308         43492           23205            2708            544             311             5383            1472            1457           16936            585              0               0               0       
     17.20          5.016308         43523           23454            3368            566             309             5412            1485            1210           16247            550              0               0               0       
     17.30          5.016308         43469           23431            3661            574             322             5464            1492            1220           15902            535              0               0               0       
     17.40          5.016308         43279           23076            3390            562             328             5692            1511            1569           15945            528              0               0               0       
     17.50          5.016308         43344           23320            3532            570             319             5513            1458            1329           15865            545              5              117              28      
     17.60          5.016308         43300           23286            3439            568             327             5683            1506            1360           15905            527              0               0               0       
     17.70          5.016308         43262           22968            3193            555             335             5593            1480            1670           16241            566              0               0               0       
     17.80          5.016308         43198           23120            3618            566             384             5659            1495            1469           15750            540              0               0               0       
     17.90          5.016308         43189           23225            3890            575             421             5527            1481            1327           15610            545              0               0               0       
     18.00          5.016308         43117           22894            3268            554             430             5583            1479            1649           16176            568              0               0               0       
     18.10          5.016308         43045           22577            3352            548             452             5712            1496            1944           15963            557              0               0               0       
     18.20          5.016308         43140           22869            3644            560             458             5642            1503            1646           15741            538              0               0               0       
     18.30          5.016308         43310           22776            3677            559             451             5439            1482            1746           15911            560              0               0               0       
     18.40          5.016308         43475           22868            4044            570             456             5313            1486            1649           15670            545              0               0               0       
     18.50          5.016308         43493           22781            3801            563             475             5308            1487            1717           15918            551              0               0               0       
     18.60          5.016308         43546           22864            4074            570             458             5286            1486            1651           15667            545              0               0               0       
