        tauB               sizeBin             clust_size      press_align
       16.40               5.016308              40342              838.288247     
       16.50               5.016308              40330              809.070501     
       16.60               5.016308              40317              680.924963     
       16.70               5.016308              40343              833.448366     
       16.80               5.016308              40395              858.779995     
       16.90               5.016308              40452              845.413504     
       17.00               5.016308              40609              837.726971     
       17.10               5.016308              40697              983.938358     
       17.20               5.016308              40835              857.576579     
       17.30               5.016308              40760              806.904803     
       17.40               5.016308              40732              901.818236     
       17.50               5.016308              40681             1010.042640     
       17.60               5.016308              40620              971.542702     
       17.70               5.016308              40557              967.555780     
       17.80               5.016308              40555             1009.578414     
       17.90               5.016308              40531              835.954851     
       18.00               5.016308              40588              855.608612     
       18.10               5.016308              40467              743.491308     
       18.20               5.016308              40365              853.790881     
       18.30               5.016308              40260              849.203718     
       18.40               5.016308              40180              913.720771     
       18.50               5.016308              40163              918.514168     
       18.60               5.016308              40086              978.449371     
       18.70               5.016308              39973             1091.162550     
       18.80               5.016308              40008              997.870169     
       18.90               5.016308              40085             1058.373063     
       19.00               5.016308              40124             1296.640134     
       19.10               5.016308              40140             1141.202252     
       19.20               5.016308              40015             1111.933462     
       19.30               5.016308              40172              977.686834     
       19.40               5.016308              40262              789.766885     
       19.50               5.016308              40254              808.929292     
       19.60               5.016308              40171              794.840154     
       19.70               5.016308              40111              955.877561     
       19.80               5.016308              40007              972.456842     
       19.90               5.016308              40005              986.005122     
       20.00               5.016308              40030              964.109391     
       20.10               5.016308              39950              981.907649     
       20.20               5.016308              39939              828.169642     
       20.30               5.016308              39900             1053.375584     
       20.40               5.016308              39972             1137.930209     
       20.50               5.016308              40145             1055.956255     
       20.60               5.016308              40132             1008.471047     
       20.70               5.016308              40221              898.466952     
       20.80               5.016308              40312              976.934268     
       20.90               5.016308              40304              802.905121     
       21.00               5.016308              40163              712.608492     
       21.10               5.016308              40165              757.050953     
       21.20               5.016308              40180              852.155450     
       21.30               5.016308              40105              714.967094     
       21.40               5.016308              40047              624.280705     
       21.50               5.016308              39974              701.723308     
       21.60               5.016308              39941              831.765547     
       21.70               5.016308              39953              662.662343     
       21.80               5.016308              39849              836.667160     
       21.90               5.016308              39854              813.553368     
       22.00               5.016308              39900              887.925156     
       22.10               5.016308              39762             1001.346505     
       22.20               5.016308              39820              797.396303     
       22.30               5.016308              39827             1026.894677     
       22.40               5.016308              39826              864.864471     
       22.50               5.016308              39724              861.776501     
       22.60               5.016308              39630             1009.004152     
       22.70               5.016308              39616              836.316343     
       22.80               5.016308              39678              814.601727     
       22.90               5.016308              39825              779.978097     
       23.00               5.016308              39848              712.561090     
       23.10               5.016308              39771              646.196290     
       23.20               5.016308              39761              756.068746     
       23.30               5.016308              39891              847.815861     
       23.40               5.016308              39957              872.542413     
       23.50               5.016308              39994              893.491944     
       23.60               5.016308              40008              985.572226     
       23.70               5.016308              40111             1037.518523     
       23.80               5.016308              40189              976.805411     
       23.90               5.016308              40200              959.065247     
       24.00               5.016308              40198              906.785299     
       24.10               5.016308              40260              743.771333     
       24.20               5.016308              40270              890.583457     
       24.30               5.016308              40315              903.143616     
       24.40               5.016308              40410              966.313566     
       24.50               5.016308              40244              864.116040     
       24.60               5.016308              40446              771.543348     
       24.70               5.016308              40454              833.323989     
       24.80               5.016308              40516              963.130051     
       24.90               5.016308              40577              973.734532     
       25.00               5.016308              40518              929.441361     
       25.10               5.016308              40316              905.846690     
       25.20               5.016308              40189              965.244103     
       25.30               5.016308              40074              949.108605     
       25.40               5.016308              39968             1016.794495     
       25.50               5.016308              39868             1041.476187     
       25.60               5.016308              39841             1059.857160     
       25.70               5.016308              39857             1022.222064     
       25.80               5.016308              39820              977.902650     
       25.90               5.016308              39965              962.654664     
       26.00               5.016308              39979              939.392075     
       26.10               5.016308              40059              940.460928     
       26.20               5.016308              40088             1005.321076     
       26.30               5.016308              39983              953.011445     
       26.40               5.016308              39964              952.338029     
       26.50               5.016308              40129              932.688078     
       26.60               5.016308              40244              787.436802     
       26.70               5.016308              40291              766.088695     
       26.80               5.016308              40382              813.372864     
       26.90               5.016308              40390              807.667136     
       27.00               5.016308              40285              868.334965     
       27.10               5.016308              40149              969.458542     
       27.20               5.016308              39956              996.552458     
       27.30               5.016308              39764             1065.194399     
       27.40               5.016308              39769             1054.811949     
       27.50               5.016308              39758              974.253017     
       27.60               5.016308              39827              877.734888     
       27.70               5.016308              39856             1003.223581     
       27.80               5.016308              39846             1016.555861     
       27.90               5.016308              39948             1006.129880     
       28.00               5.016308              40020             1007.715356     
       28.10               5.016308              40096              999.673335     
       28.20               5.016308              40267             1046.720377     
       28.30               5.016308              40278              927.774702     
       28.40               5.016308              40233              819.376034     
       28.50               5.016308              40249              795.940323     
       28.60               5.016308              40365              983.968785     
       28.70               5.016308              40388              977.326766     
       28.80               5.016308              40319              995.966384     
       28.90               5.016308              40167              953.234287     
       29.00               5.016308              40008              827.014100     
       29.10               5.016308              40051              769.008917     
       29.20               5.016308              40100              640.986644     
       29.30               5.016308              40058              767.358313     
       29.40               5.016308              39882              785.083646     
       29.50               5.016308              39937              850.172271     
       29.60               5.016308              39856             1062.655715     
       29.70               5.016308              39902             1124.729169     
       29.80               5.016308              39989             1110.377360     
       29.90               5.016308              40100             1252.840483     
       30.00               5.016308              40151             1012.733822     
       30.10               5.016308              40298             1099.518222     
       30.20               5.016308              40284             1078.693053     
       30.30               5.016308              40245             1080.867725     
       30.40               5.016308              40301             1002.682605     
       30.50               5.016308              40375              910.084409     
       30.60               5.016308              40241              987.357906     
       30.70               5.016308              40163              983.119858     
       30.80               5.016308              40057              966.337376     
       30.90               5.016308              40095              808.749379     
       31.00               5.016308              40137              744.381454     
       31.10               5.016308              40289              874.543505     
       31.20               5.016308              40308              744.792911     
       31.30               5.016308              40387              853.691470     
       31.40               5.016308              40509              804.583023     
       31.50               5.016308              40442              774.356209     
       31.60               5.016308              40433              894.284683     
       31.70               5.016308              40415              876.828714     
       31.80               5.016308              40276              750.619732     
       31.90               5.016308              40181              797.273683     
       32.00               5.016308              40117              960.330747     
       32.10               5.016308              39950             1121.156474     
       32.20               5.016308              39808             1144.744772     
       32.30               5.016308              39872             1066.048168     
       32.40               5.016308              39856             1085.083858     
       32.50               5.016308              39934             1017.282664     
       32.60               5.016308              40061              927.552389     
       32.70               5.016308              39817              978.545410     
       32.80               5.016308              39994              913.753688     
       32.90               5.016308              39922              971.374786     
       33.00               5.016308              39913             1168.944960     
       33.10               5.016308              40009              973.221536     
       33.20               5.016308              39970              894.918348     
       33.30               5.016308              39985             1039.150416     
       33.40               5.016308              39893             1083.712715     
       33.50               5.016308              40071             1206.121579     
       33.60               5.016308              40000             1092.670628     
       33.70               5.016308              40163             1157.652894     
       33.80               5.016308              40152             1129.303201     
       33.90               5.016308              40209             1162.026781     
       34.00               5.016308              40223              951.576271     
       34.10               5.016308              40277             1097.628549     
       34.20               5.016308              40274             1083.690034     
       34.30               5.016308              40255              913.219085     
       34.40               5.016308              40162              844.423555     
       34.50               5.016308              40177              864.322715     
       34.60               5.016308              40105              757.367924     
       34.70               5.016308              40084              959.591139     
       34.80               5.016308              40162             1133.253405     
       34.90               5.016308              40167              998.622665     
       35.00               5.016308              40105              954.329242     
       35.10               5.016308              40199              912.821897     
       35.20               5.016308              40324              880.630431     
       35.30               5.016308              40178              898.863025     
       35.40               5.016308              40267              952.629464     
       35.50               5.016308              40212             1120.604201     
       35.60               5.016308              40313             1174.106783     
       35.70               5.016308              40356             1060.018665     
       35.80               5.016308              40473             1010.358007     
       35.90               5.016308              40393             1047.303376     
       36.00               5.016308              40384             1030.080285     
       36.10               5.016308              40452              957.280761     
       36.20               5.016308              40449              931.346701     
       36.30               5.016308              40368              998.142557     
       36.40               5.016308              40407              790.687209     
       36.50               5.016308              40369              952.015134     
       36.60               5.016308              40207             1044.186666     
       36.70               5.016308              40089             1178.457634     
       36.80               5.016308              40000              986.868006     
       36.90               5.016308              39882             1041.056776     
       37.00               5.016308              39775             1064.967942     
       37.10               5.016308              39639              881.852386     
       37.20               5.016308              39840              799.840009     
       37.30               5.016308              39806              919.767908     
       37.40               5.016308              39832             1075.755157     
       37.50               5.016308              39856             1129.073961     
       37.60               5.016308              39823             1092.596235     
       37.70               5.016308              39796              946.622846     
       37.80               5.016308              39872              923.868940     
       37.90               5.016308              39931              979.998365     
       38.00               5.016308              40067             1024.502051     
       38.10               5.016308              40070              972.874036     
       38.20               5.016308              40204              906.358623     
       38.30               5.016308              40207              922.026966     
       38.40               5.016308              40110              927.950582     
       38.50               5.016308              40164              859.789582     
       38.60               5.016308              40068              867.426864     
       38.70               5.016308              40025              870.406283     
       38.80               5.016308              39959              884.331338     
       38.90               5.016308              40071              910.248688     
       39.00               5.016308              39902              828.438494     
       39.10               5.016308              39947              838.967907     
       39.20               5.016308              39948              897.187149     
       39.30               5.016308              39977              895.499168     
       39.40               5.016308              40047              763.760334     
       39.50               5.016308              40107              922.683522     
       39.60               5.016308              40126             1062.055131     
       39.70               5.016308              40000              953.542912     
       39.80               5.016308              39991             1101.782227     
       39.90               5.016308              40124             1042.536340     
       40.00               5.016308              40067              904.236854     
       40.10               5.016308              40121              869.906005     
       40.20               5.016308              40204              896.930575     
       40.30               5.016308              40127             1082.769998     
       40.40               5.016308              40169             1084.136743     
       40.50               5.016308              40274              922.193354     
       40.60               5.016308              40248              873.205102     
       40.70               5.016308              40292             1133.896962     
       40.80               5.016308              40437             1007.165186     
       40.90               5.016308              40544             1018.905773     
       41.00               5.016308              40625             1049.513542     
       41.10               5.016308              40598             1003.172392     
       41.20               5.016308              40676              939.793464     
       41.30               5.016308              40709             1030.163390     
       41.40               5.016308              40691              981.980777     
       41.50               5.016308              40625              981.666865     
       41.60               5.016308              40473             1021.839760     
       41.70               5.016308              40399              964.061271     
       41.80               5.016308              40138             1015.509875     
       41.90               5.016308              40004              958.866208     
       42.00               5.016308              39905              943.062963     
       42.10               5.016308              39844             1018.942213     
       42.20               5.016308              39826             1036.567433     
       42.30               5.016308              39696             1022.134292     
       42.40               5.016308              39645             1044.713038     
       42.50               5.016308              39566             1029.927848     
       42.60               5.016308              39444             1071.059824     
       42.70               5.016308              39480              992.489174     
       42.80               5.016308              39562             1003.289864     
       42.90               5.016308              39568             1000.895196     
       43.00               5.016308              39735             1009.392076     
       43.10               5.016308              39821              913.012117     
       43.20               5.016308              39922              881.015875     
       43.30               5.016308              39946              894.254632     
       43.40               5.016308              40178              832.165437     
       43.50               5.016308              40150              918.237315     
       43.60               5.016308              40228              957.306162     
       43.70               5.016308              40148             1035.275410     
       43.80               5.016308              40118             1131.913090     
       43.90               5.016308              40149             1133.393408     
       44.00               5.016308              40019             1173.737176     
       44.10               5.016308              40099             1166.576223     
       44.20               5.016308              40185             1101.123844     
       44.30               5.016308              40107             1151.764882     
       44.40               5.016308              39933             1197.136246     
       44.50               5.016308              39958             1141.924047     
       44.60               5.016308              39916             1046.628104     
       44.70               5.016308              39907             1130.555104     
       44.80               5.016308              39859              910.349000     
       44.90               5.016308              39834              893.840840     
       45.00               5.016308              39858              911.320488     
       45.10               5.016308              39883             1049.040049     
       45.20               5.016308              39893             1037.236829     
       45.30               5.016308              39924             1051.249391     
       45.40               5.016308              40003              917.748002     
       45.50               5.016308              40016              949.003566     
       45.60               5.016308              40045              928.726736     
       45.70               5.016308              40138              732.087013     
       45.80               5.016308              40100              729.217034     
       45.90               5.016308              39965              714.170218     
       46.00               5.016308              40026              673.956066     
       46.10               5.016308              40012              812.865490     
       46.20               5.016308              39895              705.098620     
       46.30               5.016308              39906              818.297176     
       46.40               5.016308              39945              775.324826     
       46.50               5.016308              39854              781.713659     
       46.60               5.016308              39827              798.249607     
       46.70               5.016308              39679              906.597051     
       46.80               5.016308              39540              883.736960     
       46.90               5.016308              39418              976.255024     
