      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      0.00          5.016308           12              0               0               0              2818            2825            294            22182           22175            2307             0               0               0       
      0.10          5.016308          171              0               0               0              5299            5275            549            19701           19725            2052             0               0               0       
      0.20          5.016308          305              0               0               0              7448            7414            780            17552           17586            1821             0               0               0       
      0.30          5.016308          814              0               0               0              3848            3803            401            21152           21197            2200             0               0               0       
      0.40          5.016308          545              0               0               0              5036            5086            525            19964           19914            2076             0               0               0       
      0.50          5.016308          733              0               0               0              1951            1937            203            23049           23063            2398             0               0               0       
      0.60          5.016308          773              0               0               0              5756            5542            611            19244           19458            1990             0               0               0       
      0.70          5.016308          759              0               0               0              2397            2433            251            22603           22567            2350             0               0               0       
      0.80          5.016308          1179             0               0               0              3331            3351            343            21669           21649            2258             0               0               0       
      0.90          5.016308          1059             0               0               0              8416            8427            880            16584           16573            1721             0               0               0       
      1.00          5.016308          1113             0               0               0              6036            6105            636            18964           18895            1965             0               0               0       
      1.10          5.016308          1306             0               0               0              5587            5479            578            19413           19521            2023             0               0               0       
      1.20          5.016308          1745             0               0               0              2475            2297            259            22525           22703            2342             0               0               0       
      1.30          5.016308          1200             0               0               0              9636            9617            1006           15237           15237            1581            127             146              14      
      1.40          5.016308          1426             0               0               0              4290            4268            454            20710           20732            2147             0               0               0       
      1.50          5.016308          932              0               0               0             14725           14869            1547           14725           14869            1547           -4450           -4738            -493     
      1.60          5.016308          1246             0               0               0             11084           10911            1151           11084           10911            1151            2832            3178            299      
      1.70          5.016308          1215             0               0               0              6246            6240            670            18754           18760            1931             0               0               0       
      1.80          5.016308          1224             0               0               0              6345            6532            679            18546           18365            1911            109             103              11      
      1.90          5.016308          1756             0               0               0              3456            3525            365            21544           21475            2236             0               0               0       
      2.00          5.016308          1156             0               0               0              6389            6329            672            18611           18671            1929             0               0               0       
      2.10          5.016308          1245             0               0               0              6132            6140            646            18868           18860            1955             0               0               0       
      2.20          5.016308          1662             0               0               0              3021            3166            324            21979           21834            2277             0               0               0       
      2.30          5.016308          1601             0               0               0              3211            3246            343            21789           21754            2258             0               0               0       
      2.40          5.016308          1192             0               0               0              6477            6458            683            18056           18066            1870            467             476              48      
      2.50          5.016308          1574             0               0               0              9531            9563            1027           15226           15223            1550            243             214              24      
      2.60          5.016308          1971             0               0               0              1942            1940            214            23058           23060            2387             0               0               0       
      2.70          5.016308          1327             0               0               0              3992            4033            427            21008           20967            2174             0               0               0       
      2.80          5.016308          2210             0               0               0              3846            3813            417            21154           21187            2184             0               0               0       
      2.90          5.016308          2216             0               0               0              4354            4342            463            20646           20658            2138             0               0               0       
      3.00          5.016308          2051             0               0               0              6924            6931            728            18076           18069            1873             0               0               0       
      3.10          5.016308          2364             0               0               0              3360            3273            357            21640           21727            2244             0               0               0       
      3.20          5.016308          2042             0               0               0              5510            5438            578            19490           19562            2023             0               0               0       
      3.30          5.016308          2366             0               0               0              6715            6632            694            18285           18368            1907             0               0               0       
