      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      0.00          5.016308         43081            7865            7918            372             3322            3019            1410           13813           14063            819              0               0               0       
      0.10          5.016308         42914            7713            7753            279             3603            2855            1626           13684           14392            696              0               0               0       
      0.20          5.016308         43605            7808            7878            277             3476            2370            1620           13716           14752            704              0               0               0       
      0.30          5.016308         43845            7877            7927            286             3407            2164            1602           13716           14909            713              0               0               0       
      0.40          5.016308         43768            8337            8393            311             3412            2124            1588           13251           14483            702              0               0               0       
      0.50          5.016308         43603            8857            8913            338             3516            2153            1581           12627           13934            682              0               0               0       
      0.60          5.016308         43540            9582            9661            375             3536            2151            1560           11882           13188            666              0               0               0       
      0.70          5.016308         43320            9873            9994            396             3621            2271            1539           11506           12735            666              0               0               0       
      0.80          5.016308         42895           11579           11674            473             3807            2485            1527            9614           10841            601              0               0               0       
      0.90          5.016308         42344           12317           12458            514             4102            2811            1560            8581            9731            527              0               0               0       
      1.00          5.016308         41934           11528           11698            486             3798            2764            1415            9405           10350            607             269             188              93      
      1.10          5.016308         41314           11799           11951            501             4256            3169            1517            8945            9880            583              0               0               0       
      1.20          5.016308         41116           11885           12063            509             4399            3185            1487            8629            9693            579              87              59              26      
      1.30          5.016308         40791           11681           11855            502             4571            3337            1499            8575            9695            552             173             113              48      
      1.40          5.016308         40442           11620           11774            500             4955            3550            1551            8353            9635            534              72              41              16      
      1.50          5.016308         40260           11355           11513            488             4976            3522            1517            8570            9905            571              99              60              25      
      1.60          5.016308         39966           11090           11254            476             5035            3455            1502            8875           10291            623              0               0               0       
      1.70          5.016308         39564           11080           11214            474             5404            3652            1548            8428           10079            556              88              55              23      
      1.80          5.016308         39348           10572           10746            451             5665            3752            1558            8696           10442            567              67              60              25      
      1.90          5.016308         39197           10987           11115            465             5916            3864            1591            8097           10021            545              0               0               0       
      2.00          5.016308         39044           10162           10326            429             5960            3803            1576            8776           10792            574             102              79              22      
      2.10          5.016308         38895           10241           10372            432             6059            3891            1582            8700           10737            587              0               0               0       
      2.20          5.016308         38522           10313           10515            435             6342            3970            1604            8345           10515            562              0               0               0       
      2.30          5.016308         38461           10229           10435            432             6352            3936            1589            8419           10629            580              0               0               0       
      2.40          5.016308         38326           10188           10361            429             6381            3842            1565            8363           10753            589              68              44              18      
      2.50          5.016308         38254           10101           10311            426             6511            3832            1584            8305           10819            573              83              38              18      
      2.60          5.016308         38240           10277           10513            435             6638            3810            1588            8011           10625            558              74              52              20      
      2.70          5.016308         38182           10062           10359            428             6655            3774            1573            8217           10826            585              66              41              15      
      2.80          5.016308         37985            9931           10169            420             6938            3930            1611            8131           10901            570              0               0               0       
      2.90          5.016308         37758           10192           10440            430             7031            3899            1609            7777           10661            562              0               0               0       
      3.00          5.016308         37787           10468           10735            442             7191            3910            1625            7341           10355            534              0               0               0       
      3.10          5.016308         37858           10542           10842            447             7142            3805            1610            7316           10353            544              0               0               0       
      3.20          5.016308         38031           10223           10510            433             7138            3692            1606            7545           10751            549              94              47              13      
      3.30          5.016308         37924           10420           10733            441             7230            3646            1608            7350           10621            552              0               0               0       
      3.40          5.016308         37882           10022           10367            425             7204            3667            1594            7774           10966            582              0               0               0       
      3.50          5.016308         37588           10035           10363            426             7414            3818            1616            7551           10819            559              0               0               0       
      3.60          5.016308         37464           10207           10565            435             7547            3884            1623            7246           10551            543              0               0               0       
      3.70          5.016308         37408           10115           10507            433             7344            3813            1588            7425           10622            559             116              58              21      
