        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
        0.00               5.016308              36779             6067.249675          3101.719709          2965.529966     
        0.10               5.016308              36820             5220.137636          2669.888982          2550.248653     
        0.20               5.016308              37179             4118.520238          2078.239388          2040.280850     
        0.30               5.016308              37642             3236.984698          1669.307196          1567.677502     
        0.40               5.016308              38195             2581.078331          1363.288715          1217.789616     
        0.50               5.016308              38654             2102.988504          1130.374497           972.614006     
        0.60               5.016308              38975             1744.100857           979.827866           764.272991     
        0.70               5.016308              39323             1407.702214           691.852682           715.849532     
        0.80               5.016308              39624             1275.050619           596.405365           678.645254     
        0.90               5.016308              39865             1143.605214           512.447094           631.158120     
        1.00               5.016308              40164              985.602676           413.950040           571.652636     
        1.10               5.016308              40299              824.369910           396.028910           428.341000     
        1.20               5.016308              40504              757.291458           342.690178           414.601280     
        1.30               5.016308              40602              637.902495           373.854016           264.048480     
        1.40               5.016308              40771              681.540747           411.775580           269.765166     
        1.50               5.016308              40876              599.857724           416.604365           183.253359     
        1.60               5.016308              40808              693.950842           472.287854           221.662988     
        1.70               5.016308              40647              573.817227           423.227755           150.589472     
        1.80               5.016308              40594              581.905283           377.138740           204.766542     
        1.90               5.016308              40405              447.166782           273.015117           174.151665     
        2.00               5.016308              40199              560.219083           316.148122           244.070961     
        2.10               5.016308              40110              695.628066           418.027707           277.600359     
        2.20               5.016308              40087              629.744580           345.386385           284.358195     
        2.30               5.016308              40049              747.470216           413.160434           334.309781     
        2.40               5.016308              39943              711.856441           339.347240           372.509201     
        2.50               5.016308              40008              812.450775           362.493553           449.957222     
        2.60               5.016308              39945              791.624031           328.346622           463.277409     
        2.70               5.016308              39921              733.167500           365.768066           367.399435     
        2.80               5.016308              39891              920.652497           340.499904           580.152593     
        2.90               5.016308              39855             1025.217094           399.962460           625.254634     
        3.00               5.016308              39808              928.839933           371.426634           557.413300     
        3.10               5.016308              39779              827.584764           338.154900           489.429864     
        3.20               5.016308              39661              851.496896           293.461616           558.035280     
        3.30               5.016308              39639              842.206129           341.932596           500.273533     
        3.40               5.016308              39573              887.533751           365.455125           522.078626     
        3.50               5.016308              39516              799.153220           352.822842           446.330379     
        3.60               5.016308              39499              757.815577           350.109705           407.705871     
        3.70               5.016308              39445              714.411317           382.741228           331.670089     
        3.80               5.016308              39468              881.497030           404.028349           477.468681     
        3.90               5.016308              39527              904.547930           386.693698           517.854232     
        4.00               5.016308              39635              829.394237           348.272272           481.121965     
        4.10               5.016308              39708              819.921374           376.114315           443.807059     
        4.20               5.016308              39680              635.654721           288.888586           346.766135     
        4.30               5.016308              39762              564.743560           281.043842           283.699718     
        4.40               5.016308              39845              574.745432           261.733684           313.011749     
        4.50               5.016308              39905              576.398251           285.483508           290.914743     
        4.60               5.016308              39942              579.564834           248.233200           331.331634     
        4.70               5.016308              39899              646.488194           301.515346           344.972847     
        4.80               5.016308              39979              696.439053           349.997966           346.441087     
        4.90               5.016308              39914              666.726584           372.737150           293.989433     
        5.00               5.016308              39812              686.272298           403.922822           282.349477     
        5.10               5.016308              39919              620.944706           352.132964           268.811742     
        5.20               5.016308              40014              729.467129           388.232966           341.234163     
        5.30               5.016308              40025              763.241974           415.104946           348.137028     
        5.40               5.016308              40082              713.479422           365.998941           347.480482     
        5.50               5.016308              40117              668.741705           380.538835           288.202869     
        5.60               5.016308              40039              611.574848           345.030447           266.544401     
        5.70               5.016308              40026              536.162508           272.927507           263.235001     
        5.80               5.016308              40033              837.107551           501.931144           335.176407     
        5.90               5.016308              40012              714.081153           368.171785           345.909368     
        6.00               5.016308              39984              661.877300           306.703646           355.173654     
        6.10               5.016308              39962              664.131439           301.801056           362.330383     
        6.20               5.016308              39869              660.597746           282.989926           377.607820     
        6.30               5.016308              39812              679.022452           304.110548           374.911904     
        6.40               5.016308              39803              734.819033           348.268511           386.550522     
        6.50               5.016308              39803              725.876801           382.919446           342.957355     
        6.60               5.016308              39853              740.822385           368.616801           372.205584     
        6.70               5.016308              40007              796.496924           387.690684           408.806240     
        6.80               5.016308              39957              837.193198           400.095231           437.097966     
        6.90               5.016308              39986              834.308474           399.087424           435.221050     
        7.00               5.016308              39927              886.071354           452.393355           433.677999     
        7.10               5.016308              40007              980.203510           472.560144           507.643366     
        7.20               5.016308              39953             1006.274113           462.679373           543.594741     
        7.30               5.016308              39997             1011.609426           478.161014           533.448412     
        7.40               5.016308              39939              824.912778           427.080495           397.832283     
        7.50               5.016308              39847              753.554660           441.178788           312.375871     
