        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
       10.10               5.016308              40028             2414.465723           20.151350           2394.314373     
       10.20               5.016308              39862             2412.154932           18.867024           2393.287907     
       10.30               5.016308              39950             2367.563692           19.580419           2347.983273     
       10.40               5.016308              39776             2365.203275           59.771107           2305.432168     
       10.50               5.016308              39567             2474.928826           68.413356           2406.515470     
       10.60               5.016308              39560             2475.012555           62.337263           2412.675293     
       10.70               5.016308              39276             2728.416682           56.474594           2671.942088     
       10.80               5.016308              39256             2472.194752           28.665322           2443.529430     
       10.90               5.016308              39373             2387.024003           16.526842           2370.497161     
       11.00               5.016308              39173             2462.063123           20.247668           2441.815455     
       11.10               5.016308              39280             2372.145297           21.808951           2350.336346     
       11.20               5.016308              39292             2314.031827           31.870863           2282.160964     
       11.30               5.016308              39340             2340.511585           58.375390           2282.136195     
       11.40               5.016308              39270             2303.967857           -34.852883          2338.820741     
       11.50               5.016308              39385             2318.626098           38.842673           2279.783424     
       11.60               5.016308              39369             2395.859862           71.534803           2324.325059     
       11.70               5.016308              39402             2301.994873           47.686375           2254.308498     
       11.80               5.016308              39252             2112.136793           34.105325           2078.031468     
       11.90               5.016308              39005             2312.154716           71.594309           2240.560408     
       12.00               5.016308              39022             2462.915196           104.470222          2358.444974     
       12.10               5.016308              39074             2399.890823           70.562697           2329.328126     
       12.20               5.016308              38981             2491.682719           66.358610           2425.324108     
       12.30               5.016308              38918             2496.013948           42.861113           2453.152835     
       12.40               5.016308              38820             2392.892878           16.596538           2376.296340     
       12.50               5.016308              38797             2350.047311           -3.832126           2353.879437     
       12.60               5.016308              38770             2429.704589           -16.670142          2446.374731     
       12.70               5.016308              38848             2393.588924           19.302030           2374.286894     
       12.80               5.016308              38809             2363.356943           31.317209           2332.039733     
       12.90               5.016308              38818             2340.027452           23.344064           2316.683388     
       13.00               5.016308              38710             2484.093066           28.163754           2455.929313     
       13.10               5.016308              38832             2456.747113           22.640061           2434.107052     
       13.20               5.016308              39046             2430.698663           23.821211           2406.877453     
       13.30               5.016308              38892             2484.884629           55.984837           2428.899792     
       13.40               5.016308              38606             2608.425729           43.280237           2565.145491     
       13.50               5.016308              38670             2421.938995           -15.811076          2437.750072     
       13.60               5.016308              38708             2463.967493           36.101064           2427.866429     
       13.70               5.016308              38621             2369.603841           30.302174           2339.301667     
       13.80               5.016308              38205             2533.337291           65.778372           2467.558919     
       13.90               5.016308              38028             2648.636897           73.493084           2575.143813     
       14.00               5.016308              37734             2522.875954           41.259727           2481.616226     
       14.10               5.016308              37820             2474.516499           -0.203211           2474.719710     
       14.20               5.016308              37552             2551.619723           13.845181           2537.774542     
       14.30               5.016308              37643             2480.245378           49.624069           2430.621309     
       14.40               5.016308              37643             2505.307996           74.633432           2430.674565     
       14.50               5.016308              37543             2478.156192           85.036547           2393.119646     
       14.60               5.016308              37539             2529.864930           124.319872          2405.545059     
       14.70               5.016308              37844             2620.292915           96.872028           2523.420887     
       14.80               5.016308              37657             2549.633246           94.850861           2454.782385     
       14.90               5.016308              37742             2698.969914           105.178321          2593.791593     
       15.00               5.016308              37398             2620.651617           94.366249           2526.285368     
       15.10               5.016308              37451             2447.501251           50.739461           2396.761790     
       15.20               5.016308              37191             2580.176247           54.272154           2525.904093     
       15.30               5.016308              37128             2717.712890           26.299129           2691.413761     
       15.40               5.016308              37053             2748.655250           55.759581           2692.895669     
       15.50               5.016308              36608             2746.005509           50.171873           2695.833636     
       15.60               5.016308              36607             2911.612119           17.545343           2894.066776     
       15.70               5.016308              36244             2975.576008           -0.456777           2976.032785     
       15.80               5.016308              35393             3145.515611           -2.029706           3147.545317     
       15.90               5.016308              35281             3524.302387           20.343687           3503.958700     
       16.00               5.016308              34716             3539.641421           25.584890           3514.056531     
       16.10               5.016308              34636             3651.594980           19.091397           3632.503583     
       16.20               5.016308              34501             3669.067920           49.388040           3619.679880     
       16.30               5.016308              34559             3628.582975           58.253860           3570.329115     
       16.40               5.016308              34306             3704.459367           48.156150           3656.303216     
       16.50               5.016308              34609             3639.019590           72.949107           3566.070483     
       16.60               5.016308              34640             3753.717861           65.399118           3688.318743     
       16.70               5.016308              34675             3760.525420           71.114870           3689.410549     
       16.80               5.016308              34839             3591.791299           65.283974           3526.507325     
       16.90               5.016308              34987             3292.150247           52.828163           3239.322084     
       17.00               5.016308              34898             3354.896433           83.383926           3271.512507     
       17.10               5.016308              34899             3208.810687           61.594389           3147.216298     
       17.20               5.016308              34927             3264.422023           70.509042           3193.912981     
       17.30               5.016308              34954             3339.430686           114.618560          3224.812126     
       17.40               5.016308              35113             3449.221353           123.324053          3325.897300     
       17.50               5.016308              35148             3326.881948           113.831435          3213.050513     
       17.60               5.016308              35241             3257.970054           104.641474          3153.328580     
       17.70               5.016308              35211             3147.443937           91.420962           3056.022976     
       17.80               5.016308              35258             3133.281239           16.362023           3116.919216     
       17.90               5.016308              35501             3010.160129           36.334824           2973.825305     
       18.00               5.016308              35137             3098.523221           38.473612           3060.049609     
       18.10               5.016308              35071             2947.630695           64.723482           2882.907213     
       18.20               5.016308              35083             2960.222075           59.030422           2901.191653     
       18.30               5.016308              34972             2900.171266           30.199838           2869.971428     
       18.40               5.016308              34982             2806.117024           47.925085           2758.191939     
       18.50               5.016308              34880             2954.889155           64.545865           2890.343290     
       18.60               5.016308              34830             3114.628954           66.482117           3048.146837     
       18.70               5.016308              34399             3175.630084           109.743575          3065.886509     
       18.80               5.016308              34187             2998.718004           113.519194          2885.198810     
       18.90               5.016308              34034             2873.570726           93.911468           2779.659258     
       19.00               5.016308              33620             3016.648359           85.900659           2930.747700     
       19.10               5.016308              33943             3145.435965           117.110338          3028.325627     
       19.20               5.016308              34025             3078.018639           119.295579          2958.723060     
       19.30               5.016308              33788             3118.743946           64.857526           3053.886421     
       19.40               5.016308              34204             3044.473808           43.876058           3000.597750     
       19.50               5.016308              34202             2797.667900           -14.003190          2811.671090     
       19.60               5.016308              34046             2866.913233           -39.071373          2905.984606     
       19.70               5.016308              34314             2907.989125            4.271516           2903.717609     
       19.80               5.016308              34095             2856.822275           10.808484           2846.013790     
       19.90               5.016308              34071             2825.086059           21.092091           2803.993968     
       20.00               5.016308              33991             2740.082396           34.973489           2705.108906     
       20.10               5.016308              34075             2897.480862           47.447516           2850.033347     
       20.20               5.016308              34171             3008.080918           51.558794           2956.522124     
       20.30               5.016308              33954             2990.731914           35.397364           2955.334550     
       20.40               5.016308              33404             3055.225243           11.069285           3044.155958     
       20.50               5.016308              33225             3016.521545           60.161334           2956.360210     
       20.60               5.016308              33241             3028.327626           72.414317           2955.913309     
       20.70               5.016308              32619             2969.943008           71.909278           2898.033729     
       20.80               5.016308              32851             2970.795531           53.995735           2916.799796     
       20.90               5.016308              33115             3084.959305           72.645128           3012.314177     
       21.00               5.016308              33069             3295.412837           93.090624           3202.322212     
       21.10               5.016308              33052             3300.595226           101.739316          3198.855910     
       21.20               5.016308              33013             3057.142851           91.939601           2965.203250     
       21.30               5.016308              33158             3262.755069           113.116048          3149.639020     
       21.40               5.016308              33287             3067.090783           90.786481           2976.304302     
       21.50               5.016308              33261             2766.965973           75.032695           2691.933277     
       21.60               5.016308              33148             2775.534536           58.228831           2717.305705     
       21.70               5.016308              32995             2796.753271           55.833261           2740.920011     
       21.80               5.016308              33159             2845.666715           11.910097           2833.756618     
       21.90               5.016308              33279             2944.799308           19.096589           2925.702719     
       22.00               5.016308              33036             3031.876875           66.533375           2965.343500     
       22.10               5.016308              32745             3063.400890           67.018267           2996.382623     
       22.20               5.016308              32709             3028.507385           78.252198           2950.255187     
       22.30               5.016308              32912             3081.057711           62.297988           3018.759723     
       22.40               5.016308              32824             3123.464800           47.687695           3075.777105     
