      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      5.60          5.016308         43891             3               3              500            16161         90.754858        3.214869       601.183609      472.937761      18.863215        6.763314          517      
      5.70          5.016308         43792             4               4              824            17125         91.355045        4.134303       621.451221      460.672527      21.021126        7.473948          560      
      5.80          5.016308         43482             4               4              735            16962         78.983252       27.754563       556.693271      469.110243       8.667682       31.199186          556      
      5.90          5.016308         43387             2               2              625            16106         89.647319        2.713282       594.629109      471.784460      18.365341        6.503367          506      
      6.00          5.016308         43130             1               1              857            16485         90.698718        4.360888       614.266656      464.555978      20.393884        7.749750          541      
      6.00          5.016308         43130             1               3               0              108          10.858065        3.124850       82.393705        0.000000       10.858065        3.124850           27      
      6.10          5.016308         42984             1               1              1058           16404         90.458384        3.739644       606.500705      459.581657      20.596834        7.292564          541      
      6.20          5.016308         43017             2               2              1172           16945         91.277877        4.748793       610.385352      456.008042      22.172181        8.277236          572      
      6.30          5.016308         43072             1               1              896            16269         90.539133        3.133918       606.460277      472.128516      20.154168        6.793854          541      
      6.40          5.016308         43200             1               1              710            15821         89.436415        4.572220       635.788074      473.012024      18.096660        8.103672          519      
      6.50          5.016308         43284             1               1              730            15921         90.531793        3.759394       610.174128      472.168147      19.193781        7.604327          525      
      6.60          5.016308         43318             1               1              731            15833         90.030048        3.112933       599.044758      481.334295      18.445595        7.335824          510      
      6.70          5.016308         43355             2               2              1105           16739         92.442552        4.912452       655.079563      472.770351      22.140799        9.171382          591      
      6.80          5.016308         43338             1               1              771            16157         90.684010        4.120629       612.990469      472.657297      19.572466        8.139694          529      
      6.90          5.016308         43338             2               2              856            16298         90.212204        3.646747       611.959343      475.907957      19.386265        7.904418          525      
      7.00          5.016308         43189             1               1              1378           17275         91.392917        5.045973       658.615177      465.980221      22.485117        9.418197          585      
      7.10          5.016308         43132             2               2              1014           16050         90.048421        4.341235       614.691725      483.858044      19.242865        9.309395          527      
      7.20          5.016308         43331             2               2              793            16553         90.871040        3.772620       617.303957      487.156292      19.882043        8.292759          549      
      7.30          5.016308         43496             1               1              795            16460         91.537058        4.117431       652.767903      481.133749      20.399903        8.156816          555      
      7.40          5.016308         43590             2               2              816            16592         90.180040        4.008768       607.689944      472.822931      19.589749        7.736802          528      
      7.50          5.016308         43433             2               2              792            16484         90.565416        4.008771       616.842115      474.428334      19.734640        7.694924          534      
      7.50          5.016308         43433             2               1               0              105           9.367739        4.608163       72.428271        0.000000        9.367739        4.608163           22      
      7.60          5.016308         43406             3               3              691            16234         91.392063        4.023840       634.767691      483.827420      19.831124        8.223060          545      
      7.70          5.016308         43469             2               2              625            15298         63.788953       21.525152       468.530592      347.488610      17.343284       41.982053          496      
      7.80          5.016308         43373             1               1              650            16434         89.244378        3.119569       597.406235      483.429374      18.149689        7.145633          514      
      7.90          5.016308         43316             1               1              616            16096         89.649965        3.050667       600.468050      489.948108      18.309232        8.268845          506      
      8.00          5.016308         43038             1               1              874            16839         89.449594        2.926335       593.616765      481.458682      19.799687        7.684970          529      
      8.10          5.016308         43110             2               2              752            16848         89.782383        2.497617       602.451075      467.580158      20.053743        6.574938          544      
      8.20          5.016308         43245             1               1              754            16697         89.950782        3.508680       605.876428      472.392711      19.790003        7.746713          530      
      8.30          5.016308         43236             1               1              532            16328         89.664019        3.027287       591.463822      473.729869      18.841711        7.450324          514      
      8.40          5.016308         43242             1               1              937            16878         90.591793        3.716688       601.542113      468.868386      20.859355        7.956596          552      
      8.50          5.016308         43329             1               1              641            16362         89.790278        3.672569       607.127251      489.298540      18.850953        8.142307          519      
      8.60          5.016308         43092             1               1              728            16422         89.079034        3.447663       597.319507      473.057502      18.880757        6.937951          509      
      8.70          5.016308         43084             2               2              1018           16950         90.723376        3.730196       617.414572      462.360356      21.216672        7.322939          562      
      8.80          5.016308         43237             1               1              791            16558         91.190278        5.036472       634.183246      475.340375      20.743139        9.003745          547      
      8.90          5.016308         43389             1               1              883            16745         90.664606        3.985883       614.220884      471.251578      20.407983        8.253220          548      
      9.00          5.016308         43503             1               1              638            16316         90.964666        4.655170       632.539026      472.014904      19.701768        8.721786          533      
      9.10          5.016308         43597             1               1              631            16285         90.371649        3.059787       608.440966      476.182462      19.005110        6.908528          527      
      9.20          5.016308         43641             1               1              609            16370         91.565280        4.005764       621.222202      474.754336      20.219641        7.873340          550      
      9.30          5.016308         43833             1               1              627            16564         91.140787        3.248101       618.760563      474.927515      19.890339        7.273858          541      
