        tauB               sizeBin             clust_size      press_align
       16.60               5.016308              30293              867.426195     
       16.70               5.016308              29852              688.282733     
       16.80               5.016308              29807              844.539065     
       16.90               5.016308              29587              931.605451     
       17.00               5.016308              29792              999.609669     
       17.10               5.016308              29449              877.310323     
       17.20               5.016308              29391              990.602696     
       17.30               5.016308              29538              958.504819     
       17.40               5.016308              29724              956.895150     
       17.50               5.016308              29448              893.586902     
       17.60               5.016308              29391              907.998486     
       17.70               5.016308              29306              891.432355     
       17.80               5.016308              29700              874.582900     
       17.90               5.016308              29434              989.107579     
       18.00               5.016308              29528              883.596983     
       18.10               5.016308              29478              935.592924     
       18.20               5.016308              29628              795.613031     
       18.30               5.016308              29501              909.815861     
       18.40               5.016308              29351              907.315038     
       18.50               5.016308              29715              809.894324     
       18.60               5.016308              29829              795.506729     
       18.70               5.016308              29720              769.380887     
       18.80               5.016308              29878              855.634282     
       18.90               5.016308              29758              877.956161     
       19.00               5.016308              29638              884.859658     
       19.10               5.016308              29514              844.295879     
       19.20               5.016308              29476              881.646279     
       19.30               5.016308              29148              910.534047     
       19.40               5.016308              29067              916.154757     
       19.50               5.016308              28956              966.926990     
       19.60               5.016308              28888              968.583500     
       19.70               5.016308              29117              860.659109     
       19.80               5.016308              29226              811.186124     
       19.90               5.016308              29248              789.746218     
       20.00               5.016308              29338              701.567972     
       20.10               5.016308              29311              700.352782     
       20.20               5.016308              29477              711.670776     
       20.30               5.016308              29324              711.472462     
       20.40               5.016308              29182              832.460750     
       20.50               5.016308              28968              714.376079     
       20.60               5.016308              28978              746.831372     
       20.70               5.016308              28782              893.634465     
       20.80               5.016308              28380              908.575961     
       20.90               5.016308              28635              753.900595     
       21.00               5.016308              28665              760.279447     
       21.10               5.016308              28568              808.015798     
       21.20               5.016308              28488              802.834832     
       21.30               5.016308              28519              858.914809     
       21.40               5.016308              28657              816.722512     
       21.50               5.016308              28550              775.179441     
       21.60               5.016308              28545              827.105590     
       21.70               5.016308              28534              780.553909     
       21.80               5.016308              28381              704.632837     
       21.90               5.016308              28319              631.617552     
       22.00               5.016308              28216              829.159588     
       22.10               5.016308              28284              868.280425     
       22.20               5.016308              28222              824.542762     
       22.30               5.016308              28399              924.956363     
       22.40               5.016308              28050              929.341679     
       22.50               5.016308              28252              874.310408     
       22.60               5.016308              28034              863.312279     
       22.70               5.016308              27893              915.468170     
       22.80               5.016308              27933              856.273696     
       22.90               5.016308              27985              906.757057     
       23.00               5.016308              27991              860.041662     
       23.10               5.016308              27857              797.293866     
       23.20               5.016308              27985              846.286617     
       23.30               5.016308              28309              808.290832     
       23.40               5.016308              28567              728.809724     
       23.50               5.016308              28008              793.672231     
       23.60               5.016308              28127              692.378048     
       23.70               5.016308              28002              687.328965     
       23.80               5.016308              27773              660.914854     
       23.90               5.016308              27990              715.421038     
       24.00               5.016308              27676              782.927540     
       24.10               5.016308              27527              792.373432     
       24.20               5.016308              27708              785.366570     
       24.30               5.016308              27640              746.745373     
       24.40               5.016308              27733              844.626534     
       24.50               5.016308              27807              835.845816     
       24.60               5.016308              27672              822.372170     
       24.70               5.016308              28040              801.136093     
       24.80               5.016308              27974              826.330458     
       24.90               5.016308              27802              851.385866     
       25.00               5.016308              27948              915.151142     
       25.10               5.016308              27952              881.000635     
       25.20               5.016308              27794              929.499347     
       25.30               5.016308              27789              980.580278     
       25.40               5.016308              27811              932.113479     
       25.50               5.016308              27806              855.066180     
       25.60               5.016308              27995              868.403226     
       25.70               5.016308              28126              768.923121     
       25.80               5.016308              28084              751.381631     
       25.90               5.016308              28026              781.615397     
