    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     3.900         42656.921       722491.327      13902.662       13902.662       721760.836      736028.744      18147.990      78451796.826     -91983.866      -91983.866     78383584.631    78325706.862       1173.2          36105     
     4.000         42329.220       699563.374       -503.769        -503.769       692252.777      695404.306      18102.264      77354783.250    -416524.641     -416524.641     78120611.132    77321172.550       1299.4          36324     
     4.100         42602.304       678623.851      -1252.889       -1252.889       665834.436      670976.254      18121.316      79179411.443    -372213.926     -372213.926     78656139.084    78545561.338       1183.4          36189     
     4.200         42609.925       680142.870       6677.314        6677.314       666727.997      680112.748      18197.526      79587112.317    -148740.212     -148740.212     77971943.260    78630787.576       1183.4          36291     
     4.300         42474.018       673524.006      -2351.643       -2351.643       665162.909      666991.814      18179.744      78011876.845     98833.875       98833.875      77115852.054    77662698.325       1247.6          36296     
     4.400         42235.229       678143.510      -1179.726       -1179.726       673771.573      674777.815      18370.267      76447544.621     473056.548      473056.548     75560561.461    76477109.589       1258.9          36491     
     4.500         42226.338       685086.361       3182.237        3182.237       680585.328      686018.082      18181.014      75077853.906     -43958.429      -43958.429     75543397.579    75266667.314       1327.6          36340     
     4.600         42352.083       662653.483       2885.760        2885.760       681855.092      675140.047      18328.352      74678006.443     166208.267      166208.267     75664881.675    75337652.327       1189.0          36322     
     4.700         42306.358       708482.292       3367.534        3367.534       711850.053      713533.706      18250.872      73716705.724     321622.449      321622.449     73872941.275    74116445.948       1220.6          36142     
     4.800         42190.773       705592.148      -2231.219       -2231.219       688365.134      694747.422      18198.796      73801154.312     278062.138      278062.138     73627012.534    73992145.561       1298.3          36147     
     4.900         42305.087       693845.713      -9035.552       -9035.552       726102.501      700938.555      18090.833      75091597.955    -136056.574     -136056.574     74763314.981    74791399.894       1301.7          36063     
     5.000         42260.632       715451.742      11939.543       11939.543       719319.215      729325.022      18015.893      74725958.444     -4726.637       -4726.637      74485953.432    74601229.301       1317.5          35966     
     5.100         42738.211       774377.762       364.443         364.443        754619.689      764863.169      17787.265      74820035.834     351288.632      351288.632     75768867.678    75645740.389       1262.3          35555     
     5.200         42777.586       726513.677      -3200.907       -3200.907       755517.030      737814.446      17938.414      74464449.947     606808.967      606808.967     76350541.597    76014304.739       1201.4          35680     
     5.300         42656.921       742221.610      -9992.659       -9992.659       735236.159      728736.226      17926.982      73410627.557     518234.612      518234.612     74947719.687    74697408.234       1209.3          35687     
     5.400         42584.522       733259.011      -20940.468      -20940.468      736875.147      714126.610      18083.212      72979020.499     62924.679       62924.679      75009256.021    74057062.940       1192.4          35697     
     5.500         42167.911       731430.884       2610.542        2610.542       729689.209      733170.589      17835.531      71667416.686     257180.532      257180.532     74026662.739    73104220.245       1433.6          35730     
     5.600         42935.085       761031.507       518.872         518.872        770695.307      766382.278      17807.588      72345987.939     652116.106      652116.106     73959036.953    73804628.552       1178.9          35305     
     5.700         42449.885       704619.084      -9346.987       -9346.987       683329.293      684627.201      17841.882      71256323.003     583325.933      583325.933     72985629.568    72704302.219       1299.4          35608     
     5.800         42319.059       750541.017       4225.423        4225.423       757945.032      758468.447      17821.560      71926526.102     29065.353       29065.353      71561456.176    71773056.492       1351.3          35596     
     5.900         42380.027       762257.111       5654.360        5654.360       735399.994      754482.912      17783.455      69565640.603    -250902.241     -250902.241     71108206.316    70086021.218       1310.7          35409     
     6.000         42429.563       793777.721      -2410.515       -2410.515       775738.791      782347.741      17377.005      70970023.136     447549.045      447549.045     71347804.329    71606462.778       1458.4          24096     
     6.100         42754.723       794091.403      17231.287       17231.287       800612.691      814583.334      17587.851      71897831.084     680804.697      680804.697     70502630.418    71881035.448       1284.8          35030     
     6.200         42353.353       785556.844       7002.593        7002.593       779295.187      789428.608      17858.394      70238175.986     452326.046      452326.046     69042623.447    70092725.762       1337.8          35196     
     6.300         43121.798       972623.673      -18082.874      -18082.874      969265.025      952861.474      17119.163      70890346.529     706531.184      706531.184     69678321.403    70990865.150       1353.5          34377     
     6.400         43151.011       869641.583      -10274.630      -10274.630      867995.221      858543.772      17276.663      71241816.331     571788.810      571788.810     70159582.394    71272488.173       1261.1          34467     
     6.500         43032.887       938716.734      -3346.829       -3346.829       908485.569      920254.323      16978.176      70410433.393     627331.710      627331.710     69848662.919    70756879.866       1420.0          34213     
