    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     0.000         78078.582       35931.922        482.491         482.491        35258.665       36077.785       49483.225      57962725.162     -4611.840       -4611.840      57954602.501    57954051.992       762.9           80128     
     0.100         78232.606       528067.512       1976.811        1976.811       536905.516      534463.325      49162.553      70676293.789    -251509.702     -251509.702     71131820.440    70652547.413       779.8           80952     
     0.200         77783.160       480719.715      -5501.617       -5501.617       477239.977      473478.229      49588.011      74013397.547     -28056.175      -28056.175     74455781.572    74206533.385       805.6           81648     
     0.300         77265.540       465581.144       -431.701        -431.701       457258.321      460988.032      49899.846      74979863.451      221.481         221.481       74908256.815    74944281.614       860.7           82106     
     0.400         76934.768       440822.099       473.534         473.534        444361.660      443065.413      50005.895      74910120.257    -199253.609     -199253.609     74889589.634    74700601.337       934.8           82362     
     0.500         76620.409       440314.688       1048.886        1048.886       429610.804      436011.632      50106.894      75001010.501     48737.025       48737.025      75166058.435    75132271.493       982.0           82549     
     0.600         76718.883       416555.992      -5432.845       -5432.845       420343.422      413016.862      49892.271      75185686.717     187107.970      187107.970     75532749.116    75546325.887       1013.5          82400     
     0.700         76737.820       445504.695       3668.426        3668.426       439794.516      446318.031      49666.286      75498446.928     -73274.973      -73274.973     75603105.419    75477501.200       1070.8          82298     
     0.800         76793.369       438229.037       1524.592        1524.592       447071.889      444175.055      49449.138      76341148.767     41273.044       41273.044      76669268.228    76546481.541       1100.0          82248     
     0.900         76893.106       432932.513       1519.553        1519.553       445939.534      440955.577      49388.538      77159159.334    -290384.568     -290384.568     77406189.014    76992289.606       1080.9          82194     
     1.000         76890.581       441438.558      -1958.097       -1958.097       437471.125      437496.745      49359.501      77300798.478     48266.760       48266.760      77906679.401    77652005.700       1110.1          82279     
     1.100         77024.405       461551.495      -2224.333       -2224.333       462589.370      459846.100      49167.603      78112241.108     135479.556      135479.556     78562660.715    78472930.468       1123.6          82140     
     1.200         77030.717       448486.249       9911.409        9911.409       452021.211      460165.139      48922.680      78476706.258     253086.086      253086.086     78997395.346    78990136.888       1182.0          81973     
     1.300         77154.441       444572.232       1122.752        1122.752       458363.911      452590.823      48931.518      78797026.293     211191.365      211191.365     79175346.633    79197377.828       1133.7          81977     
     1.400         77068.592       461065.865      -1421.975       -1421.975       464350.776      461286.345      48891.118      78870511.956     -54583.885      -54583.885     78382764.263    78572054.224       1166.3          81902     
     1.500         77239.028       452762.899      -3496.008       -3496.008       451709.725      448740.303      48783.806      79108932.262     220687.976      220687.976     79018349.682    79284328.948       1148.3          81743     
     1.600         77382.951       480659.551       1948.124        1948.124       471074.424      477815.112      48562.871      79068507.499     367238.722      367238.722     79490117.824    79646551.384       1168.5          81586     
     1.700         77438.501       461610.894       3599.779        3599.779       465295.549      467053.000      48405.060      79874541.536     255513.660      255513.660     80118897.887    80252233.371       1209.0          81545     
     1.800         77622.824       481600.848      -3059.586       -3059.586       468262.137      471871.906      48271.236      80112891.622    -170239.875     -170239.875     80518270.881    80145341.377       1191.0          81414     
     1.900         77770.535       484308.924       5519.178        5519.178       494071.146      494709.213      48153.825      80145014.245     46922.413       46922.413      81068384.748    80653621.909       1185.4          81262     
     2.000         77928.346       484302.779       2674.301        2674.301       499856.176      494753.778      47906.377      81355679.519     439799.428      439799.428     81379655.623    81807466.998       1209.0          81161     
     2.100         78092.470       506127.353       -766.094        -766.094       495026.739      499810.951      47826.840      81564125.501     288406.189      288406.189     81404928.248    81772933.063       1170.8          81023     
     2.200         78132.869       482227.558      -6538.277       -6538.277       487076.898      478113.952      47864.715      82435041.888     583270.874      583270.874     82205200.848    82903392.242       1129.2          81108     
     2.300         78166.957       477728.211      -3046.338       -3046.338       482025.086      476830.310      47820.528      82729782.153     704111.253      704111.253     82856711.977    83497358.317       1143.8          81280     
     2.400         78126.557       476400.314      -9509.938       -9509.938       481010.305      469195.371      47910.165      82889722.769     710190.175      710190.175     83275790.024    83792946.571       1122.5          81322     
     2.500         78107.620       474338.234       5799.776        5799.776       475445.550      480691.668      47734.679      83061174.361     91069.140       91069.140      83363264.650    83303288.646       1193.3          81334     
     2.600         78235.131       484227.963       954.176         954.176        474781.743      480459.028      47868.502      83798167.817     295253.987      295253.987     83309377.073    83849026.432       1103.4          81321     
     2.700         78392.942       478342.626       -582.904        -582.904       484965.633      481071.226      47858.403      83882516.302     417113.632      417113.632     84032003.884    84374373.724       1076.4          81289     
     2.800         78371.480       486039.302       2537.994        2537.994       473031.082      482073.186      47843.253      83247687.386     220528.581      220528.581     83861076.884    83774910.716       1086.5          81302     
     2.900         78249.018       492895.152       2521.054        2521.054       479450.291      488693.775      47958.139      82895281.774     342740.595      342740.595     83509342.555    83545052.760       1086.5          81351     
     3.000         78261.643       483012.108       1006.563        1006.563       481914.508      483469.871      48046.513      82845847.146     506097.772      506097.772     83212570.665    83535306.678       1058.4          81351     
     3.100         78021.771       469228.379       995.796         995.796        464088.853      467654.412      48062.926      82049910.804     400028.796      400028.796     82011172.840    82430570.618       1152.8          81399     
     3.200         77919.509       468295.787       1071.239        1071.239       467013.077      468725.671      48181.600      81684995.272     469648.130      469648.130     81538716.109    82081503.820       1124.7          81456     
     3.300         77938.446       453025.701       1284.876        1284.876       450272.322      452933.888      48107.113      82209015.969     166465.025      166465.025     81909164.207    82225555.113       1145.0          81459     
     3.400         78035.658       469642.497       4709.393        4709.393       479403.164      479232.223      48214.424      82390402.696     503492.719      503492.719     82461769.332    82929578.733       1075.3          81511     
     3.500         77817.247       476271.444       1870.953        1870.953       475078.216      477545.783      48355.823      82320333.460     453940.956      453940.956     82156956.086    82692585.729       1104.5          81609     
     3.600         77750.336       475090.125      -1663.363       -1663.363       466443.877      469103.638      48211.899      81806106.869     278868.570      278868.570     81697209.910    82030526.960       1183.2          81527     
     3.700         77884.159       493207.228       731.708         731.708        474177.357      484424.001      48233.362      81706783.831     372001.996      372001.996     81054446.141    81752616.982       1123.6          81437     
     3.800         77804.623       451421.068      -4309.176       -4309.176       459078.430      450940.573      48187.912      81477375.425     264855.041      264855.041     81036654.182    81521869.844       1167.4          81425     
     3.900         77845.022       484583.168       2760.294        2760.294       477929.357      484016.556      48176.550      81000072.091     207107.573      207107.573     80790421.959    81102354.599       1161.8          81351     
     4.000         77791.998       488978.481       2631.529        2631.529       474311.472      484276.505      48328.048      80915803.028     108046.382      108046.382     80674162.203    80903028.997       1127.0          81418     
     4.100         77812.197       476815.141       436.788         436.788        487305.968      482497.343      48152.562      81202056.797     124149.076      124149.076     80517995.315    80984175.132       1179.8          81366     
     4.200         77800.835       479758.231       1653.268        1653.268       481617.455      482341.111      48185.387      81333985.341     40111.049       40111.049      80618807.720    81016507.579       1180.9          81362     
     4.300         77910.672       480446.646       3086.262        3086.262       491756.264      489187.716      48147.512      80944595.076     318458.396      318458.396     80561679.555    81071595.712       1148.3          81243     
     4.400         77863.959       492468.348      -2031.079       -2031.079       489478.231      488942.210      48204.324      80670309.191     230559.507      230559.507     79846448.306    80488938.255       1146.1          81199     
     4.500         77905.622       481636.280       6958.074        6958.074       482718.966      489135.697      48242.199      80027115.528     417543.493      417543.493     79781052.115    80321627.315       1129.2          81165     
     4.600         78096.257       504874.092       6478.335        6478.335       504055.947      510943.355      48079.338      80670652.407     406203.711      406203.711     79927274.764    80705167.297       1104.5          80935     
     4.700         78318.455       508958.551       804.529         804.529        522023.474      516295.542      47859.665      81517758.573    -319731.805     -319731.805     81080558.973    80979426.968       1111.2          80862     
     4.800         78599.990       509898.455       354.380         354.380        500016.490      505311.852      47751.091      83530880.392     -88692.518      -88692.518     82570359.012    82961927.184       1058.4          80868     
     4.900         78689.627       497798.026      -3839.469       -3839.469       481604.160      485861.623      47800.328      84702192.049     123378.138      123378.138     84035808.199    84492378.263       1025.9          80984     
     5.000         78521.716       504836.053       2886.864        2886.864       505302.842      507956.312      47714.479      85239300.476     391928.564      391928.564     84992422.333    85507789.969       1091.0          81118     
     5.100         78572.215       472557.931      -2714.453       -2714.453       478663.114      472896.070      47734.679      85644818.681     184635.271      184635.271     84948059.143    85481074.183       1084.3          81140     
     5.200         78539.391       489963.252      -3034.896       -3034.896       488248.327      486070.893      47839.465      85483167.201     238494.891      238494.891     85129159.996    85544658.489       1059.6          81229     
     5.300         78658.065       491083.309       407.810         407.810        490763.559      491331.244      47865.977      85180273.246    -320081.552     -320081.552     85077164.498    84808637.320       1020.2          81177     
     5.400         78334.868       495719.085       5556.067        5556.067       487842.997      497337.108      47993.489      84173865.933    -245131.270     -245131.270     83767136.723    83725370.058       1067.4          81304     
     5.500         78240.181       485859.132      -8563.723       -8563.723       498481.943      483606.815      48047.776      82723327.091     -78199.442      -78199.442     82795930.380    82681429.294       1096.6          81250     
     5.600         78366.430       513414.675       4139.502        4139.502       497045.086      509369.382      48084.388      82956114.954     99647.746       99647.746      82653880.426    82904645.436       1033.7          81151     
     5.700         78635.340       497882.245       4619.460        4619.460       498624.336      502872.751      47919.002      82981595.150     323104.578      323104.578     84051549.781    83839677.044       1010.1          81023     
     5.800         78621.452       494077.128       6710.330        6710.330       499795.553      503646.670      47992.226      82760746.073    -351287.390     -351287.390     84266525.852    83162348.572       991.0           81019     
     5.900         78541.916       492133.889      -1989.233       -1989.233       478739.402      483447.412      47944.252      82744286.250     38935.566       38935.566      84080193.186    83451175.284       1038.2          81070     
     6.000         78457.329       506503.323      -3823.660       -3823.660       517634.651      508245.327      47975.814      83366749.751    -136811.670     -136811.670     83965383.404    83529254.907       1065.2          81116     
     6.100         78639.127       489555.462      -4700.769       -4700.769       507248.340      493701.132      48021.264      83266587.937     28113.348       28113.348      83209557.520    83266186.077       993.3           81012     
     6.200         78606.303       495423.565       4090.044        4090.044       496237.891      499920.772      47893.752      83502328.253    -288902.735     -288902.735     82821742.285    82873132.534       1041.6          80897     
     6.300         78541.916       492666.582       1108.457        1108.457       499928.989      497406.242      47811.690      83448837.874    -135444.423     -135444.423     82988531.665    83083240.347       1074.2          80893     
     6.400         78761.589       528732.136       4758.367        4758.367       524383.561      531316.216      47709.429      83434788.282    -380952.638     -380952.638     83480487.558    83076685.282       1043.8          80779     
     6.500         78711.089       515556.316       -676.283        -676.283       510105.543      512154.646      47700.592      83623696.360     80447.753       80447.753      83666612.898    83725602.383       1064.1          80843     
     6.600         78668.164       500974.602       2450.891        2450.891       505722.111      505799.248      47912.690      83491985.103     211613.928      211613.928     83912622.026    83913917.493       1013.5          80932     
     6.700         78625.240       484033.889      -11659.136      -11659.136      497976.960      479346.289      47925.314      83394319.601     85701.468       85701.468      83274604.151    83420163.345       1024.7          81028     
     6.800         78733.814       490757.481       6472.357        6472.357       488559.916      496131.056      47888.702      83041773.545     323499.213      323499.213     83670343.781    83679557.876       991.0           80940     
     6.900         78500.254       493051.245      -3285.374       -3285.374       499815.287      493147.892      48069.238      82686524.755     195758.695      195758.695     82873455.834    82975748.989       1034.8          81126     
     7.000         78432.079       492045.138       2644.705        2644.705       505490.450      501412.499      48153.825      82132476.700     376826.324      376826.324     82312247.219    82599188.283       1020.2          81113     
     7.100         78487.629       499528.810      -1334.231       -1334.231       494295.267      495577.807      48117.213      81920340.846     175751.202      175751.202     81901595.108    82086719.180       1007.9          81022     
     7.200         78428.292       510986.498       1410.928        1410.928       507375.248      510591.801      48141.200      81977763.905     179916.160      179916.160     82071184.397    82204390.311       1012.4          81027     
     7.300         78420.717       480118.226       206.243         206.243        480427.206      480478.958      48007.376      82244516.593     321148.467      321148.467     82563833.784    82725323.656       1051.7          81035     
     7.400         78435.867       480872.905       1325.604        1325.604       495486.124      489505.119      48110.900      82541617.169     24379.784       24379.784      82620260.830    82605318.783       1010.1          81137     
     7.500         78559.590       491754.522      -1756.445       -1756.445       485950.066      487095.849      48047.776      82935963.920     42073.320       42073.320      82277626.288    82648868.423       996.6           80989     
     7.600         78626.502       505174.623      -7508.758       -7508.758       507800.660      498978.883      47905.115      82826021.390     103494.724      103494.724     82792449.912    82912730.375       1048.3          80935     
