        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        4.00               5.016308              42414             13915.330311           1.839554             0.075797           14192.127116           1.244493             0.657215             0.000000             0.000000             0.000000           37342.405391           0.180492             0.092157      
        4.10               5.016308              42297             13789.513581           1.840457             0.078709           13739.186889           1.285593             0.642935             0.000000             0.000000             0.000000           37921.162348           0.183486             0.091815      
        4.20               5.016308              42210             13563.043468           1.845677             0.077823           14015.983695           1.283749             0.640904             0.000000             0.000000             0.000000           37870.835656           0.184152             0.091791      
        4.30               5.016308              42099             13286.246662           1.854022             0.070157           14091.473732           1.298941             0.638012             0.000000             0.000000             0.000000           38072.142424           0.185516             0.091424      
        4.40               5.016308              42083             13261.083316           1.861311             0.074054           14720.557381           1.251040             0.662604             0.000000             0.000000             0.000000           37468.222121           0.184183             0.090167      
        4.50               5.016308              42122             13739.186889           1.860954             0.070325           13487.553430           1.287335             0.633338             0.000000             0.000000             0.000000           38223.122499           0.184940             0.092231      
        4.60               5.016308              42275             13563.043468           1.860202             0.072123           14393.433884           1.243414             0.670510             0.000000             0.000000             0.000000           37493.385467           0.183312             0.089797      
        4.70               5.016308              42349             13814.676927           1.856504             0.071591           13487.553430           1.290820             0.644557             0.000000             0.000000             0.000000           38147.632462           0.182003             0.090416      
        4.80               5.016308              42370             13814.676927           1.850568             0.069701           14041.147041           1.253601             0.663249             0.000000             0.000000             0.000000           37594.038851           0.181758             0.087673      
        4.90               5.016308              42457             14091.473732           1.841255             0.068508           13940.493657           1.243500             0.658080             0.000000             0.000000             0.000000           37417.895429           0.179566             0.090204      
        5.00               5.016308              42467             14494.087268           1.832747             0.067504           13185.593278           1.264865             0.643292             0.000000             0.000000             0.000000           37770.182272           0.178924             0.089112      
        5.10               5.016308              42539             14317.943846           1.829313             0.066711           13663.696851           1.253394             0.650991             0.000000             0.000000             0.000000           37468.222121           0.178338             0.084813      
        5.20               5.016308              42539             14091.473732           1.832952             0.068678           14317.943846           1.230554             0.658544             0.000000             0.000000             0.000000           37040.445240           0.176888             0.088101      
        5.30               5.016308              42521             14192.127116           1.835172             0.067537           13537.880122           1.277600             0.634755             0.000000             0.000000             0.000000           37719.855580           0.176538             0.086779      
        5.40               5.016308              42726             14192.127116           1.839048             0.068360           13739.186889           1.263102             0.665549             0.000000             0.000000             0.000000           37518.548813           0.174474             0.088968      
        5.50               5.016308              42836             14468.923922           1.841533             0.068630           13361.736700           1.262560             0.660446             0.000000             0.000000             0.000000           37619.202197           0.172385             0.086069      
        5.60               5.016308              42949             14267.617154           1.840321             0.066945           14041.147041           1.245981             0.668251             0.000000             0.000000             0.000000           37141.098623           0.168223             0.089054      
        5.70               5.016308              43030             14368.270538           1.845038             0.065681           13839.840273           1.248425             0.664680             0.000000             0.000000             0.000000           37241.752007           0.166802             0.086380      
        5.80               5.016308              43015             13915.330311           1.848321             0.062004           14192.127116           1.272114             0.658734             0.000000             0.000000             0.000000           37342.405391           0.166727             0.087141      
        5.90               5.016308              42903             14041.147041           1.848709             0.060219           13839.840273           1.279350             0.650828             0.000000             0.000000             0.000000           37568.875505           0.168650             0.089173      
        6.00               5.016308              42876             14192.127116           1.846376             0.065841           13487.553430           1.286371             0.644697             0.000000             0.000000             0.000000           37770.182272           0.170664             0.085611      
        6.10               5.016308              42737             14116.637078           1.841586             0.067822           13487.553430           1.290227             0.643870             0.000000             0.000000             0.000000           37845.672310           0.174419             0.091422      
        6.20               5.016308              42589             13865.003619           1.836711             0.069307           13890.166965           1.289905             0.639012           1333.657335            0.176957             0.104022           36361.034899           0.175490             0.089804      
        6.30               5.016308              42500             13865.003619           1.836206             0.067419           13890.166965           1.281122             0.644351             0.000000             0.000000             0.000000           37694.692234           0.178964             0.088782      
        6.40               5.016308              42443             13965.657003           1.834643             0.063583           13663.696851           1.285889             0.648806             0.000000             0.000000             0.000000           37820.508964           0.180008             0.086753      
        6.50               5.016308              42363             14015.983695           1.831052             0.065103           14292.780500           1.231951             0.676996             0.000000             0.000000             0.000000           37141.098623           0.181147             0.089665      
        6.60               5.016308              42484             14645.067343           1.830104             0.067165           13386.900046           1.237180             0.663268             0.000000             0.000000             0.000000           37417.895429           0.177348             0.089876      
        6.70               5.016308              42705             14494.087268           1.825296             0.065844           13537.880122           1.255514             0.656099             0.000000             0.000000             0.000000           37417.895429           0.174970             0.086811      
        6.80               5.016308              42785             14443.760576           1.820232             0.073897           13990.820349           1.236811             0.662217             0.000000             0.000000             0.000000           37015.281894           0.173037             0.090594      
        6.90               5.016308              42770             14317.943846           1.819186             0.075993           14267.617154           1.228727             0.681446             0.000000             0.000000             0.000000           36864.301818           0.174206             0.089920      
        7.00               5.016308              42758             14468.923922           1.819693             0.075539           13487.553430           1.270208             0.644364             0.000000             0.000000             0.000000           37493.385467           0.174404             0.087963      
        7.10               5.016308              42526             14317.943846           1.823306             0.073980           12984.286511           1.316360             0.610984             0.000000             0.000000             0.000000           38147.632462           0.178307             0.095467      
        7.20               5.016308              42333             13865.003619           1.830941             0.074359           13336.573354           1.320354             0.622040             0.000000             0.000000             0.000000           38248.285845           0.183145             0.091931      
