        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        0.00               5.016308              36768             6919.920136            1.555798             0.119315           20633.943680           1.308572             0.425274             0.000000             0.000000             0.000000           37895.999002           0.322805             0.074876      
        0.10               5.016308              36823             6441.816563            1.853825             0.133116           17538.852128           1.446503             0.650935             0.000000             0.000000             0.000000           41469.194127           0.305962             0.121414      
        0.20               5.016308              37224             6064.366374            1.996416             0.128952           18847.346117           1.376003             0.723057             0.000000             0.000000             0.000000           40538.150327           0.295006             0.120628      
        0.30               5.016308              37665             6315.999834            1.987809             0.132135           20155.840107           1.306916             0.722122             0.000000             0.000000             0.000000           38978.022878           0.284853             0.118584      
        0.40               5.016308              38055             6743.776715            1.950094             0.126782           19627.409842           1.329060             0.671154             0.000000             0.000000             0.000000           39078.676262           0.275419             0.115757      
        0.50               5.016308              38452             7800.637245            1.899588             0.127153           19677.736534           1.270929             0.660312             0.000000             0.000000             0.000000           37971.489040           0.267912             0.111670      
        0.60               5.016308              38811             8832.334429            1.858965             0.123369           18822.182771           1.256921             0.631465             0.000000             0.000000             0.000000           37795.345618           0.262546             0.110879      
        0.70               5.016308              39163             10769.912067           1.812271             0.116283           17488.525436           1.196327             0.619878            251.633460            0.429196             0.118956           36939.791856           0.255876             0.106986      
        0.80               5.016308              39537             13160.429932           1.774790             0.103353           14645.067343           1.174184             0.578633             0.000000             0.000000             0.000000           37644.365542           0.250954             0.109466      
        0.90               5.016308              39695             12883.633127           1.746014             0.087018           17538.852128           1.073046             0.618960            855.553762            0.286364             0.122214           34171.823801           0.246987             0.107209      
        1.00               5.016308              39927             14116.637078           1.718965             0.074102           15399.967722           1.096496             0.594740             0.000000             0.000000             0.000000           35933.258018           0.246234             0.108003      
        1.10               5.016308              40032             14921.864149           1.693287             0.071270           14972.190841           1.069850             0.591910             0.000000             0.000000             0.000000           35555.807829           0.245108             0.105091      
        1.20               5.016308              40164             15148.334262           1.674177             0.064405           15651.601181           1.033632             0.600814             0.000000             0.000000             0.000000           34649.927374           0.244185             0.105672      
        1.30               5.016308              40265             15425.131068           1.662287             0.066433           14116.637078           1.109967             0.557851            654.246995            0.226214             0.128428           35253.847677           0.242300             0.105549      
        1.40               5.016308              40389             15576.111144           1.649064             0.067706           15047.680879           1.059366             0.574880             0.000000             0.000000             0.000000           34826.070796           0.240423             0.101721      
        1.50               5.016308              40496             16305.848176           1.637817             0.069792           13487.553430           1.096196             0.544254             0.000000             0.000000             0.000000           35656.461212           0.238638             0.101815      
        1.60               5.016308              40563             16129.704755           1.628734             0.072338           14494.087268           1.071471             0.554640             0.000000             0.000000             0.000000           34826.070796           0.235427             0.102711      
        1.70               5.016308              40480             15878.071295           1.623938             0.071038           14393.433884           1.100849             0.546551             0.000000             0.000000             0.000000           35178.357639           0.237930             0.104991      
        1.80               5.016308              40529             15777.417911           1.621875             0.071432           14116.637078           1.129943             0.531527             0.000000             0.000000             0.000000           35555.807829           0.237936             0.102934      
        1.90               5.016308              40522             15878.071295           1.617766             0.068383           16079.378063           1.016022             0.580970            880.717108            0.221410             0.085648           32611.696352           0.238595             0.106507      
        2.00               5.016308              40534             15651.601181           1.615298             0.068873           15223.824300           1.082185             0.555387            402.613535            0.263280             0.146606           34171.823801           0.238120             0.105468      
        2.10               5.016308              40376             15248.987646           1.611779             0.065286           16582.644982           1.044465             0.572536           1308.493989            0.239971             0.080604           32309.736201           0.241042             0.105029      
