      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      2.20          5.016308         31510             5               13              55              50           3.203390        1.532347       29.377397        0.000000        3.203390        1.532347           10      
      2.30          5.016308         31402             4               4              7869            9323         88.763070        4.451850       649.620755      414.909424      27.150135        7.433460          634      
      2.30          5.016308         31402             4               6              160             145           7.962067        4.045635       67.514572        0.000000        7.962067        4.045635           28      
      2.30          5.016308         31402             4               1              148             139          10.372415        2.906010       78.734678        0.000000       10.372415        2.906010           26      
      2.30          5.016308         31402             4               3               80              52           3.857900        1.554738       32.932809        0.000000        3.857900        1.554738           10      
      2.30          5.016308         31402             4               9               61              54          57.521384       26.118512       390.426377       0.000000       57.521384       26.118512           14      
      2.40          5.016308         31157             3               3              7563            8976         86.666818        3.531735       614.502125      417.085275      24.841013        6.374308          594      
      2.40          5.016308         31157             3               4              129             100           5.986315        2.028431       58.185306        0.000000        5.986315        2.028431           21      
      2.40          5.016308         31157             3               1               77              60           4.510093        1.913200       32.919102        0.000000        4.510093        1.913200           12      
      2.40          5.016308         31157             3               10              67              64           3.850253        1.548254       37.556447        0.000000        3.850253        1.548254           10      
      2.40          5.016308         31157             3               7               57              57           5.069634        0.571093       33.649780        0.000000        5.069634        0.571093           10      
      2.50          5.016308         31348             4               4              7506            8881         87.191457        4.829097       595.409431      414.982124      25.017807        7.413724          597      
      2.50          5.016308         31348             4               9              326             239          11.521083        5.774596       111.488516       0.000000       11.521083        5.774596           48      
      2.50          5.016308         31348             4               8              118             103           8.436666        1.216113       55.092538        0.000000        8.436666        1.216113           18      
      2.50          5.016308         31348             4               3               89              77           6.555105        2.312501       56.345320        0.000000        6.555105        2.312501           15      
      2.50          5.016308         31348             4               6               79              71           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           13      
      2.60          5.016308         30949             4               4              7106            8606         86.253325        4.025119       588.336057      417.371080      23.550066        6.790011          562      
      2.60          5.016308         30949             4               5              221             173          14.219859        6.005617       128.626376       0.000000       14.219859        6.005617           38      
      2.60          5.016308         30949             4               6              160             155           9.975155        2.840560       70.349441        0.000000        9.975155        2.840560           25      
      2.60          5.016308         30949             4               1               71              54          56.480979       26.676982       393.817359       0.000000       56.480979       26.676982           14      
      2.70          5.016308         30977             2               2              6647            8193         85.627112        3.967554       588.284027      428.415376      21.565582        7.707370          533      
      2.70          5.016308         30977             2               1               66              57           5.475073        3.124117       46.398551        0.000000        5.475073        3.124117           10      
      2.80          5.016308         31276             5               5              7435            9001         87.210223        4.526693       603.448570      414.531061      24.854894        7.699979          607      
      2.80          5.016308         31276             5               1              142             123          68.014312       40.623977       520.108752       0.000000       68.014312       40.623977           27      
      2.80          5.016308         31276             5               2               87              62           7.122979        2.499140       55.182226        0.000000        7.122979        2.499140           14      
      2.80          5.016308         31276             5               7               72              55           5.297769        1.518614       43.942036        0.000000        5.297769        1.518614           12      
      2.90          5.016308         31256             3               3              7834            9408         87.723517        3.691985       593.093023      436.388339      26.970204        9.243557          624      
      2.90          5.016308         31256             3               2              158             151          10.814734        2.730609       94.780253        0.000000       10.814734        2.730609           30      
      2.90          5.016308         31256             3               1              133             103           9.410760        3.463971       99.483718        0.000000        9.410760        3.463971           25      
      3.00          5.016308         31344             6               6              7124            8849         86.504830        2.920653       580.144019      417.315725      24.015796        5.617714          573      
      3.00          5.016308         31344             6               3              146             119          11.130159        1.900289       75.317461        0.000000       11.130159        1.900289           27      
      3.00          5.016308         31344             6               2              112             102           8.969756        1.948912       60.579578        0.000000        8.969756        1.948912           21      
      3.00          5.016308         31344             6               5               66              63           6.182952        1.372589       42.923455        0.000000        6.182952        1.372589           12      
      3.10          5.016308         31246             3               3              7046            8822         86.830820        2.906583       581.279824      424.673216      23.756840        6.348082          573      
      3.10          5.016308         31246             3               1              467             372          11.608283        3.154940       83.325666        0.000000       11.608283        3.154940           84      
      3.10          5.016308         31246             3               2              169             136          10.375937        1.574269       68.491681        0.000000       10.375937        1.574269           30      
      3.10          5.016308         31246             3               6              141              92           9.086931        3.401637       74.674617        0.000000        9.086931        3.401637           24      
      3.20          5.016308         31169             5               5              6910            8691         85.453520        3.260950       593.191334      425.418715      22.483611        6.308830          548      
      3.20          5.016308         31169             5               6              162             128           9.375620        3.027485       77.264044        0.000000        9.375620        3.027485           26      
      3.30          5.016308         31011             4               4              7081            8804         85.519142        3.917968       585.686812      419.973112      23.407962        7.242302          563      
      3.30          5.016308         31011             4               7              103              85           5.950768        2.656785       49.787186        0.000000        5.950768        2.656785           15      
      3.30          5.016308         31011             4               2               76              46           6.004065        1.509910       40.879840        0.000000        6.004065        1.509910           12      
      3.40          5.016308         31097             3               3              6998            8784         86.669007        5.663701       625.437729      426.273145      24.116573        8.842702          561      
      3.40          5.016308         31097             3               1              141             103          10.164604        4.874677       85.895590        0.000000       10.164604        4.874677           27      
      3.40          5.016308         31097             3               2              101              82           7.684394        3.962712       64.622617        0.000000        7.684394        3.962712           18      
      3.50          5.016308         31105             4               4              7213            9028         86.152858        3.451622       598.533477      419.963146      24.130333        7.048726          584      
      3.50          5.016308         31105             4               7               72              45           7.526611        1.794989       51.435030        0.000000        7.526611        1.794989           15      
      3.50          5.016308         31105             4               5               68              39           3.806305        1.464474       30.955066        0.000000        3.806305        1.464474           11      
      3.60          5.016308         31055             3               3              7386            9216         87.015066        4.276466       601.572342      414.791672      25.678393        7.228234          602      
      3.60          5.016308         31055             3               1              160             143          11.852161        1.459971       82.185192        0.000000       11.852161        1.459971           29      
      3.60          5.016308         31055             3               4              154             120           9.348191        0.923136       61.009206        0.000000        9.348191        0.923136           23      
      3.60          5.016308         31055             3               2              116              92           9.762940        5.179210       77.476902        0.000000        9.762940        5.179210           19      
      3.70          5.016308         30916             6               6              8166            9955         86.884418        4.157476       595.552410      425.551107      28.485271        9.416770          639      
      3.70          5.016308         30916             6               3              192             142          11.710983        1.846689       80.818282        0.000000       11.710983        1.846689           30      
      3.70          5.016308         30916             6               2              119             119           9.153926        2.225085       69.243515        0.000000        9.153926        2.225085           22      
      3.70          5.016308         30916             6               1               83              69           6.633379        0.923649       43.032827        0.000000        6.633379        0.923649           15      
      3.80          5.016308         30965             4               4              8864           10626         89.672258        5.917423       657.689886      393.163263      32.660424       11.407929          715      
      3.80          5.016308         30965             4               1              436             324          12.551103        3.786364       93.703821        0.000000       12.551103        3.786364           73      
      3.80          5.016308         30965             4               6              234             241           5.909213        0.002583       37.091886        0.000000        5.909213        0.002583           12      
      3.80          5.016308         30965             4               5              243             183          16.127098        6.440623       156.283792       0.000000       16.127098        6.440623           46      
      3.80          5.016308         30965             4               2              116              71           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           18      
      3.90          5.016308         30732             5               5              8169            9994         90.125914        7.090057       659.178369      405.255111      30.561205       10.980727          685      
      3.90          5.016308         30732             5               4              541             407          23.788441       13.012313       214.094724       0.000000       23.788441       13.012313           89      
      3.90          5.016308         30732             5               6              336             258          18.027218        6.834431       165.145055       0.000000       18.027218        6.834431           55      
      3.90          5.016308         30732             5               3              286             229          14.352270        4.062181       105.396693       0.000000       14.352270        4.062181           42      
      3.90          5.016308         30732             5               1              153             133           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           25      
      4.00          5.016308         30752             8               8              8562           10372         85.286212       15.291646       438.524379      415.078094      26.667991       19.652890          730      
      4.00          5.016308         30752             8               4              602             454          12.243770        3.325855       90.239643        0.000000       12.243770        3.325855          100      
      4.00          5.016308         30752             8               2              131              84           7.437397        1.379420       51.217767        0.000000        7.437397        1.379420           17      
      4.00          5.016308         30752             8               9              119              89           8.362748        2.790326       64.432821        0.000000        8.362748        2.790326           18      
      4.00          5.016308         30752             8               6               52              61           4.909970        0.746082       32.262945        0.000000        4.909970        0.746082           10      
      4.10          5.016308         30340             5               5              7973            9906         112.891227       3.093046       28.086786       410.536768      54.000915        7.477443          660      
      4.10          5.016308         30340             5               2              186             152           9.309548        2.254229       69.613205        0.000000        9.309548        2.254229           30      
      4.10          5.016308         30340             5               1               96              73          68.402027       40.809986       541.694799       0.000000       68.402027       40.809986           13      
      4.10          5.016308         30340             5               7               79              61           5.989932        1.800851       46.295849        0.000000        5.989932        1.800851           13      
      4.20          5.016308         30231             2               2              7756            9658         89.661979        9.730517       681.170600      420.375164      29.696689       13.417074          657      
      4.20          5.016308         30231             2               4               85              74           6.986722        1.967718       53.902839        0.000000        6.986722        1.967718           16      
      4.30          5.016308         30490             4               4              7957            9880         88.836408        5.344656       659.031007      412.624502      29.386265        9.095788          671      
      4.30          5.016308         30490             4               6              155             118           7.308847        2.963931       54.226828        0.000000        7.308847        2.963931           27      
      4.30          5.016308         30490             4               5              126             105           9.776419        2.934256       69.060511        0.000000        9.776419        2.934256           24      
      4.30          5.016308         30490             4               1               69              63           4.152963        2.338105       31.895520        0.000000        4.152963        2.338105           12      
      4.30          5.016308         30490             4               7               74              54           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           10      
      4.40          5.016308         30571             5               5              7874            9838         88.602435        5.056011       622.337264      411.866246      29.042379        8.564040          666      
      4.40          5.016308         30571             5               4              165             133          11.904091        2.937315       83.945464        0.000000       11.904091        2.937315           29      
      4.40          5.016308         30571             5               10             158             112          10.765112        1.669894       73.279288        0.000000       10.765112        1.669894           31      
      4.40          5.016308         30571             5               11             129             100           7.834887        2.369380       67.798845        0.000000        7.834887        2.369380           20      
      4.40          5.016308         30571             5               3              109             107           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           24      
      4.50          5.016308         30510             3               3              7268            9304         86.086943        4.843978       593.091363      413.120259      25.625407        8.288205          594      
      4.50          5.016308         30510             3               1               76              78          71.620142       42.419329       559.278044       0.000000       71.620142       42.419329           15      
      4.60          5.016308         30395             3               3              7430            9474         87.139383        5.188977       625.295189      407.909947      26.858413        7.982484          615      
      4.60          5.016308         30395             3               1              170             161          11.261900        2.097855       79.500227        0.000000       11.261900        2.097855           28      
      4.60          5.016308         30395             3               5               77              60           6.759422        3.703916       57.977051        0.000000        6.759422        3.703916           13      
      4.70          5.016308         30456             3               3              6923            9009         84.829426        3.097841       585.402581      413.431382      23.980163        6.106053          562      
      4.70          5.016308         30456             3               1              180             173          10.278450        1.355364       67.914877        0.000000       10.278450        1.355364           33      
      4.70          5.016308         30456             3               5              111              76           4.848946        0.459954       31.037026        0.000000        4.848946        0.459954           13      
