      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      0.00          5.016308         40328             1               1             14276           14140         92.881619        1.485051       603.381207      352.045471      39.635802        5.480331          843      
      0.10          5.016308         40440             1               1             13625           13447         85.565662        1.489735       558.425179      321.505619      35.646520        2.472299          713      
      0.20          5.016308         40858             1               1             13860           13789         86.125448        2.621821       572.139318      319.692265      37.250986        4.177763          741      
      0.30          5.016308         41374             1               1             13959           13891         88.234552        3.486160       606.912853      325.855151      38.302021        5.017385          776      
      0.40          5.016308         41676             1               1             13937           13862         89.007169        4.491254       623.490298      331.776190      37.735583        5.528225          773      
      0.50          5.016308         42095             1               1             13202           13049         88.935764        2.218820       587.499840      359.336732      33.980973        4.104226          733      
      0.60          5.016308         42483             1               1             11091           10949         90.485918        2.511678       605.029324      434.859748      27.792785        6.142116          668      
      0.70          5.016308         42787             3               3             10184           10080         91.136221        3.616386       599.810980      466.887125      25.228376        8.371425          624      
      0.80          5.016308         42916             2               2              9393            9343         91.356567        2.102026       606.291079      476.503699      22.570688        5.724571          595      
      0.80          5.016308         42916             2               1               49              71          17.379591        8.064914       154.545542       0.000000       17.379591        8.064914           30      
      0.80          5.016308         42916             2               3               52              61          12.071812        4.750490       94.872967        0.000000       12.071812        4.750490           30      
      0.90          5.016308         43027             2               2              8905            8968         92.067247        2.662629       614.546800      480.013299      21.377822        5.735941          572      
      1.00          5.016308         43050             3               3              9191            9128         94.148393        2.656890       637.808629      481.932703      23.313184        5.934741          619      
      1.10          5.016308         43115             3               3              8483            8534         94.148534        3.105622       635.204148      485.119376      21.147563        5.717108          579      
      1.20          5.016308         43124             1               1              8513            8570         99.091206       10.359321       769.399393      487.077240      25.331683       12.530521          651      
      1.30          5.016308         43029             3               3              8631            8642         95.312725        3.789763       671.450800      488.503338      21.759121        6.072901          605      
      1.40          5.016308         42920             3               3              8313            8367         92.976836        6.905889       679.854660      498.793822      18.631430        9.696951          571      
      1.40          5.016308         42920             3               1               57              44          70.035934       41.468519       551.284839       0.000000       70.035934       41.468519           23      
      1.50          5.016308         42773             2               2              8111            8187         94.151368        3.171609       633.283635      498.843739      19.391760        5.752801          548      
      1.50          5.016308         42773             2               1               66              61           9.913774        4.385750       101.052172       0.000000        9.913774        4.385750           27      
      1.60          5.016308         42596             3               3              8292            8344         95.007690        5.392942       667.916463      494.504821      20.588757        8.126253          577      
      1.70          5.016308         42338             4               4              8292            8338         94.508577        4.986030       677.431551      491.002895      20.587102        7.762791          557      
      1.70          5.016308         42338             4               3               51              67           8.360002        3.389110       82.016356        0.000000        8.360002        3.389110           17      
      1.80          5.016308         42133             2               2              8440            8396         94.154921        3.809085       670.806076      491.259284      20.452342        7.306167          574      
      1.80          5.016308         42133             2               1               51              55          10.937667        5.734244       107.470181       0.000000       10.937667        5.734244           21      
      1.90          5.016308         42016             4               4              7738            7690         93.928736        2.972171       627.234246      500.630674      18.437101        6.192877          532      
      2.00          5.016308         41994             4               4              8048            7990         93.274436        7.021363       639.303854      504.080935      18.466585       10.095369          558      
      2.10          5.016308         41914             2               2              8026            7979         93.919283        3.472787       640.568261      511.764237      19.140240        6.899478          548      
      2.20          5.016308         41851             1               1              8318            8242         94.271294        4.241319       655.887613      504.659217      20.465926        7.713143          566      
      2.30          5.016308         41821             2               2              8989            8885         93.517949        3.665077       640.210248      495.233375      21.795977        7.845575          589      
      2.30          5.016308         41821             2               4               49              64           8.514002        2.718102       72.614096        0.000000        8.514002        2.718102           21      
      2.30          5.016308         41821             2               5               57              46           7.766586        1.199833       50.221648        0.000000        7.766586        1.199833           16      
      2.40          5.016308         41567             5               5              8817            8719         93.160092        3.272832       642.241474      486.214747      21.415902        6.878024          582      
      2.40          5.016308         41567             5               6               79              86           9.060001        1.999277       63.502365        0.000000        9.060001        1.999277           31      
      2.50          5.016308         41210             1               1              8564            8467         92.331693        3.873845       632.791779      482.450998      20.293338        7.698233          555      
      2.60          5.016308         41090             2               2              8251            8125         91.799845        3.420762       618.870984      489.281022      19.080557        7.065712          534      
      2.70          5.016308         41015             2               2              8523            8337         92.994251        3.317076       638.243307      488.850619      20.797259        7.628062          572      
      2.80          5.016308         41062             1               1              8015            7850         92.446001        3.360428       616.524166      489.432981      19.056130        7.615878          534      
      2.90          5.016308         41022             3               3              8898            8690         95.911349        7.057145       691.499850      484.921725      24.222467       11.410329          646      
      3.00          5.016308         41016             1               1              8586            8478         94.166868        3.841768       645.500517      489.397592      22.017523        8.024826          603      
      3.10          5.016308         41040             1               1              8339            8311         93.730976        5.099819       643.642511      499.456529      21.179949       10.090117          587      
      3.20          5.016308         41197             1               1              8322            8286         92.893360        4.290463       628.673140      484.745506      20.300831        8.854259          561      
      3.30          5.016308         41068             2               2              8472            8384         94.472686        6.177053       656.099579      481.034562      22.086367       10.517707          593      
      3.40          5.016308         41010             3               3              8484            8351         95.499692        7.165381       706.357317      482.149795      23.136072       11.353712          599      
      3.50          5.016308         40965             1               1              8063            7834         93.031265        5.024446       631.286545      500.194839      19.454160        9.093599          546      
      3.60          5.016308         41086             2               2              8463            8269         90.117385       19.623192       488.355324      497.271831      17.172772       23.463455          603      
      3.60          5.016308         41086             2               3               58              53           8.567741        3.451775       74.650239        0.000000        8.567741        3.451775           19      
      3.70          5.016308         41057             2               2              8901            8723         96.929035        6.486157       728.955384      490.276681      25.074855       10.452324          656      
      3.80          5.016308         41108             2               2              8837            8685         94.110731        3.199814       646.284300      487.114282      22.420328        7.100923          618      
      3.90          5.016308         41053             2               2              8083            7899         91.813967        3.851080       614.072533      503.679167      18.494680        8.190935          522      
      4.00          5.016308         41069             1               1              8506            8294         93.687401        4.154852       633.394449      504.248731      21.054598        8.945957          583      
      4.10          5.016308         41125             1               1              8503            8440         94.065248        6.273627       656.521217      494.037118      21.609929       11.155637          586      
      4.20          5.016308         41156             1               1              8954            8897         94.038653        4.764845       644.392109      499.012863      22.790959       10.680567          620      
      4.30          5.016308         40992             1               1              8822            8745         92.695000        3.910165       625.152455      496.507857      21.534936        9.527437          582      
