        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        4.00               5.016308              37207             12380.366208           1.563686             0.087544           17991.792355           1.095555             0.512367             0.000000             0.000000             0.000000           35077.704256           0.311594             0.123068      
        4.10               5.016308              37253             12179.059440           1.563339             0.105212           18293.752506           1.097861             0.519115            830.390416            0.262527             0.133047           34146.660455           0.312124             0.121264      
        4.20               5.016308              37313             13764.350235           1.561788             0.106749           15827.744603           1.089669             0.521477             0.000000             0.000000             0.000000           35857.767980           0.313907             0.119668      
        4.30               5.016308              37440             13210.756624           1.566981             0.082466           16859.441787           1.075421             0.525335             0.000000             0.000000             0.000000           35379.664407           0.315662             0.142962      
        4.40               5.016308              37480             13009.449857           1.562480             0.091587           17211.728630           1.090013             0.523112             0.000000             0.000000             0.000000           35228.684331           0.309748             0.117509      
        4.50               5.016308              37621             12455.856246           1.567295             0.096221           17865.975625           1.099408             0.521911            578.756957            0.302372             0.111630           34549.273991           0.308574             0.117462      
        4.60               5.016308              37669             13009.449857           1.568398             0.073711           18318.915852           1.042147             0.537263            981.370492            0.325056             0.126272           33140.126617           0.307362             0.120551      
        4.70               5.016308              37681             12028.079365           1.566751             0.089211           20734.597064           1.022349             0.546329           1107.187222            0.348631             0.133660           31579.999168           0.303072             0.116697      
        4.80               5.016308              37599             13990.820349           1.566813             0.081596           15500.621106           1.100730             0.500994             0.000000             0.000000             0.000000           35958.421364           0.306382             0.115766      
        4.90               5.016308              37701             13437.226738           1.568181             0.086170           16708.461711           1.084121             0.512705             0.000000             0.000000             0.000000           35304.174369           0.306309             0.121267      
        5.00               5.016308              37695             13235.919970           1.571935             0.076515           17060.748555           1.087232             0.507990             0.000000             0.000000             0.000000           35153.194293           0.302817             0.119023      
        5.10               5.016308              37751             13412.063392           1.573807             0.076666           16532.318290           1.092648             0.511366             0.000000             0.000000             0.000000           35505.481137           0.304967             0.119066      
        5.20               5.016308              37836             13361.736700           1.571353             0.076465           16205.194792           1.115630             0.503054             0.000000             0.000000             0.000000           35882.931326           0.304462             0.126982      
        5.30               5.016308              37788             13235.919970           1.569895             0.076074           16582.644982           1.109051             0.504990             0.000000             0.000000             0.000000           35631.297866           0.303946             0.119319      
        5.40               5.016308              37853             13135.266586           1.571266             0.074077           17815.648933           1.054578             0.529533            729.737033            0.294627             0.133453           33769.210266           0.306729             0.119031      
        5.50               5.016308              37723             13311.410008           1.570758             0.075866           16481.991598           1.104539             0.507970            427.776881            0.315585             0.140649           35228.684331           0.305177             0.116411      
