      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      6.80          5.016308         31212            6584            5383            245             5916           11522            1742           12473            8122            614              0               0               0       
      6.90          5.016308         30997            6596            5403            244             6056           12007            1784           12321            7617            573              0               0               0       
      7.00          5.016308         31279            6692            5462            247             5908           11693            1759           12373            7872            595              0               0               0       
      7.10          5.016308         31131            6795            5418            249             5832           11765            1765           12346            7844            587              0               0               0       
      7.20          5.016308         31204            6526            5190            239             5861           11895            1769           12586            7942            593              0               0               0       
      7.30          5.016308         31204            6915            5393            251             5873           12037            1767           12082            7453            560             103             144              23      
      7.40          5.016308         31010            6714            5321            245             5811           11842            1741           12387            7762            593              61             102              22      
      7.50          5.016308         30843            7089            5496            257             5858           12121            1765           11921            7208            549             105             202              30      
      7.60          5.016308         30781            6929            5325            251             5965           12273            1776           12050            7344            564              29              85              10      
      7.70          5.016308         30130            7323            5621            266             5933           12293            1772           11717            7113            563              0               0               0       
      7.80          5.016308         30474            7400            5650            269             5881           12310            1771           11692            7067            561              0               0               0       
      7.90          5.016308         30555            7579            5673            274             5940           12678            1800           11454            6676            527              0               0               0       
      8.00          5.016308         30891            7460            5493            268             5648           12087            1728           11808            7374            586              57              73              19      
      8.10          5.016308         30546            7814            5626            278             5925           12812            1802           11234            6589            521              0               0               0       
      8.20          5.016308         30252            7846            5706            280             5939           12848            1798           11188            6473            523              0               0               0       
      8.30          5.016308         30071            7499            5478            269             5949           12881            1797           11525            6668            535              0               0               0       
      8.40          5.016308         30306            7743            5626            277             6082           13095            1815           11148            6306            509              0               0               0       
      8.50          5.016308         29715            7610            5575            273             5822           12596            1763           11497            6763            554              44              93              11      
      8.60          5.016308         30038            7710            5618            276             5973           12868            1786           11290            6541            539              0               0               0       
      8.70          5.016308         29289            7074            5268            255             5969           12785            1773           11930            6974            573              0               0               0       
      8.80          5.016308         29036            7498            5480            268             6207           13081            1784           11218            6385            534              50              81              15      
      8.90          5.016308         29294            7707            5717            278             6354           13435            1823           10912            5875            500              0               0               0       
      9.00          5.016308         29604            7732            5692            279             6209           13268            1806           11032            6067            516              0               0               0       
      9.10          5.016308         29488            7264            5464            265             6035           13068            1780           11594            6389            538              80             106              18      
      9.20          5.016308         29420            6991            5392            256             6326           13494            1829           11656            6141            516              0               0               0       
      9.30          5.016308         29247            6930            5258            250             6377           13559            1829           11666            6210            522              0               0               0       
      9.40          5.016308         28873            6930            5155            247             6563           13755            1840           11480            6117            514              0               0               0       
      9.50          5.016308         28430            7212            5310            256             6579           13717            1835           11182            6000            510              0               0               0       
      9.60          5.016308         28712            7386            5338            261             6564           13733            1839           11023            5956            501              0               0               0       
      9.70          5.016308         28959            6869            4998            244             6409           13574            1818           11695            6455            539              0               0               0       
      9.80          5.016308         28667            6469            4841            232             6542           13896            1838           11962            6290            531              0               0               0       
      9.90          5.016308         28347            6883            5050            244             6608           13932            1836           11482            6045            521              0               0               0       
     10.00          5.016308         28265            6687            4914            236             6574           13880            1828           11712            6233            537              0               0               0       
     10.10          5.016308         28081            6596            4926            234             6546           13930            1821           11767            6038            530              64             133              16      
     10.20          5.016308         28497            6263            4796            225             6467           13858            1822           12243            6373            554              0               0               0       
     10.30          5.016308         28550            6420            4813            229             6369           13910            1826           12184            6304            546              0               0               0       
     10.40          5.016308         28677            6424            4822            230             6102           13638            1795           12447            6567            576              0               0               0       
     10.50          5.016308         28639            6613            4840            235             6148           13787            1809           12212            6400            557              0               0               0       
     10.60          5.016308         28461            6351            4694            227             6158           13916            1813           12464            6417            561              0               0               0       
     10.70          5.016308         28380            6384            4644            227             6183           13889            1809           12406            6494            565              0               0               0       
     10.80          5.016308         28178            6480            4613            229             6377           14249            1831           12116            6165            541              0               0               0       
     10.90          5.016308         27690            6607            4695            233             6398           14102            1808           11911            6108            548              57             122              12      
     11.00          5.016308         27681            6596            4601            231             6629           14393            1828           11748            6033            542              0               0               0       
     11.10          5.016308         27177            6787            4784            239             6814           14581            1835           11372            5662            527              0               0               0       
     11.20          5.016308         27269            6302            4397            220             6755           14444            1825           11916            6186            556              0               0               0       
     11.30          5.016308         26873            6396            4401            222             6876           14628            1838           11701            5998            541              0               0               0       
     11.40          5.016308         27053            6338            4380            220             6844           14558            1834           11791            6089            547              0               0               0       
     11.50          5.016308         27488            6667            4581            231             7039           14990            1876           11267            5456            494              0               0               0       
     11.60          5.016308         26725            6883            4586            236             7029           15044            1870           11061            5397            495              0               0               0       
     11.70          5.016308         26913            6492            4333            223             6922           14912            1860           11559            5782            518              0               0               0       
     11.80          5.016308         27319            6707            4422            229             6776           14685            1843           11490            5920            529              0               0               0       
     11.90          5.016308         27208            6614            4356            226             6802           14860            1852           11557            5811            523              0               0               0       
     12.00          5.016308         26903            6587            4418            227             6707           14776            1842           11679            5833            532              0               0               0       
     12.10          5.016308         27594            7101            4670            242             6654           14931            1864           11218            5426            495              0               0               0       
     12.20          5.016308         27420            6650            4400            227             6523           14622            1832           11800            6005            542              0               0               0       
     12.30          5.016308         27222            6693            4505            230             6574           14764            1844           11706            5758            527              0               0               0       
     12.40          5.016308         27338            6462            4393            222             6548           14803            1847           11963            5831            532              0               0               0       
     12.50          5.016308         27346            6675            4470            229             6542           14834            1849           11756            5723            523              0               0               0       
     12.60          5.016308         27547            6403            4341            220             6435           14760            1840           12135            5926            541              0               0               0       
     12.70          5.016308         27341            6363            4297            217             6543           15081            1869           12067            5649            515              0               0               0       
     12.80          5.016308         27480            6027            4044            205             6493           14920            1852           12453            6063            544              0               0               0       
     12.90          5.016308         27266            6232            4101            211             6483           14856            1842           12258            6070            548              0               0               0       
     13.00          5.016308         26802            6120            3970            206             6504           14950            1848           12349            6107            547              0               0               0       
     13.10          5.016308         27099            6210            3916            208             6429           14720            1823           12334            6391            570              0               0               0       
     13.20          5.016308         27140            6556            4082            219             6482           14835            1836           11935            6110            546              0               0               0       
     13.30          5.016308         27394            6378            3946            213             6348           14773            1821           12208            6238            557              39              70              10      
     13.40          5.016308         27119            6645            4055            221             6480           14975            1833           11848            5997            547              0               0               0       
     13.50          5.016308         26795            6794            4131            226             6600           15287            1858           11579            5609            517              0               0               0       
     13.60          5.016308         26404            6263            3850            207             6829           15591            1880           11881            5586            514              0               0               0       
     13.70          5.016308         26237            6205            3839            205             6902           15611            1880           11866            5577            516              0               0               0       
     13.80          5.016308         26478            6424            3884            211             6819           15493            1873           11730            5650            517              0               0               0       
     13.90          5.016308         26230            6472            3881            212             7040           15806            1895           11461            5340            494              0               0               0       
     14.00          5.016308         26377            6470            3888            213             6759           15311            1842           11744            5828            546              0               0               0       
     14.10          5.016308         26328            6533            3927            215             6763           15358            1845           11677            5742            541              0               0               0       
     14.20          5.016308         26316            6354            3806            209             6661           15179            1825           11958            6042            567              0               0               0       
