      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      0.00          5.016308         41923           17789             0              425              0              7423            1434            7184           17604            742              0               0               0       
      0.10          5.016308         42148           18227             0              355              0              7465            1612            6746           17562            634              0               0               0       
      0.20          5.016308         42641           18439             0              344              0              6834            1604            6534           18193            653              0               0               0       
      0.30          5.016308         43146           19010             0              361              0              6205            1563            5963           18822            677              0               0               0       
      0.40          5.016308         43573           20940             10             409              0              5751            1545            4033           19266            647              0               0               0       
      0.50          5.016308         43924           21752             43             435              0              5466            1527            3221           19518            639              0               0               0       
      0.60          5.016308         44099           22977            360             477              0              5219            1485            1996           19448            639              0               0               0       
      0.70          5.016308         44215           24157            1168            529              0              5073            1470            816            18786            602              0               0               0       
      0.80          5.016308         44251           24370            1342            547              0              4880            1431            603            18805            623              0               0               0       
      0.90          5.016308         44221           24826            2477            590              0              5242            1484            147            17308            527              0               0               0       
      1.00          5.016308         44085           24735            2264            590              0              5284            1460            238            17479            551              0               0               0       
      1.10          5.016308         43857           24608            1899            583              0              5416            1461            365            17712            557              0               0               0       
      1.20          5.016308         43694           24733            2238            597              0              5179            1367            240            17396            589              0              214              48      
      1.30          5.016308         43440           24675            2302            600              0              5540            1384            298            17073            584              0              112              33      
      1.40          5.016308         43382           24639            2365            603              0              5789            1419            334            16873            579              0               0               0       
      1.50          5.016308         43271           24635            2605            610              0              5857            1428            338            16565            563              0               0               0       
      1.60          5.016308         43109           24571            2512            608              0              6017            1441            402            16498            552              0               0               0       
      1.70          5.016308         42987           24466            2571            609              0              6255            1456            507            16201            536              0               0               0       
      1.80          5.016308         42885           24390            2251            601              0              6339            1443            583            16437            557              0               0               0       
      1.90          5.016308         42676           24671            3021            628              0              6821            1492            302            15185            481              0               0               0       
      2.00          5.016308         42491           24458            2102            603              0              6601            1435            515            16324            563              0               0               0       
      2.10          5.016308         42351           24120            1853            589              0              6832            1459            853            16342            553              0               0               0       
      2.20          5.016308         42132           23969            1579            578              0              6965            1458            1004           16483            565              0               0               0       
      2.30          5.016308         42051           24375            2266            602              0              7274            1491            598            15487            508              0               0               0       
      2.40          5.016308         41963           24063            1899            587              0              7101            1451            910            16027            563              0               0               0       
      2.50          5.016308         41900           23906            1983            585              0              7339            1481            1067           15705            535              0               0               0       
      2.60          5.016308         41927           23964            2353            595              0              7278            1476            1009           15396            530              0               0               0       
      2.70          5.016308         42049           24025            2324            596              1              7111            1459            947            15592            546              0               0               0       
      2.80          5.016308         41950           23876            2114            589              17             6853            1411            1080           16060            601              0               0               0       
      2.90          5.016308         42084           23941            2360            598              25             6927            1437            1007           15740            566              0               0               0       
      3.00          5.016308         42140           23959            2714            608              30             6946            1447            984            15367            546              0               0               0       
      3.10          5.016308         42200           23707            2215            591              27             6874            1445            1239           15938            565              0               0               0       
      3.20          5.016308         42230           23619            2326            591              33             6965            1459            1321           15736            551              0               0               0       
      3.30          5.016308         42201           23761            2468            596              51             6938            1460            1161           15621            545              0               0               0       
      3.40          5.016308         42208           23455            2156            580              64             6801            1443            1454           16070            578              0               0               0       
      3.50          5.016308         42238           23700            2615            597              70             6693            1430            1203           15719            574              0               0               0       
      3.60          5.016308         42292           23493            2208            582              70             6548            1411            1410           16271            608              0               0               0       
      3.70          5.016308         42377           23745            2614            598              68             6436            1391            1160           15977            612              0               0               0       
      3.80          5.016308         42422           23649            2770            598              74             6639            1447            1250           15618            556              0               0               0       
      3.90          5.016308         42503           23491            2860            596              80             6501            1433            1402           15666            572              0               0               0       
      4.00          5.016308         42548           23737            2952            604             100             6547            1450            1136           15528            547              0               0               0       
      4.10          5.016308         42581           23620            2565            592             112             6526            1451            1241           15936            558              0               0               0       
      4.20          5.016308         42553           23545            2745            594             110             6482            1441            1318           15800            566              0               0               0       
      4.30          5.016308         42659           23766            3152            609             137             6368            1431            1070           15507            561              0               0               0       
      4.40          5.016308         42633           23537            2628            592             139             6384            1439            1297           16015            570              0               0               0       
      4.50          5.016308         42551           23424            2633            591             148             6545            1451            1401           15849            559              0               0               0       
