        tauB               sizeBin             clust_size      press_align
       15.90               5.016308              43331             2417.153024     
       16.00               5.016308              43406             2429.465113     
       16.10               5.016308              43432             2379.095926     
       16.20               5.016308              43482             2352.051702     
       16.30               5.016308              43408             2294.491743     
       16.40               5.016308              43402             2184.704569     
       16.50               5.016308              43266             2255.647501     
       16.60               5.016308              43031             2304.987500     
       16.70               5.016308              42876             2342.990821     
       16.80               5.016308              42840             2341.025389     
       16.90               5.016308              42931             2465.212923     
       17.00               5.016308              42871             2389.732773     
       17.10               5.016308              42943             2333.355249     
       17.20               5.016308              42939             2299.057799     
       17.30               5.016308              43004             2259.335703     
       17.40               5.016308              43120             2206.231322     
       17.50               5.016308              43156             2142.150963     
       17.60               5.016308              43220             2193.170450     
       17.70               5.016308              42915             2181.747822     
       17.80               5.016308              42947             2174.449954     
       17.90               5.016308              42934             2189.444231     
       18.00               5.016308              43051             2247.558123     
       18.10               5.016308              43113             2325.712796     
       18.20               5.016308              43160             2363.261438     
       18.30               5.016308              43157             2310.519467     
       18.40               5.016308              43133             2377.068366     
       18.50               5.016308              43301             2269.248777     
       18.60               5.016308              43416             2380.971641     
       18.70               5.016308              43431             2301.041153     
       18.80               5.016308              43364             2275.937984     
       18.90               5.016308              43315             2284.002649     
       19.00               5.016308              43243             2245.792115     
       19.10               5.016308              43225             2191.036679     
       19.20               5.016308              43221             2234.374455     
       19.30               5.016308              43127             2179.595301     
       19.40               5.016308              43025             2220.358431     
       19.50               5.016308              42905             2234.624974     
       19.60               5.016308              42887             2228.154894     
       19.70               5.016308              42667             2221.134359     
       19.80               5.016308              42586             2222.597157     
       19.90               5.016308              42642             2334.611814     
       20.00               5.016308              42721             2317.109069     
       20.10               5.016308              42914             2412.841691     
       20.20               5.016308              42983             2405.957491     
       20.30               5.016308              43015             2231.708274     
       20.40               5.016308              43107             2152.119755     
       20.50               5.016308              43028             2253.431787     
       20.60               5.016308              42843             2146.895497     
       20.70               5.016308              42643             2185.058860     
       20.80               5.016308              42593             2232.083272     
       20.90               5.016308              42520             2323.703458     
       21.00               5.016308              42444             2342.570586     
       21.10               5.016308              42552             2440.987209     
       21.20               5.016308              42706             2470.370022     
       21.30               5.016308              42956             2394.858206     
       21.40               5.016308              42944             2342.940517     
       21.50               5.016308              42893             2391.155853     
       21.60               5.016308              42776             2367.275449     
       21.70               5.016308              42814             2364.450149     
       21.80               5.016308              42752             2525.665261     
       21.90               5.016308              42968             2411.699822     
       22.00               5.016308              43081             2346.222904     
       22.10               5.016308              42964             2335.921597     
       22.20               5.016308              42937             2293.003837     
       22.30               5.016308              42858             2316.435146     
       22.40               5.016308              42839             2305.768316     
       22.50               5.016308              42783             2377.470198     
       22.60               5.016308              42688             2273.882809     
       22.70               5.016308              42690             2325.880465     
       22.80               5.016308              42619             2318.915961     
       22.90               5.016308              42589             2266.107717     
       23.00               5.016308              42628             2247.683273     
       23.10               5.016308              42628             2252.744989     
       23.20               5.016308              42637             2190.401745     
       23.30               5.016308              42768             2284.186993     
       23.40               5.016308              42812             2275.304732     
       23.50               5.016308              42861             2226.122716     
       23.60               5.016308              42830             2192.199404     
       23.70               5.016308              42782             2237.697573     
       23.80               5.016308              42682             2215.120195     
       23.90               5.016308              42600             2317.215316     
       24.00               5.016308              42217             2316.409505     
       24.10               5.016308              42341             2503.251353     
       24.20               5.016308              42121             2429.081762     
       24.30               5.016308              42180             2392.396260     
       24.40               5.016308              42334             2346.584955     
       24.50               5.016308              42323             2231.423360     
       24.60               5.016308              42196             2238.195792     
       24.70               5.016308              42343             2353.232860     
       24.80               5.016308              42436             2423.649209     
       24.90               5.016308              42360             2462.210946     
       25.00               5.016308              42369             2412.509040     
       25.10               5.016308              42456             2546.382735     
       25.20               5.016308              42530             2489.810341     
       25.30               5.016308              42739             2408.181498     
       25.40               5.016308              42827             2249.903906     
       25.50               5.016308              42804             2236.866480     
       25.60               5.016308              42729             2290.458842     
       25.70               5.016308              42741             2362.739765     
       25.80               5.016308              42872             2363.638261     
       25.90               5.016308              43090             2309.714558     
       26.00               5.016308              42987             2238.418448     
       26.10               5.016308              42913             2209.153488     
       26.20               5.016308              42826             2301.339523     
       26.30               5.016308              42694             2294.690427     
       26.40               5.016308              42608             2314.223136     
       26.50               5.016308              42633             2342.277125     
       26.60               5.016308              42586             2390.097250     
       26.70               5.016308              42525             2449.603696     
       26.80               5.016308              42578             2300.513705     
       26.90               5.016308              42791             2295.515886     
       27.00               5.016308              42896             2388.642110     
       27.10               5.016308              42764             2189.582049     
       27.20               5.016308              42634             2252.452099     
       27.30               5.016308              42535             2197.665208     
       27.40               5.016308              42505             2153.548786     
       27.50               5.016308              42392             2120.091943     
       27.60               5.016308              42224             2140.697149     
       27.70               5.016308              42119             2229.683745     
       27.80               5.016308              42265             2327.689481     
       27.90               5.016308              42289             2280.789292     
       28.00               5.016308              42118             2260.461453     
       28.10               5.016308              42083             2282.388198     
       28.20               5.016308              41935             2312.309697     
       28.30               5.016308              41740             2395.651446     
       28.40               5.016308              41709             2378.349613     
       28.50               5.016308              41683             2284.727367     
       28.60               5.016308              41718             2292.663215     
       28.70               5.016308              41803             2263.914244     
       28.80               5.016308              41862             2301.301213     
       28.90               5.016308              41854             2271.649688     
       29.00               5.016308              41908             2366.026046     
       29.10               5.016308              41731             2301.558867     
       29.20               5.016308              41764             2442.332522     
       29.30               5.016308              41716             2413.300046     
       29.40               5.016308              41866             2428.914684     
       29.50               5.016308              41898             2368.677538     
       29.60               5.016308              41896             2383.717362     
       29.70               5.016308              42038             2341.273427     
       29.80               5.016308              41996             2205.482091     
       29.90               5.016308              42033             2181.688676     
       30.00               5.016308              42101             2195.786190     
       30.10               5.016308              42087             2140.305020     
       30.20               5.016308              41889             2321.167936     
       30.30               5.016308              41831             2258.187145     
       30.40               5.016308              41677             2230.661089     
       30.50               5.016308              41597             2317.197827     
       30.60               5.016308              41642             2250.488802     
       30.70               5.016308              41565             2216.383823     
       30.80               5.016308              41422             2260.363521     
       30.90               5.016308              41303             2406.024080     
       31.00               5.016308              41440             2458.053570     
       31.10               5.016308              41531             2563.001749     
       31.20               5.016308              41739             2398.495501     
       31.30               5.016308              41818             2265.319348     
       31.40               5.016308              41703             2172.107647     
       31.50               5.016308              41599             2172.831049     
       31.60               5.016308              41243             2215.925014     
       31.70               5.016308              41087             2377.445339     
       31.80               5.016308              41007             2470.342153     
       31.90               5.016308              41235             2464.046183     
       32.00               5.016308              41304             2425.038903     
       32.10               5.016308              41482             2391.369056     
       32.20               5.016308              41494             2342.375775     
       32.30               5.016308              41565             2341.866561     
       32.40               5.016308              41672             2283.146578     
       32.50               5.016308              41686             2253.476228     
       32.60               5.016308              41591             2163.876374     
       32.70               5.016308              41735             2132.244024     
       32.80               5.016308              41753             2088.934652     
       32.90               5.016308              41895             1986.917602     
       33.00               5.016308              41891             2000.109105     
       33.10               5.016308              41750             2066.081015     
       33.20               5.016308              41542             2062.068756     
       33.30               5.016308              41495             2090.485605     
       33.40               5.016308              41372             2140.411037     
       33.50               5.016308              41243             2267.514991     
       33.60               5.016308              41085             2293.607299     
       33.70               5.016308              41056             2348.542336     
       33.80               5.016308              41032             2322.665873     
       33.90               5.016308              41059             2396.263529     
       34.00               5.016308              41210             2386.858711     
       34.10               5.016308              41378             2325.404781     
       34.20               5.016308              41687             2197.342782     
       34.30               5.016308              41697             2153.157937     
       34.40               5.016308              41407             2165.033056     
       34.50               5.016308              41104             2102.795486     
       34.60               5.016308              40933             2175.865861     
       34.70               5.016308              40868             2158.550861     
       34.80               5.016308              40775             2248.496549     
       34.90               5.016308              40627             2312.114937     
       35.00               5.016308              40563             2395.675845     
       35.10               5.016308              40610             2461.329004     
       35.20               5.016308              40682             2283.020715     
       35.30               5.016308              40928             2289.751402     
       35.40               5.016308              40930             2386.831503     
       35.50               5.016308              41032             2319.371558     
       35.60               5.016308              40967             2326.349576     
       35.70               5.016308              40947             2292.854128     
       35.80               5.016308              40956             2273.262649     
       35.90               5.016308              40945             2423.885650     
       36.00               5.016308              40788             2386.135034     
       36.10               5.016308              40814             2243.140639     
       36.20               5.016308              40703             2255.204263     
       36.30               5.016308              40618             2183.781804     
       36.40               5.016308              40509             2174.014583     
       36.50               5.016308              40344             2264.506999     
       36.60               5.016308              40499             2275.577002     
       36.70               5.016308              40491             2349.369799     
       36.80               5.016308              40463             2392.990479     
       36.90               5.016308              40554             2427.205268     
       37.00               5.016308              40624             2514.811399     
       37.10               5.016308              40765             2447.527547     
       37.20               5.016308              40869             2396.602848     
       37.30               5.016308              40965             2314.630866     
       37.40               5.016308              41043             2234.437871     
       37.50               5.016308              40975             2175.226043     
       37.60               5.016308              41162             2226.599592     
       37.70               5.016308              41256             2270.600474     
       37.80               5.016308              41382             2214.890219     
       37.90               5.016308              41213             2152.798400     
       38.00               5.016308              41192             2165.101022     
       38.10               5.016308              41079             2132.687311     
       38.20               5.016308              41032             2125.050062     
       38.30               5.016308              41026             2154.591091     
       38.40               5.016308              40756             2051.169058     
       38.50               5.016308              40877             2122.757074     
       38.60               5.016308              40786             2074.686547     
       38.70               5.016308              40784             2223.031576     
       38.80               5.016308              40834             2159.597467     
       38.90               5.016308              40736             2172.651359     
       39.00               5.016308              40553             2181.576310     
       39.10               5.016308              40474             2293.301614     
       39.20               5.016308              40405             2413.150692     
       39.30               5.016308              40291             2306.912846     
       39.40               5.016308              40269             2296.003959     
       39.50               5.016308              40252             2324.271918     
       39.60               5.016308              40211             2277.043242     
       39.70               5.016308              40229             2302.783579     
       39.80               5.016308              40196             2334.716249     
       39.90               5.016308              40268             2426.061977     
       40.00               5.016308              40496             2419.300859     
       40.10               5.016308              40491             2334.112125     
       40.20               5.016308              40680             2367.299063     
       40.30               5.016308              40558             2372.984053     
       40.40               5.016308              40290             2404.077198     
       40.50               5.016308              40470             2364.584535     
       40.60               5.016308              40282             2224.639778     
       40.70               5.016308              40358             2377.702497     
       40.80               5.016308              40295             2355.195133     
       40.90               5.016308              40147             2419.383924     
       41.00               5.016308              40039             2375.640190     
       41.10               5.016308              40100             2383.460307     
       41.20               5.016308              40177             2319.177997     
       41.30               5.016308              40244             2337.452733     
       41.40               5.016308              40369             2290.325274     
       41.50               5.016308              40333             2251.022657     
       41.60               5.016308              40281             2221.410919     
       41.70               5.016308              40008             2285.311158     
       41.80               5.016308              40011             2238.100803     
       41.90               5.016308              39921             2244.723057     
       42.00               5.016308              39724             2236.130002     
       42.10               5.016308              39833             2267.864208     
       42.20               5.016308              39922             2328.649737     
       42.30               5.016308              39893             2298.289932     
       42.40               5.016308              39791             2159.293944     
       42.50               5.016308              39872             2230.261708     
       42.60               5.016308              39643             2268.899304     
       42.70               5.016308              39724             2267.824004     
       42.80               5.016308              39636             2363.492090     
       42.90               5.016308              39466             2438.287658     
       43.00               5.016308              39736             2454.825618     
       43.10               5.016308              39868             2339.220673     
       43.20               5.016308              40004             2325.088102     
       43.30               5.016308              39870             2312.331182     
       43.40               5.016308              39914             2207.759235     
       43.50               5.016308              40031             2149.103231     
       43.60               5.016308              40120             2122.310301     
       43.70               5.016308              39896             2123.040053     
       43.80               5.016308              39681             2094.993028     
       43.90               5.016308              39845             2148.275410     
       44.00               5.016308              39620             2199.503290     
       44.10               5.016308              39268             2233.965043     
       44.20               5.016308              39387             2271.798196     
       44.30               5.016308              39332             2211.147302     
       44.40               5.016308              39416             2251.501038     
       44.50               5.016308              39509             2228.212233     
       44.60               5.016308              39649             2273.229862     
       44.70               5.016308              39545             2259.673356     
       44.80               5.016308              39441             2393.035800     
       44.90               5.016308              39391             2430.321349     
       45.00               5.016308              39557             2378.992933     
       45.10               5.016308              39597             2338.694349     
       45.20               5.016308              39527             2207.248691     
       45.30               5.016308              39452             2220.740147     
       45.40               5.016308              39396             2348.973740     
       45.50               5.016308              39566             2229.462529     
       45.60               5.016308              39451             2276.499906     
       45.70               5.016308              39426             2300.244293     
       45.80               5.016308              39370             2253.548450     
       45.90               5.016308              39379             2246.264965     
       46.00               5.016308              39341             2194.428102     
       46.10               5.016308              39299             2281.313270     
       46.20               5.016308              39137             2326.445981     
       46.30               5.016308              39067             2366.304989     
       46.40               5.016308              39204             2278.420614     
       46.50               5.016308              39209             2411.431788     
       46.60               5.016308              39295             2234.978268     
       46.70               5.016308              39289             2194.759445     
       46.80               5.016308              39271             2199.749325     
       46.90               5.016308              39404             2222.091865     
       47.00               5.016308              39244             2304.221613     
       47.10               5.016308              39159             2280.366515     
       47.20               5.016308              39175             2397.941991     
       47.30               5.016308              38970             2346.111561     
