        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
        0.00               5.016308              41936             8316.145854          -100.991913          8417.137767     
        0.10               5.016308              42146             7141.641116          -271.577686          7413.218803     
        0.20               5.016308              42621             5618.957277          -263.958069          5882.915346     
        0.30               5.016308              42994             4440.084079          -240.415616          4680.499695     
        0.40               5.016308              43377             3275.486308          -360.870221          3636.356529     
        0.50               5.016308              43635             2944.701629           34.126163           2910.575466     
        0.60               5.016308              43893             2323.315140          -104.484815          2427.799955     
        0.70               5.016308              43995             2118.359121           -7.954201           2126.313322     
        0.80               5.016308              44025             1729.813178           -88.593203          1818.406382     
        0.90               5.016308              43980             1574.173317           -93.109617          1667.282934     
        1.00               5.016308              43870             1287.202278          -202.511965          1489.714243     
        1.10               5.016308              43759             1362.438056          -119.684682          1482.122738     
        1.20               5.016308              43683             1241.061199          -171.390190          1412.451389     
        1.30               5.016308              43390             1106.215565          -264.178751          1370.394316     
        1.40               5.016308              43127             1060.083740          -294.667601          1354.751341     
        1.50               5.016308              43024             1223.718399          -113.199148          1336.917547     
        1.60               5.016308              42816             1406.208510           -67.968111          1474.176621     
        1.70               5.016308              42770             1485.121393           -0.514055           1485.635447     
        1.80               5.016308              42613             1662.288991           152.382304          1509.906687     
        1.90               5.016308              42413             1795.006080           276.564889          1518.441192     
        2.00               5.016308              42216             1585.820843           28.141518           1557.679325     
        2.10               5.016308              42088             1610.036841           -4.293272           1614.330113     
        2.20               5.016308              42003             1496.550304           -86.989149          1583.539453     
        2.30               5.016308              42007             1445.657374          -148.887300          1594.544673     
        2.40               5.016308              42054             1440.120516           -68.334140          1508.454656     
        2.50               5.016308              42108             1299.062465          -221.102225          1520.164690     
        2.60               5.016308              42117             1485.639607           -80.721142          1566.360748     
        2.70               5.016308              42260             1444.013622           -79.458966          1523.472588     
        2.80               5.016308              42362             1523.346814           -48.601572          1571.948386     
        2.90               5.016308              42372             1540.722700           -24.922068          1565.644768     
        3.00               5.016308              42410             1257.107220          -286.471504          1543.578724     
        3.10               5.016308              42363             1388.677878          -188.447524          1577.125401     
        3.20               5.016308              42442             1346.161200          -165.127745          1511.288945     
        3.30               5.016308              42295             1275.917595          -251.371304          1527.288899     
        3.40               5.016308              42338             1105.019174          -410.429741          1515.448915     
        3.50               5.016308              42331             1141.208339          -307.517787          1448.726126     
        3.60               5.016308              42458             1289.658402          -199.036998          1488.695400     
        3.70               5.016308              42582             1232.773100          -270.995642          1503.768742     
        3.80               5.016308              42576             1393.454145           -41.221734          1434.675879     
        3.90               5.016308              42586             1666.517547           196.657099          1469.860448     
        4.00               5.016308              42724             1744.804231           225.153159          1519.651072     
        4.10               5.016308              42622             1587.641438           69.776211           1517.865227     
        4.20               5.016308              42581             1521.879885           -11.214262          1533.094147     
        4.30               5.016308              42533             1395.919919          -123.693518          1519.613438     
        4.40               5.016308              42630             1287.824927          -208.438421          1496.263348     
        4.50               5.016308              42610             1464.437208           34.208095           1430.229113     
        4.60               5.016308              42701             1572.039235           196.186758          1375.852477     
        4.70               5.016308              42526             1596.096830           170.514517          1425.582314     
        4.80               5.016308              42464             1631.085947           212.038920          1419.047027     
        4.90               5.016308              42387             1711.265530           279.445860          1431.819670     
        5.00               5.016308              42468             2100.215303           637.788793          1462.426510     
        5.10               5.016308              42504             1973.969268           518.926073          1455.043195     
        5.20               5.016308              42359             1804.810292           345.502527          1459.307765     
        5.30               5.016308              42254             1750.437035           331.208430          1419.228605     
        5.40               5.016308              42254             1545.865137           73.506635           1472.358502     
        5.50               5.016308              42117             1612.579045           164.590954          1447.988091     
        5.60               5.016308              42121             1792.088849           288.511370          1503.577480     
        5.70               5.016308              42118             1638.598095           199.453558          1439.144537     
        5.80               5.016308              42044             1680.436190           190.778070          1489.658120     
        5.90               5.016308              42079             1526.115641           -7.844841           1533.960482     
        6.00               5.016308              42050             1522.414971           -25.920163          1548.335134     
        6.10               5.016308              42018             1510.198399           19.538344           1490.660055     
        6.20               5.016308              41980             1557.784883            6.122128           1551.662755     
        6.30               5.016308              41923             1248.237373          -243.812996          1492.050370     
        6.40               5.016308              41970             1626.535015           96.029647           1530.505368     
        6.50               5.016308              41967             1675.217656           121.870543          1553.347113     
        6.60               5.016308              42166             1502.758606           65.292352           1437.466255     
        6.70               5.016308              42213             1651.904722           168.730582          1483.174139     
        6.80               5.016308              42276             1754.500245           274.142767          1480.357477     
        6.90               5.016308              42336             1747.786565           211.333717          1536.452848     
        7.00               5.016308              42130             1389.407451           -70.136018          1459.543469     
        7.10               5.016308              42193             1573.176596           94.033185           1479.143411     
        7.20               5.016308              42160             1546.128511           85.430718           1460.697794     
        7.30               5.016308              42107             1394.463031           -27.996705          1422.459735     
        7.40               5.016308              42322             1464.718639           74.261446           1390.457193     
        7.50               5.016308              42384             1829.803390           450.759089          1379.044301     
        7.60               5.016308              42461             1644.530494           311.880243          1332.650251     
        7.70               5.016308              42510             1696.829245           337.371701          1359.457543     
        7.80               5.016308              42507             1531.279191           166.594283          1364.684909     
        7.90               5.016308              42644             1621.979440           280.045178          1341.934262     
        8.00               5.016308              42509             1278.903602           -47.778552          1326.682153     
        8.10               5.016308              42500             1277.479690          -103.822693          1381.302383     
        8.20               5.016308              42423             1375.741077           -40.630026          1416.371103     
        8.30               5.016308              42374             1203.716626          -208.313945          1412.030571     
        8.40               5.016308              42279             1335.244896           -62.628705          1397.873601     
        8.50               5.016308              42180             1414.810816           -63.278160          1478.088977     
        8.60               5.016308              42146             1523.178958           64.002078           1459.176880     
        8.70               5.016308              42098             1406.474253           -14.214440          1420.688693     
        8.80               5.016308              42140             1105.752774          -343.134391          1448.887166     
        8.90               5.016308              42151             1421.947679           -58.485110          1480.432790     
