        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align               num_dens              press        
        0.00               5.016308              40334                  1                    1                 0.000000             3.235294             0.183408             3.732401            186.901894     
        0.00               5.016308              40334                  1                    1                 3.235294             6.470588             0.584667             2.262174            307.577778     
        0.00               5.016308              40334                  1                    1                 6.470588             9.705882             0.642149             3.740374            439.712205     
        0.00               5.016308              40334                  1                    1                 9.705882            12.941176             0.834025             4.855597            779.875706     
        0.00               5.016308              40334                  1                    1                12.941176            16.176471             0.976401             1.708502            334.392656     
        0.00               5.016308              40334                  1                    1                16.176471            19.411765             0.915529             2.961355            531.776519     
        0.00               5.016308              40334                  1                    1                19.411765            22.647059             0.974445             0.749677            132.402612     
        0.00               5.016308              40334                  1                    1                22.647059            25.882353             0.991328             0.022005             1.090697      
        0.00               5.016308              40334                  1                    1                25.882353            29.117647             0.916013             0.083952             8.792055      
        0.00               5.016308              40334                  1                    1                29.117647            32.352941             0.811173             0.185240            22.426979      
        0.00               5.016308              40334                  1                    1                32.352941            35.588235             0.433305             0.155603            13.904972      
        0.00               5.016308              40334                  1                    1                35.588235            38.823529             0.392349             0.172147            21.186832      
        0.00               5.016308              40334                  1                    1                38.823529            42.058824             0.259270             0.123689             7.142116      
        0.00               5.016308              40334                  1                    1                42.058824            45.294118             0.047679             0.072548             0.857476      
        0.00               5.016308              40334                  1                    1                45.294118            48.529412             0.110154             0.043182             0.919234      
        0.00               5.016308              40334                  1                    1                48.529412            51.764706             0.049058             0.017014             0.445174      
        0.00               5.016308              40334                  1                    1                51.764706            55.000000             0.030291             0.013827            -0.161851      
        0.10               5.016308              40534                  1                    1                 0.000000             3.133333             0.184281             4.110827            155.777748     
        0.10               5.016308              40534                  1                    1                 3.133333             6.266667             0.401166             3.768591            330.201812     
        0.10               5.016308              40534                  1                    1                 6.266667             9.400000             0.631595             4.123167            534.240356     
        0.10               5.016308              40534                  1                    1                 9.400000            12.533333             0.689776             4.617540            661.037032     
        0.10               5.016308              40534                  1                    1                12.533333            15.666667             0.702991             3.010916            441.876566     
        0.10               5.016308              40534                  1                    1                15.666667            18.800000             0.721167             1.180708            126.960813     
        0.10               5.016308              40534                  1                    1                18.800000            21.933333             0.000000             0.000000             0.000000      
        0.10               5.016308              40534                  1                    1                21.933333            25.066667             0.702999             0.018180             0.842067      
        0.10               5.016308              40534                  1                    1                25.066667            28.200000             0.717802             0.148931            18.611138      
        0.10               5.016308              40534                  1                    1                28.200000            31.333333             0.668216             0.243808            33.043271      
        0.10               5.016308              40534                  1                    1                31.333333            34.466667             0.565690             0.198393            29.198664      
        0.10               5.016308              40534                  1                    1                34.466667            37.600000             0.439125             0.087850             8.064673      
        0.10               5.016308              40534                  1                    1                37.600000            40.733333             0.304633             0.037572             2.865438      
        0.10               5.016308              40534                  1                    1                40.733333            43.866667             0.084058             0.006744             0.313108      
        0.10               5.016308              40534                  1                    1                43.866667            47.000000             0.065904             0.001506             0.004962      
        0.20               5.016308              40940                  1                    1                 0.000000             3.285714             0.144588             4.242611            136.752193     
        0.20               5.016308              40940                  1                    1                 3.285714             6.571429             0.306580             3.359099            233.747718     
        0.20               5.016308              40940                  1                    1                 6.571429             9.857143             0.464227             3.689740            366.240648     
        0.20               5.016308              40940                  1                    1                 9.857143            13.142857             0.504307             5.377131            567.302928     
        0.20               5.016308              40940                  1                    1                13.142857            16.428571             0.511827             2.233437            217.698021     
