        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align               num_dens              press        
        0.40               5.016308              29507                  1                    1                12.631579            15.789474             0.309764             2.877358            89.130334      
        0.40               5.016308              29507                  1                    1                15.789474            18.947368             0.290307             2.412789            70.044868      
        0.40               5.016308              29507                  1                    1                18.947368            22.105263             0.316790             1.352142            42.834491      
        0.40               5.016308              29507                  1                    1                22.105263            25.263158             0.260858             0.133357             3.478726      
        0.40               5.016308              29507                  1                    1                25.263158            28.421053             0.782649             0.001318             0.103170      
        0.40               5.016308              29507                  1                    1                28.421053            31.578947             0.305493             0.014423             0.440614      
        0.40               5.016308              29507                  1                    1                31.578947            34.736842             0.279721             0.049637             1.388458      
        0.40               5.016308              29507                  1                    1                34.736842            37.894737             0.292143             0.121742             3.556615      
        0.40               5.016308              29507                  1                    1                37.894737            41.052632             0.221975             0.143400             3.183120      
        0.40               5.016308              29507                  1                    1                41.052632            44.210526             0.188168             0.142293             2.677495      
        0.40               5.016308              29507                  1                    1                44.210526            47.368421             0.193295             0.091827             1.774973      
        0.40               5.016308              29507                  1                    1                47.368421            50.526316             0.214029             0.052927             1.132787      
        0.40               5.016308              29507                  1                    1                50.526316            53.684211             0.082075             0.016847             0.138270      
        0.40               5.016308              29507                  1                    1                53.684211            56.842105             0.013992             0.009483             0.013270      
        0.40               5.016308              29507                  1                    1                56.842105            60.000000            -0.130006             0.003491            -0.045381      
        0.50               5.016308              29970                  1                    1                 0.000000             3.111111             0.082834             3.323120            27.526795      
        0.50               5.016308              29970                  1                    1                 3.111111             6.222222             0.202405             2.908468            58.868934      
        0.50               5.016308              29970                  1                    1                 6.222222             9.333333             0.254398             3.197803            81.351594      
        0.50               5.016308              29970                  1                    1                 9.333333            12.444444             0.258805             3.380414            87.486873      
        0.50               5.016308              29970                  1                    1                12.444444            15.555556             0.250929             3.254248            81.658649      
        0.50               5.016308              29970                  1                    1                15.555556            18.666667             0.221223             2.156542            47.707687      
        0.50               5.016308              29970                  1                    1                18.666667            21.777778             0.196407             0.921139            18.091831      
        0.50               5.016308              29970                  1                    1                21.777778            24.888889             0.139993             0.028805             0.403249      
        0.50               5.016308              29970                  1                    1                24.888889            28.000000             0.369536             0.014076             0.520161      
        0.50               5.016308              29970                  1                    1                28.000000            31.111111             0.411288             0.058958             2.424891      
        0.50               5.016308              29970                  1                    1                31.111111            34.222222             0.210989             0.087173             1.839257      
        0.50               5.016308              29970                  1                    1                34.222222            37.333333             0.191963             0.126070             2.420073      
        0.50               5.016308              29970                  1                    1                37.333333            40.444444             0.143250             0.164780             2.360473      
        0.50               5.016308              29970                  1                    1                40.444444            43.555556             0.123344             0.135185             1.667428      
        0.50               5.016308              29970                  1                    1                43.555556            46.666667             0.143278             0.085652             1.227206      
        0.50               5.016308              29970                  1                    1                46.666667            49.777778             0.251393             0.054271             1.364347      
        0.50               5.016308              29970                  1                    1                49.777778            52.888889             0.350220             0.016176             0.566505      
        0.50               5.016308              29970                  1                    1                52.888889            56.000000             0.267714             0.008062             0.215835      
        0.60               5.016308              30336                  1                    1                 0.000000             3.117647             0.090321             3.077940            27.800225      
        0.60               5.016308              30336                  1                    1                 3.117647             6.235294             0.180921             3.105702            56.188728      
        0.60               5.016308              30336                  1                    1                 6.235294             9.352941             0.235848             3.294079            77.690342      
        0.60               5.016308              30336                  1                    1                 9.352941            12.470588             0.216910             3.020361            65.514625      
        0.60               5.016308              30336                  1                    1                12.470588            15.588235             0.184150             3.103878            57.157830      
        0.60               5.016308              30336                  1                    1                15.588235            18.705882             0.166296             1.484391            24.684781      
        0.60               5.016308              30336                  1                    1                18.705882            21.823529             0.152323             0.494231             7.528256      
        0.60               5.016308              30336                  1                    1                21.823529            24.941176             0.264532             0.059625             1.577277      
        0.60               5.016308              30336                  1                    1                24.941176            28.058824             0.256773             0.074603             1.915594      
        0.60               5.016308              30336                  1                    1                28.058824            31.176471             0.212838             0.075912             1.615705      
        0.60               5.016308              30336                  1                    1                31.176471            34.294118             0.185580             0.101033             1.874966      
        0.60               5.016308              30336                  1                    1                34.294118            37.411765             0.155743             0.123106             1.917287      
        0.60               5.016308              30336                  1                    1                37.411765            40.529412             0.101397             0.122508             1.242197      
        0.60               5.016308              30336                  1                    1                40.529412            43.647059             0.200839             0.115535             2.320388      
        0.60               5.016308              30336                  1                    1                43.647059            46.764706             0.051387             0.053225             0.273508      
        0.60               5.016308              30336                  1                    1                46.764706            49.882353             0.121549             0.024490             0.297675      
        0.60               5.016308              30336                  1                    1                49.882353            53.000000            -0.033618             0.008711            -0.029284      
        0.70               5.016308              30678                  1                    1                 0.000000             3.235294             0.088855             3.163354            28.107952      
        0.70               5.016308              30678                  1                    1                 3.235294             6.470588             0.151798             2.122558            32.220074      
        0.70               5.016308              30678                  1                    1                 6.470588             9.705882             0.208157             2.612242            54.375758      
        0.70               5.016308              30678                  1                    1                 9.705882            12.941176             0.208743             3.065105            63.981853      
        0.70               5.016308              30678                  1                    1                12.941176            16.176471             0.179160             0.754397            13.515775      
        0.70               5.016308              30678                  1                    1                16.176471            19.411765             0.218843             0.425670             9.315478      
        0.70               5.016308              30678                  1                    1                19.411765            22.647059             0.181611             0.113758             2.065962      
        0.70               5.016308              30678                  1                    1                22.647059            25.882353             0.115072             0.098064             1.128442      
        0.70               5.016308              30678                  1                    1                25.882353            29.117647             0.091991             0.107021             0.984500      
        0.70               5.016308              30678                  1                    1                29.117647            32.352941             0.105916             0.147080             1.557818      
        0.70               5.016308              30678                  1                    1                32.352941            35.588235             0.162493             0.105211             1.709604      
        0.70               5.016308              30678                  1                    1                35.588235            38.823529             0.101925             0.064356             0.655949      
        0.70               5.016308              30678                  1                    1                38.823529            42.058824             0.176938             0.039615             0.700943      
        0.70               5.016308              30678                  1                    1                42.058824            45.294118             0.068093             0.025400             0.172959      
        0.70               5.016308              30678                  1                    1                45.294118            48.529412             0.113518             0.020283             0.230243      
        0.70               5.016308              30678                  1                    1                48.529412            51.764706             0.176526             0.009622             0.169846      
        0.70               5.016308              30678                  1                    1                51.764706            55.000000            -0.081236             0.003653            -0.029676      
        0.80               5.016308              31018                  2                    2                 0.000000             3.187500             0.080197             3.292328            26.403600      
        0.80               5.016308              31018                  2                    2                 3.187500             6.375000             0.146133             1.881507            27.495100      
        0.80               5.016308              31018                  2                    2                 6.375000             9.562500             0.204435             2.824683            57.746331      
        0.80               5.016308              31018                  2                    2                 9.562500            12.750000             0.180070             2.649920            47.717230      
        0.80               5.016308              31018                  2                    2                12.750000            15.937500             0.213747             0.952936            20.368703      
        0.80               5.016308              31018                  2                    2                15.937500            19.125000             0.097282             0.252458             2.455973      
        0.80               5.016308              31018                  2                    2                19.125000            22.312500             0.268670             0.054582             1.466445      
        0.80               5.016308              31018                  2                    2                22.312500            25.500000             0.171109             0.078638             1.345575      
        0.80               5.016308              31018                  2                    2                25.500000            28.687500             0.219533             0.116802             2.564182      
        0.80               5.016308              31018                  2                    2                28.687500            31.875000             0.065925             0.130447             0.859967      
        0.80               5.016308              31018                  2                    2                31.875000            35.062500             0.182893             0.131057             2.396945      
        0.80               5.016308              31018                  2                    2                35.062500            38.250000             0.126937             0.099979             1.269104      
        0.80               5.016308              31018                  2                    2                38.250000            41.437500             0.099711             0.060393             0.602184      
        0.80               5.016308              31018                  2                    2                41.437500            44.625000             0.036221             0.033543             0.121497      
        0.80               5.016308              31018                  2                    2                44.625000            47.812500             0.147805             0.022552             0.333326      
        0.80               5.016308              31018                  2                    2                47.812500            51.000000             0.164215             0.002901             0.047646      
        0.80               5.016308              31018                  2                    4                 0.000000             3.500000            -0.088442             0.418892            -3.704770      
        0.80               5.016308              31018                  2                    4                 3.500000             7.000000             0.030487             0.305857             0.932457      
        0.80               5.016308              31018                  2                    4                 7.000000            10.500000             0.151584             0.139631             2.116578      
        0.80               5.016308              31018                  2                    4                10.500000            14.000000            -0.211554             0.034195            -0.723415      
        0.90               5.016308              31310                  1                    1                 0.000000             3.250000             0.073484             3.245121            23.846509      
        0.90               5.016308              31310                  1                    1                 3.250000             6.500000             0.134447             1.737755            23.363608      
        0.90               5.016308              31310                  1                    1                 6.500000             9.750000             0.205261             2.630065            53.985056      
        0.90               5.016308              31310                  1                    1                 9.750000            13.000000             0.236450             1.933674            45.721818      
        0.90               5.016308              31310                  1                    1                13.000000            16.250000             0.313978             0.072591             2.279207      
        0.90               5.016308              31310                  1                    1                16.250000            19.500000             0.170813             0.119824             2.046742      
        0.90               5.016308              31310                  1                    1                19.500000            22.750000             0.086193             0.127831             1.101815      
        0.90               5.016308              31310                  1                    1                22.750000            26.000000             0.183070             0.154429             2.827121      
        0.90               5.016308              31310                  1                    1                26.000000            29.250000             0.074508             0.160644             1.196932      
        0.90               5.016308              31310                  1                    1                29.250000            32.500000             0.147233             0.083217             1.225235      
        0.90               5.016308              31310                  1                    1                32.500000            35.750000             0.092874             0.037732             0.350436      
        0.90               5.016308              31310                  1                    1                35.750000            39.000000             0.277340             0.007041             0.195273      
        0.90               5.016308              31310                  1                    1                39.000000            42.250000            -0.373185             0.002132            -0.079565      
        0.90               5.016308              31310                  1                    1                42.250000            45.500000             0.074137             0.006204             0.045993      
        0.90               5.016308              31310                  1                    1                45.500000            48.750000             0.022453             0.008833             0.019833      
