        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align               num_dens              press        
        0.00               5.016308              42318                  1                    1                 0.000000             3.187500             0.176911             3.666591            162.165498     
        0.00               5.016308              42318                  1                    1                 3.187500             6.375000             0.600069             2.562311            384.391038     
        0.00               5.016308              42318                  1                    1                 6.375000             9.562500             0.658167             3.765768            619.626291     
        0.00               5.016308              42318                  1                    1                 9.562500            12.750000             0.848719             4.466009            947.596431     
        0.00               5.016308              42318                  1                    1                12.750000            15.937500             0.942484             2.307406            543.673696     
        0.00               5.016308              42318                  1                    1                15.937500            19.125000             0.956951             2.867973            686.127577     
        0.00               5.016308              42318                  1                    1                19.125000            22.312500             0.971015             0.239759            58.202358      
        0.00               5.016308              42318                  1                    1                22.312500            25.500000             0.987229             0.342020            84.413137      
        0.00               5.016308              42318                  1                    1                25.500000            28.687500             0.972297             0.049885            12.125734      
        0.00               5.016308              42318                  1                    1                28.687500            31.875000             0.827145             0.168591            34.862321      
        0.00               5.016308              42318                  1                    1                31.875000            35.062500             0.572085             0.170921            24.445272      
        0.00               5.016308              42318                  1                    1                35.062500            38.250000             0.433953             0.163067            17.690845      
        0.00               5.016308              42318                  1                    1                38.250000            41.437500             0.262416             0.110794             7.268504      
        0.00               5.016308              42318                  1                    1                41.437500            44.625000             0.122797             0.072196             2.216371      
        0.00               5.016308              42318                  1                    1                44.625000            47.812500             0.075445             0.027805             0.524445      
        0.00               5.016308              42318                  1                    1                47.812500            51.000000            -0.114731             0.013026            -0.373612      
        0.10               5.016308              42521                  1                    1                 0.000000             3.214286             0.168404             4.392392            184.924562     
        0.10               5.016308              42521                  1                    1                 3.214286             6.428571             0.395302             3.597681            355.542160     
        0.10               5.016308              42521                  1                    1                 6.428571             9.642857             0.636298             4.439323            706.183131     
        0.10               5.016308              42521                  1                    1                 9.642857            12.857143             0.710854             5.774962           1026.288958     
        0.10               5.016308              42521                  1                    1                12.857143            16.071429             0.729236             2.112822            385.186230     
        0.10               5.016308              42521                  1                    1                16.071429            19.285714             0.722697             1.307239            236.184372     
        0.10               5.016308              42521                  1                    1                19.285714            22.500000             0.000000             0.000000             0.000000      
        0.10               5.016308              42521                  1                    1                22.500000            25.714286             0.663527             0.024788             4.111811      
        0.10               5.016308              42521                  1                    1                25.714286            28.928571             0.725565             0.108980            19.767959      
        0.10               5.016308              42521                  1                    1                28.928571            32.142857             0.621295             0.162417            25.227151      
        0.10               5.016308              42521                  1                    1                32.142857            35.357143             0.630413             0.112871            17.788896      
        0.10               5.016308              42521                  1                    1                35.357143            38.571429             0.477478             0.054056             6.452650      
        0.10               5.016308              42521                  1                    1                38.571429            41.785714             0.573733             0.025012             3.587573      
        0.10               5.016308              42521                  1                    1                41.785714            45.000000             0.400805             0.003018             0.302386      
        0.20               5.016308              43027                  1                    1                 0.000000             3.133333             0.117908             4.045503            119.249658     
        0.20               5.016308              43027                  1                    1                 3.133333             6.266667             0.279716             3.970495            277.652420     
        0.20               5.016308              43027                  1                    1                 6.266667             9.400000             0.470223             4.128224            485.295976     
        0.20               5.016308              43027                  1                    1                 9.400000            12.533333             0.496565             4.437966            550.934496     
        0.20               5.016308              43027                  1                    1                12.533333            15.666667             0.533177             3.795597            505.931532     
        0.20               5.016308              43027                  1                    1                15.666667            18.800000             0.524616             2.333151            306.002314     
        0.20               5.016308              43027                  1                    1                18.800000            21.933333             0.465854             0.133752            15.577257      
        0.20               5.016308              43027                  1                    1                21.933333            25.066667             0.683824             0.005212             0.891077      
        0.20               5.016308              43027                  1                    1                25.066667            28.200000             0.629623             0.037401             5.887064      
        0.20               5.016308              43027                  1                    1                28.200000            31.333333             0.405802             0.074088             7.516274      
        0.20               5.016308              43027                  1                    1                31.333333            34.466667             0.361071             0.091790             8.285647      
        0.20               5.016308              43027                  1                    1                34.466667            37.600000             0.337567             0.109790             9.265424      
        0.20               5.016308              43027                  1                    1                37.600000            40.733333             0.255590             0.074921             4.787285      
