        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align                alignA               alignB              num_dens            num_densA            num_densB              press                pressA               pressB       
        0.00               5.016308                3                    1                    0                 0.000000             3.045615            -0.035005            -0.035005               nan                1.372651             1.372651             0.000000            -12.012465           -12.012465            0.000000      
        0.00               5.016308                3                    1                    0                 3.045615             6.091230            -0.021125            -0.021125               nan                1.487038             1.487038             0.000000            -7.853244            -7.853244             0.000000      
        0.00               5.016308                3                    1                    0                 6.091230             9.136846             0.037365             0.037365               nan                1.516779             1.516779             0.000000            14.168525            14.168525             0.000000      
        0.00               5.016308                3                    1                    0                 9.136846            12.182461             0.007284             0.007284               nan                1.519720             1.519720             0.000000             2.767505             2.767505             0.000000      
        0.00               5.016308                3                    1                    0                12.182461            15.228076            -0.037351            -0.037351               nan                1.521355             1.521355             0.000000            -14.206089           -14.206089            0.000000      
        0.00               5.016308                3                    1                    0                15.228076            18.273691             0.029862             0.029862               nan                1.491198             1.491198             0.000000            11.132495            11.132495             0.000000      
        0.00               5.016308                3                    1                    0                18.273691            21.319307             0.001194             0.001194               nan                1.536313             1.536313             0.000000             0.458668             0.458668             0.000000      
        0.00               5.016308                3                    1                    0                21.319307            24.364922            -0.020498            -0.020498               nan                1.489326             1.489326             0.000000            -7.631883            -7.631883             0.000000      
        0.00               5.016308                3                    1                    0                24.364922            27.410537            -0.012757            -0.012757               nan                1.520009             1.520009             0.000000            -4.847684            -4.847684             0.000000      
        0.00               5.016308                3                    1                    0                27.410537            30.456152            -0.051685            -0.051685               nan                1.517140             1.517140             0.000000            -19.603366           -19.603366            0.000000      
        0.00               5.016308                3                    1                    0                30.456152            33.501768            -0.009332            -0.009332               nan                1.501745             1.501745             0.000000            -3.503418            -3.503418             0.000000      
        0.00               5.016308                3                    1                    0                33.501768            36.547383             0.018228             0.018228               nan                1.514392             1.514392             0.000000             6.901214             6.901214             0.000000      
        0.00               5.016308                3                    1                    0                36.547383            39.592998            -0.028603            -0.028603               nan                1.519524             1.519524             0.000000            -10.865655           -10.865655            0.000000      
        0.00               5.016308                3                    1                    0                39.592998            42.638613            -0.001750            -0.001750               nan                1.487038             1.487038             0.000000            -0.650749            -0.650749             0.000000      
        0.00               5.016308                3                    1                    0                42.638613            45.684229            -0.027672            -0.027672               nan                1.526482             1.526482             0.000000            -10.560029           -10.560029            0.000000      
        0.00               5.016308                3                    1                    0                45.684229            48.729844             0.017276             0.017276               nan                1.499953             1.499953             0.000000             6.478453             6.478453             0.000000      
        0.00               5.016308                3                    1                    0                48.729844            51.775459            -0.014906            -0.014906               nan                1.510956             1.510956             0.000000            -5.630600            -5.630600             0.000000      
        0.00               5.016308                3                    1                    0                51.775459            54.821074             0.008518             0.008518               nan                1.511877             1.511877             0.000000             3.219627             3.219627             0.000000      
        0.00               5.016308                3                    1                    0                54.821074            57.866690            -0.013721            -0.013721               nan                1.495076             1.495076             0.000000            -5.128466            -5.128466             0.000000      
        0.00               5.016308                3                    1                    0                57.866690            60.912305            -0.003632            -0.003632               nan                1.514315             1.514315             0.000000            -1.375089            -1.375089             0.000000      
        0.00               5.016308                3                    1                    0                60.912305            63.957920             0.024597             0.024597               nan                1.511590             1.511590             0.000000             9.295270             9.295270             0.000000      
        0.00               5.016308                3                    1                    0                63.957920            67.003535            -0.041292            -0.041292               nan                1.493157             1.493157             0.000000            -15.414018           -15.414018            0.000000      
        0.00               5.016308                3                    1                    0                67.003535            70.049151            -0.006105            -0.006105               nan                1.506103             1.506103             0.000000            -2.298613            -2.298613             0.000000      
        0.00               5.016308                3                    1                    0                70.049151            73.094766             0.121292             0.032853             0.632174             1.484361             1.265321             0.219040            10.392285            10.392285             0.000000      
        0.00               5.016308                3                    1                    0                73.094766            76.140381             0.637180               nan                0.637180             1.488906             0.000000             1.488906             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                76.140381            79.185996             0.636212               nan                0.636212             1.448012             0.000000             1.448012             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                79.185996            82.231612             0.637240               nan                0.637240             1.357111             0.000000             1.357111             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                82.231612            85.277227             0.540942               nan                0.540942             1.086266             0.000000             1.086266             0.000000             0.000000             0.000000      
