        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align                alignA               alignB              num_dens            num_densA            num_densB              press                pressA               pressB       
        0.00               5.016308                3                    1                    0                 0.000000             3.045615            -0.024384            -0.024384               nan                1.475600             1.475600             0.000000            -12.593591           -12.593591            0.000000      
        0.00               5.016308                3                    1                    0                 3.045615             6.091230            -0.032352            -0.032352               nan                1.647181             1.647181             0.000000            -18.651230           -18.651230            0.000000      
        0.00               5.016308                3                    1                    0                 6.091230             9.136846             0.016370             0.016370               nan                1.606001             1.606001             0.000000             9.201404             9.201404             0.000000      
        0.00               5.016308                3                    1                    0                 9.136846            12.182461             0.045981             0.045981               nan                1.588353             1.588353             0.000000            25.562135            25.562135             0.000000      
        0.00               5.016308                3                    1                    0                12.182461            15.228076            -0.044683            -0.044683               nan                1.567110             1.567110             0.000000            -24.508280           -24.508280            0.000000      
        0.00               5.016308                3                    1                    0                15.228076            18.273691             0.011820             0.011820               nan                1.559830             1.559830             0.000000             6.453245             6.453245             0.000000      
        0.00               5.016308                3                    1                    0                18.273691            21.319307             0.021356             0.021356               nan                1.557431             1.557431             0.000000            11.641009            11.641009             0.000000      
        0.00               5.016308                3                    1                    0                21.319307            24.364922            -0.027085            -0.027085               nan                1.560246             1.560246             0.000000            -14.791000           -14.791000            0.000000      
        0.00               5.016308                3                    1                    0                24.364922            27.410537            -0.021748            -0.021748               nan                1.592679             1.592679             0.000000            -12.123110           -12.123110            0.000000      
        0.00               5.016308                3                    1                    0                27.410537            30.456152            -0.044407            -0.044407               nan                1.600222             1.600222             0.000000            -24.871502           -24.871502            0.000000      
        0.00               5.016308                3                    1                    0                30.456152            33.501768             0.006352             0.006352               nan                1.593255             1.593255             0.000000             3.542071             3.542071             0.000000      
        0.00               5.016308                3                    1                    0                33.501768            36.547383             0.012417             0.012417               nan                1.578548             1.578548             0.000000             6.860144             6.860144             0.000000      
        0.00               5.016308                3                    1                    0                36.547383            39.592998            -0.038273            -0.038273               nan                1.574430             1.574430             0.000000            -21.090226           -21.090226            0.000000      
        0.00               5.016308                3                    1                    0                39.592998            42.638613            -0.006579            -0.006579               nan                1.577277             1.577277             0.000000            -3.631871            -3.631871             0.000000      
