        tauB               sizeBin             clust_size      press_align
       15.90               5.016308              36475             1362.297242     
       16.00               5.016308              36230             1417.218804     
       16.10               5.016308              36326             1463.681355     
       16.20               5.016308              36058             1424.674918     
       16.30               5.016308              36266             1430.595070     
       16.40               5.016308              36435             1450.304605     
       16.50               5.016308              36669             1455.608280     
       16.60               5.016308              36840             1423.917912     
       16.70               5.016308              36270             1338.992270     
       16.80               5.016308              36072             1278.592814     
       16.90               5.016308              36149             1226.337269     
       17.00               5.016308              36185             1268.530578     
       17.10               5.016308              36266             1244.118656     
       17.20               5.016308              36259             1318.264994     
       17.30               5.016308              36125             1431.897955     
       17.40               5.016308              36491             1410.735413     
       17.50               5.016308              36455             1504.745202     
       17.60               5.016308              36467             1410.491542     
       17.70               5.016308              36599             1360.980075     
       17.80               5.016308              36367             1362.752959     
       17.90               5.016308              36339             1298.718779     
       18.00               5.016308              36267             1254.189431     
       18.10               5.016308              36109             1257.918537     
       18.20               5.016308              36349             1224.645806     
       18.30               5.016308              36253             1238.476041     
       18.40               5.016308              36047             1295.579863     
       18.50               5.016308              36020             1262.925201     
       18.60               5.016308              35669             1317.169617     
       18.70               5.016308              35399             1293.948862     
       18.80               5.016308              35523             1287.191562     
       18.90               5.016308              35646             1285.318064     
       19.00               5.016308              35654             1369.184365     
       19.10               5.016308              35891             1426.765691     
       19.20               5.016308              35833             1381.518923     
       19.30               5.016308              35987             1371.689795     
       19.40               5.016308              36066             1322.545254     
       19.50               5.016308              36259             1235.864751     
       19.60               5.016308              36173             1243.541883     
       19.70               5.016308              36253             1232.514366     
       19.80               5.016308              36156             1233.014551     
       19.90               5.016308              36068             1213.967462     
       20.00               5.016308              36051             1221.117894     
       20.10               5.016308              36124             1202.666497     
       20.20               5.016308              36255             1281.348348     
       20.30               5.016308              36316             1296.573269     
       20.40               5.016308              36261             1261.580126     
       20.50               5.016308              36345             1298.561559     
       20.60               5.016308              36356             1269.018250     
       20.70               5.016308              36545             1430.860644     
       20.80               5.016308              36594             1411.106775     
       20.90               5.016308              36165             1349.546407     
       21.00               5.016308              36221             1327.348277     
       21.10               5.016308              36065             1241.215434     
       21.20               5.016308              35986             1279.288970     
       21.30               5.016308              35925             1251.279378     
       21.40               5.016308              36125             1290.331872     
       21.50               5.016308              35980             1355.393973     
       21.60               5.016308              35964             1258.906953     
       21.70               5.016308              35946             1259.333676     
       21.80               5.016308              35915             1250.409431     
       21.90               5.016308              35949             1378.610105     
       22.00               5.016308              35645             1369.650943     
       22.10               5.016308              35618             1329.807623     
       22.20               5.016308              35494             1392.766012     
       22.30               5.016308              35405             1408.619275     
       22.40               5.016308              35271             1385.324881     
       22.50               5.016308              35372             1413.241821     
       22.60               5.016308              35413             1496.080426     
       22.70               5.016308              35508             1406.258307     
       22.80               5.016308              35627             1380.972994     
       22.90               5.016308              35913             1461.278725     
       23.00               5.016308              35973             1426.932478     
       23.10               5.016308              36062             1376.937096     
       23.20               5.016308              36061             1298.914227     
       23.30               5.016308              36282             1311.379604     
       23.40               5.016308              36089             1246.866888     
       23.50               5.016308              36010             1300.309117     
       23.60               5.016308              35964             1345.879773     
       23.70               5.016308              35842             1209.792827     
       23.80               5.016308              35898             1154.476009     
       23.90               5.016308              35916             1274.284926     
       24.00               5.016308              35991             1367.821625     
       24.10               5.016308              35861             1295.030543     
       24.20               5.016308              35917             1370.387571     
       24.30               5.016308              36093             1368.024782     
       24.40               5.016308              36013             1377.195591     
       24.50               5.016308              36144             1402.901945     
       24.60               5.016308              36040             1370.698905     
       24.70               5.016308              36075             1338.808767     
       24.80               5.016308              36001             1357.904847     
       24.90               5.016308              36066             1275.725906     
       25.00               5.016308              36019             1228.460118     
       25.10               5.016308              35888             1259.378734     
       25.20               5.016308              36159             1285.299836     
       25.30               5.016308              36305             1304.636520     
       25.40               5.016308              36359             1307.500212     
       25.50               5.016308              36382             1303.939513     
       25.60               5.016308              36438             1227.650026     
       25.70               5.016308              36313             1234.590539     
       25.80               5.016308              36212             1124.247453     
       25.90               5.016308              36326             1191.163341     
       26.00               5.016308              36200             1177.149850     
       26.10               5.016308              36402             1214.491968     
       26.20               5.016308              36227             1147.895613     
       26.30               5.016308              36234             1074.955233     
       26.40               5.016308              36259             1117.137613     
       26.50               5.016308              36006             1119.189424     
       26.60               5.016308              35852             1175.937471     
       26.70               5.016308              35645             1284.730263     
       26.80               5.016308              35756             1296.592337     
       26.90               5.016308              35500             1270.115072     
       27.00               5.016308              35495             1255.040469     
       27.10               5.016308              35589             1223.384749     
       27.20               5.016308              35699             1229.913779     
       27.30               5.016308              35816             1198.551544     
       27.40               5.016308              35664             1327.434091     
       27.50               5.016308              35595             1302.210219     
       27.60               5.016308              35542             1245.074836     
       27.70               5.016308              35793             1227.375569     
       27.80               5.016308              35498             1237.273096     
       27.90               5.016308              35636             1287.111774     
       28.00               5.016308              35452             1327.945256     
       28.10               5.016308              35449             1334.964629     
       28.20               5.016308              35401             1346.150409     
       28.30               5.016308              35561             1285.747585     
       28.40               5.016308              35442             1236.991176     
