        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        3.90               5.025009              70160             22902.398913           1.890675             0.071593           22170.128165           1.313840             0.548035           1186.783626            0.328619             0.121149           84640.398189           0.321135             0.144735      
        4.00               5.025009              69804             23079.153921           1.887331             0.072084           22170.128165           1.299722             0.547247            252.507155            0.487115             0.187477           85397.919652           0.322069             0.143213      
        4.10               5.025009              69815             22877.148198           1.885156             0.069287           22523.638181           1.296860             0.551774            934.276472            0.244039             0.097231           84564.646042           0.324426             0.145330      
        4.20               5.025009              69821             23356.911791           1.884068             0.068287           20604.583807           1.335140             0.527809             0.000000             0.000000             0.000000           86938.213295           0.327635             0.148425      
        4.30               5.025009              69555             23079.153921           1.886118             0.067815           21715.615287           1.298973             0.558219            555.515740            0.217816             0.114997           85549.423945           0.328944             0.146486      
        4.40               5.025009              69441             22624.641043           1.888870             0.067615           22624.641043           1.295048             0.553615            454.512878            0.378427             0.130163           85195.913929           0.326225             0.143535      
        4.50               5.025009              69489             22801.396051           1.885718             0.069006           22574.139612           1.285497             0.560498             0.000000             0.000000             0.000000           85524.173229           0.327206             0.142173      
        4.60               5.025009              69266             22927.649629           1.885758             0.071415           21336.854555           1.320438             0.542692            833.273610            0.295221             0.190576           85801.931099           0.330342             0.145436      
        4.70               5.025009              69206             22649.891759           1.885263             0.075365           21261.102409           1.340100             0.537251            353.510016            0.376227             0.122293           86635.204709           0.330974             0.142756      
        4.80               5.025009              69083             23053.903206           1.887142             0.075443           20478.330230           1.331066             0.542221             0.000000             0.000000             0.000000           87367.475457           0.334633             0.147515      
        4.90               5.025009              68643             22574.139612           1.889463             0.077163           21261.102409           1.325190             0.545009             0.000000             0.000000             0.000000           87064.466872           0.335062             0.146623      
        5.00               5.025009              68460             22826.646767           1.886961             0.075234           21084.347401           1.313202             0.550751             0.000000             0.000000             0.000000           86988.714726           0.336124             0.147464      
        5.10               5.025009              68729             22599.390328           1.885184             0.074443           22018.623872           1.299355             0.555762             0.000000             0.000000             0.000000           86281.694693           0.333628             0.142019      
        5.20               5.025009              68811             22397.384604           1.886917             0.072673           21740.866003           1.321750             0.541249             0.000000             0.000000             0.000000           86761.458286           0.334273             0.142520      
        5.30               5.025009              68293             22498.387466           1.887513             0.070750           21690.364572           1.310490             0.544335            530.265024            0.228188             0.084590           86180.691831           0.336363             0.140552      
        5.40               5.025009              68344             22801.396051           1.882429             0.070169           20907.592393           1.319473             0.540478             0.000000             0.000000             0.000000           87190.720449           0.338236             0.142915      
        5.50               5.025009              68453             22245.880312           1.881427             0.069895           22069.125303           1.308389             0.550460             0.000000             0.000000             0.000000           86584.703278           0.338062             0.145169      
        5.60               5.025009              68031             21766.116718           1.880767             0.068187           23255.908930           1.289952             0.558488             0.000000             0.000000             0.000000           85877.683246           0.338435             0.142315      
        5.70               5.025009              68243             21816.618149           1.880126             0.067439           22548.888897           1.308889             0.547344            580.766455            0.478678             0.155769           85953.435392           0.339602             0.143315      
        5.80               5.025009              67786             21690.364572           1.879590             0.064823           22498.387466           1.314183             0.540811            555.515740            0.304222             0.120232           86155.441116           0.342346             0.144390      
        5.90               5.025009              67827             21791.367433           1.881708             0.066202           22170.128165           1.313208             0.535477             0.000000             0.000000             0.000000           86938.213295           0.343704             0.147030      
        6.00               5.025009              67285             21665.113856           1.887181             0.065604           21412.606702           1.338137             0.529220             0.000000             0.000000             0.000000           87821.988335           0.346849             0.148848      
        6.10               5.025009              67413             21589.361710           1.890978             0.069786           20882.341677           1.348029             0.538970            328.259301            0.329008             0.143536           88099.746205           0.350932             0.151772      
        6.20               5.025009              66726             21362.105271           1.893353             0.063732           22043.874588           1.313381             0.548195             0.000000             0.000000             0.000000           87493.729035           0.349762             0.148267      
        6.30               5.025009              66981             21690.364572           1.896649             0.066512           20377.327368           1.344141             0.532262             0.000000             0.000000             0.000000           88832.016953           0.354275             0.150192      
        6.40               5.025009              66828             21286.353124           1.894359             0.066888           22094.376019           1.304857             0.549472            732.270748            0.338673             0.151995           86786.709002           0.352566             0.147730      
        6.50               5.025009              66518             21463.108133           1.890174             0.067513           21538.860279           1.316086             0.543602            757.521464            0.372267             0.135501           87140.219018           0.353476             0.149307      
        6.60               5.025009              66501             21311.603840           1.888408             0.068683           21185.350263           1.331392             0.541338             0.000000             0.000000             0.000000           88402.754791           0.356878             0.152212      
        6.70               5.025009              66369             21538.860279           1.884826             0.068552           21336.854555           1.314955             0.543797             0.000000             0.000000             0.000000           88023.994059           0.356107             0.148019      
        6.80               5.025009              66472             21134.848832           1.885559             0.067434           21715.615287           1.318268             0.548806           1111.031480            0.280820             0.133986           86938.213295           0.358991             0.147806      
        6.90               5.025009              65914             21109.598116           1.883693             0.072987           22144.877450           1.301610             0.550532           2070.558667            0.381540             0.135436           85574.674660           0.357840             0.145162      
        7.00               5.025009              66028             21791.367433           1.881066             0.068895           21261.102409           1.288738             0.550903            277.757870            0.421230             0.141559           87569.481181           0.359623             0.145500      
        7.10               5.025009              65902             22144.877450           1.875964             0.073104           20453.079515           1.296480             0.548550             0.000000             0.000000             0.000000           88301.751929           0.361714             0.145681      
        7.20               5.025009              66198             21942.871726           1.871359             0.074706           21059.096685           1.294927             0.545315            883.775041            0.294193             0.119855           87013.965441           0.360942             0.145337      
        7.30               5.025009              66233             21715.615287           1.870083             0.074776           21387.355986           1.300114             0.540896             0.000000             0.000000             0.000000           87796.737620           0.359740             0.144335      
        7.40               5.025009              65809             21387.355986           1.877558             0.077011           20730.837385           1.331398             0.539700             0.000000             0.000000             0.000000           88781.515522           0.363172             0.145717      
        7.50               5.025009              65620             21160.099547           1.883876             0.079483           20453.079515           1.342438             0.543325           1136.282195            0.400429             0.150797           88150.247636           0.365569             0.148153      
        7.60               5.025009              65551             21261.102409           1.887626             0.077804           20276.324506           1.338112             0.536446             0.000000             0.000000             0.000000           89362.281978           0.366318             0.148412      
        7.70               5.025009              64757             21261.102409           1.894257             0.078045           19619.805905           1.343438             0.534773             0.000000             0.000000             0.000000           90018.800580           0.370678             0.148571      
        7.80               5.025009              64777             20730.837385           1.894569             0.077877           20806.589531           1.324725             0.547812             0.000000             0.000000             0.000000           89362.281978           0.371085             0.147640      
        7.90               5.025009              64369             21059.096685           1.889587             0.077386           20604.583807           1.311213             0.551128             0.000000             0.000000             0.000000           89236.028401           0.371935             0.146754      
        8.00               5.025009              64301             20882.341677           1.885900             0.073683           20402.578084           1.326891             0.547177             0.000000             0.000000             0.000000           89614.789132           0.374336             0.148006      
        8.10               5.025009              64187             21134.848832           1.887451             0.072640           19544.053758           1.332528             0.553486             0.000000             0.000000             0.000000           90220.806303           0.377585             0.151405      
        8.20               5.025009              64466             20680.335954           1.890250             0.073060           20756.088100           1.321829             0.549332             0.000000             0.000000             0.000000           89463.284840           0.374153             0.148222      
        8.30               5.025009              64588             20478.330230           1.889461             0.075209           20907.592393           1.322773             0.558109             0.000000             0.000000             0.000000           89513.786271           0.375931             0.148720      
        8.40               5.025009              64572             20074.318783           1.889230             0.073997           22649.891759           1.282743             0.568124            277.757870            0.439231             0.149573           87897.740482           0.374287             0.148186      
        8.50               5.025009              64553             20377.327368           1.889011             0.075330           21513.609563           1.297365             0.558478             0.000000             0.000000             0.000000           89008.771962           0.377446             0.150944      
        8.60               5.025009              64100             19973.315921           1.892625             0.072530           21134.848832           1.321845             0.557753            429.262163            0.274890             0.121093           89362.281978           0.382074             0.154223      
        8.70               5.025009              63192             19847.062344           1.898115             0.068594           20680.335954           1.333344             0.553686             0.000000             0.000000             0.000000           90372.310596           0.384565             0.154323      
        8.80               5.025009              62897             19720.808767           1.900074             0.072793           20629.834523           1.331712             0.560739             0.000000             0.000000             0.000000           90549.065604           0.387149             0.155637      
        8.90               5.025009              62790             19897.563775           1.898072             0.070918           21059.096685           1.307606             0.566606            303.008585            0.333324             0.119312           89640.039848           0.385932             0.151159      
        9.00               5.025009              63105             20402.578084           1.892653             0.066520           20730.837385           1.294304             0.566641             0.000000             0.000000             0.000000           89766.293425           0.384922             0.149371      
        9.10               5.025009              63107             20478.330230           1.887361             0.065267           20251.073791           1.315634             0.553804             0.000000             0.000000             0.000000           90170.304872           0.384905             0.148729      
        9.20               5.025009              63283             20503.580945           1.883769             0.062516           20478.330230           1.311093             0.547474             0.000000             0.000000             0.000000           89917.797718           0.383984             0.148373      
        9.30               5.025009              63355             20453.079515           1.879864             0.058072           21160.099547           1.291724             0.547387            479.763594            0.289726             0.100396           88806.766238           0.383743             0.146903      
        9.40               5.025009              63440             20099.569498           1.880239             0.054988           21336.854555           1.309893             0.540257             0.000000             0.000000             0.000000           89463.284840           0.382939             0.144942      
        9.50               5.025009              63229             20655.085238           1.880312             0.057596           20225.823076           1.310404             0.552761             0.000000             0.000000             0.000000           90018.800580           0.385008             0.147182      
        9.60               5.025009              63181             20124.820214           1.882352             0.057266           21362.105271           1.300340             0.571418             0.000000             0.000000             0.000000           89412.783409           0.384061             0.145195      
        9.70               5.025009              63414             20200.572360           1.885887             0.056190           21387.355986           1.298477             0.560983             0.000000             0.000000             0.000000           89311.780547           0.382178             0.147788      
        9.80               5.025009              63481             20453.079515           1.883335             0.055556           20352.076653           1.326007             0.547104             0.000000             0.000000             0.000000           90094.552726           0.382853             0.146134      
        9.90               5.025009              63620             20352.076653           1.887670             0.052074           20377.327368           1.325051             0.548169             0.000000             0.000000             0.000000           90170.304872           0.383508             0.145931      
       10.00               5.025009              63420             19645.056620           1.892944             0.049497           21160.099547           1.335249             0.551767            277.757870            0.421230             0.148442           89816.794856           0.383469             0.147210      
       10.10               5.025009              63026             19872.313059           1.897313             0.048931           20806.589531           1.330636             0.564189            631.267886            0.369098             0.114627           89589.538417           0.383717             0.144819      
       10.20               5.025009              63416             20150.070929           1.899646             0.050725           20756.088100           1.313687             0.569800             0.000000             0.000000             0.000000           89993.549864           0.382861             0.145811      
       10.30               5.025009              63303             20579.333092           1.900790             0.047673           19594.555189           1.332972             0.558128             0.000000             0.000000             0.000000           90725.820612           0.383176             0.144948      
       10.40               5.025009              63379             20604.583807           1.898121             0.046642           19948.065206           1.319276             0.563461            429.262163            0.293527             0.121541           89917.797718           0.383094             0.144132      
       10.50               5.025009              63621             20453.079515           1.896243             0.047324           20554.082376           1.309667             0.558040             0.000000             0.000000             0.000000           89892.547002           0.381533             0.143569      
       10.60               5.025009              63323             20680.335954           1.893199             0.050972           19594.555189           1.328890             0.544422             0.000000             0.000000             0.000000           90624.817750           0.384100             0.144872      
       10.70               5.025009              62796             20831.840246           1.895176             0.053410           19114.791596           1.322117             0.555338             0.000000             0.000000             0.000000           90953.077051           0.387540             0.143150      
       10.80               5.025009              63447             20402.578084           1.893535             0.053973           20150.070929           1.314189             0.551047             0.000000             0.000000             0.000000           90347.059880           0.386133             0.143266      
       10.90               5.025009              63017             20705.586669           1.894899             0.053776           18862.284441           1.331546             0.539931             0.000000             0.000000             0.000000           91331.837783           0.390324             0.146825      
       11.00               5.025009              62547             20200.572360           1.894748             0.053491           19241.045173           1.335842             0.541910             0.000000             0.000000             0.000000           91458.091360           0.393863             0.153120      
       11.10               5.025009              62360             19619.805905           1.893240             0.057495           20958.093824           1.302027             0.565781            303.008585            0.376227             0.151236           90018.800580           0.393840             0.146235      
       11.20               5.025009              61910             19518.803043           1.895147             0.054547           21261.102409           1.291796             0.571217            328.259301            0.338147             0.131454           89791.544140           0.394614             0.147213      
