        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        0.00               5.025009                10                0.000000             0.000000             0.000000          130899.708893           0.763944             0.065507             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000      
        0.10               5.025009               2463               0.000000             0.000000             0.000000          130798.706031           0.764235             0.223134             0.000000             0.000000             0.000000            101.002862            0.386128             0.058573      
        0.20               5.025009               3179               0.000000             0.000000             0.000000          130697.703170           0.764428             0.231838             0.000000             0.000000             0.000000            202.005724            0.450482             0.055788      
        0.30               5.025009               3049               0.000000             0.000000             0.000000          130697.703170           0.764352             0.239623             0.000000             0.000000             0.000000            202.005724            0.499986             0.019173      
        0.40               5.025009               6985               0.000000             0.000000             0.000000          130697.703170           0.764489             0.242692             0.000000             0.000000             0.000000            202.005724            0.410879             0.071223      
        0.50               5.025009               2502               0.000000             0.000000             0.000000          130647.201739           0.764601             0.248867             0.000000             0.000000             0.000000            252.507155            0.423750             0.066386      
        0.60               5.025009               4941               0.000000             0.000000             0.000000          129283.663104           0.768017             0.253839             0.000000             0.000000             0.000000           1616.045789            0.438106             0.087686      
        0.70               5.025009               2947               0.000000             0.000000             0.000000          128677.645934           0.769512             0.266680             0.000000             0.000000             0.000000           2222.062960            0.441482             0.112576      
        0.80               5.025009               3930               0.000000             0.000000             0.000000          126430.332259           0.775526             0.282229             0.000000             0.000000             0.000000           4469.376635            0.436302             0.086323      
        0.90               5.025009               3304               0.000000             0.000000             0.000000          123400.246405           0.783848             0.307728             0.000000             0.000000             0.000000           7499.462489            0.436431             0.105404      
        1.00               5.025009               4860              126.253577            1.782128             0.086765          122491.220648           0.785648             0.333581             0.000000             0.000000             0.000000           8282.234668            0.427421             0.108234      
        1.10               5.025009               5047              202.005724            1.782128             0.048503          122693.226372           0.784281             0.364548             0.000000             0.000000             0.000000           8004.476798            0.426511             0.106074      
        1.20               5.025009               6046              202.005724            1.767277             0.019173          114461.493135           0.808578             0.406484             0.000000             0.000000             0.000000           16236.210034           0.436801             0.124869      
        1.30               5.025009               6931              303.008585            1.953740             0.143095          108401.321427           0.827739             0.450894             0.000000             0.000000             0.000000           22195.378881           0.436127             0.115054      
        1.40               5.025009               7806              707.020033            1.891036             0.115764           95977.969426           0.872523             0.504069             0.000000             0.000000             0.000000           34214.719435           0.436070             0.128739      
        1.50               5.025009              22132              959.527187            1.981184             0.141480           83276.859554           0.932696             0.564441           1035.279333            0.646202             0.129275           45628.042818           0.433023             0.129813      
        1.60               5.025009              24573             2676.575838            2.007789             0.173494           63152.039341           1.037639             0.621404           2752.327984            0.812040             0.323858           62318.765731           0.431042             0.138779      
        1.70               5.025009              26932             3408.846586            2.069322             0.061865           21387.355986           1.260698             0.711998           33684.454410           1.051435             0.615935           72419.051911           0.422071             0.143164      
        1.80               5.025009              31812             5302.650245            2.040678             0.117745           21387.355986           1.283001             0.733949           26462.749792           1.161331             0.654220           77746.952871           0.398819             0.145218      
        1.90               5.025009              34226             6969.197464            2.048012             0.100979           21059.096685           1.290654             0.737469           22927.649629           1.274967             0.661975           79943.765115           0.366695             0.138861      
        2.00               5.025009              36303             8585.243253            2.048399             0.086713           20377.327368           1.295214             0.744799           24240.686832           1.240889             0.681474           77696.451440           0.333876             0.131444      
        2.10               5.025009              38093             10857.807644           2.043414             0.082353           20049.068067           1.264248             0.763064           22195.378881           1.294999             0.670148           77797.454302           0.304933             0.123069      
        2.20               5.025009              39927             12499.104148           2.037266             0.078039           19973.315921           1.247214             0.773851           22624.641043           1.269368             0.686205           75802.647781           0.275795             0.115658      
        2.30               5.025009              41243             15503.939286           2.023357             0.084765           17726.002246           1.319023             0.743173           19645.056620           1.291368             0.690288           78024.710741           0.254791             0.110996      
        2.40               5.025009              42428             16084.705742           2.023724             0.092878           18963.287303           1.273197             0.766110           20352.076653           1.253386             0.716116           75499.639196           0.235710             0.107515      
        2.50               5.025009              43611             18256.267270           2.019690             0.092085           16614.970766           1.320375             0.746653           18382.520848           1.314945             0.688499           77645.950009           0.219174             0.103210      
        2.60               5.025009              44693             17877.506539           2.015605             0.082147           20099.569498           1.199677             0.795129           20882.341677           1.199530             0.720654           72040.291179           0.205496             0.101285      
        2.70               5.025009              45460             19821.811628           2.006325             0.079254           16539.218620           1.319409             0.748348           21033.845970           1.135408             0.725556           73504.832675           0.197633             0.098985      
        2.80               5.025009              46339             21437.857417           1.998987             0.076763           15806.947872           1.355733             0.721404           18584.526571           1.140895             0.741479           75070.377033           0.193325             0.098315      
        2.90               5.025009              47124             20882.341677           1.999010             0.075180           16943.230067           1.269120             0.757810           16892.728636           1.329981             0.711044           76181.408513           0.187526             0.092124      
        3.00               5.025009              47965             22346.883173           1.991374             0.076007           15150.429270           1.329203             0.723211           15756.446441           1.380197             0.688814           77645.950009           0.175334             0.087975      
        3.10               5.025009              48595             22498.387466           1.985520             0.072336           15529.190002           1.317970             0.724747           15630.192864           1.407980             0.677282           77241.938562           0.166425             0.087056      
        3.20               5.025009              49225             23584.168230           1.969626             0.069278           15604.942148           1.328810             0.717310           15099.927839           1.374709             0.674615           76610.670676           0.157341             0.083439      
        3.30               5.025009              49673             23634.669661           1.959833             0.070305           15529.190002           1.332458             0.710875           15200.930701           1.404651             0.662851           76534.918529           0.152035             0.083837      
        3.40               5.025009              49963             24265.937548           1.951995             0.069429           15251.432132           1.334891             0.704484           15276.682847           1.373269             0.670840           76105.656367           0.148412             0.082548      
        3.50               5.025009              50380             24316.438978           1.950327             0.069234           15251.432132           1.348529             0.690791           14847.420685           1.406440             0.646128           76484.417098           0.145468             0.082881      
        3.60               5.025009              50390             24089.182539           1.945521             0.064911           14796.919254           1.392520             0.660039           15125.178555           1.390793             0.662434           76888.428545           0.149476             0.086206      
        3.70               5.025009              50334             23382.162507           1.941993             0.066548           16008.953595           1.326195             0.707019           15680.694295           1.384505             0.652907           75827.898497           0.153651             0.084704      
        3.80               5.025009              50383             23609.418946           1.943673             0.067920           14923.172831           1.377455             0.667782           15705.945010           1.361077             0.675131           76661.172106           0.158855             0.086655      
        3.90               5.025009              50251             24316.438978           1.948805             0.070469           13786.890636           1.404378             0.640207           14468.659953           1.409115             0.651017           78327.719326           0.164208             0.089100      
        4.00               5.025009              50205             23710.421808           1.957789             0.069679           14089.899221           1.402636             0.651548           14544.412099           1.423433             0.641472           78554.975765           0.166940             0.085875      
        4.10               5.025009              50345             24366.940409           1.952440             0.069370           13913.144213           1.375749             0.664806           14948.423546           1.361950             0.683912           77671.200724           0.166407             0.086780      
        4.20               5.025009              50553             24695.199710           1.949245             0.067815           14645.414961           1.344038             0.689511           13736.389205           1.405610             0.637578           77822.705017           0.165389             0.088489      
        4.30               5.025009              50981             25629.476182           1.943387             0.072009           14594.913530           1.332451             0.700720           12852.614164           1.406017             0.633108           77822.705017           0.162857             0.085339      
        4.40               5.025009              51282             24695.199710           1.936571             0.071616           15327.184278           1.308590             0.712954           14064.648506           1.404017             0.636660           76812.676399           0.161067             0.084650      
        4.50               5.025009              51630             24366.940409           1.932167             0.065836           16160.457888           1.244210             0.741763           14822.169969           1.394465             0.634294           75550.140627           0.160728             0.085699      
