        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        0.00               5.025009              86162             39618.372541           1.661880             0.039017           18256.267270           1.160204             0.593607             0.000000             0.000000             0.000000           73025.069082           0.177720             0.069609      
        0.10               5.025009              86500             37800.321029           1.680700             0.097226           21614.612425           1.104577             0.650858            277.757870            1.497707             0.052913           71207.017569           0.171022             0.084394      
        0.20               5.025009              85846             25730.479044           1.728573             0.095717           26765.758377           1.246929             0.566058           6161.174570            1.574213             0.198529           72242.296903           0.172323             0.087311      
        0.30               5.025009              84671             14923.172831           1.768927             0.088769           43052.469842           1.401615             0.495348           1212.034342            0.196364             0.099651           71712.031878           0.181573             0.095201      
        0.40               5.025009              82977             10075.035465           1.809324             0.085686           45754.296396           1.458617             0.473475           1994.806521            0.182474             0.092484           73075.570513           0.200737             0.114533      
        0.50               5.025009              81745             11034.562652           1.825356             0.090228           43431.230574           1.465190             0.461761           1590.795073            0.175384             0.090835           74843.120594           0.213032             0.120598      
        0.60               5.025009              80412             8105.479659            1.852080             0.075072           49415.650136           1.398261             0.534806            454.512878            0.233217             0.098689           72924.066220           0.216472             0.119376      
        0.70               5.025009              79978             8080.228944            1.861333             0.072078           51688.214526           1.333283             0.590979           6438.932440            0.208730             0.103162           64692.332983           0.227245             0.127438      
        0.80               5.025009              79292             12019.340554           1.846025             0.086119           40830.406883           1.451467             0.484323           3232.091578            0.234523             0.124214           74817.869879           0.237777             0.134814      
        0.90               5.025009              78746             10504.297627           1.865617             0.077816           47143.085745           1.325136             0.583702           2878.581561            0.418956             0.523894           70373.743959           0.237674             0.135753      
        1.00               5.025009              77707             11463.824814           1.868661             0.086352           46840.077160           1.306104             0.590767           4873.388082            0.244594             0.114099           67722.418837           0.239330             0.136163      
        1.10               5.025009              77074             13307.127042           1.878317             0.075416           40022.383988           1.385450             0.530349           1818.051512            0.277770             0.138373           75752.146350           0.251491             0.137060      
        1.20               5.025009              76811             12448.602717           1.877319             0.068214           42698.959826           1.343756             0.552727           1994.806521            0.231601             0.126354           73757.339830           0.254768             0.136665      
        1.30               5.025009              76331             13433.380619           1.871457             0.080630           38254.833907           1.410671             0.501637           2121.060098            0.312108             0.124698           77090.434269           0.262458             0.143538      
        1.40               5.025009              75851             15478.688571           1.870701             0.078666           33154.189386           1.406700             0.503068           2449.319399            1.113371             0.652153           79817.511538           0.271607             0.149723      
        1.50               5.025009              75412             14645.414961           1.876219             0.080494           33962.212280           1.386188             0.523279           4014.863757            1.008502             0.707026           78277.217895           0.273323             0.150959      
        1.60               5.025009              74412             16236.210034           1.876300             0.079623           31588.645028           1.428615             0.493258           3408.846586            0.689383             0.626033           79666.007245           0.276881             0.150065      
        1.70               5.025009              74397             19367.298750           1.869337             0.088678           26184.991922           1.315868             0.554483           5176.396667            1.337417             0.640767           80171.021554           0.279615             0.148614      
        1.80               5.025009              74509             19493.552327           1.878159             0.084428           27548.530556           1.407516             0.497998            883.775041            1.263896             0.738925           82973.850969           0.283174             0.148944      
        1.90               5.025009              73654             20983.344539           1.885972             0.080592           23685.171092           1.394501             0.507593           2626.074407            1.175900             0.698168           83605.118855           0.290760             0.156251      
        2.00               5.025009              72969             22170.128165           1.894351             0.076751           22952.900344           1.374293             0.520860            833.273610            1.656119             0.152435           84943.406774           0.295232             0.156770      
        2.10               5.025009              72680             22574.139612           1.899784             0.080472           23962.928962           1.352214             0.534413             0.000000             0.000000             0.000000           84362.640319           0.292914             0.153498      
        2.20               5.025009              72301             22599.390328           1.913060             0.071141           23508.416084           1.349644             0.543044             0.000000             0.000000             0.000000           84791.902481           0.295288             0.153593      
        2.30               5.025009              72107             22675.142474           1.922899             0.069049           22271.131027           1.370878             0.538301             0.000000             0.000000             0.000000           85953.435392           0.300942             0.155445      
        2.40               5.025009              72037             22043.874588           1.929425             0.067395           23659.920377           1.355245             0.554698           2020.057236            0.264844             0.126108           83175.856693           0.298981             0.151870      
        2.50               5.025009              71507             22245.880312           1.931189             0.062452           22094.376019           1.394156             0.536695            429.262163            0.356426             0.160149           86130.190400           0.302832             0.151660      
        2.60               5.025009              72019             21791.367433           1.932325             0.063143           24089.182539           1.347783             0.553493             0.000000             0.000000             0.000000           85019.158920           0.299050             0.146713      
