        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        4.00               5.016308              43263             14066.310387           1.877180             0.072818           13588.206813           1.290899             0.679787             0.000000             0.000000             0.000000           37795.345618           0.160178             0.086394      
        4.10               5.016308              43282             14217.290462           1.872298             0.075193           13462.390084           1.288850             0.678412             0.000000             0.000000             0.000000           37770.182272           0.159650             0.084682      
        4.20               5.016308              43243             14418.597230           1.865507             0.081857           13663.696851           1.254785             0.689519             0.000000             0.000000             0.000000           37367.568737           0.159416             0.084304      
        4.30               5.016308              43289             14670.230689           1.855595             0.083048           13084.939894           1.280098             0.677944             0.000000             0.000000             0.000000           37694.692234           0.159916             0.084652      
        4.40               5.016308              43274             14720.557381           1.852376             0.084148           12556.509629           1.320590             0.645681             0.000000             0.000000             0.000000           38172.795807           0.161109             0.084210      
        4.50               5.016308              43046             14594.740652           1.851969             0.083442           12959.123165           1.287124             0.666232             0.000000             0.000000             0.000000           37895.999002           0.166007             0.085749      
        4.60               5.016308              42964             14468.923922           1.858742             0.083741           12707.489705           1.313556             0.644248             0.000000             0.000000             0.000000           38273.449191           0.167584             0.089742      
        4.70               5.016308              42665             13890.166965           1.870388             0.087199           13084.939894           1.324576             0.648434             0.000000             0.000000             0.000000           38474.755959           0.173828             0.087769      
        4.80               5.016308              42477             13512.716776           1.883411             0.087748           13764.350235           1.296102             0.665425             0.000000             0.000000             0.000000           38172.795807           0.175780             0.089547      
        4.90               5.016308              42284             13210.756624           1.892927             0.089688           13386.900046           1.339817             0.654387             0.000000             0.000000             0.000000           38852.206148           0.181637             0.091518      
        5.00               5.016308              42213             13386.900046           1.902681             0.086887           13386.900046           1.306501             0.676310             0.000000             0.000000             0.000000           38676.062726           0.181999             0.089435      
        5.10               5.016308              42288             13261.083316           1.906632             0.087857           14166.963770           1.261950             0.705053             0.000000             0.000000             0.000000           38021.815732           0.179844             0.089178      
        5.20               5.016308              42544             13663.696851           1.899486             0.086821           13940.493657           1.254188             0.701476             0.000000             0.000000             0.000000           37845.672310           0.173388             0.086076      
        5.30               5.016308              42697             13688.860197           1.898916             0.086753           13839.840273           1.268873             0.697494             0.000000             0.000000             0.000000           37921.162348           0.169958             0.086922      
        5.40               5.016308              42876             13739.186889           1.901277             0.080573           13462.390084           1.298209             0.693609             0.000000             0.000000             0.000000           38248.285845           0.167354             0.084482      
        5.50               5.016308              43069             13789.513581           1.908189             0.080182           13638.533505           1.284962             0.688709             0.000000             0.000000             0.000000           38021.815732           0.162065             0.083375      
        5.60               5.016308              43153             13537.880122           1.907610             0.079941           13940.493657           1.297085             0.689262             0.000000             0.000000             0.000000           37971.489040           0.160462             0.084886      
        5.70               5.016308              43196             13663.696851           1.904536             0.081787           13865.003619           1.293545             0.685478             0.000000             0.000000             0.000000           37921.162348           0.159331             0.083705      
        5.80               5.016308              43316             14041.147041           1.897637             0.079130           13311.410008           1.305722             0.674671             0.000000             0.000000             0.000000           38097.305770           0.156809             0.084664      
        5.90               5.016308              43454             14368.270538           1.893269             0.077497           13814.676927           1.230213             0.718946             0.000000             0.000000             0.000000           37266.915353           0.155688             0.082133      
        6.00               5.016308              43438             14393.433884           1.888639             0.075794           13185.593278           1.286556             0.680264             0.000000             0.000000             0.000000           37870.835656           0.154525             0.081561      
        6.10               5.016308              43509             14393.433884           1.885165             0.076195           13135.266586           1.296966             0.674333             0.000000             0.000000             0.000000           37921.162348           0.153740             0.080385      
        6.20               5.016308              43412             14041.147041           1.891655             0.075272           13437.226738           1.306743             0.669649             0.000000             0.000000             0.000000           37971.489040           0.154853             0.083312      
        6.30               5.016308              43269             14242.453808           1.890896             0.080592           12908.796473           1.315150             0.661733             0.000000             0.000000             0.000000           38298.612537           0.159066             0.083243      
        6.40               5.016308              43136             14267.617154           1.893168             0.078792           12757.816397           1.314096             0.661342             0.000000             0.000000             0.000000           38424.429267           0.161980             0.084936      
        6.50               5.016308              43145             13412.063392           1.894936             0.076545           14393.433884           1.287879             0.677516             0.000000             0.000000             0.000000           37644.365542           0.160661             0.086486      
        6.60               5.016308              42952             13462.390084           1.895132             0.077770           13613.370159           1.333615             0.661200             0.000000             0.000000             0.000000           38374.102575           0.165007             0.084585      
        6.70               5.016308              42989             13814.676927           1.893493             0.077566           13638.533505           1.285036             0.687130             0.000000             0.000000             0.000000           37996.652386           0.166225             0.084044      
        6.80               5.016308              43002             13588.206813           1.890978             0.079246           14468.923922           1.253998             0.701990             0.000000             0.000000             0.000000           37392.732083           0.164765             0.085989      
