        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        0.00               5.016308              42649             10920.892143           1.685485             0.041054           18696.366041           1.331168             0.528809             0.000000             0.000000             0.000000           35832.604634           0.187120             0.068865      
        0.10               5.016308              43001             7901.290629            2.242925             0.068809           15978.724679           1.607074             0.821426             0.000000             0.000000             0.000000           41569.847511           0.158745             0.087905      
        0.20               5.016308              43697             8404.557548            2.270435             0.091593           15525.784452           1.614089             0.775725             0.000000             0.000000             0.000000           41519.520819           0.141090             0.084332      
        0.30               5.016308              44290             8631.027661            2.207269             0.059895           16481.991598           1.565770             0.762420             0.000000             0.000000             0.000000           40336.843559           0.127477             0.072355      
        0.40               5.016308              44602             9964.684997            2.153304             0.090144           15148.334262           1.559313             0.695842             0.000000             0.000000             0.000000           40336.843559           0.122022             0.070989      
        0.50               5.016308              44796             10895.728797           2.093848             0.119281           14997.354187           1.499064             0.688900             0.000000             0.000000             0.000000           39556.779835           0.118918             0.069065      
        0.60               5.016308              44851             11675.792521           2.043373             0.124046           14921.864149           1.444994             0.686655             0.000000             0.000000             0.000000           38852.206148           0.117883             0.072199      
        0.70               5.016308              44850             12430.692900           1.996590             0.124653           14796.047419           1.396116             0.685780             0.000000             0.000000             0.000000           38223.122499           0.118358             0.071509      
        0.80               5.016308              44771             13261.083316           1.961077             0.120998           14770.884073           1.318608             0.705336             0.000000             0.000000             0.000000           37417.895429           0.120718             0.072345      
        0.90               5.016308              44735             14015.983695           1.931723             0.119431           14267.617154           1.283186             0.703553             0.000000             0.000000             0.000000           37166.261969           0.124226             0.072830      
        1.00               5.016308              44489             14066.310387           1.909811             0.118283           14292.780500           1.284984             0.688231             0.000000             0.000000             0.000000           37090.771932           0.128603             0.076105      
        1.10               5.016308              44183             14494.087268           1.897118             0.120586           12606.836321           1.366005             0.636309             0.000000             0.000000             0.000000           38348.939229           0.137735             0.078558      
        1.20               5.016308              44144             14695.394035           1.885489             0.113626           14015.983695           1.225315             0.708919             0.000000             0.000000             0.000000           36738.485088           0.139309             0.077167      
        1.30               5.016308              44039             14569.577306           1.878915             0.110699           13084.939894           1.319303             0.656657             0.000000             0.000000             0.000000           37795.345618           0.141869             0.081119      
        1.40               5.016308              43789             14670.230689           1.877271             0.110970           12405.529554           1.354315             0.627273             0.000000             0.000000             0.000000           38374.102575           0.147469             0.080294      
        1.50               5.016308              43486             14343.107192           1.876023             0.110809           13437.226738           1.289924             0.669581             0.000000             0.000000             0.000000           37669.528888           0.152882             0.083784      
        1.60               5.016308              43252             14217.290462           1.886646             0.114800           12984.286511           1.318209             0.661168             0.000000             0.000000             0.000000           38248.285845           0.158465             0.083003      
        1.70               5.016308              43322             13940.493657           1.892401             0.114795           14116.637078           1.256815             0.700315             0.000000             0.000000             0.000000           37392.732083           0.157170             0.080080      
        1.80               5.016308              43312             14141.800424           1.893040             0.114093           13890.166965           1.251533             0.695563             0.000000             0.000000             0.000000           37417.895429           0.156209             0.084266      
        1.90               5.016308              43364             13839.840273           1.893302             0.114634           14317.943846           1.254859             0.707874             0.000000             0.000000             0.000000           37292.078699           0.156333             0.085098      
        2.00               5.016308              43305             14418.597230           1.893527             0.113437           13135.266586           1.273975             0.693107             0.000000             0.000000             0.000000           37895.999002           0.157378             0.083794      
        2.10               5.016308              43555             14292.780500           1.894733             0.111882           13537.880122           1.266077             0.708194             0.000000             0.000000             0.000000           37619.202197           0.153618             0.080786      
        2.20               5.016308              43640             14494.087268           1.888977             0.106740           13739.186889           1.236463             0.720112             0.000000             0.000000             0.000000           37216.588661           0.151357             0.079781      
        2.30               5.016308              43622             14670.230689           1.884565             0.108506           13135.266586           1.274965             0.676967             0.000000             0.000000             0.000000           37644.365542           0.148920             0.081568      
        2.40               5.016308              43555             14720.557381           1.882809             0.108908           12355.202862           1.331099             0.650233             0.000000             0.000000             0.000000           38374.102575           0.152134             0.083329      
        2.50               5.016308              43356             14242.453808           1.882119             0.112384           13261.083316           1.301553             0.675048             0.000000             0.000000             0.000000           37946.325694           0.156379             0.083174      
        2.60               5.016308              43327             13965.657003           1.885769             0.110223           13512.716776           1.311061             0.672545             0.000000             0.000000             0.000000           37971.489040           0.156644             0.083293      
        2.70               5.016308              43329             13890.166965           1.888098             0.106870           14418.597230           1.244435             0.710876             0.000000             0.000000             0.000000           37141.098623           0.156996             0.085370      
        2.80               5.016308              43344             14141.800424           1.886111             0.104064           13185.593278           1.320153             0.661488             0.000000             0.000000             0.000000           38122.469116           0.155289             0.083066      
        2.90               5.016308              43349             13965.657003           1.884766             0.100590           14468.923922           1.237411             0.708575             0.000000             0.000000             0.000000           37015.281894           0.155990             0.083395      
        3.00               5.016308              43191             13890.166965           1.883563             0.096578           13537.880122           1.313795             0.675117             0.000000             0.000000             0.000000           38021.815732           0.159145             0.083150      
        3.10               5.016308              43352             14468.923922           1.884729             0.096956           13286.246662           1.266272             0.694273             0.000000             0.000000             0.000000           37694.692234           0.156680             0.082877      
        3.20               5.016308              43485             14443.760576           1.880189             0.100913           13261.083316           1.286396             0.679015             0.000000             0.000000             0.000000           37745.018926           0.153239             0.080944      
        3.30               5.016308              43596             14821.210765           1.876095             0.097801           12858.469781           1.282501             0.669137             0.000000             0.000000             0.000000           37770.182272           0.150992             0.083109      
        3.40               5.016308              43621             14116.637078           1.878280             0.096894           13613.370159           1.304526             0.674485             0.000000             0.000000             0.000000           37719.855580           0.151803             0.085406      
        3.50               5.016308              43534             14192.127116           1.878084             0.106337           13386.900046           1.307323             0.669741             0.000000             0.000000             0.000000           37870.835656           0.154340             0.083854      
        3.60               5.016308              43498             14368.270538           1.874338             0.102283           13714.023543           1.263160             0.689139             0.000000             0.000000             0.000000           37367.568737           0.153770             0.080654      
        3.70               5.016308              43348             14418.597230           1.877575             0.105891           12959.123165           1.308036             0.662165             0.000000             0.000000             0.000000           38072.142424           0.156991             0.083323      
        3.80               5.016308              43358             14393.433884           1.878495             0.101978           13839.840273           1.231878             0.702705             0.000000             0.000000             0.000000           37216.588661           0.158881             0.083982      
        3.90               5.016308              43319             14393.433884           1.879538             0.105315           12782.979743           1.318315             0.652940             0.000000             0.000000             0.000000           38273.449191           0.159249             0.086996      
        4.00               5.016308              43182             14192.127116           1.886046             0.106704           13412.063392           1.279222             0.677016             0.000000             0.000000             0.000000           37845.672310           0.160547             0.086209      
        4.10               5.016308              43075             14091.473732           1.885537             0.107980           12782.979743           1.338733             0.649772             0.000000             0.000000             0.000000           38575.409343           0.163757             0.087127      
        4.20               5.016308              42873             13990.820349           1.892026             0.104524           12606.836321           1.348316             0.649514             0.000000             0.000000             0.000000           38852.206148           0.168099             0.086443      
        4.30               5.016308              42959             13990.820349           1.887523             0.108192           13412.063392           1.289213             0.689259             0.000000             0.000000             0.000000           38046.979078           0.165611             0.086157      
        4.40               5.016308              43094             14217.290462           1.885591             0.101803           13462.390084           1.266194             0.700679             0.000000             0.000000             0.000000           37770.182272           0.162721             0.080979      
        4.50               5.016308              43294             14192.127116           1.890414             0.102477           13084.939894           1.310132             0.680036             0.000000             0.000000             0.000000           38172.795807           0.157914             0.082153      
