        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        0.00               5.016308              41902             10618.931991           1.663821             0.052217           18671.202696           1.332212             0.507528             0.000000             0.000000             0.000000           36159.728131           0.206252             0.071465      
        0.10               5.016308              42532             7498.677093            2.361483             0.144734           15022.517533           1.678214             0.857197             0.000000             0.000000             0.000000           42928.668192           0.164948             0.089455      
        0.20               5.016308              43539             7674.820515            2.353280             0.144844           15626.437835           1.665959             0.818138             0.000000             0.000000             0.000000           42148.604468           0.140123             0.078799      
        0.30               5.016308              44421             8429.720894            2.292484             0.108303           15601.274490           1.637366             0.783012             0.000000             0.000000             0.000000           41418.867435           0.123857             0.075593      
        0.40               5.016308              44810             8907.824467            2.230286             0.062435           15777.417911           1.612748             0.757560             0.000000             0.000000             0.000000           40764.620440           0.115002             0.069801      
        0.50               5.016308              45153             9964.684997            2.176787             0.076957           15475.457760           1.551812             0.742064             0.000000             0.000000             0.000000           40009.720062           0.107324             0.065607      
        0.60               5.016308              45324             10795.075413           2.122542             0.098692           15500.621106           1.482973             0.743769             0.000000             0.000000             0.000000           39154.166300           0.104714             0.065374      
        0.70               5.016308              45225             12128.732748           2.078370             0.107896           14091.473732           1.458329             0.716103             0.000000             0.000000             0.000000           39229.656337           0.108132             0.069072      
        0.80               5.016308              45131             13336.573354           2.038005             0.111170           13412.063392           1.381443             0.722327             0.000000             0.000000             0.000000           38701.226072           0.110901             0.067830      
        0.90               5.016308              44954             13437.226738           2.014850             0.113268           13110.103240           1.401057             0.708901             0.000000             0.000000             0.000000           38902.532840           0.117165             0.073538      
        1.00               5.016308              44886             13588.206813           2.000043             0.114911           13865.003619           1.324630             0.737618             0.000000             0.000000             0.000000           37996.652386           0.117300             0.070909      
        1.10               5.016308              44674             13714.023543           1.983080             0.117281           13135.266586           1.372869             0.707286             0.000000             0.000000             0.000000           38600.572689           0.123599             0.077715      
        1.20               5.016308              44436             13789.513581           1.975994             0.117196           13512.716776           1.323642             0.726723             0.000000             0.000000             0.000000           38147.632462           0.127557             0.074328      
