        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        0.00               5.016308              33335             11449.322408           1.510220             0.121728           15274.150992           1.154369             0.460857             0.000000             0.000000             0.000000           38726.389418           0.389321             0.074007      
        0.10               5.016308              34014             10090.501726           1.766612             0.124464           13361.736700           1.270194             0.724303             0.000000             0.000000             0.000000           41997.624392           0.361973             0.141707      
        0.20               5.016308              34976             9587.234807            1.903677             0.129878           14796.047419           1.208498             0.744972             0.000000             0.000000             0.000000           41066.580592           0.337696             0.136102      
        0.30               5.016308              35944             9964.684997            1.933930             0.125897           14770.884073           1.214890             0.730451             0.000000             0.000000             0.000000           40714.293748           0.313993             0.129126      
        0.40               5.016308              36935             10593.768645           1.927265             0.125868           14695.394035           1.212149             0.710878             0.000000             0.000000             0.000000           40160.700138           0.293073             0.123389      
        0.50               5.016308              37954             10920.892143           1.911565             0.127418           14972.190841           1.223535             0.702788             0.000000             0.000000             0.000000           39556.779835           0.273152             0.112777      
        0.60               5.016308              38785             11549.975791           1.895329             0.123873           15299.314338           1.188223             0.703339             0.000000             0.000000             0.000000           38600.572689           0.257250             0.110091      
        0.70               5.016308              39558             12707.489705           1.876216             0.123313           13613.370159           1.225046             0.683564             0.000000             0.000000             0.000000           39129.002954           0.242301             0.105333      
        0.80               5.016308              40297             13009.449857           1.860647             0.119263           15248.987646           1.135944             0.708266             0.000000             0.000000             0.000000           37191.425315           0.227794             0.100593      
        0.90               5.016308              40859             13714.023543           1.845337             0.114572           14921.864149           1.123921             0.694229             0.000000             0.000000             0.000000           36813.975126           0.215190             0.097472      
        1.00               5.016308              41374             14343.107192           1.833006             0.110565           13714.023543           1.170699             0.670679             0.000000             0.000000             0.000000           37392.732083           0.204692             0.096070      
        1.10               5.016308              41759             14443.760576           1.823763             0.108559           13915.330311           1.178700             0.667431             0.000000             0.000000             0.000000           37090.771932           0.195628             0.093384      
        1.20               5.016308              42200             14494.087268           1.814326             0.104230           14871.537457           1.140703             0.688597             0.000000             0.000000             0.000000           36084.238094           0.186757             0.087233      
        1.30               5.016308              42539             14770.884073           1.805579             0.106380           15274.150992           1.111878             0.688502             0.000000             0.000000             0.000000           35404.827753           0.179269             0.085479      
        1.40               5.016308              42788             15576.111144           1.796790             0.099775           13512.716776           1.161202             0.658870             0.000000             0.000000             0.000000           36361.034899           0.173867             0.089081      
        1.50               5.016308              43019             15349.641030           1.788055             0.099005           13915.330311           1.181000             0.653307             0.000000             0.000000             0.000000           36184.891477           0.169131             0.085330      
        1.60               5.016308              43238             15274.150992           1.782750             0.101595           14594.740652           1.155827             0.669474             0.000000             0.000000             0.000000           35580.971175           0.165847             0.084814      
        1.70               5.016308              43264             15576.111144           1.779713             0.095183           13789.513581           1.184306             0.647797             0.000000             0.000000             0.000000           36084.238094           0.164837             0.083841      
        1.80               5.016308              43294             15425.131068           1.779952             0.096036           13512.716776           1.222330             0.627541             0.000000             0.000000             0.000000           36512.014975           0.165069             0.093597      
        1.90               5.016308              43211             15651.601181           1.773493             0.093749           13764.350235           1.180223             0.647234             0.000000             0.000000             0.000000           36033.911402           0.166427             0.090159      
        2.00               5.016308              43074             15399.967722           1.772406             0.094149           13286.246662           1.236166             0.624051             0.000000             0.000000             0.000000           36763.648434           0.170848             0.092482      
        2.10               5.016308              42973             15299.314338           1.772628             0.088324           14317.943846           1.173143             0.640369             0.000000             0.000000             0.000000           35832.604634           0.169762             0.085347      
        2.20               5.016308              42899             15223.824300           1.772288             0.087896           14192.127116           1.185939             0.633642             0.000000             0.000000             0.000000           36033.911402           0.171727             0.086320      
        2.30               5.016308              42762             14921.864149           1.770489             0.086765           15198.660954           1.145430             0.649302             0.000000             0.000000             0.000000           35329.337715           0.174699             0.090616      
        2.40               5.016308              42608             15072.844225           1.765029             0.087008           13688.860197           1.229759             0.607801             0.000000             0.000000             0.000000           36688.158396           0.178859             0.091744      
