      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      0.00          5.016308         40356            6505            6593            322             4415            4452            1446           14080           13955            833              0               0               0       
      0.10          5.016308         40425            7111            7085            280             4523            4610            1613           13366           13305            708              0               0               0       
      0.20          5.016308         40877            7079            7297            269             4223            4275            1611           13698           13428            721              0               0               0       
      0.30          5.016308         41303            7450            7414            284             4010            4027            1598           13540           13559            719              0               0               0       
      0.40          5.016308         41756            8137            8238            321             3764            3800            1567           13099           12962            713              0               0               0       
      0.50          5.016308         42204            8554            8506            343             3435            3493            1506           13011           13001            752              0               0               0       
      0.60          5.016308         42472            9659            9540            396             3251            3343            1474           12090           12117            731              0               0               0       
      0.70          5.016308         42719           12942           13417            559             3211            3350            1494            8847            8233            548              0               0               0       
      0.80          5.016308         42869           11922           13177            541             3106            3224            1469            9972            8599            591              0               0               0       
      0.90          5.016308         42934           12867           13632            581             3025            3105            1419            9030            8180            561              78              83              40      
      1.00          5.016308         42987           13441           13639            603             3049            3125            1440            8510            8236            558              0               0               0       
      1.10          5.016308         42999           13195           13687            607             3065            3115            1425            8680            8137            548              60              61              21      
      1.20          5.016308         42971           13182           13674            613             2950            2929            1359            8868            8397            629              0               0               0       
      1.30          5.016308         42919           13438           13613            624             3140            3139            1418            8422            8248            559              0               0               0       
      1.40          5.016308         42687           13862           13903            648             3107            3227            1385            7971            7817            543              60              53              25      
      1.50          5.016308         42570           14122           13501            650             3256            3311            1396            7622            8188            555              0               0               0       
      1.60          5.016308         42369           14017           13497            652             3421            3533            1425            7562            7970            524              0               0               0       
      1.70          5.016308         41937           13902           13303            647             3559            3710            1427            7494            7929            507              45              58              20      
      1.80          5.016308         41850           13039           12579            610             3073            3319            1253            8741            8994            686             147             108              52      
      1.90          5.016308         41635           13518           13220            636             3746            3973            1454            7736            7807            511              0               0               0       
      2.00          5.016308         41504           12799           11850            586             3543            3834            1380            8544            9221            599             114              95              36      
      2.10          5.016308         41211           12847           11926            587             3800            4129            1443            8293            8898            547              60              47              24      
      2.20          5.016308         41132           12505           11702            572             3537            3836            1358            8810            9309            626             148             153              45      
      2.30          5.016308         40921           12524           11692            570             3639            3947            1370            8837            9361            661              0               0               0       
      2.40          5.016308         40838           12692           11926            577             3640            3940            1355            8504            8967            616             164             167              53      
      2.50          5.016308         40795           12807           12294            588             3914            4233            1436            8279            8473            577              0               0               0       
      2.60          5.016308         40837           13250           12354            600             3929            4261            1448            7821            8385            553              0               0               0       
      2.70          5.016308         40949           13228           12811            611             3642            3988            1371            8130            8201            619              0               0               0       
      2.80          5.016308         41184           12986           12793            605             3499            3807            1340            8515            8400            656              0               0               0       
      2.90          5.016308         41398           13400           12900            619             3681            3982            1423            7919            8118            559              0               0               0       
      3.00          5.016308         41341           13085           12999            614             3681            3979            1424            8234            8022            563              0               0               0       
      3.10          5.016308         41330           12521           12773            596             3656            3934            1413            8823            8293            592              0               0               0       
      3.20          5.016308         41269           13131           12942            614             3754            4033            1436            8115            8025            551              0               0               0       
      3.30          5.016308         41261           13116           12915            612             3714            3995            1426            8170            8090            563              0               0               0       
      3.40          5.016308         41310           13149           13065            616             3765            3894            1419            8086            8041            566              0               0               0       
      3.50          5.016308         41298           13149           12999            615             3830            3987            1439            8021            8014            547              0               0               0       
      3.60          5.016308         41295           13036           13125            616             3797            3813            1413            8167            8062            572              0               0               0       
      3.70          5.016308         41207           12915           13203            616             3827            3860            1423            8258            7937            562              0               0               0       
      3.80          5.016308         41226           12912           12998            612             3851            3908            1434            8237            8094            555              0               0               0       
      3.90          5.016308         41316           12613           12899            602             3711            3801            1401            8676            8300            598              0               0               0       
      4.00          5.016308         41291           12704           12873            603             3742            3858            1408            8554            8269            590              0               0               0       
      4.10          5.016308         41294           13136           13167            620             3849            4021            1447            8015            7812            534              0               0               0       
      4.20          5.016308         41164           12915           12968            610             3759            4046            1428            8326            7986            563              0               0               0       
      4.30          5.016308         41168           12627           12429            591             3702            3979            1406            8591            8491            575              80             101              29      
      4.40          5.016308         41078           13413           12767            617             3779            4142            1433            7808            8091            551              0               0               0       
      4.50          5.016308         41103           12825           12542            596             3782            4175            1437            8393            8283            568              0               0               0       
      4.60          5.016308         41047           12981           12236            591             3691            4135            1418            8328            8629            592              0               0               0       
      4.70          5.016308         41034           12759           12056            581             3776            4189            1438            8465            8755            582              0               0               0       
      4.80          5.016308         40901           12721           12175            583             3713            4096            1390            8566            8729            628              0               0               0       
      4.90          5.016308         40887           12448           11999            573             3727            4101            1394            8727            8793            599              98             107              35      
      5.00          5.016308         40945           12444           12164            578             3631            4067            1370            8794            8617            609             131             152              44      
      5.10          5.016308         40855           13304           12870            616             3920            4413            1469            7776            7717            516              0               0               0       
      5.20          5.016308         40888           12940           12697            604             3746            4234            1414            8314            8069            583              0               0               0       
      5.30          5.016308         40904           12876           12880            607             3782            4240            1432            8342            7880            562              0               0               0       
      5.40          5.016308         41004           12795           12696            601             3714            4146            1416            8491            8158            584              0               0               0       
      5.50          5.016308         41159           12800           12836            604             3662            4056            1390            8538            8108            607              0               0               0       
      5.60          5.016308         41302           12739           12779            601             3583            3878            1375            8626            8278            605              52              65              20      
      5.70          5.016308         41250           12558           12859            597             3771            4100            1433            8671            8041            571              0               0               0       
      5.80          5.016308         41089           13111           13220            619             3903            4182            1461            7986            7598            521              0               0               0       
      5.90          5.016308         40977           12088           12481            578             3704            3970            1394            9208            8549            629              0               0               0       
      6.00          5.016308         41067           12402           12380            582             3678            3919            1366            8853            8618            623              67              83              30      
      6.10          5.016308         41080           12615           12710            594             3910            4134            1448            8475            8156            559              0               0               0       
      6.20          5.016308         41109           12231           11834            563             3718            3923            1390            9001            9192            631              50              51              17      
      6.30          5.016308         40987           12340           12111            572             3865            4095            1428            8795            8794            601              0               0               0       
      6.40          5.016308         40888           12396           12089            572             3962            4220            1455            8642            8691            574              0               0               0       
      6.50          5.016308         40864           12580           12212            579             3940            4202            1442            8480            8586            580              0               0               0       
      6.60          5.016308         40817           12934           12585            597             4047            4315            1462            8019            8100            542              0               0               0       
      6.70          5.016308         40699           12694           12295            585             4078            4301            1460            8228            8404            556              0               0               0       
      6.80          5.016308         40721           12718           12264            584             4038            4275            1458            8244            8461            559              0               0               0       
      6.90          5.016308         40681           13050           12684            601             4159            4331            1487            7791            7985            513              0               0               0       
      7.00          5.016308         40749           12302           12414            575             3942            4099            1416            8756            8487            610              0               0               0       
      7.10          5.016308         40887           12489           12565            583             4004            4143            1449            8507            8292            569              0               0               0       
      7.20          5.016308         40911           12815           12971            600             4034            4108            1454            8151            7921            547              0               0               0       
      7.30          5.016308         40900           12647           12574            587             3995            4077            1443            8281            8290            550              77              59              21      
      7.40          5.016308         41011           12933           12559            593             3972            4073            1448            8095            8368            560              0               0               0       
      7.50          5.016308         41080           13005           12653            598             3976            4037            1442            8019            8310            561              0               0               0       
      7.60          5.016308         41203           13534           12849            618             3849            3982            1422            7617            8169            561              0               0               0       
      7.70          5.016308         41273           12949           12226            591             3621            3808            1370            8369            8907            613              61              59              27      
      7.80          5.016308         41261           13428           12927            619             3834            4098            1458            7738            7975            524              0               0               0       
      7.90          5.016308         41343           12831           12296            591             3703            3932            1419            8466            8772            591              0               0               0       
      8.00          5.016308         41238           13194           12685            609             3735            4031            1435            8071            8284            557              0               0               0       
      8.10          5.016308         41389           12917           12593            601             3635            3850            1401            8448            8557            599              0               0               0       
      8.20          5.016308         41340           12924           12607            602             3611            3757            1386            8465            8636            613              0               0               0       
      8.30          5.016308         41374           13070           12849            611             3673            3894            1423            8257            8257            567              0               0               0       
      8.40          5.016308         41449           12651           12269            586             3509            3727            1368            8840            9004            647              0               0               0       
      8.50          5.016308         41428           12902           12533            598             3542            3817            1405            8556            8650            598              0               0               0       
      8.60          5.016308         41469           13043           12598            604             3557            3813            1399            8400            8589            598              0               0               0       
      8.70          5.016308         41530           13204           12630            609             3523            3834            1395            8273            8536            597              0               0               0       
      8.80          5.016308         41457           13520           12947            625             3597            3957            1422            7883            8096            554              0               0               0       
      8.90          5.016308         41450           13478           12883            623             3608            3930            1418            7914            8187            560              0               0               0       
      9.00          5.016308         41521           13195           12683            612             3567            3874            1410            8238            8443            579              0               0               0       
      9.10          5.016308         41644           13342           12898            622             3547            3823            1412            8111            8279            567              0               0               0       
      9.20          5.016308         41675           12958           12860            612             3536            3750            1392            8506            8390            597              0               0               0       
      9.30          5.016308         41604           12674           12622            600             3547            3730            1403            8779            8648            598              0               0               0       
      9.40          5.016308         41634           12757           12621            601             3659            3770            1422            8584            8609            578              0               0               0       
      9.50          5.016308         41585           12780           12908            607             3742            3821            1432            8478            8271            562              0               0               0       
      9.60          5.016308         41603           13172           13332            626             3859            3929            1462            7969            7739            513              0               0               0       
      9.70          5.016308         41366           12896           12726            606             3848            3834            1422            8256            8440            573              0               0               0       
      9.80          5.016308         41238           12664           12458            594             3909            3863            1432            8427            8679            575              0               0               0       
      9.90          5.016308         41309           13122           12950            617             3946            3964            1449            7932            8086            535              0               0               0       
     10.00          5.016308         41182           12941           12515            603             3808            3860            1405            8251            8625            593              0               0               0       
     10.10          5.016308         41169           12513           12281            587             3772            3895            1398            8715            8824            616              0               0               0       
     10.20          5.016308         41145           12886           12489            600             3930            4074            1452            8184            8437            549              0               0               0       
     10.30          5.016308         41160           13066           12687            609             3828            3930            1421            8106            8383            571              0               0               0       
     10.40          5.016308         41324           13013           12626            607             3773            3867            1405            8161            8449            568              53              58              21      
     10.50          5.016308         41191           13040           12544            607             3787            3941            1401            8173            8515            593              0               0               0       
     10.60          5.016308         41195           12918           12682            608             3813            4025            1422            8269            8293            571              0               0               0       
     10.70          5.016308         41183           13058           12882            617             3783            3973            1409            8113            8084            559              46              61              16      
