      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      6.80          5.016308         42163           17482            8170            548             2578            4487            1512            4940           12343            541              0               0               0       
      6.90          5.016308         42355           17711            7931            549             2524            4356            1497            4765           12713            555              0               0               0       
      7.00          5.016308         42367           17583            7779            544             2500            4333            1505            4917           12888            552              0               0               0       
      7.10          5.016308         42281           17501            7418            534             2501            4380            1498            4998           13202            569              0               0               0       
      7.20          5.016308         42217           17160            7132            520             2516            4393            1493            5324           13475            588              0               0               0       
      7.30          5.016308         42058           17477            7541            534             2602            4551            1516            4921           12908            551              0               0               0       
      7.40          5.016308         42083           17537            7613            536             2592            4610            1522            4871           12777            543              0               0               0       
      7.50          5.016308         42035           17690            7700            542             2583            4655            1519            4727           12645            540              0               0               0       
      7.60          5.016308         41986           17630            7398            535             2507            4642            1507            4863           12960            559              0               0               0       
      7.70          5.016308         42170           17553            7338            530             2500            4528            1504            4947           13134            567              0               0               0       
      7.80          5.016308         42236           17404            6880            516             2517            4477            1508            5079           13643            577              0               0               0       
      7.90          5.016308         42322           17247            6807            510             2481            4322            1489            5272           13871            602              0               0               0       
      8.00          5.016308         42458           17310            7069            516             2471            4312            1503            5219           13619            582              0               0               0       
      8.10          5.016308         42561           17520            7534            531             2502            4251            1518            4978           13215            552              0               0               0       
      8.20          5.016308         42514           17434            7483            529             2434            4180            1492            5132           13337            580              0               0               0       
      8.30          5.016308         42561           17563            7773            539             2449            4308            1505            4988           12919            557              0               0               0       
      8.40          5.016308         42424           17413            7549            530             2373            4195            1471            5214           13256            600              0               0               0       
      8.50          5.016308         42318           17478            7671            534             2481            4408            1515            5041           12921            552              0               0               0       
      8.60          5.016308         42368           17614            7456            533             2444            4326            1497            4942           13218            571              0               0               0       
      8.70          5.016308         42454           17654            7290            532             2400            4286            1483            4946           13424            586              0               0               0       
      8.80          5.016308         42363           17822            7708            545             2457            4420            1503            4721           12872            553              0               0               0       
