        tauB               sizeBin             clust_size          interface_id       press_align_bub1     press_align_bub2     press_align_bub3     press_align_bub4     press_align_bub5  
        0.00               5.016308              36505                  1               2337.574717            0.000000             0.000000             0.000000             0.000000      
        0.10               5.016308              36569                  1               1822.835539            0.000000             0.000000             0.000000             0.000000      
        0.20               5.016308              36898                  1               1389.345451            0.000000             0.000000             0.000000             0.000000      
        0.30               5.016308              37190                  1               1119.032662            0.000000             0.000000             0.000000             0.000000      
        0.40               5.016308              37490                  1                868.786434            0.000000             0.000000             0.000000             0.000000      
        0.50               5.016308              37758                  1                714.626342            0.000000             0.000000             0.000000             0.000000      
        0.60               5.016308              37986                  1                158.903848           32.246534             0.000000             0.000000             0.000000      
        0.70               5.016308              38162                  3                458.522247            3.469123            -37.225164            0.246483            -5.752022      
        0.80               5.016308              38219                  2                240.753205           -4.903398            -15.174614            0.000000             0.000000      
        0.90               5.016308              38303                  3                278.381142          -1019.767463          16.329824             6.833665            -26.497768     
        1.00               5.016308              38426                  3               1003.470943           51.385115             0.000000             0.000000             0.000000      
        1.10               5.016308              38565                  1                348.470964            0.000000             0.000000             0.000000             0.000000      
        1.20               5.016308              38670                  3                447.477499            0.000000             0.000000             0.000000             0.000000      
        1.30               5.016308              38767                  4                95.666236             0.000000             0.000000             0.000000             0.000000      
        1.40               5.016308              38674                  2                411.040915            0.000000             0.000000             0.000000             0.000000      
        1.50               5.016308              38527                  3                297.802411           -80.573246           23.830293             0.000000             0.000000      
        1.60               5.016308              38175                  5               -178.172437            0.000000             0.000000             0.000000             0.000000      
        1.70               5.016308              38163                  1               -328.942134            0.000000             0.000000             0.000000             0.000000      
        1.80               5.016308              37785                  1                -39.647467            0.000000             0.000000             0.000000             0.000000      
        1.90               5.016308              36327                  1                409.952898           -35.673553           -5.537642             0.000000             0.000000      
        2.00               5.016308              35924                  1               -208.595473           27.169099             0.000000             0.000000             0.000000      
        2.10               5.016308              26503                  3                416.317191            0.000000             0.000000             0.000000             0.000000      
        2.20               5.016308              24505                  1                -91.141399          -308.461813            0.000000             0.000000             0.000000      
        2.30               5.016308              20530                  1                400.995698          1000.890042            0.000000             0.000000             0.000000      
        2.40               5.016308              11795                  1                600.618364           611.166599           858.953127           160.147968            0.000000      
        2.50               5.016308              11780                  1               1486.079901           331.076045            0.000000             0.000000             0.000000      
        2.60               5.016308               8200                  1               -852.927131           403.955483           250.569907            0.000000             0.000000      
        2.70               5.016308               8169                  1               2106.769189           281.129395            0.000000             0.000000             0.000000      
        2.80               5.016308               7823                  2               1701.139060           47.108576           1471.012965           123.901061              nan         
        2.90               5.016308               7601                  5               1747.293274          2132.837933          1637.856575           513.273635              nan         
        3.00               5.016308               7475                  5               1417.001483          1906.307809           551.279887           130.184926              nan         
        3.10               5.016308               7431                  1               1614.636833          3255.232053           289.307420           633.772681            0.000000      
        3.20               5.016308               7341                  2               1572.706533          2138.090615           484.966050            0.000000             0.000000      
