        tauB               sizeBin             clust_size          interface_id       press_align_bub1     press_align_bub2     press_align_bub3     press_align_bub4     press_align_bub5  
        0.00               5.016308              44198                  1               9939.115123            0.000000             0.000000             0.000000             0.000000      
        0.10               5.016308              44355                  1               8322.607053            0.000000             0.000000             0.000000             0.000000      
        0.20               5.016308              44648                  1               6296.317223            0.000000             0.000000             0.000000             0.000000      
        0.30               5.016308              44980                  1               4900.563832            0.000000             0.000000             0.000000             0.000000      
        0.40               5.016308              45146                  1               3813.175892            0.000000             0.000000             0.000000             0.000000      
        0.50               5.016308              45117                  1               3079.088225            0.000000             0.000000             0.000000             0.000000      
        0.60               5.016308              45072                  1               2407.935363            0.000000             0.000000             0.000000             0.000000      
        0.70               5.016308              44987                  1               1814.506473            0.000000             0.000000             0.000000             0.000000      
        0.80               5.016308              44860                  2               1468.498847            0.000000             0.000000             0.000000             0.000000      
        0.90               5.016308              44647                  3               1317.611864            0.000000             0.000000             0.000000             0.000000      
        1.00               5.016308              44262                  1               1330.000311          -2508.383763           0.000000             0.000000             0.000000      
        1.10               5.016308              44060                  3               -904.499923            0.000000             0.000000             0.000000             0.000000      
        1.20               5.016308              43807                  3               1143.990278            0.000000             0.000000             0.000000             0.000000      
        1.30               5.016308              43107                  1               4396.688989            0.000000             0.000000             0.000000             0.000000      
        1.40               5.016308              42441                  1                861.862888            0.000000             0.000000             0.000000             0.000000      
        1.50               5.016308              41911                  1               -1849.830140           0.000000             0.000000             0.000000             0.000000      
        1.60               5.016308              19011                  1               3932.281458            0.000000             0.000000             0.000000             0.000000      
        1.70               5.016308              18477                  1               5202.743840            0.000000             0.000000             0.000000             0.000000      
        1.80               5.016308              20121                  1               4448.093530           -4.025400             0.000000             0.000000             0.000000      
        1.90               5.016308              18270                  1               3298.649471           -48.530508            0.000000             0.000000             0.000000      
        2.00               5.016308              17913                  1               4836.614952           308.222641            0.000000             0.000000             0.000000      
        2.10               5.016308              12853                  1               6364.668897            0.000000             0.000000             0.000000             0.000000      
        2.20               5.016308              13010                  1               -1473.233468         8978.701211            0.000000             0.000000             0.000000      
        2.30               5.016308              18393                  3               1300.671545          3262.584026          3830.206582            0.000000             0.000000      
        2.40               5.016308              18757                  2               6993.177655          7132.120034            0.000000             0.000000             0.000000      
        2.50               5.016308              18887                  1               4829.030146            0.000000             0.000000             0.000000             0.000000      
        2.60               5.016308              18793                  2                789.006356          2310.170393            0.000000             0.000000             0.000000      
        2.70               5.016308              11089                  2               8238.204210          2563.488933          4530.114102            0.000000             0.000000      
        2.80               5.016308              10961                  2               4047.688079          1582.252257          2037.902117          4967.304931           139.498321     
        2.90               5.016308              10690                  3               3546.798236          5732.779582          2172.535941           245.857823            0.000000      
        3.00               5.016308              11041                  1               5808.674936           59.295422             0.000000             0.000000             0.000000      
        3.10               5.016308              11635                  1               6820.773157          3280.869648            0.000000             0.000000             0.000000      
        3.20               5.016308              12224                  2               5568.800546          3118.306054           718.753650            0.000000             0.000000      
        3.30               5.016308              12659                  3                258.707386          5245.031789           949.007428          1049.148269            0.000000      
        3.40               5.016308              13083                  3               2975.141845          5254.193560          2492.894676           199.847811            0.000000      
        3.50               5.016308              13438                  3               3311.693633          4712.047606           493.963912            0.000000             0.000000      
        3.60               5.016308              14007                  3               3387.425482          4763.577214          3113.023974          -207.477515            0.000000      
        3.70               5.016308              14685                  2               3452.748452          5147.583764          1327.864274            0.000000             0.000000      
        3.80               5.016308              20167                  3               5075.099542          3313.129114          5045.678630            0.000000             0.000000      
