        tauB              sizeBin_x            sizeBin_y            clust_size               r                  all_XX               all_YY               all_XY               all_YX             all_press           all_num_dens             A_XX                 A_YY                 A_XY                 A_YX               A_press             A_num_dens              B_XX                 B_YY                 B_XY                 B_YX               B_press             B_num_dens     
    0.000000000          5.016308000          5.016308000             30433             33.501767658      4095427.397848986    4174866.410826629     -33636.272195925     -33636.272195925      6757.276668497        1.975636581       1433321.111986935    1469250.635592777     -11124.043710790     -11124.043710790      2371.557867507        0.689593579       2662106.285862051    2705615.775233851     -22512.228485135     -22512.228485135      4385.718800990        1.286043002     
    0.000000000          5.016308000          5.016308000             30433             36.547382900      4366452.380619735    4382522.522220212     -49774.226480681     -49774.226480681      6526.786279695        1.973931425       1546771.279803969    1544756.098698885     -26907.983321851     -26907.983321851      2306.297446432        0.689309386       2819681.100815766    2837766.423521327     -22866.243158829     -22866.243158829      4220.488833264        1.284622038     
    0.000000000          5.016308000          5.016308000             30433             39.592998141      4418878.079247277    4482118.570176294     -35145.393487142     -35145.393487142      6108.979757749        1.995834156       1618751.266013935    1634037.941138927     -7415.762915669      -7415.762915669       2232.471733826        0.723386933       2800126.813233342    2848080.629037366     -27729.630571474     -27729.630571474      3876.508023923        1.272447223     
    0.000000000          5.016308000          5.016308000             30433             42.638613383      4113377.967693609    4155140.664949287     -15241.026074744     -15241.026074744      5254.531530743        1.982717716       1434045.117603680    1438899.791273418     -4866.806486160      -4866.806486160       1825.717553588        0.707931902       2679332.850089929    2716240.873675869     -10374.219588584     -10374.219588584      3428.813977155        1.274785813     
    0.000000000          5.016308000          5.016308000             30433             45.684228625      3856580.633857138    3782394.185578223     -18855.840665420     -18855.840665420      4519.674281887        1.964310522       1274837.011882206    1234703.120741611     -7013.552567946      -7013.552567946       1484.794002452        0.647275817       2581743.621974931    2547691.064836612     -11842.288097474     -11842.288097474      3034.880279434        1.317034705     
    0.000000000          5.016308000          5.016308000             30433             48.729843866      3884819.869093568    3811389.829753721     -6829.283042940      -6829.283042940       4259.761222891        1.936101710       1280310.036195145    1235984.134469887     -3325.422425433      -3325.422425433       1392.739121336        0.628762591       2604509.832898423    2575405.695283834     -3503.860617508      -3503.860617508       2867.022101556        1.307339119     
    0.000000000          5.016308000          5.016308000             30433             51.775459108      4042822.131263811    4015447.082365791      2273.880463897       2273.880463897       4189.844351778        1.940428981       1362335.057825180    1357622.679229662     -2599.806299096      -2599.806299096       1414.224228498        0.674886607       2680487.073438630    2657824.403136129      4873.686762992       4873.686762992       2775.620123280        1.265542374     
    0.000000000          5.016308000          5.016308000             30433             54.821074350      4091385.791268809    3983088.410906092       62.752979684         62.752979684        3958.368884997        1.864844058       1468575.529877600    1438258.042953743     -3369.263641974      -3369.263641974       1425.024005335        0.673579321       2622810.261391209    2544830.367952349      3432.016621658       3432.016621658       2533.344879662        1.191264737     
    0.000000000          5.016308000          5.016308000             30433             57.866689591      3878703.426938900    3803889.606441036     -17194.668318857     -17194.668318857      3562.674630752        1.785373411       1360175.611306901    1347525.051717753     -4788.392693319      -4788.392693319       1255.651108671        0.599143493       2518527.815631999    2456364.554723283     -12406.275625538     -12406.275625538      2307.023522082        1.186229918     
    0.000000000          5.016308000          5.016308000             30433             60.912304833      3517693.031184664    3496998.781704355     12181.100243787      12181.100243787       3086.128785780        1.521354555       1321484.676099880    1290210.214865286     -2114.841646633      -2114.841646633       1149.020797731        0.544660769       2196208.355084784    2206788.566839069     14295.941890420      14295.941890420       1937.107988049        0.976693786     
    0.000000000          5.016308000          5.016308000             30433             63.957920074      2973123.544271117    2910362.127920265     28863.162426402      28863.162426402       2462.186244215        1.264680029        933954.793793181     928945.714115958      3484.154184248       3484.154184248       779.607236335         0.422675986       2039168.750477936    1981416.413804307     25379.008242154      25379.008242154       1682.579007880        0.842004043     
    0.000000000          5.016308000          5.016308000             30433             67.003535316      2771120.081833950    2724353.594975909      4869.816531338       4869.816531338       2192.838934232        1.073380946        955706.223069197     927345.736917342      1041.830093918       1041.830093918       751.387395497         0.380671161       1815413.858764753    1797007.858058568      3827.986437420       3827.986437420       1441.451538735        0.692709785     
    0.000000000          5.016308000          5.016308000             30433             70.049150558      2337454.880807116    2264340.721108891      7100.208095395       7100.208095395       1754.627243108        0.870870627        773939.687535433     739917.891900723      3348.111628864       3348.111628864       577.221584974         0.290544404       1563515.193271683    1524422.829208168      3752.096466531       3752.096466531       1177.405658134        0.580326224     
    0.000000000          5.016308000          5.016308000             30433             73.094765799      1917939.103370044    1882288.757557970     16202.089938410      16202.089938410       1387.336578020        0.698007497        622310.828720160     615158.605606181      5534.819030854       5534.819030854       451.758861113         0.253356278       1295628.274649884    1267130.151951789     10667.270907556      10667.270907556       935.577716907         0.444651219     
    0.000000000          5.016308000          5.016308000             30433             76.140381041      1529763.278076049    1462678.763616708     17656.490433975      17656.490433975       1047.851464770        0.626797143        484600.235291831     465799.149140772      4116.702315766       4116.702315766       332.797552373         0.248617861       1045163.042784218     996879.614475936     13539.788118208      13539.788118208       715.053912397         0.378179282     
    0.000000000          5.016308000          5.016308000             30433             79.185996283      1070098.440223876    1044094.297936273     -4306.165874294      -4306.165874294       711.286322927         0.575302143        380448.011377751     374805.692399094      6173.437468070       6173.437468070       254.093025740         0.298753393        689650.428846125     669288.605537179     -10479.603342364     -10479.603342364      457.193297187         0.276548749     
    0.000000000          5.016308000          5.016308000             30433             82.231611524       693537.662316513     681298.571130868      2069.748267454       2069.748267454       445.087253388         0.546470383        228511.365013014     233074.676435626      3791.692377740       3791.692377740       149.433116754         0.317911088        465026.297303499     448223.894695242     -1721.944110286      -1721.944110286       295.654136634         0.228559295     
    0.000000000          5.016308000          5.016308000             30433             85.277226766       457034.573131246     443565.513178294      869.303951240        869.303951240        280.956673310         0.509752565        187630.439389356     177254.217594865      1191.665557880       1191.665557880       113.831633959         0.328188310        269404.133741889     266311.295583428      -322.361606640       -322.361606640       167.125039351         0.181564255     
    0.000000000          5.016308000          5.016308000             30433             88.322842008       409070.175327724     396762.378775961     -1429.052714193      -1429.052714193       242.571631723         0.523774619        159451.722164417     155229.668615597     -1740.921380012      -1740.921380012        94.725359562         0.320887209        249618.453163307     241532.710160363      311.868665819        311.868665819        147.846272161         0.202887410     
    0.000000000          5.016308000          5.016308000             30433             91.368457249       234165.211459599     223260.551817917     -2552.747321330      -2552.747321330       133.026653853         0.514744022        106802.733454106     100827.868379664     -2147.079207391      -2147.079207391        60.382266188         0.339091260        127362.478005493     122432.683438254      -405.668113939       -405.668113939        72.644387665         0.175652762     
    0.000000000          5.016308000          5.016308000             30433             94.414072491       119488.664948975     114518.854087747      3462.593957422       3462.593957422        65.821842410         0.496742046        72893.515308628      70302.934653623       1849.561047613       1849.561047613        40.278424394         0.345412929        46595.149640347      44215.919434124       1613.032909808       1613.032909808        25.543418016         0.151329117     
