    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     3.900         39028.085       213918.881       -320.799        -320.799       214628.200      213952.741      23638.874      47449833.481    -662538.317     -662538.317     47889613.130    47007184.989       664.9           41425     
     4.000         39050.948       219960.868       3284.334        3284.334       226010.705      226270.121      23557.584      47653564.519    -560419.830     -560419.830     47722919.619    47127822.239       660.4           41365     
     4.100         38965.847       221484.935       698.172         698.172        219784.202      221332.740      23657.927      47142020.511    -830423.430     -830423.430     46693314.204    46087243.927       655.9           41338     
     4.200         39053.488       216363.848       2265.160        2265.160       215584.503      218239.335      23629.983      47779827.889    -971895.987     -971895.987     46570984.488    46203510.201       645.8           41315     
     4.300         39072.540       225840.971       8688.549        8688.549       219872.686      231545.377      23580.447      48506602.706    -867594.682     -867594.682     47493755.047    47132584.195       646.9           41373     
     4.400         39034.436       195404.690       1662.154        1662.154       197536.641      198132.819      23652.846      48549296.691    -974517.892     -974517.892     47574029.494    47087145.200       633.4           41433     
     4.500         39049.678       217510.479       -372.434        -372.434       219658.016      218211.813      23609.661      48096149.763    -826085.575     -826085.575     47514836.078    46979407.345       650.3           41407     
     4.600         38984.900       216472.458      -1499.029       -1499.029       207691.526      210582.964      23685.870      47598609.534    -661521.001     -661521.001     47274787.154    46775177.343       654.8           41458     
     4.700         38888.368       203827.029       1268.658        1268.658       206322.160      206343.253      23755.729      47760346.190    -574404.748     -574404.748     47008123.838    46809830.265       653.7           41532     
     4.800         39052.218       212512.438       2599.817        2599.817       209389.508      213550.790      23576.637      48354649.092    -724305.543     -724305.543     47561324.588    47233681.297       653.7           41446     
     4.900         39081.431       210686.067       5057.344        5057.344       217963.112      219381.934      23585.528      48962180.130    -693669.025     -693669.025     48467791.722    48021316.901       648.0           41510     
     5.000         38953.146       214297.082       127.975         127.975        212924.655      213738.844      23628.713      49134668.762    -808155.837     -808155.837     48411878.532    47965117.810       676.2           41639     
     5.100         38884.557       215595.584       -75.890         -75.890        201839.338      208641.571      23739.217      48990140.725    -621978.746     -621978.746     47828996.312    47787589.772       653.7           41653     
     5.200         38956.956       202008.779       3129.014        3129.014       207938.826      208102.817      23616.011      48655543.571    -401971.866     -401971.866     47886341.913    47868970.876       668.3           41535     
     5.300         38824.860       204479.664      -2072.915       -2072.915       204130.611      202232.222      23765.890      48511076.523    -399566.593     -399566.593     47366534.658    47539238.998       668.3           41678     
     5.400         38837.561       193098.510       -261.964        -261.964       202062.779      197318.681      23812.886      48177502.853    -231868.205     -231868.205     47267659.778    47490713.110       632.3           41639     
     5.500         38854.074       204439.910       1010.941        1010.941       210516.485      208489.138      23856.071      48325603.444     -58759.645      -58759.645     46822757.092    47515420.623       636.8           41664     
     5.600         38884.557       197574.820       754.126         754.126        207473.301      203278.187      23835.748      48494051.843    -238791.590     -238791.590     47356745.153    47686606.909       627.7           41729     
     5.700         38763.892       198065.473       493.482         493.482        197725.421      198388.929      23868.772      48087795.054    -119454.547     -119454.547     47043155.613    47446020.786       657.0           41724     
     5.800         38575.909       183268.681       -471.560        -471.560       193032.259      187678.911      23948.792      47760220.907     -26719.025      -26719.025     46877451.193    47292117.025       686.4           41881     
     5.900         38635.607       201483.849       3906.782        3906.782       197213.427      203255.420      23923.389      47436989.397     28565.189       28565.189      46215682.057    46854900.916       677.3           41749     
     6.000         38641.957       195842.862      -2339.448       -2339.448       196001.088      193582.528      23910.688      47389687.490     196721.689      196721.689     45977277.337    46880204.102       679.6           41752     
     6.100         38639.417       198928.970      -3459.995       -3459.995       201413.700      196711.340      23974.195      47489290.785     446963.106      446963.106     45981828.013    47182522.505       659.3           41758     
     6.200         38720.707       205747.342       797.241         797.241        205034.713      206188.268      23931.010      47655910.518     276882.132      276882.132     46401329.757    47305502.270       657.0           41749     
     6.300         38526.373       194706.506       -312.820        -312.820       195514.214      194797.540      23955.143      47592849.475     152775.002      152775.002     46549121.364    47223760.422       724.7           41847     
     6.400         38790.566       208663.804       3571.981        3571.981       207021.509      211414.637      23803.994      47235313.310     82105.498       82105.498      46591427.067    46995475.687       670.6           41617     
     6.500         38809.618       201355.546       1248.416        1248.416       214604.985      209228.682      23774.781      47689463.164     144220.734      144220.734     46838856.651    47408380.641       676.2           41623     
     6.600         38837.561       207286.808       -187.699        -187.699       198925.036      202918.223      23790.023      47946323.545      4479.305        4479.305      47549960.175    47752621.165       669.4           41610     
     6.700         38855.344       204617.448       387.379         387.379        202515.754      203953.980      23740.487      48495196.641     41628.462       41628.462      47904279.643    48241366.604       663.8           41648     
     6.800         38847.723       208446.933       378.700         378.700        214080.182      211642.257      23776.051      48720835.717     30303.209       30303.209      48183348.789    48482395.462       659.3           41683     
     6.900         38777.864       200130.346       4020.405        4020.405       202315.917      205243.536      23748.108      48337158.265      9751.401        9751.401      47826594.664    48091627.866       689.7           41611     
     7.000         38761.352       208204.507       5599.940        5599.940       198416.385      208910.385      23769.700      48044573.315     -12911.852      -12911.852     47755963.451    47887356.531       676.2           41672     
     7.100         38876.936       207878.115       -508.515        -508.515       202138.264      204499.674      23769.700      48170441.130    -251355.725     -251355.725     48106055.260    47886892.470       658.2           41596     
     7.200         39025.545       209660.119      -5157.617       -5157.617       201940.848      200642.867      23584.258      48476883.376    -446219.686     -446219.686     48650509.770    48117476.887       671.7           41447     
     7.300         39142.399       218583.058       4013.703        4013.703       219178.897      222894.681      23556.314      49013100.690    -457754.425     -457754.425     48823341.807    48460466.823       633.4           41376     
     7.400         39176.693       211979.038      -5741.302       -5741.302       212492.570      206494.501      23567.745      49345080.737    -601468.440     -601468.440     48960574.938    48551359.397       615.3           41354     
     7.500         39166.532       227333.663       -739.772        -739.772       225190.435      225522.277      23522.020      49225596.988    -652841.874     -652841.874     48493771.370    48206842.304       637.9           41356     
     7.600         39063.649       203505.649       3020.027        3020.027       214684.799      212115.251      23582.987      48938824.813    -663203.264     -663203.264     48494168.940    48053293.613       640.1           41413     
     7.700         39053.488       210170.102       8860.556        8860.556       204426.985      216159.099      23569.016      48522894.986    -343585.401     -343585.401     48129533.414    47982628.799       669.4           41415     
     7.800         38992.521       221346.634      -3136.879       -3136.879       222634.486      218853.681      23603.310      48342116.647    -224191.513     -224191.513     48429623.701    48161678.661       658.2           41437     
     7.900         39044.597       214280.719       2887.475        2887.475       217801.816      218928.743      23537.262      48310175.722    -178685.256     -178685.256     48430713.799    48191759.504       669.4           41381     
     8.000         39136.048       209738.173       5331.604        5331.604       219926.754      220164.067      23547.423      47984086.128     -69126.999      -69126.999     48003652.155    47924742.143       644.7           41360     
     8.100         39105.564       220559.667      -4387.191       -4387.191       221051.715      216418.500      23560.125      47864571.598    -171344.126     -171344.126     47708960.246    47615421.796       661.6           41361     
     8.200         39036.976       214913.093       2155.374        2155.374       215440.834      217332.338      23676.979      48410593.139    -149663.454     -149663.454     47665812.729    47888539.480       634.5           41450     
     8.300         39005.222       205035.125      -4488.641       -4488.641       215688.270      205873.057      23637.604      48570199.801    -113103.750     -113103.750     47541128.329    47942560.314       653.7           41446     
     8.400         39103.024       219399.166       2434.136        2434.136       227366.925      225817.181      23627.443      48730641.021    -285813.060     -285813.060     48343721.680    48251368.291       628.9           41396     
     8.500         39133.508       218340.467       150.033         150.033        217285.808      217963.170      23560.125      49096202.124     -89260.319      -89260.319     48451498.304    48684589.894       633.4           41412     
     8.600         38880.747       210733.687      -2230.807       -2230.807       199502.963      202887.518      23675.709      48999442.876     -75711.190      -75711.190     48128282.965    48488151.731       679.6           41621     
     8.700         38827.400       212546.573      10041.706       10041.706       201806.516      217218.251      23758.269      48534833.057    -140907.061     -140907.061     47860179.885    48056599.410       663.8           41615     
     8.800         38959.496       212481.833      -6032.945       -6032.945       214776.282      207596.112      23701.112      48030507.524    -181597.854     -181597.854     47597449.266    47632380.541       639.0           41514     
     8.900         38855.344       206308.394      -1174.926       -1174.926       197214.360      200586.451      23618.552      48342855.787    -327230.352     -327230.352     47518846.325    47603620.704       712.3           41571     
     9.000         38845.182       199656.033      -2621.664       -2621.664       202423.966      198418.335      23702.382      48195168.494    -325862.012     -325862.012     47151954.115    47347699.293       690.9           41580     
     9.100         38915.041       204703.691       -491.379        -491.379       209804.438      206762.686      23750.648      47978795.921     -66152.647      -66152.647     46462377.121    47154433.874       651.4           41557     
     9.200         38711.816       197739.988      -4552.148       -4552.148       208447.708      198541.701      23819.236      48173749.097    -131273.878     -131273.878     46868815.447    47390008.393       690.9           41702     
     9.300         38821.049       212870.728       -85.880         -85.880        207090.009      209894.488      23755.729      47869216.246     -43650.900      -43650.900     46468079.182    47124996.814       681.8           41562     
     9.400         38846.453       219696.021       5885.944        5885.944       220216.560      225842.234      23699.842      47698613.366     21433.639       21433.639      46770971.462    47256226.053       695.4           41520     
     9.500         38959.496       204650.031       4824.558        4824.558       214980.682      214639.914      23697.301      48036692.836     -87015.375      -87015.375     47807276.049    47834969.068       650.3           41547     
     9.600         38895.989       191132.759      -1029.692       -1029.692       200753.227      194913.301      23743.027      47768598.955     37024.221       37024.221      47814779.718    47828713.557       651.4           41622     
     9.700         38912.501       198054.087       852.359         852.359        206648.727      203203.765      23792.563      47685615.488     28110.063       28110.063      47773314.117    47757574.866       623.2           41609     
     9.800         38893.448       199655.125      -1831.500       -1831.500       203762.883      199877.504      23770.970      47617425.479    -145410.464     -145410.464     47553448.612    47440026.582       661.6           41674     
     9.900         38936.634       222001.283       -122.528        -122.528       212888.779      217322.503      23727.785      47717506.762      5422.160        5422.160      47757180.581    47742765.832       652.5           41598     
     10.000        38887.098       208029.493       4469.299        4469.299       208545.444      212756.768      23769.700      48079240.707     155446.273      155446.273     48223233.320    48306683.287       651.4           41729     
     10.100        38779.134       190668.486      -5649.160       -5649.160       190676.605      185023.385      23823.047      48281318.685     47452.222       47452.222      48286183.396    48331203.262       655.9           41858     
     10.200        38734.679       190132.620       1215.987        1215.987       193477.578      193021.086      23892.905      48414434.373     -91469.414      -91469.414     48044644.414    48138069.979       667.2           41942     
     10.300        38694.034       190674.633       1597.931        1597.931       190979.239      192424.867      23922.119      47856122.964    -346557.661     -346557.661     47637811.804    47400409.723       675.1           41900     
     10.400        38756.271       197182.179      -2491.586       -2491.586       197273.795      194736.401      23956.413      47691474.537     -9152.378       -9152.378      47590014.978    47631592.380       627.7           41841     
     10.500        38629.256       191931.773       3997.197        3997.197       184592.033      192259.100      24000.869      47144272.335    -229828.629     -229828.629     47146447.836    46915531.456       648.0           41879     
     10.600        38588.611       185352.672       8620.824        8620.824       190412.458      196503.389      24002.139      46426712.317    -124993.997     -124993.997     46891601.310    46534162.816       672.8           41870     
     10.700        38644.498       207523.926       3567.651        3567.651       208085.773      211372.501      23881.474      46908833.791     -32638.403      -32638.403     47101544.775    46972550.880       694.2           41749     
     10.800        38817.239       203762.374      -1266.610       -1266.610       206751.987      203990.571      23749.378      47312928.169     96103.214       96103.214      48036926.081    47771030.339       679.6           41628     
     10.900        38888.368       209724.249       -137.429        -137.429       197127.782      203288.586      23758.269      47825451.664     146964.240      146964.240     48202742.814    48161061.479       658.2           41641     
     11.000        38851.533       206465.701       -741.653        -741.653       199927.993      202455.194      23801.454      47857601.564     263621.247      263621.247     47853698.579    48119271.318       658.2           41696     
     11.100        38683.873       194340.349      -3089.976       -3089.976       199565.451      193862.924      23894.176      48153744.118     242766.780      242766.780     47892316.082    48265796.881       658.2           41759     
     11.200        38898.529       198831.196      -1908.975       -1908.975       200510.814      197762.030      23741.757      48703297.894     176154.724      176154.724     48408810.975    48732209.158       664.9           41674     
     11.300        38929.013       198986.551      -2189.592       -2189.592       198150.383      196378.875      23723.975      49290752.190     203034.742      203034.742     48446937.742    49071879.709       661.6           41670     
     11.400        38888.368       197158.306      -4373.934       -4373.934       202977.002      195693.720      23782.402      49294466.109     42502.519       42502.519      48481227.083    48930349.115       641.3           41736     
     11.500        38836.291       193371.340      -8104.441       -8104.441       196404.105      186783.282      23848.450      48960145.692     -53384.463      -53384.463     48462626.373    48658001.570       652.5           41840     
     11.600        38912.501       202094.038        99.357          99.357        198438.239      200365.495      23730.325      49289596.526     108709.372      108709.372     48495541.807    49001278.539       653.7           41724     
     11.700        38847.723       186370.845      -1439.570       -1439.570       191700.250      187595.978      23830.668      49259221.345    -225689.389     -225689.389     49244251.292    49026046.930       657.0           41916     
     11.800        38791.836       185035.723      -5002.956       -5002.956       176854.548      175942.179      23911.958      49492704.309    -279740.869     -279740.869     49412476.641    49172849.606       636.8           42011     
     11.900        38690.223       188173.557       -554.688        -554.688       182452.953      184758.567      23950.062      49421714.138    -276471.796     -276471.796     49219342.748    49044056.647       662.7           42050     
     12.000        38706.735       191898.325      -3133.823       -3133.823       187967.575      186799.127      23899.256      49529895.659    -324087.200     -324087.200     49357646.970    49119684.114       653.7           42035     
     12.100        38819.779       194209.614       2707.164        2707.164       200791.787      200207.865      23871.313      49697220.336    -176535.118     -176535.118     49550808.851    49447479.476       640.1           42028     
     12.200        38786.755       187544.895        12.349          12.349        184168.210      185868.901      23971.655      49032078.415    -192519.359     -192519.359     48634943.362    48640991.530       619.9           42033     
     12.300        38657.199       192247.747       -174.211        -174.211       189020.107      190459.716      24026.272      48130182.386    -451352.204     -451352.204     47810515.334    47518996.656       657.0           42090     
     12.400        38517.482       189393.201      -1539.452       -1539.452       181995.275      184154.786      24094.860      47695265.317    -309750.550     -309750.550     47680789.959    47378277.088       644.7           42153     
     12.500        38432.382       181946.391       5542.044        5542.044       171770.224      182400.352      24197.743      47780574.011    -118859.680     -118859.680     47505163.202    47524008.926       655.9           42218     
     12.600        38504.781       185762.348       3309.365        3309.365       180439.063      186410.070      24160.908      47717517.187     -82094.507      -82094.507     47342482.646    47447905.409       641.3           42132     
     12.700        38520.022       185421.078       4185.947        4185.947       176646.078      185219.525      24146.937      47442176.484     -33332.013      -33332.013     47247913.301    47311712.879       648.0           42050     
     12.800        38616.554       195812.308        65.566          65.566        197152.069      196547.755      23995.788      47533442.094     -20512.543      -20512.543     47605354.906    47548885.956       668.3           41967     
     12.900        38671.171       176688.300       1185.752        1185.752       175462.062      177260.933      23997.058      47690942.014     358618.058      358618.058     47707944.134    48058061.132       642.4           41970     
     13.000        38563.208       189166.209       2956.128        2956.128       190877.268      192977.867      24124.074      47623169.140     391626.486      391626.486     48106397.545    48256409.828       635.6           42096     
     13.100        38553.047       176140.144       -707.097        -707.097       176257.396      175491.673      24045.324      48167025.626     82380.538       82380.538      47861529.459    48096658.081       659.3           42046     
     13.200        38615.284       184166.362       -271.940        -271.940       184172.287      183897.385      23999.599      48438479.509     286326.833      286326.833     48093411.282    48552272.229       654.8           42012     
     13.300        38728.328       186160.794      -2489.844       -2489.844       185503.215      183342.160      23993.248      48793088.412     118673.494      118673.494     48396747.154    48713591.277       615.3           42002     
     13.400        38687.683       182716.695       1074.259        1074.259       185655.521      185260.368      23974.195      48366198.972     64526.066       64526.066      48435684.485    48465467.794       634.5           41957     
     13.500        38683.873       181020.421      -2362.394       -2362.394       181026.725      178661.179      23976.736      48391223.264     141097.844      141097.844     48057572.181    48365495.566       648.0           41929     
     13.600        38648.308       194783.323      -3856.468       -3856.468       202586.216      194828.302      23983.087      47700787.155     -91588.087      -91588.087     47759550.181    47638580.581       651.4           41914     
     13.700        38638.147       197980.892       2056.591        2056.591       179967.875      191030.975      24023.731      47174974.983    -133306.935     -133306.935     46892791.636    46900576.375       630.0           41897     
     13.800        38592.421       200263.595       -379.306        -379.306       195552.509      197528.747      23943.712      46440161.978     231439.141      231439.141     46646128.145    46774584.202       672.8           41756     
     13.900        38757.542       208061.964      -5849.220       -5849.220       200234.050      198298.787      23941.171      46721310.827     186377.341      186377.341     46834142.832    46964104.170       624.4           41672     
     14.000        38782.945       205635.974      -1850.836       -1850.836       204517.548      203225.925      23920.849      46781074.437     300985.065      300985.065     46964790.023    47173917.295       632.3           41673     
     14.100        38715.627       203111.797       -847.627        -847.627       201017.039      201216.791      23891.635      46657190.378     132686.200      132686.200     47151986.201    47037274.489       658.2           41643     
     14.200        38770.243       204080.308       -887.901        -887.901       206937.698      204621.102      23845.910      46613737.480     -31378.660      -31378.660     46947623.652    46749301.905       661.6           41554     
     14.300        38803.267       210535.444      -4260.361       -4260.361       207434.475      204724.599      23786.212      46603998.635     26426.808       26426.808      46932849.499    46794850.875       664.9           41470     
     14.400        38977.279       211588.378      -3269.130       -3269.130       224932.335      214991.227      23628.713      47093441.221     257474.915      257474.915     47344627.423    47476509.237       672.8           41356     
     14.500        39082.702       226803.911      -1531.690       -1531.690       229509.180      226624.856      23515.669      47682848.504     41265.170       41265.170      48211865.124    47988621.984       663.8           41306     
     14.600        39153.830       223028.170       1015.630        1015.630       227014.733      226037.082      23463.593      48183081.050     48963.369       48963.369      48905095.022    48593051.405       670.6           41303     
     14.700        39137.318       214513.589       4287.818        4287.818       214863.153      218976.189      23582.987      48288506.143     320188.454      320188.454     49022166.990    48975525.020       632.3           41394     
     14.800        39068.730       208722.570      -1956.043       -1956.043       207483.857      206147.171      23584.258      47777833.981     344132.737      344132.737     48520466.140    48493282.797       651.4           41413     
     14.900        38989.980       210737.381       478.935         478.935        206582.923      209139.087      23608.390      47591040.579     295064.619      295064.619     48197926.004    48189547.911       667.2           41450     
     15.000        38936.634       221849.788       500.978         500.978        214826.417      218839.081      23632.523      47743659.309     118480.645      118480.645     48238767.114    48109693.857       681.8           41528     
     15.100        38982.359       221488.223       -731.588        -731.588       221180.208      220602.628      23722.705      48159644.676     -74152.196      -74152.196     48142517.751    48076929.017       635.6           41538     
