      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      6.60          5.025009         74037           24559           25372            1089           15216            8711            3253           10158           15872            828              67              45              14      
      6.70          5.025009         73960           24442           25323            1087           15049            8577            3214           10382           16048            859             127              52              24      
      6.80          5.025009         74015           24325           25139            1081           15231            8639            3238           10357           16175            845              87              47              20      
      6.90          5.025009         74033           24421           25407            1089           15332            8637            3253           10247           15956            842              0               0               0       
      7.00          5.025009         74076           24401           25307            1085           15484            8611            3270           10115           16082            829              0               0               0       
      7.10          5.025009         73818           23943           24763            1063           15507            8714            3271           10550           16523            850              0               0               0       
      7.20          5.025009         73769           24044           24893            1068           15439            8721            3258           10517           16386            858              0               0               0       
      7.30          5.025009         73792           24070           24938            1070           15366            8623            3249           10564           16439            865              0               0               0       
      7.40          5.025009         73904           24073           25055            1073           15505            8616            3268           10422           16329            843              0               0               0       
      7.50          5.025009         73939           24349           25454            1087           15693            8647            3294            9958           15899            803              0               0               0       
      7.60          5.025009         73899           24104           25151            1074           15734            8659            3296           10162           16190            814              0               0               0       
      7.70          5.025009         73884           24125           25138            1074           15697            8614            3277           10100           16206            821              78              42              12      
      7.80          5.025009         73802           24147           25216            1076           15615            8542            3256           10238           16242            852              0               0               0       
      7.90          5.025009         74200           24389           25539            1088           15685            8491            3281            9926           15970            815              0               0               0       
      8.00          5.025009         74098           24331           25732            1091           15619            8388            3258           10050           15880            835              0               0               0       
      8.10          5.025009         73914           24391           25676            1090           15782            8523            3278            9827           15801            816              0               0               0       
      8.20          5.025009         73597           24102           25310            1076           15890            8668            3291           10008           16022            817              0               0               0       
      8.30          5.025009         73603           24049           25180            1072           15801            8672            3267           10048           16092            825             102              56              20      
      8.40          5.025009         73535           23679           24590            1051           15822            8662            3267           10499           16748            866              0               0               0       
      8.50          5.025009         73383           23608           24490            1048           15996            8779            3286           10396           16731            850              0               0               0       
      8.60          5.025009         73072           23680           24959            1060           16294            9003            3315            9950           15985            792              76              53              17      
      8.70          5.025009         72716           23531           24669            1049           15942            9014            3256           10447           16275            862              80              42              17      
      8.80          5.025009         72616           23962           25191            1071           16363            9267            3317            9675           15542            796              0               0               0       
      8.90          5.025009         72779           23802           25049            1066           16051            9093            3272           10147           15858            846              0               0               0       
      9.00          5.025009         72777           23537           24694            1055           16058            9121            3281           10405           16185            848              0               0               0       
      9.10          5.025009         72730           23348           24421            1045           16111            9128            3280           10463           16393            841              78              58              18      
      9.20          5.025009         72503           23473           24536            1048           16264            9227            3292           10122           16164            818             141              73              26      
      9.30          5.025009         72381           23355           24509            1043           16591            9429            3339           10054           16062            802              0               0               0       
      9.40          5.025009         72184           23439           24638            1045           16619            9486            3335            9942           15876            804              0               0               0       
      9.50          5.025009         72089           23236           24379            1033           16649            9521            3337           10115           16100            814              0               0               0       
      9.60          5.025009         72046           23046           24171            1023           16531            9413            3320           10423           16416            841              0               0               0       
      9.70          5.025009         71929           23130           24459            1031           16561            9388            3320           10309           16153            833              0               0               0       
      9.80          5.025009         72200           23344           24698            1042           16455            9322            3304           10124           15944            828              77              36              10      
      9.90          5.025009         72080           23235           24546            1038           16570            9349            3315           10121           16060            816              74              45              15      
     10.00          5.025009         72081           23309           24589            1041           16658            9445            3329           10033           15966            814              0               0               0       
     10.10          5.025009         72155           23146           24413            1034           16633            9300            3321           10221           16287            829              0               0               0       
     10.20          5.025009         72342           23433           24999            1054           16659            9220            3316            9908           15781            814              0               0               0       
     10.30          5.025009         72289           23337           24849            1048           16761            9331            3335            9902           15820            801              0               0               0       
     10.40          5.025009         72296           22886           24302            1027           16432            9091            3274           10682           16607            883              0               0               0       
     10.50          5.025009         72448           23121           24667            1040           16499            8997            3289           10380           16336            855              0               0               0       
     10.60          5.025009         72543           22964           24437            1031           16438            8896            3275           10598           16667            878              0               0               0       
     10.70          5.025009         72445           23037           24504            1034           16567            8947            3291           10396           16549            859              0               0               0       
     10.80          5.025009         72418           23022           24461            1033           16597            8943            3302           10381           16596            849              0               0               0       
     10.90          5.025009         72454           22985           24283            1027           16602            8951            3296           10413           16766            861              0               0               0       
     11.00          5.025009         72271           22504           23736            1003           16568            8942            3282           10864           17284            888              64              38              11      
     11.10          5.025009         72319           23010           24452            1027           16896            9076            3331           10094           16472            826              0               0               0       
     11.20          5.025009         72284           22977           24370            1024           16619            8903            3293           10404           16727            867              0               0               0       
     11.30          5.025009         72194           22926           24362            1023           16741            8973            3309           10333           16665            852              0               0               0       
     11.40          5.025009         72182           23508           25244            1055           16944            9121            3341            9548           15635            788              0               0               0       
     11.50          5.025009         72331           23288           24868            1044           16971            9055            3338            9741           16077            802              0               0               0       
     11.60          5.025009         72352           22826           24232            1021           16868            9057            3320           10306           16711            843              0               0               0       
     11.70          5.025009         72028           23012           24413            1029           16953            9152            3322           10035           16435            833              0               0               0       
     11.80          5.025009         72048           23343           25015            1052           16937            9102            3313            9646           15846            806              74              37              13      
     11.90          5.025009         71916           22964           24517            1033           17172            9352            3340            9864           16131            811              0               0               0       
     12.00          5.025009         71815           23065           24665            1038           16961            9224            3305            9974           16111            841              0               0               0       
     12.10          5.025009         71639           23220           24973            1050           17099            9241            3325            9681           15786            809              0               0               0       
     12.20          5.025009         71832           23235           24923            1048           17101            9204            3328            9664           15873            808              0               0               0       
     12.30          5.025009         71865           23015           24796            1040           16889            9094            3296           10096           16110            848              0               0               0       
     12.40          5.025009         72120           23194           25006            1050           16855            9037            3294            9951           15957            840              0               0               0       
     12.50          5.025009         72157           23097           24953            1048           16760            8958            3284           10143           16089            852              0               0               0       
     12.60          5.025009         72170           23017           24836            1045           16894            9011            3300           10089           16153            839              0               0               0       
     12.70          5.025009         72291           23056           24862            1047           17206            9138            3341            9738           16000            796              0               0               0       
     12.80          5.025009         72065           22887           24630            1036           16988            9057            3310           10125           16313            838              0               0               0       
     12.90          5.025009         71977           22527           24006            1012           17039            9130            3319           10434           16864            853              0               0               0       
     13.00          5.025009         71882           22627           24281            1019           17051            9113            3316           10322           16606            849              0               0               0       
     13.10          5.025009         71709           22610           24251            1019           17020            9234            3313           10370           16515            852              0               0               0       
     13.20          5.025009         71662           22577           24322            1019           17058            9328            3323           10365           16350            842              0               0               0       
     13.30          5.025009         71637           22920           24888            1039           17121            9339            3333            9959           15773            812              0               0               0       
     13.40          5.025009         71778           23059           25114            1049           17157            9361            3342            9784           15525            793              0               0               0       
     13.50          5.025009         71669           23221           25465            1062           17248            9440            3355            9531           15095            767              0               0               0       
     13.60          5.025009         71691           23046           25209            1054           17216            9352            3342            9738           15439            788              0               0               0       
     13.70          5.025009         71861           22713           24643            1036           17060            9253            3315           10227           16104            833              0               0               0       
     13.80          5.025009         71899           22989           25161            1053           17070            9195            3315            9941           15644            816              0               0               0       
     13.90          5.025009         72081           23004           25133            1052           16923            9059            3299           10073           15808            833              0               0               0       
     14.00          5.025009         71968           22676           24777            1037           17012            9144            3308           10312           16079            839              0               0               0       
     14.10          5.025009         71766           22955           25236            1053           17215            9264            3339            9830           15500            792              0               0               0       
     14.20          5.025009         71694           23011           25374            1058           17178            9209            3330            9811           15417            796              0               0               0       
     14.30          5.025009         71899           22556           24644            1034           17141            9083            3314           10303           16273            836              0               0               0       
     14.40          5.025009         71928           22898           25182            1053           17205            9060            3328            9897           15758            803              0               0               0       
     14.50          5.025009         71951           22949           25366            1058           17235            9091            3335            9816           15543            791              0               0               0       
     14.60          5.025009         71834           22527           24662            1031           17131            9065            3315           10342           16273            838              0               0               0       
     14.70          5.025009         71624           22759           24985            1041           17186            9140            3314           10055           15875            829              0               0               0       
     14.80          5.025009         71665           22685           24852            1035           17425            9258            3344            9890           15890            805              0               0               0       
     14.90          5.025009         71536           22754           24961            1037           17525            9261            3356            9721           15778            791              0               0               0       
     15.00          5.025009         71578           22642           24848            1032           17459            9240            3347            9899           15912            805              0               0               0       
     15.10          5.025009         71509           22620           24825            1032           17464            9230            3348            9916           15945            804              0               0               0       
     15.20          5.025009         71684           22787           24993            1039           17495            9188            3337            9718           15819            808              0               0               0       
     15.30          5.025009         71493           22619           24622            1027           17483            9109            3340            9898           16269            817              0               0               0       
     15.40          5.025009         71448           22625           24742            1031           17523            9143            3332            9852           16115            821              0               0               0       
     15.50          5.025009         71372           22644           24821            1033           17710            9218            3355            9646           15961            796              0               0               0       
     15.60          5.025009         71338           22420           24417            1021           17306            9010            3284           10167           16533            859             107              40              20      
     15.70          5.025009         71460           22631           24928            1037           17567            9113            3332            9802           15959            815              0               0               0       
     15.80          5.025009         71167           21741           23388            983            17583            9186            3327           10676           17426            874              0               0               0       
     15.90          5.025009         70937           22227           24155            1008           17978            9499            3383            9795           16346            793              0               0               0       
     16.00          5.025009         70960           21799           23564            984            17782            9400            3349           10419           17036            851              0               0               0       
     16.10          5.025009         70834           22025           23747            993            17905            9491            3364           10070           16762            827              0               0               0       
     16.20          5.025009         70673           22217           24377            1010           17915            9560            3363            9868           16063            811              0               0               0       
     16.30          5.025009         70598           22155           24145            1003           17796            9513            3344           10049           16342            837              0               0               0       
     16.40          5.025009         70906           22189           24192            1002           17902            9439            3366            9909           16369            816              0               0               0       
     16.50          5.025009         70721           21986           23889            990            17816            9482            3351           10198           16629            843              0               0               0       
     16.60          5.025009         70772           22154           24094            997            17724            9360            3337           10122           16546            850              0               0               0       
     16.70          5.025009         70968           22456           24598            1014           17690            9231            3335            9854           16171            835              0               0               0       
     16.80          5.025009         71131           22727           25141            1033           17793            9164            3354            9480           15695            797              0               0               0       
     16.90          5.025009         71427           22408           24495            1013           17450            8942            3309           10142           16563            862              0               0               0       
     17.00          5.025009         71711           22555           24774            1023           17506            8896            3327            9939           16330            834              0               0               0       
     17.10          5.025009         71691           22369           24488            1015           17480            8840            3315           10151           16672            854              0               0               0       
     17.20          5.025009         71711           22417           24654            1019           17605            8895            3341            9978           16451            824              0               0               0       
     17.30          5.025009         71639           22688           25150            1037           17661            8902            3348            9651           15948            799              0               0               0       
     17.40          5.025009         71648           22960           25675            1057           17633            8895            3335            9407           15430            792              0               0               0       
     17.50          5.025009         71668           22610           25058            1038           17421            8738            3297            9969           16204            849              0               0               0       
     17.60          5.025009         71718           22789           25623            1058           17656            8861            3330            9555           15516            796              0               0               0       
     17.70          5.025009         71486           22516           25250            1046           17654            8932            3319            9830           15818            819              0               0               0       
     17.80          5.025009         71408           22483           25224            1045           17654            8989            3318            9863           15787            821              0               0               0       
     17.90          5.025009         71353           22262           24856            1031           17779            9158            3340            9959           15986            813              0               0               0       
     18.00          5.025009         71149           21864           24107            1004           17748            9146            3328           10388           16747            852              0               0               0       
     18.10          5.025009         70951           22362           25066            1037           18048            9464            3374            9590           15470            773              0               0               0       
     18.20          5.025009         70772           21830           24161            1004           17884            9468            3354           10286           16371            826              0               0               0       
     18.30          5.025009         70832           21831           24084            1000           17790            9382            3336           10379           16534            848              0               0               0       
     18.40          5.025009         70773           21714           23899            992            17738            9362            3321           10548           16739            871              0               0               0       
     18.50          5.025009         70865           22014           24489            1012           17824            9348            3339           10162           16163            833              0               0               0       
     18.60          5.025009         70911           21896           24281            1005           17707            9292            3329           10397           16427            850              0               0               0       
