      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      0.00          5.025009         44683           13253           13244            744            26288           26199            3653           10459           10557            787              0               0               0       
      0.10          5.025009         45337           15140           15209            850            25485           25362            3598            9252            9337            721             123              92              15      
      0.20          5.025009         45945           15727           15800            880            25161           25059            3559            8959            9016            727             153             125              18      
      0.30          5.025009         46528           15944           16028            892            25106           24898            3554            8950            9074            738              0               0               0       
      0.40          5.025009         46897           15969           16026            893            24218           23955            3438            9393            9597            797             420             422              56      
      0.50          5.025009         47299           15677           15625            875            23133           22724            3278           10097           10488            872             1093            1163            159      
      0.60          5.025009         47536           15493           15544            869            22236           21775            3156           10442           10866            904             1829            1815            255      
      0.70          5.025009         47756           15679           15719            879            23758           23269            3389            9931           10383            834             632             629              82      
      0.80          5.025009         47891           14406           14441            808            21076           20700            3005           10731           11150            916             3787            3709            455      
      0.90          5.025009         48071           14303           14340            804            22227           21630            3176           10732           11223            920             2738            2807            284      
      1.00          5.025009         48314           15335           15431            864            23026           22453            3299           10011           10556            865             1628            1560            156      
      1.10          5.025009         48512           15707           15736            884            23710           23001            3377            9722           10378            826             861             885              97      
      1.20          5.025009         48617           13989           14036            788            22430           21770            3207           12128           12680            986             1453            1514            203      
      1.30          5.025009         48670           14949           14922            842            23013           22277            3302           10402           11142            855             1636            1659            185      
      1.40          5.025009         48908           15945           15941            898            22812           22084            3274            9892           10616            823             1351            1359            189      
      1.50          5.025009         49166           13678           13672            769            21398           20501            3067           11755           12533            1002            3169            3294            346      
      1.60          5.025009         49017           14121           14166            796            22404           21625            3221           11868           12717            1014            1607            1492            153      
      1.70          5.025009         49068           13554           13522            762            20503           19766            2942           12932           13656            1116            3011            3056            364      
      1.80          5.025009         49463           14388           14328            810            20320           19469            2921           12948           13782            1124            2344            2421            329      
      1.90          5.025009         49368           13467           13386            755            20334           19688            2926           13883           14702            1202            2316            2224            301      
      2.00          5.025009         49457           15112           15126            853            22448           21458            3235           10405           11444            818             2035            1972            278      
      2.10          5.025009         49616           14061           14106            793            21112           20173            3038           11938           12881            966             2889            2840            387      
      2.20          5.025009         49579           13865           13869            782            21998           20962            3137           11593           12677            926             2544            2492            339      
      2.30          5.025009         49691           13288           13278            748            20737           19802            2979           13423           14517            1129            2552            2403            328      
      2.40          5.025009         49555           14392           14411            810            22595           21626            3241           11532           12557            951             1481            1406            182      
      2.50          5.025009         49616           14754           14748            829            23097           22028            3280           10898           12005            902             1251            1219            173      
      2.60          5.025009         49761           15273           15183            858            24203           22991            3455           10064           11336            802             460             490              69      
      2.70          5.025009         49741           14566           14516            819            21699           20540            3129           11644           12879            942             2091            2065            294      
      2.80          5.025009         49631           13440           13401            755            20972           19894            3029           13430           14617            1120            2158            2088            280      
      2.90          5.025009         49734           12703           12789            717            19742           18716            2859           13823           14944            1162            3732            3551            446      
      3.00          5.025009         49791           13247           13236            744            20480           19308            2960           12364           13646            1004            3909            3810            476      
      3.10          5.025009         49954           14147           14153            795            19909           18728            2866           13023           14233            1132            2921            2886            391      
      3.20          5.025009         49678           13025           13056            732            16667           15771            2389           17466           18582            1658            2842            2591            405      
      3.30          5.025009         50012           13103           13176            737            19021           17837            2740           13707           15031            1198            4169            3956            509      
      3.40          5.025009         50131           14765           14828            831            22775           21361            3255           11202           12624            914             1258            1187            184      
      3.50          5.025009         50003           14457           14438            811            22939           21554            3295           10922           12443            882             1682            1565            196      
      3.60          5.025009         49894           13914           13843            778            22217           20849            3189           11128           12602            918             2741            2706            299      
      3.70          5.025009         49831           14827           14804            831            22311           21029            3211           10745           12137            891             2117            2030            251      
      3.80          5.025009         49948           12655           12642            709            19053           17939            2738           14233           15488            1295            4059            3931            442      
      3.90          5.025009         49590           13274           13182            742            18945           17817            2727           13202           14517            1173            4579            4484            542      
      4.00          5.025009         49487           12143           12042            678            17225           16145            2472           15428           16672            1447            5204            5141            587      
      4.10          5.025009         49671           14209           14060            791            17426           16281            2493           14781           16193            1414            3584            3466            486      
      4.20          5.025009         49580           13488           13477            756            17538           16389            2523           14162           15521            1228            4812            4613            677      
      4.30          5.025009         49814           11471           11436            641            16490           15395            2393           16452           17864            1458            5587            5305            692      
      4.40          5.025009         49792           12830           12809            717            18873           17563            2707           13581           15075            1148            4716            4553            612      
      4.50          5.025009         49897           13069           13013            729            18824           17582            2694           12909           14407            1081            5198            4998            680      
      4.60          5.025009         49878           13802           13864            774            18346           17165            2634           13115           14528            1130            4737            4443            646      
      4.70          5.025009         49760           15349           15437            861            23483           21927            3362           10400           11932            857             768             704             104      
      4.80          5.025009         49716           14817           14877            831            21445           19901            3069           10993           12555            902             2745            2667            382      
      4.90          5.025009         49819           15422           15539            865            23146           21603            3313           10035           11537            820             1397            1321            186      
      5.00          5.025009         49645           14808           14900            830            23567           21949            3356           10034           11724            830             1591            1427            168      
      5.10          5.025009         49976           13666           13723            765            21860           20291            3106           11705           13297            972             2769            2689            341      
      5.20          5.025009         49803           14348           14389            803            22560           20954            3231           10984           12576            897             2108            2081            253      
      5.30          5.025009         49800           15233           15312            855            24146           22505            3442            9595           11235            770             1026            948             117      
      5.40          5.025009         49663           12752           12726            712            21375           19952            3053           13036           14636            1090            2837            2686            329      
      5.50          5.025009         49890           11314           11254            631            19820           18471            2839           15005           16645            1211            3861            3630            503      
      5.60          5.025009         49980           12543           12492            700            20623           19241            2957           12636           14296            1065            4198            3971            462      
      5.70          5.025009         50152           13961           13984            783            21889           20376            3123           11480           13178            963             2670            2462            315      
      5.80          5.025009         50071           12083           12094            678            20114           18769            2900           13778           15395            1110            4025            3742            496      
      5.90          5.025009         50073           12411           12306            693            17270           15976            2503           14696           16295            1289            5623            5423            699      
      6.00          5.025009         50177           12809           12823            718            19408           17908            2786           13047           14785            1077            4736            4484            603      
      6.10          5.025009         49970           11921           12107            672            19064           17453            2716           15199           16745            1247            3816            3695            549      
      6.20          5.025009         50044           12923           12943            724            21627           19891            3082           13051           14812            1026            2399            2354            352      
      6.30          5.025009         50103           11923           11858            665            20223           18683            2896           13290           15141            1113            4564            4318            510      
      6.40          5.025009         50119           12971           12943            728            21975           20197            3141           12387           14291            1026            2667            2569            289      
      6.50          5.025009         50175           14678           14779            831            21673           19946            3108           10974           12801            898             2675            2474            347      
      6.60          5.025009         50016           10558           10507            592            17892           16488            2549           18869           20498            1691            2681            2507            352      
      6.70          5.025009         50374           11433           11387            641            18035           16538            2571           16587           18253            1529            3945            3822            443      
