        tauB               sizeBin             clust_size          interface_id       press_align_bub1     press_align_bub2     press_align_bub3     press_align_bub4     press_align_bub5  
        0.00               5.025009                10                   1                   nan                0.000000             0.000000             0.000000             0.000000      
        0.10               5.025009               4059                  1                74.595068               nan                0.000000             0.000000             0.000000      
        0.20               5.025009               4444                  1               -568.606325              nan                0.000000             0.000000             0.000000      
        0.30               5.025009               4292                  1                642.411148              nan                0.000000             0.000000             0.000000      
        0.40               5.025009               3269                  1               -101.737785              nan                0.000000             0.000000             0.000000      
        0.50               5.025009               2687                  1                59.017321               nan                0.000000             0.000000             0.000000      
        0.60               5.025009               4062                  1                -23.709553              nan                0.000000             0.000000             0.000000      
        0.70               5.025009               4852                  1                -62.917519              nan                0.000000             0.000000             0.000000      
        0.80               5.025009               4232                  1               -287.691046              nan                0.000000             0.000000             0.000000      
        0.90               5.025009               3771                  1               -257.965173              nan                0.000000             0.000000             0.000000      
        1.00               5.025009               4557                  1                579.350922              nan                0.000000             0.000000             0.000000      
        1.10               5.025009               4519                  1                747.914703            0.000000             0.000000             0.000000             0.000000      
        1.20               5.025009               5203                  1               -657.240083              nan                0.000000             0.000000             0.000000      
        1.30               5.025009               6270                  1               4998.845502            0.000000             0.000000             0.000000             0.000000      
        1.40               5.025009               7416                  2               6220.099428          7292.885797           222.599172            0.000000             0.000000      
        1.50               5.025009               8322                  1               4579.056377          -300.488358           93.454566             0.000000             0.000000      
        1.60               5.025009               9058                  2               -1991.579331         4354.213613            0.000000             0.000000             0.000000      
        1.70               5.025009              12295                  4               4999.224755          5168.314462          3903.606914          4202.684254           185.662638     
        1.80               5.025009              13214                  5               4970.725672          5275.089107          4853.391374          3447.473888              nan         
        1.90               5.025009              13875                  6               4373.033783          7535.249550          -3512.118227         3609.368271              nan         
        2.00               5.025009              14660                  5               3976.467495          6550.771404          8989.752317          3529.691120              nan         
        2.10               5.025009              25543                  6               6621.795880          7023.642380          4074.164041          2968.026069              nan         
        2.20               5.025009              26636                  1               9332.931638          10375.327004          57.077923             0.000000             0.000000      
        2.30               5.025009              27291                  2               8336.237601          -999.767614          3460.261137            0.000000             0.000000      
        2.40               5.025009              28079                  2               4156.087958          7487.118532          3357.184235            0.000000             0.000000      
        2.50               5.025009              29228                  4               6772.692750          -2228.056795         3172.304443            0.000000             0.000000      
        2.60               5.025009              30118                  2               6719.453827          3567.383146          3346.917713            0.000000             0.000000      
