        tauB               sizeBin             clust_size          interface_id       press_align_bub1     press_align_bub2     press_align_bub3     press_align_bub4     press_align_bub5  
        0.00               5.025009                10                   1                   nan                0.000000             0.000000             0.000000             0.000000      
        0.10               5.025009               1999                  1               -274.840422            0.000000             0.000000             0.000000             0.000000      
        0.20               5.025009               4194                  1                -58.386660              nan                0.000000             0.000000             0.000000      
        0.30               5.025009               2893                  1                540.701726              nan                0.000000             0.000000             0.000000      
        0.40               5.025009               3610                  1               -251.537286              nan                0.000000             0.000000             0.000000      
        0.50               5.025009               2443                  1               -271.578987              nan                0.000000             0.000000             0.000000      
        0.60               5.025009               3183                  1               -473.779398              nan                0.000000             0.000000             0.000000      
        0.70               5.025009               3265                  1                -49.548041              nan                0.000000             0.000000             0.000000      
        0.80               5.025009               3397                  1                -3.698926               nan                0.000000             0.000000             0.000000      
        0.90               5.025009               3819                  1                438.276395              nan                0.000000             0.000000             0.000000      
        1.00               5.025009               6451                  1               2428.792814              nan                0.000000             0.000000             0.000000      
        1.10               5.025009               5387                  1               -1743.246361          -11.880371            0.000000             0.000000             0.000000      
        1.20               5.025009               6957                  1               5509.274613            0.000000             0.000000             0.000000             0.000000      
        1.30               5.025009               7323                  2               6265.803390          16645.655044         3785.446684           99.686932               nan         
        1.40               5.025009               8124                  9               4846.533718          6675.371004          9946.472743          1292.508093              nan         
        1.50               5.025009               9150                  2               1049.479484          4996.917032          4514.004172          3217.761454              nan         
        1.60               5.025009              10064                  6               4508.694870          7262.546470          4474.909764          4762.706146              nan         
        1.70               5.025009              10987                  5               4490.833583          6154.708586          4334.892403          3476.378643           551.884433     
        1.80               5.025009              11738                  5               4066.611067          5112.299685          1844.594742          4136.938508              nan         
        1.90               5.025009              12478                  3               -1417.505451         6220.959074          4569.143204          4159.410650              nan         
        2.00               5.025009              13012                  7               4351.380760          8979.280315          4567.879421          2815.033171              nan         
        2.10               5.025009              13517                  4               4060.896365          7422.728916          3353.973621          3059.213978          2016.457980     
        2.20               5.025009              13967                  2               3679.157325         -16333.302394         8808.124628          3503.911305            0.000000      
        2.30               5.025009              14397                  2               8624.918278          7747.339828          3569.179171          3201.153027          -181.874480     
        2.40               5.025009              15146                  4               9222.214580          2629.505436          3365.003035          2503.853708          2953.793026     
