        tauB               sizeBin             clust_size          interface_id       press_align_bub1     press_align_bub2     press_align_bub3     press_align_bub4     press_align_bub5  
        0.00               5.025009                10                   1                   nan                0.000000             0.000000             0.000000             0.000000      
        0.10               5.025009               3431                  1                155.542992              nan                0.000000             0.000000             0.000000      
        0.20               5.025009               4452                  1                239.703689              nan                0.000000             0.000000             0.000000      
        0.30               5.025009               2552                  1                641.565595              nan                0.000000             0.000000             0.000000      
        0.40               5.025009               3879                  1                30.004869               nan                0.000000             0.000000             0.000000      
        0.50               5.025009               3146                  1                62.905296               nan                0.000000             0.000000             0.000000      
        0.60               5.025009               4559                  1                280.556240              nan                0.000000             0.000000             0.000000      
        0.70               5.025009               5074                  1                511.128173              nan                0.000000             0.000000             0.000000      
        0.80               5.025009               4110                  1               -781.259494              nan                0.000000             0.000000             0.000000      
        0.90               5.025009               3416                  1                149.645297              nan                0.000000             0.000000             0.000000      
        1.00               5.025009               5167                  2                108.711179              nan                0.000000             0.000000             0.000000      
        1.10               5.025009               4976                  1               -4914.048875          83.911893             0.000000             0.000000             0.000000      
        1.20               5.025009               5816                  1               1260.558451           208.196372           -6.042077             0.000000             0.000000      
        1.30               5.025009               6618                  1               -2820.444151           0.000000             0.000000             0.000000             0.000000      
        1.40               5.025009               7465                  2               3445.907248          3527.849043          2498.928243          -146.653335           35.086912      
        1.50               5.025009               8237                  2                240.667957          3197.077646          2083.543509           140.214265           36.675175      
        1.60               5.025009               9088                  1               4803.017430          1547.783682          3662.584406           -23.445985            8.715816      
        1.70               5.025009              17540                  3               -1347.965053         3411.980848          3929.268169          3618.212921              nan         
        1.80               5.025009              18565                  6               -1355.353160         3935.420702          3309.574367          3303.942677              nan         
        1.90               5.025009              19837                  5               10444.528383         2993.928127          3330.325720          3126.898042              nan         
        2.00               5.025009              21231                  7               5005.156116          3262.218647          3530.251177          3826.211986              nan         
        2.10               5.025009              22921                  5               4084.234967          3813.030297          2099.786764          3416.981873              nan         
        2.20               5.025009              24231                  4               7204.130668          -1531.733299         3095.540137          3627.325697              nan         
        2.30               5.025009              25573                  4               2990.586757          3341.659724          2982.600084          3292.546187              nan         
        2.40               5.025009              26743                  4               3042.426919          3594.066551          2949.842144          3327.977027          2361.466319     
        2.50               5.025009              27745                  4               3056.766853          3408.392618          2639.342018          3181.355004           415.229943     
        2.60               5.025009              28616                  4               -226.982068          3310.342101          2625.585024          2932.513103           423.834571     
        2.70               5.025009              29510                  4               2645.204664          2826.836541          2676.427642          3157.318627           438.300572     
        2.80               5.025009              30325                  4               2795.504166          2884.470334          2359.700499          2982.379509           381.906273     
        2.90               5.025009              31000                  2               1831.903902          2757.215521          1883.212842          2331.629493            0.000000      
        3.00               5.025009              31501                  2               2698.523035          2832.838429          2510.479188          2762.538029            0.000000      
        3.10               5.025009              31916                  3               3128.388262          2575.024896          2508.388319          2821.868526            0.000000      
        3.20               5.025009              32091                  3               2875.685521          2478.283117          2230.165041          2640.652959            0.000000      
        3.30               5.025009              32245                  3               2945.993748          2294.962261          2188.117967          2279.285164            0.000000      
        3.40               5.025009              32271                  3               3044.175266          2363.171571          2050.554674          2382.110026            0.000000      
