      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      0.00          5.025009         82688             1               1             11085           11154         132.881336       2.562116       881.183352      774.333302      19.152572        5.524939          791      
      0.10          5.025009         83505             1               1             10007           10435         134.443315       3.579125       918.981164      764.729128      18.783454        6.441067          796      
      0.20          5.025009         84037             1               1             10996           11801         136.802714      10.071514       992.816720      835.289338      23.922708       19.792949          883      
      0.20          5.025009         84037             1               4              577             496          12.488437        6.197118       116.335541       0.000000       12.488437        6.197118           29      
      0.20          5.025009         84037             1               3              230             198           5.804751        2.450891       50.446060        0.000000        5.804751        2.450891           12      
      0.30          5.025009         84059             3               3             12563           13405         152.600189      48.854661      1154.327291      458.420693      94.853238       69.704132          1001     
      0.30          5.025009         84059             3               10             1051            1037         17.677265        6.682353       189.659794       0.000000       17.677265        6.682353           55      
      0.30          5.025009         84059             3               8              456             440          10.066094        2.126047       67.512133        0.000000       10.066094        2.126047           24      
      0.30          5.025009         84059             3               6              417             425           6.951000        2.336344       72.755258        0.000000        6.951000        2.336344           21      
      0.30          5.025009         84059             3               9              399             419           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           22      
      0.40          5.025009         83635             5               5             12149           13040         112.153894      32.315046       657.947973      905.425435       3.407015       44.892738          837      
      0.40          5.025009         83635             5               14             1510            1358         21.680013        6.490581       176.046040       0.000000       21.680013        6.490581           76      
      0.40          5.025009         83635             5               11             619             559          12.083624        2.444573       85.081528        0.000000       12.083624        2.444573           31      
      0.40          5.025009         83635             5               13             546             548          11.804761        2.291841       85.464395        0.000000       11.804761        2.291841           30      
      0.40          5.025009         83635             5               8              375             355           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           19      
      0.50          5.025009         83226             3               3             14696           15821         130.884325       7.010697       916.057212      934.756666      26.547306       20.864244          950      
      0.50          5.025009         83226             3               7              3219            3109         16.951486        3.880158       142.298314       0.000000       16.951486        3.880158          166      
      0.50          5.025009         83226             3               8              885             852          15.009164        5.520599       124.101330       0.000000       15.009164        5.520599           44      
      0.50          5.025009         83226             3               5              245             234           6.532602        1.316632       44.079855        0.000000        6.532602        1.316632           13      
      0.50          5.025009         83226             3               1               84              59          89.402164       53.708729      1146.894212       0.000000       89.402164       53.708729           35      
      0.60          5.025009         82717             7               7             19427           20671         133.317298       7.821778      1235.572890     1001.130571      46.354097       35.731898          1269     
      0.60          5.025009         82717             7               12             1317            1266         19.386060        2.235391       127.301592       0.000000       19.386060        2.235391           64      
      0.60          5.025009         82717             7               11             386             365           8.349849        2.580421       70.298048        0.000000        8.349849        2.580421           19      
      0.60          5.025009         82717             7               10              98              78          14.228996        6.859502       137.568157       0.000000       14.228996        6.859502           37      
      0.60          5.025009         82717             7               3               66              54           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           21      
      0.70          5.025009         82189             5               5             18541           19950         142.962038      55.074215       758.505115      74.170433       135.793788      57.180064          1212     
      0.70          5.025009         82189             5               9              1623            1547         19.964417       10.933529       163.808149       0.000000       19.964417       10.933529           79      
      0.70          5.025009         82189             5               10             112             116          18.653391        8.287066       180.409696       0.000000       18.653391        8.287066           43      
      0.70          5.025009         82189             5               1              101              79          84.039630       38.708539       649.933935       0.000000       84.039630       38.708539           35      
      0.80          5.025009         81852             6               6             12815           14390         128.778704       5.450312       873.621270      763.509102      22.163125       14.330509          836      
      0.80          5.025009         81852             6               12             2916            2838         15.549674        3.915016       129.705329       0.000000       15.549674        3.915016          150      
      0.80          5.025009         81852             6               10             2041            2101         26.370789        3.112836       177.254406       0.000000       26.370789        3.112836          110      
      0.80          5.025009         81852             6               11             1337            1287         19.255272        2.467992       133.451037       0.000000       19.255272        2.467992           65      
      0.80          5.025009         81852             6               9              281             241           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           13      
      0.90          5.025009         81091             6               6             18784           20520         130.483080       8.889208      1147.784567      967.679196      37.159994       31.508547          1211     
      0.90          5.025009         81091             6               11             1306            1283         19.299501        1.047289       126.332633       0.000000       19.299501        1.047289           64      
      0.90          5.025009         81091             6               10             407             368           8.889068        2.913090       79.481712        0.000000        8.889068        2.913090           19      
      0.90          5.025009         81091             6               8              348             315           7.121334        3.305287       61.729881        0.000000        7.121334        3.305287           16      
      0.90          5.025009         81091             6               9               58              68           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           14      
      1.00          5.025009         80793             2               2             18688           20555         150.856969      57.455891      1125.786913      420.275217      102.940029      83.497700          1195     
      1.00          5.025009         80793             2               10             1013            990          16.661742        3.461022       121.914489       0.000000       16.661742        3.461022           50      
      1.00          5.025009         80793             2               9              249             240           6.709160        3.045867       52.012817        0.000000        6.709160        3.045867           12      
      1.00          5.025009         80793             2               8              107             112          11.289858        3.845304       81.991809        0.000000       11.289858        3.845304           26      
      1.00          5.025009         80793             2               1               59              63           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           23      
      1.10          5.025009         80361             4               4             18088           19977         129.754508       6.669084      1106.120109      926.535995      41.943828       30.083827          1188     
      1.10          5.025009         80361             4               11             989             982          16.681944        2.439946       112.703806       0.000000       16.681944        2.439946           49      
      1.10          5.025009         80361             4               7              103              90          13.354288        2.713570       93.293654        0.000000       13.354288        2.713570           35      
      1.20          5.025009         79912             4               4             18234           20232         129.344850       8.967483      1097.950183      932.028104      39.696838       34.402703          1194     
      1.20          5.025009         79912             4               7              875             828          15.026423        3.135983       113.291606       0.000000       15.026423        3.135983           42      
      1.20          5.025009         79912             4               5               76              72           8.604158        3.230705       67.422406        0.000000        8.604158        3.230705           22      
      1.20          5.025009         79912             4               6               68              75           9.618788        3.103775       75.951638        0.000000        9.618788        3.103775           24      
      1.30          5.025009         79458             3               3             17977           19973         128.375903       5.798294      1120.317069      872.671302      38.229511       29.116741          1158     
      1.30          5.025009         79458             3               8              117             105           9.009643        2.466072       63.803030        0.000000        9.009643        2.466072           34      
      1.30          5.025009         79458             3               5              130              78          11.803609        3.641821       96.085368        0.000000       11.803609        3.641821           30      
      1.30          5.025009         79458             3               10              80              69           9.308624        4.510305       78.479142        0.000000        9.308624        4.510305           21      
      1.40          5.025009         79344             3               3             16985           19127         127.584657       4.039407       938.692341      856.496620      44.640705       30.125697          1102     
      1.50          5.025009         79048             5               5             15860           18221         127.171611       7.513455       738.159739      903.397446      22.232794       16.221000          1048     
      1.50          5.025009         79048             5               7               54              52           6.636392        1.838539       61.780058        0.000000        6.636392        1.838539           16      
      1.60          5.025009         78745             2               2             16013           18486         126.771711       4.835601       726.373497      883.915115      22.461101       11.759827          1061     
      1.60          5.025009         78745             2               4               89              58          74.120728       40.291408       582.764755       0.000000       74.120728       40.291408           27      
      1.70          5.025009         78591             1               1             15668           18226         126.178930       4.632004       730.397565      864.569803      22.288537       11.703545          1042     
      1.80          5.025009         78498             3               3             12301           14918         127.495651       4.952832       878.033310      724.303360      24.094807       12.426287          887      
      1.80          5.025009         78498             3               8              3675            3691         37.777059       12.392949       288.933219       0.000000       37.777059       12.392949          202      
      1.80          5.025009         78498             3               9              111             102          11.795406        3.104860       86.387390        0.000000       11.795406        3.104860           31      
      1.80          5.025009         78498             3               4               89              78          10.375897        2.283231       73.648634        0.000000       10.375897        2.283231           25      
      1.80          5.025009         78498             3               2               50              54          103.886573      60.745812       813.544694       0.000000       103.886573      60.745812           24      
      1.90          5.025009         78521             3               3             12321           15140         152.557252       9.703583       89.520831       720.792817      49.759065       16.715465          901      
      1.90          5.025009         78521             3               4              3858            3779         37.102093       11.065313       284.038919       0.000000       37.102093       11.065313          206      
