      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      0.00          5.025009         82704             1               1             11454           11547         132.860086       3.037711       877.096024      778.813570      19.530736        6.492376          808      
      0.10          5.025009         82798             2               2             11399           11801         136.139158      11.314340       938.628091      880.330737      24.516342       23.805889          890      
      0.10          5.025009         82798             2               7              619             632          10.865128        4.449558       108.307581       0.000000       10.865128        4.449558           34      
      0.10          5.025009         82798             2               6              479             449          10.652590        3.421334       75.877621        0.000000       10.652590        3.421334           24      
      0.10          5.025009         82798             2               11             209             198           4.879873        1.996522       48.824095        0.000000        4.879873        1.996522           11      
      0.10          5.025009         82798             2               13              58              53          104.677276      48.787502      1065.125567       0.000000       104.677276      48.787502           18      
      0.20          5.025009         81979             2               2             17728           18665         133.201583       5.502994       70.934044       952.600936      22.511029       11.933928          1189     
      0.20          5.025009         81979             2               4              1279            1224         19.902141        4.346364       144.903733       0.000000       19.902141        4.346364           68      
      0.20          5.025009         81979             2               5              649             657          15.480189        8.082359       125.129524       0.000000       15.480189        8.082359           34      
      0.20          5.025009         81979             2               7              503             456           7.891002        2.036135       54.677511        0.000000        7.891002        2.036135           27      
      0.20          5.025009         81979             2               8              175             166           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           10      
      0.30          5.025009         80714             8               8             28079           28791         133.922881       5.037667       68.404139       947.845404      21.280477       11.376943          1728     
      0.30          5.025009         80714             8               6               82              73          11.465782        3.662427       83.395246        0.000000       11.465782        3.662427           31      
      0.30          5.025009         80714             8               14              76              72          11.667534        4.987692       106.266308       0.000000       11.667534        4.987692           26      
      0.30          5.025009         80714             8               4               57              60          11.817883        5.196152       99.849289        0.000000       11.817883        5.196152           24      
      0.40          5.025009         79708             8               8             33621           34913         134.001024       8.873105       380.458478     1076.124292      85.441127       29.781533          2021     
      0.40          5.025009         79708             8               14             391             417          31.685046       10.900387       333.792580       0.000000       31.685046       10.900387          141      
      0.40          5.025009         79708             8               5              202             172          20.408682       10.052637       192.446902       0.000000       20.408682       10.052637           71      
      0.40          5.025009         79708             8               12             101             109          12.460263        3.179160       90.807472        0.000000       12.460263        3.179160           32      
      0.40          5.025009         79708             8               7               87              80           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           33      
      0.50          5.025009         78802             4               4             30428           32171         133.472466      14.880777      1124.556443     1108.029272      62.942745       42.845528          1870     
      0.50          5.025009         78802             4               9              405             386          33.316909       14.780120       300.520492       0.000000       33.316909       14.780120          141      
      0.50          5.025009         78802             4               8              259             197           5.324260        2.394142       41.414326        0.000000        5.324260        2.394142           11      
      0.50          5.025009         78802             4               14              99             127          15.208784        5.362495       121.547628       0.000000       15.208784        5.362495           39      
      0.50          5.025009         78802             4               10             113              94           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           25      
      0.60          5.025009         77122             8               8             30524           32379         129.269527      16.129627       987.158404      897.733708      61.867269       42.219321          1805     
      0.60          5.025009         77122             8               13             200             259           4.208610        1.452296       37.563835        0.000000        4.208610        1.452296           10      
      0.60          5.025009         77122             8               1              173             192           4.929250        0.948752       33.413496        0.000000        4.929250        0.948752           66      
      0.60          5.025009         77122             8               5              172             159          18.090470        5.956480       148.012051       0.000000       18.090470        5.956480           57      
      0.60          5.025009         77122             8               14             158             164           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           60      
      0.70          5.025009         75722             9               9             32621           34639         201.757341       9.015752       128.817844      993.332302      135.932960      34.691116          2173     
      0.70          5.025009         75722             9               10             155             199           6.554710        2.175212       46.146731        0.000000        6.554710        2.175212           57      
      0.70          5.025009         75722             9               1              148             169          13.782022        2.944359       99.757534        0.000000       13.782022        2.944359           48      
      0.70          5.025009         75722             9               3              148             140          101.730443      56.363849       828.292168       0.000000       101.730443      56.363849           49      
      0.70          5.025009         75722             9               5               98             116           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           42      
      0.80          5.025009         75426             10              10            29965           32458         127.304119      19.416513      1068.028965      841.501831      61.894458       41.777566          1783     
      0.80          5.025009         75426             10              5              291             285          102.983525      56.919980       849.480473       0.000000       102.983525      56.919980           98      
      0.80          5.025009         75426             10              16             128             147          15.660985        6.764416       157.605327       0.000000       15.660985        6.764416           46      
      0.80          5.025009         75426             10              3              105             118          14.578543        4.460626       110.601819       0.000000       14.578543        4.460626           38      
      0.80          5.025009         75426             10              8               90              94           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           28      
      0.90          5.025009         75007             10              10            29228           32214         131.618813      28.867164      1034.443878      725.109186      69.128964       50.606555          1754     
      0.90          5.025009         75007             10              5              239             254          17.474869        4.567123       124.438764       0.000000       17.474869        4.567123           75      
      0.90          5.025009         75007             10              4              123             126          103.196442      56.913276       858.606544       0.000000       103.196442      56.913276           42      
      0.90          5.025009         75007             10              3               69              84           9.128542        2.325161       65.269719        0.000000        9.128542        2.325161           21      
      0.90          5.025009         75007             10              19              60              68           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           21      
      1.00          5.025009         74308             7               7             27849           30853         128.915167      27.776557      1015.003015      662.126358      65.740399       48.415694          1650     
      1.00          5.025009         74308             7               14             166             217          19.608816        4.640722       155.184969       0.000000       19.608816        4.640722           65      
      1.00          5.025009         74308             7               3              135             139          105.656054      57.935107       866.892212       0.000000       105.656054      57.935107           50      
