      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      0.00          5.025009           10              1               1             44247           44497          9.728104        0.609391       62.033540        0.000000        9.728104        0.609391          4584     
      0.00          5.025009           10              1               0              5753            5503          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          600      
      0.10          5.025009          2323             1               1             44419           44620         10.064601        0.576585       63.772473        0.000000       10.064601        0.576585          4498     
      0.10          5.025009          2323             1               0              5581            5380          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          686      
      0.20          5.025009          3258             1               1             46077           46219         15.328311        1.985102       98.687480        0.000000       15.328311        1.985102          4693     
      0.20          5.025009          3258             1               0              3923            3781          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          491      
      0.30          5.025009          2814             1               1             45019           45193         30.823630       11.066005       369.086210       0.000000       30.823630       11.066005          4554     
      0.30          5.025009          2814             1               0              4981            4807          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          630      
      0.40          5.025009          2348             1               1             43921           43920         24.880057        9.843899       226.946745       0.000000       24.880057        9.843899          4405     
      0.40          5.025009          2348             1               0              6079            6080          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          779      
      0.50          5.025009         10015             1               1             39966           40178         44.111813       18.659997       704.377747       0.000000       44.111813       18.659997          3911     
      0.50          5.025009         10015             1               0             10034            9822          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          1273     
      0.60          5.025009          4413             1               1             27631           27973         37.655864       18.965549       362.880586       0.000000       37.655864       18.965549          2462     
      0.60          5.025009          4413             1               0             20753           20445          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          2585     
      0.60          5.025009          4413             1               3              551             537          17.112030        5.419974       151.596210       0.000000       17.112030        5.419974           53      
      0.60          5.025009          4413             1               6              331             333          10.122892        3.512631       73.189629        0.000000       10.122892        3.512631           26      
      0.60          5.025009          4413             1               12             289             281           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           26      
      0.70          5.025009          3921             0               0             24024           23471          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          3024     
      0.70          5.025009          3921             0               15             8457            8556         49.479222       21.102568       713.499415       0.000000       49.479222       21.102568          708      
      0.70          5.025009          3921             0               3              8069            8178         72.828101       33.516577       739.927352       0.000000       72.828101       33.516577          682      
      0.70          5.025009          3921             0               4              2683            2710         116.183060      45.893772      1150.024400       0.000000       116.183060      45.893772          228      
      0.70          5.025009          3921             0               20             1454            1498          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          130      
      0.80          5.025009          7841             0               0             27465           26569          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          3372     
      0.80          5.025009          7841             0               12             4396            4622          9.059768        3.971698       71.677647        0.000000        9.059768        3.971698          371      
      0.80          5.025009          7841             0               1              3755            3813         122.016537      54.613957       988.199467       0.000000       122.016537      54.613957          312      
      0.80          5.025009          7841             0               9              2078            2144         32.834433        8.042841       273.834179       0.000000       32.834433        8.042841          169      
      0.80          5.025009          7841             0               4              1894            1985          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          154      
      0.90          5.025009          3985             0               0             29314           28256          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          3551     
      0.90          5.025009          3985             0               23             3623            3861         110.740370      52.158638      1048.109551       0.000000       110.740370      52.158638          297      
      0.90          5.025009          3985             0               7              3039            3273         21.897670        8.174930       239.490017       0.000000       21.897670        8.174930          248      
      0.90          5.025009          3985             0               13             1988            2068         32.344831       10.188582       303.839715       0.000000       32.344831       10.188582          152      
      0.90          5.025009          3985             0               5              1601            1770          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          132      
      1.00          5.025009          3729             0               0             27089           26025          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          3369     
      1.00          5.025009          3729             0               14             5598            5999         59.002596       28.630965       644.944254       0.000000       59.002596       28.630965          449      
      1.00          5.025009          3729             0               17             3171            3366         17.455482        9.416656       183.420885       0.000000       17.455482        9.416656          266      
      1.00          5.025009          3729             0               5              2195            2388         32.720644       13.795941       351.744172       0.000000       32.720644       13.795941          185      
      1.00          5.025009          3729             0               19             1942            2018          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000          166      
