      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      1.30          5.025009         75312             12              1               86             107           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           38      
      1.40          5.025009         74937             4               4             20532           25288         102.757570      16.095152       471.691370     1014.778085      28.763103       38.923628          1233     
      1.50          5.025009         74734             5               5             14726           19738         117.810057       6.411466       882.229742      667.511607      29.553654       15.097142          950      
      1.50          5.025009         74734             5               7              4543            4412         42.040453        4.901220       288.466237      111.762338      25.090060        7.271906          229      
      1.50          5.025009         74734             5               12              72              42           6.997514        0.441427       44.731927        0.000000        6.997514        0.441427           14      
      1.50          5.025009         74734             5               11              44              59          102.570193      60.109449       812.838830       0.000000       102.570193      60.109449           20      
      1.60          5.025009         73755             7               7             15129           20219         118.256410       7.568844       866.633436      638.085533      31.475688       15.559183          982      
      1.60          5.025009         73755             7               11             5027            4881         43.083913        6.184296       296.983859      90.721980       29.340481        8.349569          248      
      1.60          5.025009         73755             7               3               91              93          12.160988        3.307162       93.306697        0.000000       12.160988        3.307162           37      
      1.60          5.025009         73755             7               9               77             104          11.761941        5.373206       95.107442        0.000000       11.761941        5.373206           32      
      1.60          5.025009         73755             7               18              69              79           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           30      
      1.70          5.025009         72968             6               6             14818           19805         127.521130      12.671990       255.465792      632.052741      39.541882       19.713650          1011     
      1.70          5.025009         72968             6               9              4426            4181         39.267439        5.517771       295.409286      86.884342       26.088972        7.780545          216      
      1.70          5.025009         72968             6               8              242             109          14.479893        5.962745       116.252305       0.000000       14.479893        5.962745           37      
      1.70          5.025009         72968             6               11              60              79          10.303122        3.226347       80.229367        0.000000       10.303122        3.226347           24      
      1.70          5.025009         72968             6               1               49              80          109.820588      54.227649      1749.774871       0.000000       109.820588      54.227649           27      
      1.80          5.025009         73026             7               7             14548           19739         121.774152      13.096720       955.133309      635.614895      34.283536       19.192668          1002     
      1.80          5.025009         73026             7               10             4274            3808         38.253974        8.066990       284.387277      58.079292       29.230479        9.113895          202      
      1.80          5.025009         73026             7               4              137             130          15.445751        3.138739       112.620609       0.000000       15.445751        3.138739           48      
      1.80          5.025009         73026             7               12             120              80          12.832331        6.591466       140.011516       0.000000       12.832331        6.591466           31      
      1.80          5.025009         73026             7               6               91              31           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           12      
      1.90          5.025009         73350             3               3             13196           19060         115.742557       5.564701       816.784029      619.133992      27.760306       11.027961          900      
      1.90          5.025009         73350             3               7              3523            2866         31.762300        8.366855       275.945698       0.000000       31.762300        8.366855          160      
      1.90          5.025009         73350             3               8               53              60           5.717779        1.331507       41.751916        0.000000        5.717779        1.331507           13      
      2.00          5.025009         73352             7               7             13025           19213         115.457314       5.771837       804.503173      626.079291      28.189158       11.477813          894      
      2.00          5.025009         73352             7               11             2542            1909         26.094825        8.282603       219.505471       0.000000       26.094825        8.282603          110      
      2.00          5.025009         73352             7               2              101              95          11.305944        1.936956       78.064344        0.000000       11.305944        1.936956           34      
      2.00          5.025009         73352             7               9               82              34           5.339445        0.517153       34.185549        0.000000        5.339445        0.517153           10      
      2.10          5.025009         73273             10              10            12788           19224         114.938331       5.979890       818.148411      637.856275      27.825182       12.159421          883      
      2.10          5.025009         73273             10              13             2606            2475         16.740732        2.797342       118.107886       0.000000       16.740732        2.797342          118      
      2.10          5.025009         73273             10              9              144             127          14.551165        4.513699       133.829795       0.000000       14.551165        4.513699           46      
      2.10          5.025009         73273             10              17              56              57           9.311792        2.679081       64.776831        0.000000        9.311792        2.679081           21      
      2.20          5.025009         72985             9               9             13262           19560         115.842307       6.187545       844.663361      630.363755      29.361493       12.273106          921      
      2.20          5.025009         72985             9               16             968             1042         16.149580        3.886408       109.679572       0.000000       16.149580        3.886408           46      
      2.20          5.025009         72985             9               14             278             338           7.533490        3.725191       66.070046        0.000000        7.533490        3.725191           15      
      2.20          5.025009         72985             9               21             106             117          15.687028        4.674298       114.353314       0.000000       15.687028        4.674298           42      
      2.20          5.025009         72985             9               2               68              71           6.663230        1.993986       51.724024        0.000000        6.663230        1.993986           30      
      2.30          5.025009         72582             6               6             12462           19085         115.795610       8.067523       890.633182      617.571992      29.261394       13.509449          884      
      2.30          5.025009         72582             6               11             670             605          11.448232        1.049703       75.199991        0.000000       11.448232        1.049703           28      
      2.30          5.025009         72582             6               1               75              80           9.718039        4.536091       92.528710        0.000000        9.718039        4.536091           26      
      2.40          5.025009         71921             8               8             13126           19638         115.476099       6.158825       828.754038      612.897027      30.166160       12.001937          930      
      2.40          5.025009         71921             8               2               71              73          11.991864        2.106303       86.367067        0.000000       11.991864        2.106303           32      
      2.40          5.025009         71921             8               16              58              66           9.449965        2.105368       64.463636        0.000000        9.449965        2.105368           22      
      2.40          5.025009         71921             8               18              59              59           9.616814        4.122861       103.169290       0.000000        9.616814        4.122861           26      
      2.40          5.025009         71921             8               3               52              58           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           23      
      2.50          5.025009         71908             6               6             12926           19825         110.586804      11.081561       409.447246      589.710565      26.228741       15.912804          911      
      2.50          5.025009         71908             6               7              109             123          10.503611        4.858219       94.532254        0.000000       10.503611        4.858219           47      
      2.50          5.025009         71908             6               12              87             123           8.727358        4.134181       74.654806        0.000000        8.727358        4.134181           40      
      2.50          5.025009         71908             6               14             141              48           7.606475        2.298213       61.378662        0.000000        7.606475        2.298213           17      
      2.50          5.025009         71908             6               2               79              74           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           34      
      2.60          5.025009         71872             8               8             13199           20024         115.252644       5.498629       821.760591      582.033075      30.988520       10.065331          962      
      2.60          5.025009         71872             8               19              76              63           8.912499        2.253965       63.189216        0.000000        8.912499        2.253965           20      
      2.60          5.025009         71872             8               20              57              78          11.391613        4.974028       122.682652       0.000000       11.391613        4.974028           24      
      2.60          5.025009         71872             8               23              50              61           9.007541        2.316918       61.766924        0.000000        9.007541        2.316918           24      
      2.70          5.025009         71621             5               5             12848           19981         114.151361       5.185014       819.751467      582.267122      30.343971        9.364600          923      
      2.70          5.025009         71621             5               6              132             140          24.295036       10.531292       251.742518       0.000000       24.295036       10.531292           51      
      2.70          5.025009         71621             5               12              45              57           7.171378        2.107656       60.543722        0.000000        7.171378        2.107656           16      
      2.80          5.025009         70592             5               5             12232           19318         113.373203       5.443239       827.697664      573.792920      29.224493        9.832972          891      
      2.90          5.025009         70869             5               5             11523           18813         112.545542       4.811170       803.290021      566.002672      27.970932        8.626502          856      
      2.90          5.025009         70869             5               7               84              99           5.111406        1.992955       37.385799        0.000000        5.111406        1.992955           30      
      2.90          5.025009         70869             5               17              50              62          83.922358       40.418900       593.210509       0.000000       83.922358       40.418900           19      
      3.00          5.025009         69601             4               4             11268           18405         120.411195      40.072838       792.705818      409.478123      69.654834       63.148714          842      
      3.00          5.025009         69601             4               7               72              68           9.426743        4.636604       122.117065       0.000000        9.426743        4.636604           27      
      3.10          5.025009         68687             4               4             11598           18968         112.701043       5.724178       823.623240      566.198224      28.770695       10.112297          861      
      3.10          5.025009         68687             4               5               68              59          11.485513        4.600660       112.330012       0.000000       11.485513        4.600660           19      
      3.20          5.025009         69403             2               2             10946           18371         112.169851       6.092270       777.223230      568.268136      27.316439        9.685036          832      
      3.30          5.025009         69277             10              10            11960           19564         112.653535       5.010996       806.496775      574.402034      29.327040       10.145558          888      
      3.30          5.025009         69277             10              8              134              67          10.465645        2.851800       73.516466        0.000000       10.465645        2.851800           25      
      3.30          5.025009         69277             10              2               65              72           7.389232        0.840985       49.131908        0.000000        7.389232        0.840985           25      
      3.30          5.025009         69277             10              19              64              67           9.621767        1.504139       64.287385        0.000000        9.621767        1.504139           23      
      3.30          5.025009         69277             10              1               48              68          10.069237        2.929787       70.886539        0.000000       10.069237        2.929787           23      
      3.40          5.025009         70281             6               6             11649           19034         112.448361       5.748498       815.962216      573.413663      28.825650       11.971093          866      
      3.50          5.025009         69635             8               8             12580           20011         113.899578       7.097952       884.480496      578.496054      31.409651       13.389928          929      
      3.50          5.025009         69635             8               1              114             115          15.435736        5.586082       151.698794       0.000000       15.435736        5.586082           44      
      3.50          5.025009         69635             8               2               76              87           9.390538        1.298939       63.469683        0.000000        9.390538        1.298939           31      
      3.50          5.025009         69635             8               4               75              75          10.396402        4.883067       131.835021       0.000000       10.396402        4.883067           29      
      3.50          5.025009         69635             8               13              81              47           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           13      
      3.60          5.025009         69930             4               4             12023           19778         111.914144       6.574737       812.674788      594.103809      29.375648       12.975142          892      
      3.60          5.025009         69930             4               2               47              57           9.313580        4.603468       79.160485        0.000000        9.313580        4.603468           18      
      3.70          5.025009         69599             2               2             11127           19046         111.576755       6.885460       824.052302      582.642456      27.972691       13.514907          847      
      3.80          5.025009         69376             3               3             11359           19387         111.996371       8.013718       834.047920      593.061536      29.169372       15.714692          858      
      3.80          5.025009         69376             3               2              149              64           6.742455        2.027075       48.031094        0.000000        6.742455        2.027075           13      
      3.90          5.025009         69921             6               6             11827           19862         112.489999       6.037922       820.153040      582.641458      29.940683       13.371347          901      
      3.90          5.025009         69921             6               11              67              83          10.556436        4.394545       124.384133       0.000000       10.556436        4.394545           30      
      3.90          5.025009         69921             6               12              80              59           7.015542        3.010035       77.433899        0.000000        7.015542        3.010035           18      
      4.00          5.025009         69164             6               6             11081           19476         111.197322       8.038879       801.078825      584.491794      28.471370       15.603380          849      
      4.10          5.025009         69278             2               2             11797           19742         112.835004       8.582286       832.562712      591.110306      30.192912       16.648123          903      
      4.10          5.025009         69278             2               3               54              69          10.169761        4.025259       86.270157        0.000000       10.169761        4.025259           24      
      4.20          5.025009         69993             6               6             12664           20955         114.432934      10.743709       883.897113      588.780202      33.677802       19.305291          957      
      4.20          5.025009         69993             6               1               97             127          15.579468        5.755401       114.950824       0.000000       15.579468        5.755401           44      
      4.20          5.025009         69993             6               12              68              64           2.676193        0.609330       17.656432        0.000000        2.676193        0.609330           26      
      4.20          5.025009         69993             6               7               53              67           9.709452        2.804770       73.606341        0.000000        9.709452        2.804770           23      
      4.20          5.025009         69993             6               9               70              50           7.653901        2.697577       87.995712        0.000000        7.653901        2.697577           18      
      4.30          5.025009         70016             4               4             11440           20258         111.585047       9.738663       853.016876      607.208211      29.904638       18.384057          884      
      4.40          5.025009         69305             5               5             11814           20349         112.633776       9.158544       852.941405      609.997620      31.071844       17.436952          918      
      4.40          5.025009         69305             5               3              104             114          103.515025      58.628180       834.220419       0.000000       103.515025      58.628180           42      
      4.40          5.025009         69305             5               1               61              67          14.837409        7.318806       136.099046       0.000000       14.837409        7.318806           28      
      4.40          5.025009         69305             5               6               73              46           5.414528        1.040253       35.993490        0.000000        5.414528        1.040253           11      
      4.50          5.025009         69503             5               5             10994           19705         103.089392      12.182205       405.344636      589.559592      20.293417       20.416685          873      
      4.60          5.025009         68502             8               8             11305           19975         112.001515       8.649567       865.423579      592.850134      29.853750       16.240617          903      
      4.60          5.025009         68502             8               7              208              69           8.475195        2.385026       57.688903        0.000000        8.475195        2.385026           17      
      4.60          5.025009         68502             8               9               80              91           4.669308        2.131164       41.305464        0.000000        4.669308        2.131164           34      
      4.60          5.025009         68502             8               1               42              67           9.967739        2.568441       68.839116        0.000000        9.967739        2.568441           24      
      4.60          5.025009         68502             8               23              54              52           9.134398        1.962738       70.999278        0.000000        9.134398        1.962738           22      
      4.70          5.025009         67737             7               7             11994           20357         113.679394       8.849753       892.060176      596.031367      32.340071       17.123578          949      
      4.70          5.025009         67737             7               16             112             116          10.866440        5.078445       98.533977        0.000000       10.866440        5.078445           43      
      4.70          5.025009         67737             7               13             154              69           9.637107        3.053064       71.614174        0.000000        9.637107        3.053064           22      
      4.70          5.025009         67737             7               1               54              61          41.708895       17.013054       300.806306       0.000000       41.708895       17.013054           25      
      4.70          5.025009         67737             7               4               79              36           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           12      
      4.80          5.025009         67938             6               6              9985           19048         111.079332       9.458316       824.778970      608.185832      27.954091       16.975024          829      
      4.90          5.025009         68189             4               4              9963           19176         111.084022       9.784258       818.531372      582.526867      27.762737       17.212761          828      
      5.00          5.025009         68033             3               3              9711           19039         109.836587       7.955197       781.909102      588.143352      26.440275       15.448824          817      
      5.00          5.025009         68033             3               1              110              84          13.716319        3.874057       110.095278       0.000000       13.716319        3.874057           38      
      5.10          5.025009         66636             3               3              9201           18693         109.294468       7.829601       812.515145      579.620038      26.023054       15.168784          786      
      5.10          5.025009         66636             3               4              159              65           7.799471        3.978812       72.507685        0.000000        7.799471        3.978812           17      
      5.20          5.025009         67098             4               4              9383           18948         109.196473       8.810733       796.697871      577.351523      26.277072       15.916192          804      
      5.30          5.025009         66458             4               4              8625           17901         108.421881       8.613550       828.849279      574.657750      24.608467       14.989046          747      
      5.40          5.025009         65549             4               4              9421           18657         109.915398       8.097725       816.558637      566.077518      27.521843       14.196517          798      
      5.50          5.025009         65018             6               6              9306           18896         108.715741       8.085180       778.410610      548.790520      27.117839       13.684673          800      
      5.50          5.025009         65018             6               9              170             106           5.702050        2.384239       42.667102        0.000000        5.702050        2.384239           11      
      5.50          5.025009         65018             6               2               55              60           8.750868        1.778166       58.007968        0.000000        8.750868        1.778166           20      
      5.60          5.025009         65707             2               2              9751           19194         109.618831       8.008622       806.135879      562.846901      28.131928       14.009780          824      
      5.70          5.025009         64620             3               3              9363           18949         108.293310       6.974884       791.297353      551.858700      27.263675       12.230127          797      
      5.70          5.025009         64620             3               4              120             160          19.923194        6.712111       249.847117       0.000000       19.923194        6.712111           50      
      5.80          5.025009         63439             1               1              9116           18498         108.556465       8.226172       845.532958      554.299657      27.034656       13.341218          783      
      5.90          5.025009         64496             4               4              9554           19051         108.541568       5.894010       746.996829      563.439638      28.127280       11.418148          817      
      5.90          5.025009         64496             4               3               81              93          14.168374        7.087864       120.502814       0.000000       14.168374        7.087864           36      
      6.00          5.025009         64819             4               4              9537           18771         108.374952       6.496812       787.834531      550.921843      27.413527       11.723885          820      
      6.00          5.025009         64819             4               7               68              86          11.505342        1.747891       77.876780        0.000000       11.505342        1.747891           29      
      6.10          5.025009         63376             2               2              9076           18748         107.138990       8.206171       788.019236      550.886453      26.696321       13.657473          774      
      6.10          5.025009         63376             2               6              137              73           4.635078        1.092988       33.299516        0.000000        4.635078        1.092988           10      
      6.20          5.025009         62960             5               5              9418           18871         107.757434       7.725266       789.473858      554.935190      27.641596       13.634612          805      
      6.20          5.025009         62960             5               7              123              44           4.206556        1.847390       47.151823        0.000000        4.206556        1.847390           12      
      6.20          5.025009         62960             5               10              50              56           8.813261        3.072764       77.269708        0.000000        8.813261        3.072764           20      
      6.30          5.025009         63886             2               2              8859           18290         94.563266       29.211442       727.287231      557.004274      13.295573       34.938062          775      
      6.30          5.025009         63886             2               6               57              57           7.686463        2.934238       56.828256        0.000000        7.686463        2.934238           16      
      6.40          5.025009         64663             3               3              9313           18454         109.211464       8.496843       921.154031      562.230225      27.415002       14.700854          807      
      6.40          5.025009         64663             3               4               69              61           9.328807        4.829079       98.662295        0.000000        9.328807        4.829079           24      
      6.50          5.025009         63833             5               5              8740           18527         108.186590       9.800245       798.776917      566.732409      26.995994       15.915234          766      
      6.60          5.025009         64815             5               5             10054           19133         109.768803       9.049785       859.629053      559.723163      29.383669       16.107753          852      
      6.70          5.025009         64916             5               5              9839           19325         108.711291       9.099636       853.841757      550.050795      28.886229       15.384217          842      
      6.80          5.025009         64270             8               8             10350           19789         110.356907      10.697665       853.587247      542.771908      32.118746       16.258438          865      
      6.80          5.025009         64270             8               1               87              89          102.681726      57.291360       854.644703       0.000000       102.681726      57.291360           36      
