    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     4.000         40272.838       244101.353       1464.818        1464.818       250472.584      248751.786      22427.145      83543704.870     416572.277      416572.277     82661187.546    83519018.484       640.1           42414     
     4.100         40360.479       232755.197       814.702         814.702        238114.327      236249.464      22345.855      83751483.119     445460.270      445460.270     82519219.340    83580811.500       645.8           42297     
     4.200         40436.688       240366.336       2494.833        2494.833       251618.954      248487.479      22260.755      83831035.897    -540666.519     -540666.519     83585582.332    83167642.596       637.9           42210     
     4.300         40558.623       251746.221       6999.391        6999.391       243539.433      254642.218      22175.654      85548256.576     478492.545      478492.545     85262994.024    85884117.845       630.0           42099     
     4.400         40672.937       271722.964       3771.603        3771.603       251142.270      265204.220      22061.340      86374865.807     707961.416      707961.416     86815210.549    87302999.595       632.3           42083     
     4.500         40627.211       248410.790       9009.962        9009.962       255220.108      260825.411      22029.586      86362175.588     624807.759      624807.759     86042687.638    86827239.372       644.7           42122     
     4.600         40544.651       230803.054       979.272         979.272        235222.175      233991.887      22122.308      86992379.910     551237.264      551237.264     86208959.055    87151906.746       644.7           42275     
     4.700         40490.035       235538.010       8834.859        8834.859       231012.231      242109.979      22204.868      86430473.981    -448393.222     -448393.222     86221813.525    85877750.531       646.9           42349     
     4.800         40463.361       218199.651       1569.711        1569.711       222907.137      222123.104      22267.106      84963523.478     213392.849      213392.849     84925925.735    85158117.455       624.4           42370     
     4.900         40289.350       231407.102       4013.841        4013.841       237219.441      238327.113      22452.548      83258102.915     83582.948       83582.948      83702743.019    83564005.915       623.2           42457     
     5.000         40276.648       229841.563       -356.580        -356.580       228659.477      228893.940      22494.464      81542602.354     125750.388      125750.388     81475234.991    81634669.061       615.3           42467     
     5.100         40172.495       229642.325       -22.671         -22.671        218509.036      224053.010      22584.645      79819649.972     467588.352      467588.352     81007909.747    80881368.211       626.6           42539     
     5.200         40161.064       223733.541       6117.537        6117.537       222473.516      229221.065      22559.242      80846084.096     45917.557       45917.557      81839922.504    81388920.858       630.0           42539     
     5.300         40178.846       215689.443       4107.811        4107.811       208189.895      216047.480      22434.766      82052901.327     228520.754      228520.754     82716360.519    82613151.676       663.8           42521     
     5.400         40205.520       202359.059       164.704         164.704        211489.884      207089.175      22489.383      84113446.472    -208717.509     -208717.509     84456820.742    84076416.098       634.5           42726     
     5.500         40169.955       200216.769       616.938         616.938        200615.000      201032.823      22582.104      85729648.317    -571126.966     -571126.966     84168888.630    84378141.508       619.9           42836     
     5.600         40061.992       188380.042       2357.052        2357.052       193559.469      193326.808      22639.261      85670929.887     -63020.484      -63020.484     83802277.637    84673583.279       625.5           42949     
     5.700         40050.561       190475.181       1857.446        1857.446       194450.318      194320.195      22650.693      86462532.572    -1323491.283    -1323491.283    84601896.881    84208723.443       628.9           43030     
     5.800         40070.883       189219.878       7303.359        7303.359       202204.354      203015.475      22630.370      86281368.656     -32328.276      -32328.276     85277460.792    85747086.448       641.3           43015     
     5.900         40152.173       190344.977       7222.521        7222.521       202018.807      203404.413      22584.645      85745195.066     13560.291       13560.291      86371806.465    86072061.056       625.5           42903     
     6.000         40159.794       204456.908       1452.277        1452.277       203057.604      205209.533      22588.455      85034255.221    -439138.047     -439138.047     86020895.608    85088437.367       634.5           42876     
     6.100         40166.145       210994.436      -4680.615       -4680.615       210254.486      205943.846      22573.213      83532170.404    -163675.971     -163675.971     84889077.300    84046947.881       623.2           42737     
     6.200         40195.358       217285.276      -5507.531       -5507.531       229145.368      217707.791      22554.161      81452803.557    -394966.179     -394966.179     84047838.291    82355354.745       624.4           42589     
     6.300         40201.709       219228.456      -4606.471       -4606.471       232228.720      221122.117      22450.008      81580810.432     140910.575      140910.575     83376913.339    82619772.461       651.4           42500     
     6.400         40332.535       231767.582       383.617         383.617        227810.217      230172.516      22437.307      81849156.030    -268678.960     -268678.960     82914597.826    82113197.968       627.7           42443     
     6.500         40397.313       232310.644      -2014.394       -2014.394       228612.898      228447.377      22423.335      81530698.821     102265.792      102265.792     82222372.403    81978801.404       607.5           42363     
     6.600         40307.132       220137.765       215.635         215.635        219753.807      220161.421      22452.548      82216741.823     392919.699      392919.699     82133936.177    82568258.699       622.1           42484     
     6.700         40091.206       204250.180       1646.295        1646.295       209572.762      208557.766      22626.560      81384411.782     368574.246      368574.246     81135171.074    81628365.674       631.1           42705     
     6.800         39912.114       211217.570      -7728.534       -7728.534       198430.364      197095.434      22749.765      80062146.288     245240.109      245240.109     79841369.009    80196997.757       654.8           42785     
     6.900         40017.536       211111.243       664.761         664.761        214234.340      213337.553      22718.011      80987963.352     654994.467      654994.467     81170032.546    81733992.416       622.1           42770     
     7.000         39971.811       211422.811      -4200.792       -4200.792       205157.255      204089.241      22846.297      79985256.973     784233.920      784233.920     80177464.662    80865594.738       589.4           42758     
     7.100         40053.101       234976.311      -3291.487       -3291.487       240672.541      234532.939      22671.015      80103992.481    1228051.498     1228051.498     79528582.266    81044338.871       625.5           42526     
     7.200         40279.189       233560.394      -1229.898       -1229.898       236794.284      233947.441      22458.899      81112885.650     907154.315      907154.315     82147560.448    82537377.364       623.2           42333     
     7.300         40378.261       235689.767       -803.391        -803.391       233977.639      234030.312      22286.158      81922768.013     169337.561      169337.561     82589289.178    82425366.156       659.3           42187     
     7.400         40449.390       225389.415       2137.036        2137.036       228186.094      228924.791      22216.299      83368088.409     513821.558      513821.558     83443919.408    83919825.466       649.2           42210     
     7.500         40481.143       247636.436      -6045.972       -6045.972       254844.656      245194.574      22254.404      83764114.072     56465.437       56465.437      83888092.492    83882568.719       631.1           42218     
     7.600         40335.075       219372.410       3617.419        3617.419       217319.682      221963.465      22363.638      82926086.380    -234808.546     -234808.546     83075069.233    82765769.261       634.5           42335     
     7.700         40441.769       243870.033       1427.442        1427.442       248856.657      247790.786      22350.936      83652718.686     182458.821      182458.821     82968132.033    83492884.181       614.2           42319     
     7.800         40360.479       239606.070       -942.247        -942.247       231845.210      234783.393      22373.799      82336037.186     172672.069      172672.069     82457669.662    82569525.493       631.1           42346     
     7.900         40119.149       212730.100       -407.894        -407.894       229162.515      220538.413      22579.564      80570349.567     233591.695      233591.695     80982416.734    81009974.846       641.3           42529     
     8.000         40154.713       229708.725      -5118.335       -5118.335       231320.084      225396.070      22621.479      80014509.546     794605.382      794605.382     80634132.966    81118926.638       615.3           42539     
     8.100         40152.173       228094.549      -3177.329       -3177.329       227460.116      224600.004      22498.274      80027502.564     524665.113      524665.113     81296480.006    81186656.398       652.5           42371     
     8.200         40337.616       240988.236      -3615.358       -3615.358       232583.740      233170.630      22415.714      80603881.604    1078181.622     1078181.622     82043706.472    82401975.660       614.2           42288     
     8.300         40260.136       242928.106       842.044         842.044        237272.019      240942.106      22387.771      81528002.329     173210.419      173210.419     82021941.443    81948182.305       651.4           42313     
     8.400         40289.350       233834.759       1716.550        1716.550       229634.944      233451.401      22410.633      81299617.200     480992.856      480992.856     82468978.381    82365290.647       630.0           42329     
     8.500         40313.483       236835.268       6312.221        6312.221       236345.195      242902.452      22309.021      81070313.130     329421.788      329421.788     82676928.747    82203042.726       671.7           42281     
     8.600         40399.853       234317.914      -1218.457       -1218.457       225063.385      228472.192      22357.287      81536870.335     582106.805      582106.805     82246188.055    82473636.000       626.6           42247     
     8.700         40276.648       230851.285      -3091.528       -3091.528       235832.579      230250.404      22450.008      80777366.270      6852.280        6852.280      82621253.589    81706162.210       639.0           42364     
     8.800         40265.217       227370.165       1415.197        1415.197       234178.218      232189.389      22479.222      81467408.028    -135717.681     -135717.681     82537365.157    81866668.912       621.0           42450     
     8.900         40190.278       215134.359       758.980         758.980        229337.390      222994.855      22436.036      82508839.145     459222.308      459222.308     82332379.663    82879831.712       658.2           42421     
     9.000         40374.450       248103.149       102.066         102.066        230631.514      239469.398      22281.077      83068344.057    -681646.262     -681646.262     83016675.675    82360863.604       663.8           42228     
     9.100         40465.902       237929.065      -3462.149       -3462.149       234422.216      232713.492      22176.925      83519164.515    -336281.787     -336281.787     83603551.253    83225076.097       654.8           42129     
     9.200         40502.736       231632.969       4277.399        4277.399       246959.450      243573.608      22169.304      83926122.244    -545266.954     -545266.954     84012996.448    83424292.393       657.0           42094     
     9.300         40412.555       244502.185      -3889.499       -3889.499       240926.148      238824.667      22218.840      83908565.259     128637.962      128637.962     83380473.010    83773157.096       649.2           42167     
     9.400         40329.995       233686.465       2909.255        2909.255       234978.850      237241.912      22288.698      84124346.403    -411687.370     -411687.370     83039877.610    83170424.636       671.7           42299     
     9.500         40324.914       227635.725       1575.522        1575.522       237265.995      234026.382      22281.077      83539961.795    -568073.612     -568073.612     83367486.208    82885650.389       664.9           42378     
     9.600         40266.487       225426.183       1156.612        1156.612       237017.793      232378.601      22411.903      83338582.331    -226954.109     -226954.109     82127604.791    82506139.453       634.5           42404     
     9.700         40211.870       227627.420       3448.147        3448.147       231832.581      233178.147      22419.524      82019776.648     -36465.507      -36465.507     82233979.321    82090412.477       661.6           42382     
