        tauB               sizeBin             clust_size          interface_id       press_align_bub1     press_align_bub2     press_align_bub3     press_align_bub4     press_align_bub5  
        0.00               5.016308              42321                  1               11248.591017           0.000000             0.000000             0.000000             0.000000      
        0.10               5.016308              42458                  1               9715.561315            0.000000             0.000000             0.000000             0.000000      
        0.20               5.016308              42902                  1               7471.441708            0.000000             0.000000             0.000000             0.000000      
        0.30               5.016308              43222                  1               5940.558720            0.000000             0.000000             0.000000             0.000000      
        0.40               5.016308              43470                  2               4669.772284            0.000000             0.000000             0.000000             0.000000      
        0.50               5.016308              43620                  1               3699.242028            0.000000             0.000000             0.000000             0.000000      
        0.60               5.016308              43635                  3               2869.526673            0.000000             0.000000             0.000000             0.000000      
        0.70               5.016308              43613                  2               2447.669562            0.000000             0.000000             0.000000             0.000000      
        0.80               5.016308              43573                  1                532.357153            0.000000             0.000000             0.000000             0.000000      
        0.90               5.016308              43374                  1               1589.667395            0.000000             0.000000             0.000000             0.000000      
        1.00               5.016308              43143                  1               1524.349140            0.000000             0.000000             0.000000             0.000000      
        1.10               5.016308              42843                  2               1462.185789            0.000000             0.000000             0.000000             0.000000      
        1.20               5.016308              42675                  2               1515.945547            0.000000             0.000000             0.000000             0.000000      
        1.30               5.016308              42238                  1               1429.060408            0.000000             0.000000             0.000000             0.000000      
        1.40               5.016308              41907                  2               1376.075278            0.000000             0.000000             0.000000             0.000000      
        1.50               5.016308              41569                  1               1456.236753           100.181972            0.000000             0.000000             0.000000      
        1.60               5.016308              41335                  1               1470.863786            0.000000             0.000000             0.000000             0.000000      
        1.70               5.016308              41232                  3               1559.454529            0.000000             0.000000             0.000000             0.000000      
        1.80               5.016308              41125                  3               1631.840546           29.963946             0.000000             0.000000             0.000000      
        1.90               5.016308              40971                  3               1646.106689            0.000000             0.000000             0.000000             0.000000      
        2.00               5.016308              40960                  2                584.256652            0.000000             0.000000             0.000000             0.000000      
        2.10               5.016308              40793                  1               1623.907802            0.000000             0.000000             0.000000             0.000000      
        2.20               5.016308              40743                  1               1570.132803            0.000000             0.000000             0.000000             0.000000      
        2.30               5.016308              40567                  1               1725.389005            0.000000             0.000000             0.000000             0.000000      
        2.40               5.016308              40443                  2               1743.632121            0.000000             0.000000             0.000000             0.000000      
        2.50               5.016308              40434                  3               1820.753216            0.000000             0.000000             0.000000             0.000000      
