        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align               num_dens              press        
        0.40               5.016308              38055                  1                    1                 9.631579            12.842105             0.299558             4.879945            219.274194     
        0.40               5.016308              38055                  1                    1                12.842105            16.052632             0.332278             2.052114            102.280771     
        0.40               5.016308              38055                  1                    1                16.052632            19.263158             0.301914             2.185074            98.955533      
        0.40               5.016308              38055                  1                    1                19.263158            22.473684             0.375831             0.027249             1.536165      
        0.40               5.016308              38055                  1                    1                22.473684            25.684211             0.712275             0.013249             1.415585      
        0.40               5.016308              38055                  1                    1                25.684211            28.894737             0.448293             0.053360             3.588143      
        0.40               5.016308              38055                  1                    1                28.894737            32.105263             0.353872             0.104640             5.554400      
        0.40               5.016308              38055                  1                    1                32.105263            35.315789             0.188359             0.112176             3.169388      
        0.40               5.016308              38055                  1                    1                35.315789            38.526316             0.270589             0.153255             6.220359      
        0.40               5.016308              38055                  1                    1                38.526316            41.736842             0.145718             0.101806             2.225241      
        0.40               5.016308              38055                  1                    1                41.736842            44.947368             0.199652             0.048260             1.445280      
        0.40               5.016308              38055                  1                    1                44.947368            48.157895             0.336248             0.018325             0.924245      
        0.40               5.016308              38055                  1                    1                48.157895            51.368421             0.314557             0.010346             0.488138      
        0.40               5.016308              38055                  1                    1                51.368421            54.578947             0.233530             0.013737             0.481201      
        0.40               5.016308              38055                  1                    1                54.578947            57.789474             0.357522             0.008452             0.453252      
        0.40               5.016308              38055                  1                    1                57.789474            61.000000             0.344528             0.005454             0.281837      
        0.50               5.016308              38452                  2                    2                 0.000000             3.125000             0.132035             3.324187            65.836167      
        0.50               5.016308              38452                  2                    2                 3.125000             6.250000             0.201751             3.466266            104.898352     
        0.50               5.016308              38452                  2                    2                 6.250000             9.375000             0.280754             3.339673            140.643942     
        0.50               5.016308              38452                  2                    2                 9.375000            12.500000             0.260344             3.684812            143.897837     
        0.50               5.016308              38452                  2                    2                12.500000            15.625000             0.251287             3.169704            119.475606     
        0.50               5.016308              38452                  2                    2                15.625000            18.750000             0.188176             1.080783            30.506610      
        0.50               5.016308              38452                  2                    2                18.750000            21.875000             0.266436             0.054267             2.168816      
        0.50               5.016308              38452                  2                    2                21.875000            25.000000             0.492108             0.013076             0.965230      
        0.50               5.016308              38452                  2                    2                25.000000            28.125000             0.471031             0.111254             7.860610      
        0.50               5.016308              38452                  2                    2                28.125000            31.250000             0.312881             0.153720             7.214381      
        0.50               5.016308              38452                  2                    2                31.250000            34.375000             0.157084             0.162996             3.840607      
        0.50               5.016308              38452                  2                    2                34.375000            37.500000             0.175915             0.103022             2.718469      
        0.50               5.016308              38452                  2                    2                37.500000            40.625000             0.100074             0.057724             0.866502      
        0.50               5.016308              38452                  2                    2                40.625000            43.750000             0.189108             0.026875             0.762343      
        0.50               5.016308              38452                  2                    2                43.750000            46.875000             0.111664             0.016090             0.269500      
        0.50               5.016308              38452                  2                    2                46.875000            50.000000             0.309808             0.012949             0.601777      
        0.50               5.016308              38452                  2                    2                50.000000            53.125000             0.361952             0.010017             0.543839      
        0.50               5.016308              38452                  2                    2                53.125000            56.250000             0.323303             0.008484             0.411434      
        0.50               5.016308              38452                  2                    2                56.250000            59.375000             0.348280             0.005089             0.265859      
        0.50               5.016308              38452                  2                    2                59.375000            62.500000             0.144777             0.008353             0.181396      
        0.50               5.016308              38452                  2                    2                62.500000            65.625000             0.196797             0.013269             0.391695      
        0.50               5.016308              38452                  2                    2                65.625000            68.750000             0.329982             0.012176             0.602678      
        0.50               5.016308              38452                  2                    2                68.750000            71.875000             0.251921             0.007661             0.289499      
        0.50               5.016308              38452                  2                    2                71.875000            75.000000             0.457500             0.001017             0.069766      
        0.60               5.016308              38811                  3                    3                 0.000000             3.086957             0.168815             3.470677            87.885585      
        0.60               5.016308              38811                  3                    3                 3.086957             6.173913             0.196462             3.267277            96.284499      
        0.60               5.016308              38811                  3                    3                 6.173913             9.260870             0.218580             3.212839            105.339552     
        0.60               5.016308              38811                  3                    3                 9.260870            12.347826             0.191457             3.246317            93.229638      
        0.60               5.016308              38811                  3                    3                12.347826            15.434783             0.233248             2.246440            78.596800      
        0.60               5.016308              38811                  3                    3                15.434783            18.521739             0.213731             0.584143            18.727457      
        0.60               5.016308              38811                  3                    3                18.521739            21.608696             0.340168             0.045562             2.324792      
        0.60               5.016308              38811                  3                    3                21.608696            24.695652             0.305376             0.075784             3.471391      
        0.60               5.016308              38811                  3                    3                24.695652            27.782609             0.272543             0.142032             5.806455      
        0.60               5.016308              38811                  3                    3                27.782609            30.869565             0.176496             0.119795             3.171491      
        0.60               5.016308              38811                  3                    3                30.869565            33.956522             0.208072             0.118628             3.702484      
        0.60               5.016308              38811                  3                    3                33.956522            37.043478             0.174977             0.081597             2.141652      
        0.60               5.016308              38811                  3                    3                37.043478            40.130435             0.074279             0.057175             0.637031      
        0.60               5.016308              38811                  3                    3                40.130435            43.217391             0.304303             0.019630             0.896038      
        0.60               5.016308              38811                  3                    3                43.217391            46.304348             0.171627             0.016047             0.413115      
        0.60               5.016308              38811                  3                    3                46.304348            49.391304             0.395944             0.007945             0.471846      
        0.60               5.016308              38811                  3                    3                49.391304            52.478261             0.080430             0.009215             0.111174      
        0.60               5.016308              38811                  3                    3                52.478261            55.565217             0.224056             0.012261             0.412063      
        0.60               5.016308              38811                  3                    3                55.565217            58.652174             0.129311             0.010797             0.209423      
        0.60               5.016308              38811                  3                    3                58.652174            61.739130             0.170364             0.004188             0.107011      
        0.60               5.016308              38811                  3                    3                61.739130            64.826087             0.313656             0.003725             0.175275      
        0.60               5.016308              38811                  3                    3                64.826087            67.913043            -0.000343             0.003619            -0.000186      
        0.60               5.016308              38811                  3                    3                67.913043            71.000000             0.075222             0.001599             0.018043      
        0.70               5.016308              39163                  3                    3                 0.000000             3.266667             0.122766             3.743570            68.937409      
        0.70               5.016308              39163                  3                    3                 3.266667             6.533333             0.200762             2.265335            68.219142      
        0.70               5.016308              39163                  3                    3                 6.533333             9.800000             0.214616             2.764205            88.986470      
        0.70               5.016308              39163                  3                    3                 9.800000            13.066667             0.211338             3.288953            104.261885     
        0.70               5.016308              39163                  3                    3                13.066667            16.333333             0.223310             0.462952            15.507245      
        0.70               5.016308              39163                  3                    3                16.333333            19.600000             0.228085             0.110655             3.785797      
        0.70               5.016308              39163                  3                    3                19.600000            22.866667             0.138535             0.083624             1.737743      
        0.70               5.016308              39163                  3                    3                22.866667            26.133333             0.283346             0.141108             5.997332      
        0.70               5.016308              39163                  3                    3                26.133333            29.400000             0.128830             0.130049             2.513131      
        0.70               5.016308              39163                  3                    3                29.400000            32.666667             0.158354             0.100050             2.376510      
        0.70               5.016308              39163                  3                    3                32.666667            35.933333             0.208790             0.052159             1.633550      
        0.70               5.016308              39163                  3                    3                35.933333            39.200000             0.090807             0.023678             0.322514      
        0.70               5.016308              39163                  3                    3                39.200000            42.466667             0.088295             0.011033             0.146128      
        0.70               5.016308              39163                  3                    3                42.466667            45.733333             0.613926             0.004111             0.378599      
        0.70               5.016308              39163                  3                    3                45.733333            49.000000             0.927502             0.001196             0.166403      
        0.70               5.016308              39163                  3                    2                 0.000000             3.024096             0.153880             0.440733            10.172987      
        0.70               5.016308              39163                  3                    2                 3.024096             6.048193             0.100248             0.282521             4.248329      
        0.70               5.016308              39163                  3                    2                 6.048193             9.072289             0.032467             0.257659             1.254807      
        0.70               5.016308              39163                  3                    2                 9.072289            12.096386            -0.633458             0.053275            -5.062165      
        0.70               5.016308              39163                  3                    2                12.096386            15.120482            -0.919526             0.003767            -0.519571      
        0.70               5.016308              39163                  3                    2                15.120482            18.144578             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                18.144578            21.168675             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                21.168675            24.192771             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                24.192771            27.216867             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                27.216867            30.240964             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                30.240964            33.265060             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                33.265060            36.289157             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                36.289157            39.313253             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                39.313253            42.337349             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                42.337349            45.361446             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                45.361446            48.385542             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                48.385542            51.409639             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                51.409639            54.433735             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                54.433735            57.457831             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                57.457831            60.481928             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                60.481928            63.506024             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                63.506024            66.530120             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                66.530120            69.554217             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                69.554217            72.578313             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                72.578313            75.602410             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                75.602410            78.626506             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                78.626506            81.650602             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                81.650602            84.674699             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                84.674699            87.698795             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                87.698795            90.722892             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                90.722892            93.746988             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                93.746988            96.771084             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                96.771084            99.795181             0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                99.795181            102.819277            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                102.819277           105.843373            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                105.843373           108.867470            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                108.867470           111.891566            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                111.891566           114.915663            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                114.915663           117.939759            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                117.939759           120.963855            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                120.963855           123.987952            0.000000             0.000000             0.000000      
