      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      0.00          5.016308         41477             1               1             13912           13742         93.611697        1.422385       607.115811      367.916247      37.335233        2.909602          820      
      0.10          5.016308         41573             1               1             13706           13889         85.627519        1.354599       560.021662      324.292048      35.545013        2.463871          712      
      0.20          5.016308         42075             1               1             13716           13809         85.426781        1.692759       562.939603      325.575209      35.255998        3.064052          709      
      0.30          5.016308         42481             1               1             13966           14272         86.965906        1.895460       575.747907      326.707186      36.474931        3.405312          740      
      0.40          5.016308         42858             1               1             13652           13927         88.683363        2.314870       591.561311      348.269811      35.590476        4.160171          749      
      0.50          5.016308         43102             2               2             12971           13193         88.924153        3.483132       589.671313      377.738498      32.584741        6.006839          717      
      0.60          5.016308         43371             1               1             11270           11457         90.656828        2.577496       600.615255      422.523761      28.251842        5.846673          665      
      0.70          5.016308         43608             1               1             10595           10704         91.424245        2.738815       617.284376      442.447623      26.068668        6.278314          643      
      0.80          5.016308         43689             2               2              9712            9691         91.989720        2.445061       608.676318      464.269300      23.399512        5.208792          604      
      0.90          5.016308         43690             2               2              9511            9292         93.764592        4.890333       652.784709      463.438991      23.729406        7.481391          607      
      1.00          5.016308         43711             1               1              8757            9342         93.876118        3.257957       638.859630      476.398847      22.474687        6.283275          595      
      1.10          5.016308         43429             4               4              8434            9059         93.383655        3.584318       634.773899      483.475068      20.952906        6.261349          570      
      1.20          5.016308         43335             1               1              8075            9371         93.214297        3.476337       647.916539      481.934594      20.744053        6.066816          567      
      1.20          5.016308         43335             1               5               46              61           3.776963        0.739233       24.638471        0.000000        3.776963        0.739233           25      
      1.30          5.016308         43175             3               3              7636            8983         92.582687        2.659792       617.145666      483.145374      19.177195        4.778458          536      
      1.30          5.016308         43175             3               5               63              98          13.136781        2.108386       105.822043       0.000000       13.136781        2.108386           35      
      1.40          5.016308         42972             2               2              7781            8560         94.534848        7.193952       689.642639      487.858227      20.650693        9.674246          548      
      1.50          5.016308         42873             4               4              7539            8118         93.047852        2.383024       614.325374      496.281771      18.068520        5.212222          522      
      1.60          5.016308         42685             1               1              7630            8480         93.121584        2.741679       616.595107      497.992990      18.867689        6.443961          532      
      1.70          5.016308         42478             1               1              7946            8490         92.446444        2.822394       617.939737      489.818193      19.047148        6.629043          529      
      1.80          5.016308         42279             4               4              8146            9298         94.835646        4.659139       685.951864      491.889891      22.444883        8.962120          601      
      1.80          5.016308         42279             4               2              110             105          14.472506        2.928914       102.830716       0.000000       14.472506        2.928914           41      
      1.90          5.016308         42132             4               4              8351            9202         94.020551        4.174344       674.101150      490.064455      21.979711        8.588929          597      
      1.90          5.016308         42132             4               3               39              64          10.206021        2.809512       70.011905        0.000000       10.206021        2.809512           23      
      2.00          5.016308         41770             3               3              7964            8661         91.767807        4.128444       614.559716      494.874009      19.149121        8.669967          534      
      2.10          5.016308         41553             5               5              7966            9186         93.016629        4.421328       630.187221      482.374028      21.321075        8.641109          582      
      2.20          5.016308         41453             2               2              7996            9621         94.686459        6.158096       685.621182      483.316523      23.414297       10.875481          612      
      2.30          5.016308         41515             1               1              7541            9457         93.745848        5.656131       680.368488      488.969880      21.790817       10.386016          585      
      2.40          5.016308         41584             3               3              7414            9483         92.751674        4.269084       641.050940      492.467422      20.710191        9.246034          571      
      2.50          5.016308         41571             2               2              7740            9768         93.870858        4.523518       642.847482      500.347770      22.170769        9.232262          618      
      2.50          5.016308         41571             2               1               42              70           8.457192        1.487011       57.640905        0.000000        8.457192        1.487011           20      
      2.60          5.016308         41763             1               1              7600            9425         93.787516        4.162949       631.963441      506.853532      21.531355        8.295802          589      
      2.70          5.016308         41784             1               1              7464            9593         92.868745        4.395370       631.780965      492.160570      20.851567        8.497975          567      
      2.80          5.016308         41786             1               1              7262            9551         92.864786        4.255786       642.437120      484.804004      20.589951        8.124292          568      
      2.90          5.016308         41751             1               1              7003            9513         94.758644        5.214399       153.874522      491.543108      22.000709        9.595207          538      
      3.00          5.016308         41742             1               1              7010            9650         91.769756        4.804131       623.608899      507.106046      19.264528       10.154087          539      
      3.10          5.016308         41745             2               2              7429           10202         92.078151        5.325684       642.174443      490.717469      20.873394       11.415318          571      
      3.20          5.016308         41595             2               2              7562           10005         91.601076        4.721025       625.414402      483.832865      20.706361        9.709327          561      
