      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      3.70          5.016308         39445             2               3               76              93           4.920715        0.947110       33.355639        0.000000        4.920715        0.947110           24      
      3.80          5.016308         39468             1               1              8702            8225         94.495829        5.787518       686.045958      505.795630      22.284673       11.894705          606      
      3.90          5.016308         39527             2               2              8411            8046         94.336056        4.930502       656.271131      519.360704      21.522140       11.171491          594      
      4.00          5.016308         39635             1               1              8289            8122         96.266980        6.075750       673.520537      508.845765      22.905992       12.630874          627      
      4.10          5.016308         39708             5               5              8887            8178         95.420084        5.228931       663.275579      536.197186      23.683769       13.939768          625      
      4.20          5.016308         39680             3               3              8403            8737         95.893748        5.232810       675.266509      502.669127      23.218229       11.680408          642      
      4.30          5.016308         39762             1               1              8501            8714         96.207533        4.849802       677.981425      513.944926      23.558313       11.418438          643      
      4.30          5.016308         39762             1               3               50              55           9.329227        4.844305       74.950519        0.000000        9.329227        4.844305           14      
      4.40          5.016308         39845             1               1              8271            8781         95.344902        5.546890       669.492369      512.912232      22.380604       11.705163          633      
      4.50          5.016308         39905             2               2              8315            8714         112.377572       9.715149       88.636981       510.751717      39.461849       15.585407          633      
      4.50          5.016308         39905             2               4               60              44           7.747732        0.991464       51.336621        0.000000        7.747732        0.991464           16      
      4.60          5.016308         39942             1               1              7678            8300         94.270937        5.859276       657.769855      519.828315      20.340593       11.988004          570      
      4.70          5.016308         39899             1               1              8130            8380         94.746118        4.892231       663.517994      499.169041      21.412943        9.737824          592      
      4.80          5.016308         39979             1               1              8246            8870         94.820880        4.680523       648.145455      501.099028      22.247402       10.698285          606      
      4.90          5.016308         39914             1               1              7380            8184         93.784539        7.500904       643.657290      535.735541      22.308189       17.669262          546      
      5.00          5.016308         39812             1               1              7870            8059         93.583174        6.413848       630.691334      520.322263      19.852732       12.633778          553      
      5.10          5.016308         39919             2               2              7925            8478         94.528050        5.678531       641.448424      520.089429      20.826025       11.871754          590      
      5.20          5.016308         40014             1               1              8098            8459         95.349950        5.326163       670.991249      502.018231      21.906750       11.134845          607      
      5.20          5.016308         40014             1               2               58              59           7.083126        1.886609       52.103927        0.000000        7.083126        1.886609           15      
